edge_index0,edge_index1,pred,gr
11334,11435,1.0,1.0
7201,10254,1.0,1.0
2575,7227,1.0,1.0
3319,6114,1.0,1.0
1830,5483,1.0,1.0
1480,10437,1.0,1.0
2827,10762,1.0,1.0
870,8563,1.0,1.0
3683,5499,1.0,1.0
7838,10290,0.0,1.0
6425,7383,1.0,1.0
435,7681,1.0,1.0
262,8665,1.0,1.0
5212,7611,1.0,1.0
8602,8695,1.0,1.0
4944,9750,1.0,1.0
4378,8632,1.0,1.0
8948,10905,1.0,1.0
7360,7913,1.0,1.0
5096,7142,1.0,1.0
4858,6502,1.0,1.0
7074,7543,1.0,1.0
464,5191,1.0,1.0
3599,5107,1.0,1.0
1667,12718,1.0,1.0
5454,8431,1.0,1.0
1406,5150,1.0,1.0
60,4699,1.0,1.0
232,2923,1.0,1.0
2354,8762,1.0,1.0
137,8015,1.0,1.0
2086,6089,0.0,1.0
7053,10046,1.0,1.0
1240,12743,1.0,1.0
6053,7251,0.0,1.0
4882,6087,1.0,1.0
3584,9651,1.0,1.0
262,3223,1.0,1.0
1178,7927,1.0,1.0
1410,4255,1.0,1.0
3683,5506,1.0,1.0
117,5417,1.0,1.0
3726,4676,1.0,1.0
4823,9803,1.0,1.0
9187,9750,1.0,1.0
650,8407,1.0,1.0
297,12992,1.0,1.0
3855,6441,1.0,1.0
541,3712,1.0,1.0
1329,2651,1.0,1.0
4505,7064,1.0,1.0
3751,12338,1.0,1.0
2448,2940,1.0,1.0
3935,7197,1.0,1.0
3062,5483,1.0,1.0
3508,4781,1.0,1.0
2374,9791,0.0,1.0
11111,13016,1.0,1.0
297,956,1.0,1.0
2799,10709,1.0,1.0
11954,12288,1.0,1.0
3968,8463,1.0,1.0
1406,2754,1.0,1.0
5797,11940,1.0,1.0
9035,12908,1.0,1.0
3958,10386,1.0,1.0
587,6489,1.0,1.0
4493,4956,1.0,1.0
2489,7821,1.0,1.0
1108,6263,1.0,1.0
7286,11054,1.0,1.0
7744,10974,1.0,1.0
2501,12997,1.0,1.0
7744,8282,1.0,1.0
882,3518,1.0,1.0
2532,12608,1.0,1.0
9359,13115,1.0,1.0
10474,11892,1.0,1.0
7270,9149,1.0,1.0
3006,11364,1.0,1.0
9945,12397,1.0,1.0
325,6554,1.0,1.0
9473,12887,1.0,1.0
7939,12142,0.0,1.0
2558,4826,1.0,1.0
9199,11087,1.0,1.0
1963,8137,1.0,1.0
7744,11280,1.0,1.0
6263,7649,1.0,1.0
6514,9456,1.0,1.0
262,4861,1.0,1.0
8013,10418,1.0,1.0
4037,9107,1.0,1.0
5229,7170,1.0,1.0
9245,13120,1.0,1.0
4320,7377,1.0,1.0
3564,7637,1.0,1.0
2147,8094,1.0,1.0
3685,12410,1.0,1.0
2998,7397,1.0,1.0
7947,10239,1.0,1.0
584,4940,1.0,1.0
12911,13148,1.0,1.0
3418,10729,1.0,1.0
7164,7608,1.0,1.0
5850,7744,1.0,1.0
1078,6073,1.0,1.0
262,4174,1.0,1.0
1306,12417,1.0,1.0
11016,11373,1.0,1.0
877,3647,1.0,1.0
772,12387,1.0,1.0
7390,9199,1.0,1.0
895,11149,1.0,1.0
5128,12555,1.0,1.0
7822,12466,1.0,1.0
4405,10672,1.0,1.0
1022,9370,1.0,1.0
7744,8105,1.0,1.0
4380,7478,1.0,1.0
6993,12583,1.0,1.0
5334,8563,1.0,1.0
2687,8651,1.0,1.0
4255,12351,1.0,1.0
363,4887,1.0,1.0
5504,9152,1.0,1.0
262,9360,1.0,1.0
621,7472,1.0,1.0
2680,4211,1.0,1.0
1361,8626,1.0,1.0
11963,13014,1.0,1.0
6593,6678,1.0,1.0
4702,8994,1.0,1.0
2662,8762,1.0,1.0
4320,8620,1.0,1.0
10639,12797,1.0,1.0
7295,12701,1.0,1.0
3567,5278,1.0,1.0
2651,11697,1.0,1.0
8641,9732,1.0,1.0
1470,4156,0.0,1.0
4843,5647,1.0,1.0
750,2080,1.0,1.0
6139,12044,1.0,1.0
8206,11591,1.0,1.0
5054,12489,1.0,1.0
53,5517,1.0,1.0
6403,12681,1.0,1.0
5166,5486,1.0,1.0
8284,9197,0.0,1.0
7525,7681,1.0,1.0
12298,13013,1.0,1.0
1571,8526,1.0,1.0
9880,11320,1.0,1.0
2661,11508,1.0,1.0
4940,7962,1.0,1.0
9624,12330,1.0,1.0
2818,8049,1.0,1.0
769,9696,1.0,1.0
8225,13000,1.0,1.0
4435,5884,1.0,1.0
7744,10847,1.0,1.0
5219,9268,1.0,1.0
262,6412,1.0,1.0
11449,11940,1.0,1.0
4273,11095,1.0,1.0
4545,5559,1.0,1.0
4588,10427,1.0,1.0
325,4782,1.0,1.0
8770,9600,1.0,1.0
11078,12583,1.0,1.0
4511,8112,1.0,1.0
8665,11070,1.0,1.0
3901,5472,1.0,1.0
4338,4944,1.0,1.0
2253,7681,1.0,1.0
1566,4255,1.0,1.0
889,7234,1.0,1.0
3524,10738,1.0,1.0
666,9436,1.0,1.0
5995,8895,1.0,1.0
2773,7470,1.0,1.0
6946,11521,1.0,1.0
5295,13077,1.0,1.0
2639,10755,1.0,1.0
166,406,1.0,1.0
8151,10554,1.0,1.0
2454,6263,1.0,1.0
11278,11640,1.0,1.0
1391,4255,1.0,1.0
6454,13035,1.0,1.0
2626,3430,1.0,1.0
6482,10536,1.0,1.0
4651,11578,1.0,1.0
6802,11802,1.0,1.0
5649,12299,1.0,1.0
812,2065,1.0,1.0
262,11000,1.0,1.0
1430,9593,1.0,1.0
897,5384,1.0,1.0
3994,6673,1.0,1.0
1854,11722,1.0,1.0
9959,10607,1.0,1.0
9703,10692,1.0,1.0
4255,10940,1.0,1.0
2461,12649,1.0,1.0
3559,9474,1.0,1.0
6746,12298,1.0,1.0
581,8642,1.0,1.0
2030,4172,1.0,1.0
4232,10460,1.0,1.0
6149,8537,1.0,1.0
6581,9803,1.0,1.0
1699,4922,1.0,1.0
6441,6753,1.0,1.0
7676,8593,1.0,1.0
9165,11180,1.0,1.0
1503,3357,0.0,1.0
2859,3994,1.0,1.0
6609,10225,1.0,1.0
4742,9434,1.0,1.0
8604,11204,1.0,1.0
1604,2529,1.0,1.0
1180,8009,1.0,1.0
4742,6565,1.0,1.0
3352,10302,0.0,1.0
8909,12983,1.0,1.0
6931,12888,1.0,1.0
934,7413,1.0,1.0
9240,12631,1.0,1.0
262,5890,1.0,1.0
2155,10825,1.0,1.0
4936,10136,1.0,1.0
1742,4414,1.0,1.0
1962,7395,1.0,1.0
8269,9026,1.0,1.0
3342,6452,1.0,1.0
3660,11457,1.0,1.0
5012,5420,1.0,1.0
2575,4204,1.0,1.0
2271,8582,1.0,1.0
8550,11380,1.0,1.0
148,5776,1.0,1.0
7736,7880,1.0,1.0
3993,6063,1.0,1.0
815,2065,1.0,1.0
5053,7382,1.0,1.0
1588,11880,1.0,1.0
10729,12655,1.0,1.0
9874,10802,1.0,1.0
7744,9656,1.0,1.0
2626,6596,1.0,1.0
7327,13120,1.0,1.0
4449,8950,1.0,1.0
685,7744,1.0,1.0
812,3338,1.0,1.0
2075,12205,1.0,1.0
1236,12920,1.0,1.0
4429,11686,1.0,1.0
9544,11905,1.0,1.0
5476,10212,1.0,1.0
3142,12164,1.0,1.0
9199,11254,1.0,1.0
3823,6079,1.0,1.0
3822,11031,1.0,1.0
262,6551,1.0,1.0
504,7744,1.0,1.0
1068,4346,1.0,1.0
10631,11861,1.0,1.0
4599,8593,1.0,1.0
3553,10413,1.0,1.0
108,6498,1.0,1.0
418,9385,1.0,1.0
412,12137,0.0,1.0
11645,12635,1.0,1.0
8234,8911,1.0,1.0
5384,6165,0.0,1.0
321,7913,1.0,1.0
8230,11406,1.0,1.0
855,9452,1.0,1.0
