edge_index0,edge_index1,pred,gr
2864,2939,1.0,1.0
191,12925,0.0,1.0
262,1022,1.0,1.0
2548,4742,1.0,1.0
3183,12683,1.0,1.0
4371,5162,1.0,1.0
9157,12290,0.0,1.0
1211,3761,0.0,1.0
2065,12701,1.0,1.0
6552,7677,1.0,1.0
3462,10169,0.0,1.0
10397,10605,0.0,1.0
408,3097,0.0,1.0
7665,8018,0.0,1.0
4840,8898,0.0,1.0
105,11394,0.0,1.0
5647,12583,1.0,1.0
4384,9144,1.0,1.0
3889,5763,1.0,1.0
487,12561,1.0,1.0
7441,10163,1.0,1.0
3044,5459,0.0,1.0
2286,2309,1.0,1.0
1054,6271,1.0,1.0
2794,6833,0.0,1.0
5041,11009,0.0,1.0
5463,7642,1.0,1.0
3006,7866,1.0,1.0
1804,12061,1.0,1.0
6316,11180,1.0,1.0
8948,11316,1.0,1.0
5108,11952,1.0,1.0
3239,12374,0.0,1.0
4576,7509,1.0,1.0
11816,12693,0.0,1.0
83,3952,0.0,1.0
10131,11316,1.0,1.0
894,5876,0.0,1.0
3006,5656,1.0,1.0
4651,12443,1.0,1.0
747,10315,0.0,1.0
6695,10640,0.0,1.0
2127,3692,0.0,1.0
5161,9309,0.0,1.0
3829,8581,0.0,1.0
6952,12443,1.0,1.0
1397,11045,1.0,1.0
5656,11184,0.0,1.0
10420,10605,1.0,1.0
6746,7468,1.0,1.0
2052,3878,0.0,1.0
511,12039,1.0,1.0
4255,4598,1.0,1.0
5623,6502,0.0,1.0
3534,7681,1.0,1.0
6079,9865,1.0,1.0
1079,10840,1.0,1.0
5660,8875,1.0,1.0
1192,7435,1.0,1.0
262,3965,1.0,1.0
23,7423,0.0,1.0
2263,8524,0.0,1.0
2255,12615,0.0,1.0
4082,6863,0.0,1.0
262,12021,1.0,1.0
107,8829,0.0,1.0
1870,9264,0.0,1.0
851,9244,1.0,1.0
6444,10248,0.0,1.0
5264,11253,1.0,1.0
7383,7467,1.0,1.0
2336,10278,0.0,1.0
4365,11428,0.0,1.0
4840,5441,0.0,1.0
379,511,1.0,1.0
1348,3921,1.0,1.0
9353,9684,0.0,1.0
4362,10138,1.0,1.0
357,5146,1.0,1.0
3394,9788,1.0,1.0
9731,11553,0.0,1.0
3689,4038,0.0,1.0
5865,7681,0.0,1.0
3994,10102,1.0,1.0
4126,8936,0.0,1.0
4801,8009,1.0,1.0
2139,3277,1.0,1.0
4511,12853,1.0,1.0
6705,12352,0.0,1.0
3547,10195,1.0,1.0
3893,8794,1.0,1.0
8731,10427,1.0,1.0
2130,4255,1.0,1.0
1522,4854,1.0,1.0
3543,7837,0.0,1.0
262,1784,1.0,1.0
3874,3984,1.0,1.0
2434,10311,1.0,1.0
3327,6710,0.0,1.0
552,4801,1.0,1.0
7234,11527,1.0,1.0
9177,9890,1.0,1.0
4088,7734,1.0,1.0
3368,4596,1.0,1.0
1441,3763,0.0,1.0
2015,6946,1.0,1.0
7275,12523,1.0,1.0
7213,7523,1.0,1.0
4513,10438,1.0,1.0
2462,9933,0.0,1.0
4467,6425,0.0,1.0
300,6265,0.0,1.0
370,4782,0.0,1.0
3981,7349,1.0,1.0
6212,8464,0.0,1.0
5444,5475,1.0,1.0
2794,3423,1.0,1.0
3628,5211,1.0,1.0
4199,11137,1.0,1.0
9801,9832,1.0,1.0
262,7736,1.0,1.0
4746,10378,1.0,1.0
2054,8614,1.0,1.0
3874,7179,1.0,1.0
2417,4175,1.0,1.0
7994,9760,0.0,1.0
321,9818,0.0,1.0
10351,11261,0.0,1.0
2878,7268,1.0,1.0
1788,11249,0.0,1.0
1050,1538,0.0,1.0
3811,12385,1.0,1.0
5475,9182,1.0,1.0
8365,10534,1.0,1.0
4331,8810,0.0,1.0
7346,7945,1.0,1.0
379,11859,1.0,1.0
2029,7681,0.0,1.0
3876,11963,0.0,1.0
225,311,1.0,1.0
262,12035,0.0,1.0
2565,4970,0.0,1.0
1554,10281,0.0,1.0
2058,12925,0.0,1.0
8674,11288,1.0,1.0
9952,11236,0.0,1.0
1334,3307,0.0,1.0
9321,12105,1.0,1.0
2186,8375,0.0,1.0
1438,6147,0.0,1.0
3695,9827,0.0,1.0
4230,9433,1.0,1.0
6241,8937,1.0,1.0
1261,7053,0.0,1.0
4043,10963,1.0,1.0
10815,12782,1.0,1.0
353,7234,1.0,1.0
9903,11940,1.0,1.0
7744,8881,1.0,1.0
3519,5606,0.0,1.0
514,10086,0.0,1.0
1,7818,1.0,1.0
262,7628,1.0,1.0
7184,8772,1.0,1.0
11328,11578,1.0,1.0
915,12130,0.0,1.0
6210,7744,1.0,1.0
3883,7178,1.0,1.0
6536,12220,0.0,1.0
225,6583,1.0,1.0
2661,9936,0.0,1.0
259,11252,0.0,1.0
9474,9846,1.0,1.0
2434,10427,1.0,1.0
4624,6326,1.0,1.0
5371,9195,1.0,1.0
829,11067,0.0,1.0
5017,12508,0.0,1.0
4782,10453,1.0,1.0
9185,9951,0.0,1.0
3880,11650,0.0,1.0
3396,6564,0.0,1.0
7810,10245,0.0,1.0
9348,11377,0.0,1.0
1604,7543,1.0,1.0
8328,10587,0.0,1.0
3274,5491,0.0,1.0
1003,7681,1.0,1.0
4595,6463,1.0,1.0
2752,11756,1.0,1.0
6310,8357,1.0,1.0
2618,12262,1.0,1.0
745,6485,1.0,1.0
2866,4718,0.0,1.0
4998,5589,0.0,1.0
2718,10548,1.0,1.0
3145,12992,1.0,1.0
5801,7717,0.0,1.0
8874,10498,0.0,1.0
1826,11135,0.0,1.0
2211,8338,0.0,1.0
3095,6114,1.0,1.0
8948,11845,1.0,1.0
2651,3928,1.0,1.0
6305,12539,1.0,1.0
4651,12760,1.0,1.0
2184,7043,0.0,1.0
193,7495,0.0,1.0
32,10552,1.0,1.0
8818,8966,0.0,1.0
7369,10212,1.0,1.0
2517,12375,1.0,1.0
3964,7744,1.0,1.0
12381,12760,0.0,1.0
12175,12399,0.0,1.0
6160,7304,1.0,1.0
3764,6186,1.0,1.0
6669,9228,0.0,1.0
7163,11695,0.0,1.0
9593,10465,0.0,1.0
2864,6204,1.0,1.0
950,3317,0.0,1.0
7677,9228,0.0,1.0
1026,3494,1.0,1.0
706,8619,0.0,1.0
3621,8584,1.0,1.0
7779,12443,1.0,1.0
59,10639,1.0,1.0
436,4977,0.0,1.0
5968,7353,0.0,1.0
4228,10905,1.0,1.0
2065,3665,1.0,1.0
7255,7681,1.0,1.0
4108,7744,1.0,1.0
5282,9313,0.0,1.0
6741,7744,1.0,1.0
391,961,1.0,1.0
191,750,1.0,1.0
505,4843,1.0,1.0
3128,8709,1.0,1.0
1980,2253,1.0,1.0
1476,6763,1.0,1.0
7429,12358,0.0,1.0
473,3207,0.0,1.0
5143,7744,1.0,1.0
9113,9787,0.0,1.0
3371,12030,0.0,1.0
10728,12635,0.0,1.0
7744,11920,1.0,1.0
3636,12285,0.0,1.0
3968,5665,1.0,1.0
7681,12838,1.0,1.0
262,8589,1.0,1.0
538,7681,1.0,1.0
1630,7250,0.0,1.0
5537,11374,1.0,1.0
4819,6448,0.0,1.0
8875,11530,1.0,1.0
5456,10998,1.0,1.0
3910,6582,0.0,1.0
262,4928,1.0,1.0
7744,8269,1.0,1.0
1259,8399,0.0,1.0
2089,2672,1.0,1.0
750,9785,1.0,1.0
1142,3856,1.0,1.0
664,5902,1.0,1.0
4382,12662,1.0,1.0
599,3164,1.0,1.0
11233,12612,0.0,1.0
8006,8482,1.0,1.0
6162,8647,1.0,1.0
2099,8397,1.0,1.0
4360,7750,0.0,1.0
3903,12059,0.0,1.0
2859,4878,1.0,1.0
5420,6691,1.0,1.0
9962,10200,1.0,1.0
750,1820,1.0,1.0
262,9779,1.0,1.0
2987,7897,1.0,1.0
6766,9378,1.0,1.0
4964,10530,1.0,1.0
877,10096,1.0,1.0
6263,13050,1.0,1.0
625,12886,1.0,1.0
11300,12263,1.0,1.0
7452,8070,1.0,1.0
3983,11715,0.0,1.0
4752,7090,1.0,1.0
5177,12211,0.0,1.0
3141,9968,0.0,1.0
9676,12474,1.0,1.0
5768,7670,0.0,1.0
2551,4806,1.0,1.0
3667,4940,1.0,1.0
89,12235,0.0,1.0
4040,12199,1.0,1.0
4185,11694,0.0,1.0
