edge_index0,edge_index1,pred,gr
1267,9576,0.0,1.0
4511,10401,1.0,1.0
5447,11509,1.0,1.0
8488,10576,0.0,1.0
4351,6593,1.0,1.0
2634,3161,0.0,1.0
262,5070,0.0,1.0
7695,8589,1.0,1.0
750,11346,1.0,1.0
6114,12050,0.0,1.0
5150,6770,1.0,1.0
5128,11632,1.0,1.0
12124,12806,0.0,1.0
6485,6591,1.0,1.0
3996,6975,0.0,1.0
90,8563,1.0,1.0
3639,9830,0.0,1.0
214,2065,1.0,1.0
7417,7744,1.0,1.0
11356,11578,1.0,1.0
2543,3605,0.0,1.0
4674,12443,1.0,1.0
7276,11671,0.0,1.0
3730,10165,0.0,1.0
2660,3065,1.0,1.0
2417,11596,1.0,1.0
4380,9779,1.0,1.0
2065,6521,0.0,1.0
5665,8196,1.0,1.0
8774,11374,1.0,1.0
5526,11465,1.0,1.0
2130,4848,1.0,1.0
4112,11584,0.0,1.0
8079,12700,1.0,1.0
3145,8059,1.0,1.0
2878,12235,1.0,1.0
9737,12078,1.0,1.0
762,10872,0.0,1.0
6028,6438,0.0,1.0
7744,8340,1.0,1.0
8288,9231,0.0,1.0
6194,10940,0.0,1.0
3698,9232,1.0,1.0
8725,12272,0.0,1.0
8286,11558,1.0,1.0
1776,9202,0.0,1.0
2435,12832,0.0,1.0
587,1604,1.0,1.0
5956,10396,1.0,1.0
300,6265,1.0,1.0
2448,10990,1.0,1.0
4989,6243,1.0,1.0
5377,6877,0.0,1.0
1206,13059,0.0,1.0
581,2326,1.0,1.0
6114,11817,1.0,1.0
1850,10084,0.0,1.0
2515,9384,0.0,1.0
2143,3498,0.0,1.0
8900,9750,1.0,1.0
5200,6446,1.0,1.0
6946,11502,1.0,1.0
6710,9245,0.0,1.0
952,7744,1.0,1.0
8169,9792,1.0,1.0
10744,10933,0.0,1.0
406,11974,1.0,1.0
7015,8750,1.0,1.0
1604,3577,1.0,1.0
4044,12100,1.0,1.0
4255,4392,1.0,1.0
2662,6216,1.0,1.0
128,8462,0.0,1.0
1157,8165,1.0,1.0
1801,4998,1.0,1.0
4274,5066,1.0,1.0
341,664,1.0,1.0
6495,10875,0.0,1.0
6602,7114,1.0,1.0
5660,11179,0.0,1.0
101,10614,1.0,1.0
3847,13077,1.0,1.0
1079,9404,1.0,1.0
3869,11076,1.0,1.0
6797,11578,1.0,1.0
262,10550,0.0,1.0
262,2887,1.0,1.0
4371,6098,1.0,1.0
5931,9004,0.0,1.0
10958,12974,0.0,1.0
814,7978,1.0,1.0
262,7555,1.0,1.0
8563,10084,1.0,1.0
3425,11120,0.0,1.0
4096,4414,1.0,1.0
4903,12363,0.0,1.0
7692,10110,0.0,1.0
9268,9754,1.0,1.0
8638,11316,1.0,1.0
4435,6114,1.0,1.0
2448,4742,1.0,1.0
6114,8316,1.0,1.0
262,11979,1.0,1.0
1476,10755,1.0,1.0
5406,12815,0.0,1.0
6043,9920,1.0,1.0
3968,7776,1.0,1.0
4642,12453,0.0,1.0
1078,10812,1.0,1.0
6846,8593,1.0,1.0
913,7744,1.0,1.0
2799,10709,0.0,1.0
1005,10856,0.0,1.0
6951,7454,0.0,1.0
2532,13115,1.0,1.0
7710,13064,0.0,1.0
971,6262,0.0,1.0
6791,9944,1.0,1.0
343,9103,0.0,1.0
6835,7736,1.0,1.0
7502,8307,1.0,1.0
5327,12193,1.0,1.0
4036,7230,1.0,1.0
6933,7954,0.0,1.0
2520,6210,1.0,1.0
1061,11049,0.0,1.0
5483,9166,1.0,1.0
11079,12768,1.0,1.0
2772,10019,1.0,1.0
3062,11859,1.0,1.0
2632,5341,0.0,1.0
5296,7744,1.0,1.0
7657,9025,0.0,1.0
6812,7851,0.0,1.0
2065,3179,1.0,1.0
9378,9751,1.0,1.0
3984,7818,1.0,1.0
10879,11578,1.0,1.0
808,7109,1.0,1.0
1289,2813,1.0,1.0
3014,7142,1.0,1.0
2832,7345,0.0,1.0
2899,3239,0.0,1.0
1656,7471,1.0,1.0
2751,3772,1.0,1.0
379,1298,1.0,1.0
3472,11705,0.0,1.0
5127,7744,1.0,1.0
15,10906,1.0,1.0
3175,3572,1.0,1.0
4742,12877,0.0,1.0
3214,5420,1.0,1.0
9709,10270,1.0,1.0
9066,13030,0.0,1.0
4414,7293,1.0,1.0
5773,12768,1.0,1.0
2797,6054,0.0,1.0
11680,11794,0.0,1.0
1866,12780,0.0,1.0
5855,6946,1.0,1.0
4665,11608,0.0,1.0
5565,7087,0.0,1.0
3017,8060,0.0,1.0
8079,12179,1.0,1.0
5205,9592,0.0,1.0
5071,6883,1.0,1.0
3773,12060,1.0,1.0
707,6562,0.0,1.0
1810,8001,0.0,1.0
3576,4782,0.0,1.0
2107,3729,0.0,1.0
1445,4402,1.0,1.0
9061,10240,1.0,1.0
52,9333,1.0,1.0
1406,7803,1.0,1.0
6114,7919,1.0,1.0
12463,13140,0.0,1.0
9363,11770,1.0,1.0
406,6068,1.0,1.0
2164,9883,1.0,1.0
4775,6731,0.0,1.0
366,7744,1.0,1.0
890,1133,0.0,1.0
4096,8665,1.0,1.0
750,4836,1.0,1.0
3777,6065,1.0,1.0
3168,3274,0.0,1.0
379,12289,0.0,1.0
379,1436,1.0,1.0
8415,10287,1.0,1.0
290,7058,0.0,1.0
8009,8594,1.0,1.0
659,6673,1.0,1.0
750,7041,0.0,1.0
4255,10233,1.0,1.0
544,12501,0.0,1.0
1147,7744,1.0,1.0
46,5163,0.0,1.0
1145,12199,1.0,1.0
2459,5456,0.0,1.0
4255,7522,1.0,1.0
5166,6593,1.0,1.0
3889,7298,1.0,1.0
4199,6812,0.0,1.0
3102,3621,1.0,1.0
1385,8438,1.0,1.0
2521,3632,1.0,1.0
1332,7681,1.0,1.0
1053,7276,0.0,1.0
6390,7281,1.0,1.0
1632,2838,1.0,1.0
2296,11653,1.0,1.0
262,3703,1.0,1.0
7681,11171,1.0,1.0
2715,11737,0.0,1.0
4126,7733,1.0,1.0
731,11484,0.0,1.0
4358,6162,1.0,1.0
2441,13059,0.0,1.0
4478,6365,1.0,1.0
4565,12054,1.0,1.0
6627,6835,1.0,1.0
287,1054,1.0,1.0
297,7737,1.0,1.0
6087,12934,1.0,1.0
4349,7540,0.0,1.0
4054,6682,1.0,1.0
5189,11307,1.0,1.0
3301,11010,0.0,1.0
8875,11531,0.0,1.0
9305,12719,1.0,1.0
2808,8251,0.0,1.0
4396,10387,1.0,1.0
2372,11353,0.0,1.0
3511,4544,0.0,1.0
7375,12062,1.0,1.0
3505,9738,0.0,1.0
4810,11621,1.0,1.0
3338,11150,1.0,1.0
6452,9278,1.0,1.0
1143,4449,0.0,1.0
4148,6425,1.0,1.0
1832,6927,0.0,1.0
2170,4198,1.0,1.0
1423,8638,1.0,1.0
7356,9049,0.0,1.0
