edge_index0,edge_index1,pred,gr
1802,11054,1.0,1.0
3224,6588,1.0,1.0
388,4278,1.0,1.0
1572,4255,1.0,1.0
5708,8393,1.0,1.0
4306,8045,0.0,1.0
8196,11203,1.0,1.0
5831,10050,1.0,1.0
5961,12816,1.0,1.0
10239,11405,1.0,1.0
5200,12966,1.0,1.0
2120,4735,1.0,1.0
1413,7106,1.0,1.0
7744,8020,1.0,1.0
214,5884,1.0,1.0
907,8775,1.0,1.0
12394,12730,1.0,1.0
2558,11399,1.0,1.0
9101,10308,1.0,1.0
3062,12119,0.0,1.0
6425,11952,1.0,1.0
4651,7880,1.0,1.0
9508,10302,1.0,1.0
1929,3295,1.0,1.0
8144,9496,0.0,1.0
7246,8340,1.0,1.0
3062,8094,1.0,1.0
89,6647,0.0,1.0
3364,3497,1.0,1.0
9035,11542,1.0,1.0
4051,5339,0.0,1.0
5475,10726,1.0,1.0
1378,1806,1.0,1.0
875,6642,1.0,1.0
752,7210,1.0,1.0
2413,10461,0.0,1.0
406,11974,1.0,1.0
321,4051,1.0,1.0
9458,12644,1.0,1.0
7106,8916,1.0,1.0
6180,12319,0.0,1.0
7298,11148,1.0,1.0
8070,8220,1.0,1.0
1703,1957,0.0,1.0
6311,12680,0.0,1.0
3196,5404,1.0,1.0
7058,8218,1.0,1.0
10770,11945,0.0,1.0
1087,10552,1.0,1.0
1,7744,1.0,1.0
2966,9350,0.0,1.0
4247,7015,1.0,1.0
750,1632,1.0,1.0
6262,10966,1.0,1.0
7291,9142,1.0,1.0
6871,12589,0.0,1.0
1604,6559,1.0,1.0
385,11317,1.0,1.0
2428,5138,1.0,1.0
8978,11774,0.0,1.0
5144,8864,1.0,1.0
5138,7919,1.0,1.0
2347,7073,1.0,1.0
178,2882,0.0,1.0
528,10747,1.0,1.0
808,812,1.0,1.0
1813,2957,1.0,1.0
4069,4747,1.0,1.0
6793,7681,1.0,1.0
3668,10070,1.0,1.0
12183,12393,0.0,1.0
8634,11776,0.0,1.0
3332,13105,1.0,1.0
743,4255,1.0,1.0
1242,12721,1.0,1.0
53,4400,1.0,1.0
175,8881,0.0,1.0
7073,12581,1.0,1.0
262,9938,1.0,1.0
7058,8785,1.0,1.0
10813,11133,1.0,1.0
6770,6838,1.0,1.0
48,7797,0.0,1.0
2998,7681,1.0,1.0
4929,7446,1.0,1.0
7977,10656,0.0,1.0
4083,11686,1.0,1.0
5652,6384,1.0,1.0
1448,6147,1.0,1.0
3935,8535,1.0,1.0
9365,12193,1.0,1.0
4637,10504,0.0,1.0
8582,10096,1.0,1.0
3777,6065,1.0,1.0
7390,10478,1.0,1.0
4427,5539,1.0,1.0
7744,10940,1.0,1.0
262,12855,1.0,1.0
4967,6592,0.0,1.0
9419,10357,0.0,1.0
339,1248,1.0,1.0
