edge_index0,edge_index1,pred,gr
8269,9056,1.0,1.0
806,4616,1.0,1.0
3560,9165,1.0,1.0
2864,3921,1.0,1.0
3993,6063,1.0,1.0
1445,4402,1.0,1.0
933,992,1.0,1.0
267,2341,0.0,1.0
1584,5200,0.0,1.0
3948,9111,1.0,1.0
341,664,1.0,1.0
2326,7744,0.0,1.0
5273,7589,0.0,1.0
10007,12397,1.0,1.0
8323,8604,0.0,1.0
10508,12986,1.0,1.0
2071,9134,0.0,1.0
5689,10050,1.0,1.0
10989,12111,0.0,1.0
1416,9816,0.0,1.0
744,11324,1.0,1.0
9959,12690,1.0,1.0
4933,9839,1.0,1.0
6890,7744,0.0,1.0
849,4051,1.0,1.0
8132,12840,1.0,1.0
142,12497,1.0,1.0
434,7950,0.0,1.0
3889,4801,1.0,1.0
1364,3057,0.0,1.0
5182,8810,0.0,1.0
1498,6998,1.0,1.0
2065,6521,1.0,1.0
3381,12707,1.0,1.0
3106,3761,1.0,1.0
6609,10225,0.0,1.0
2284,8613,0.0,1.0
418,9333,1.0,1.0
5771,10002,0.0,1.0
8003,9052,1.0,1.0
6786,6911,0.0,1.0
4612,12704,1.0,1.0
883,5625,1.0,1.0
4361,6829,0.0,1.0
223,12888,1.0,1.0
3652,5278,0.0,1.0
7167,10046,1.0,1.0
175,12766,0.0,1.0
7822,10132,1.0,1.0
9455,11450,1.0,1.0
3525,5048,0.0,1.0
6384,10212,1.0,1.0
1343,6114,0.0,1.0
8858,11442,0.0,1.0
1335,2899,1.0,1.0
3808,7744,1.0,1.0
6564,10416,1.0,1.0
2906,10181,1.0,1.0
9402,12191,1.0,1.0
5888,7681,1.0,1.0
9008,10998,0.0,1.0
3836,10865,1.0,1.0
12217,13070,0.0,1.0
6142,7183,1.0,1.0
1825,12155,1.0,1.0
3689,4038,0.0,1.0
6552,8575,1.0,1.0
69,1604,1.0,1.0
428,12596,0.0,1.0
5331,10222,0.0,1.0
3145,11344,1.0,1.0
3935,7522,1.0,1.0
2106,6935,1.0,1.0
4839,10404,1.0,1.0
4599,10310,1.0,1.0
8,4219,1.0,1.0
2441,10739,1.0,1.0
2307,10517,1.0,1.0
10677,11052,1.0,1.0
2645,9497,1.0,1.0
10420,10605,0.0,1.0
2569,3034,0.0,1.0
1153,7523,1.0,1.0
262,9455,1.0,1.0
3984,10117,1.0,1.0
5837,6728,1.0,1.0
7775,10212,1.0,1.0
2417,7240,1.0,1.0
6477,11194,1.0,1.0
10997,12443,1.0,1.0
3174,7848,1.0,1.0
8540,12426,0.0,1.0
3039,3237,1.0,1.0
7787,12655,1.0,1.0
3830,6795,1.0,1.0
39,12539,0.0,1.0
6263,11129,1.0,1.0
9938,12199,1.0,1.0
699,1604,1.0,1.0
6425,10794,1.0,1.0
5483,5861,1.0,1.0
4493,9215,1.0,1.0
6626,7744,1.0,1.0
4800,12044,1.0,1.0
2656,6114,1.0,1.0
2308,2882,1.0,1.0
459,12334,0.0,1.0
1198,2327,0.0,1.0
6387,7516,1.0,1.0
417,7744,1.0,1.0
406,7695,1.0,1.0
5816,6422,0.0,1.0
904,8381,1.0,1.0
10445,10974,0.0,1.0
2540,11397,0.0,1.0
3253,3470,0.0,1.0
7744,9841,1.0,1.0
2105,5329,1.0,1.0
2927,4358,1.0,1.0
4126,12386,1.0,1.0
4565,7237,1.0,1.0
8016,9805,1.0,1.0
2286,13061,1.0,1.0
576,11640,0.0,1.0
3102,4801,1.0,1.0
7887,8070,1.0,1.0
2574,3756,0.0,1.0
7744,12892,1.0,1.0
5067,10434,0.0,1.0
9818,11614,1.0,1.0
4651,7314,1.0,1.0
1006,3336,1.0,1.0
2345,8292,1.0,1.0
9679,11187,1.0,1.0
2817,10720,1.0,1.0
766,11181,1.0,1.0
3741,9616,0.0,1.0
11680,11794,1.0,1.0
2702,8810,1.0,1.0
264,3643,0.0,1.0
1002,1116,1.0,1.0
3812,11627,1.0,1.0
9278,12823,1.0,1.0
6946,8273,1.0,1.0
4227,5647,1.0,1.0
4678,5492,1.0,1.0
6079,6408,1.0,1.0
2709,5447,0.0,1.0
6446,8845,1.0,1.0
1490,4020,0.0,1.0
1078,8948,0.0,1.0
820,3030,0.0,1.0
5420,11137,1.0,1.0
7142,7365,0.0,1.0
2523,13043,1.0,1.0
4720,8550,0.0,1.0
12324,12887,0.0,1.0
2345,10181,1.0,1.0
8025,12728,1.0,1.0
6485,8311,0.0,1.0
1481,5475,1.0,1.0
2694,4898,1.0,1.0
4414,8479,1.0,1.0
1079,3984,1.0,1.0
2497,5128,0.0,1.0
1478,9433,1.0,1.0
8104,8439,1.0,1.0
2769,10431,0.0,1.0
262,6098,1.0,1.0
3036,5990,1.0,1.0
1604,3577,1.0,1.0
4069,9510,1.0,1.0
1151,10181,1.0,1.0
2009,12441,0.0,1.0
3494,9456,1.0,1.0
3422,7920,1.0,1.0
1132,9247,1.0,1.0
5411,7848,1.0,1.0
6591,10508,1.0,1.0
262,6987,1.0,1.0
5193,9942,1.0,1.0
6128,7015,1.0,1.0
379,3025,1.0,1.0
2983,7375,1.0,1.0
10470,10861,1.0,1.0
4531,12773,0.0,1.0
1080,9195,1.0,1.0
9143,12880,0.0,1.0
3145,12992,1.0,1.0
7200,8986,0.0,1.0
6263,7744,1.0,1.0
5124,5311,1.0,1.0
8115,11529,1.0,1.0
6848,11592,1.0,1.0
10720,11592,1.0,1.0
5334,10320,0.0,1.0
219,11946,1.0,1.0
1632,6206,1.0,1.0
1453,3862,0.0,1.0
6810,11902,1.0,1.0
4428,9651,1.0,1.0
1090,11544,1.0,1.0
2683,2934,0.0,1.0
5595,9043,0.0,1.0
5306,8549,0.0,1.0
4364,7744,1.0,1.0
5235,7611,1.0,1.0
11950,12755,0.0,1.0
7534,9545,0.0,1.0
3739,7522,1.0,1.0
8749,10086,0.0,1.0
4511,8201,1.0,1.0
5302,9232,1.0,1.0
5521,10430,0.0,1.0
2864,4011,0.0,1.0
613,4522,0.0,1.0
4917,12182,1.0,1.0
889,8479,1.0,1.0
6380,11772,0.0,1.0
2950,3984,1.0,1.0
763,7522,1.0,1.0
7862,10994,0.0,1.0
8893,10128,0.0,1.0
2770,7681,1.0,1.0
3025,5470,1.0,1.0
11456,12982,1.0,1.0
7528,9469,0.0,1.0
806,12741,1.0,1.0
4623,8397,1.0,1.0
6442,7656,0.0,1.0
1698,11073,0.0,1.0
10460,10941,0.0,1.0
5623,11181,1.0,1.0
4197,11164,1.0,1.0
1603,7744,1.0,1.0
3200,6308,1.0,1.0
7681,8762,1.0,1.0
5322,6241,1.0,1.0
3311,9956,1.0,1.0
1070,6263,1.0,1.0
1146,12014,1.0,1.0
4036,6552,1.0,1.0
2138,4606,1.0,1.0
2965,3262,1.0,1.0
331,11348,1.0,1.0
4565,7594,1.0,1.0
6441,12154,0.0,1.0
5863,7611,1.0,1.0
1865,7744,1.0,1.0
1436,9439,1.0,1.0
1006,12474,1.0,1.0
3928,13029,0.0,1.0
3985,7172,1.0,1.0
2618,9220,1.0,1.0
262,12700,1.0,1.0
11686,12102,1.0,1.0
368,2749,0.0,1.0
5664,9716,1.0,1.0
3062,11011,1.0,1.0
2774,8563,1.0,1.0
2645,11454,1.0,1.0
