edge_index0,edge_index1,pred,gr
337,505,0.0,1.0
159,2327,0.0,1.0
122,1743,1.0,1.0
358,594,0.0,1.0
474,702,0.0,1.0
956,1631,0.0,1.0
1043,1191,0.0,1.0
326,343,0.0,1.0
1162,1853,1.0,1.0
89,133,0.0,1.0
17,143,0.0,1.0
69,1596,0.0,1.0
1550,2409,1.0,1.0
134,135,1.0,1.0
73,821,0.0,1.0
171,1406,0.0,1.0
15,506,0.0,1.0
807,1063,1.0,1.0
687,1562,0.0,1.0
1804,2154,0.0,1.0
1427,1489,1.0,1.0
575,2311,0.0,1.0
1065,1089,0.0,1.0
126,506,1.0,1.0
675,1572,1.0,1.0
45,209,0.0,1.0
1241,2392,1.0,1.0
534,2298,1.0,1.0
323,1230,1.0,1.0
550,1684,0.0,1.0
1016,1089,0.0,1.0
1281,1475,0.0,1.0
195,564,0.0,1.0
435,455,0.0,1.0
1012,1050,0.0,1.0
133,2300,1.0,1.0
96,1184,0.0,1.0
104,846,0.0,1.0
858,924,1.0,1.0
1168,1375,1.0,1.0
1120,1277,0.0,1.0
378,1960,0.0,1.0
1454,1791,1.0,1.0
2315,2446,1.0,1.0
643,1459,0.0,1.0
695,1573,1.0,1.0
18,700,1.0,1.0
2393,2463,0.0,1.0
1004,1045,0.0,1.0
201,307,0.0,1.0
18,839,1.0,1.0
894,1209,0.0,1.0
386,2380,0.0,1.0
169,2228,0.0,1.0
20,603,0.0,1.0
159,1480,0.0,1.0
1336,1340,0.0,1.0
1690,2041,0.0,1.0
1775,1777,0.0,1.0
2208,2309,1.0,1.0
417,649,0.0,1.0
355,2032,0.0,1.0
288,520,0.0,1.0
1832,2318,0.0,1.0
1754,2228,0.0,1.0
73,2162,0.0,1.0
520,632,1.0,1.0
693,1145,0.0,1.0
901,1162,1.0,1.0
999,1772,1.0,1.0
173,572,0.0,1.0
26,702,0.0,1.0
1084,1171,1.0,1.0
1537,2226,0.0,1.0
2011,2071,0.0,1.0
499,1407,0.0,1.0
2055,2363,0.0,1.0
1151,1401,0.0,1.0
1747,1834,1.0,1.0
702,717,0.0,1.0
1047,1994,0.0,1.0
1312,1408,0.0,1.0
1525,2170,0.0,1.0
860,1087,0.0,1.0
958,1077,0.0,1.0
159,1384,1.0,1.0
1373,1598,0.0,1.0
41,1635,0.0,1.0
538,1187,1.0,1.0
1089,1581,0.0,1.0
647,787,1.0,1.0
791,1128,0.0,1.0
964,1260,0.0,1.0
2073,2321,0.0,1.0
768,831,0.0,1.0
1045,1232,0.0,1.0
2315,2373,0.0,1.0
1437,2239,0.0,1.0
265,489,1.0,1.0
1145,1555,0.0,1.0
75,2335,0.0,1.0
56,732,0.0,1.0
154,1459,0.0,1.0
393,1238,1.0,1.0
64,698,1.0,1.0
1890,2438,0.0,1.0
386,1508,0.0,1.0
785,1864,0.0,1.0
236,602,0.0,1.0
10,186,1.0,1.0
82,939,1.0,1.0
