edge_index0,edge_index1,pred,gr
1961,2307,1.0,1.0
323,1485,1.0,1.0
530,632,1.0,1.0
327,424,1.0,1.0
1097,1415,1.0,1.0
1425,1700,1.0,1.0
727,1591,1.0,1.0
205,2204,1.0,1.0
991,1005,1.0,1.0
159,719,1.0,1.0
159,1593,1.0,1.0
425,1920,1.0,1.0
168,278,1.0,1.0
1046,1253,1.0,1.0
1687,2019,1.0,1.0
517,633,1.0,1.0
2004,2396,1.0,1.0
126,2263,1.0,1.0
548,1414,1.0,1.0
1942,2410,1.0,1.0
936,1985,1.0,1.0
901,2395,1.0,1.0
1688,1798,1.0,1.0
296,1504,1.0,1.0
190,1381,1.0,1.0
95,2477,1.0,1.0
216,245,1.0,1.0
295,502,1.0,1.0
799,1385,1.0,1.0
944,1268,1.0,1.0
548,869,1.0,1.0
958,1074,1.0,1.0
159,2456,1.0,1.0
1346,1459,1.0,1.0
537,1616,1.0,1.0
2241,2309,1.0,1.0
1486,1557,1.0,1.0
684,889,1.0,1.0
1521,1526,1.0,1.0
753,1074,1.0,1.0
539,1659,1.0,1.0
1098,1533,1.0,1.0
2092,2094,1.0,1.0
306,309,1.0,1.0
1076,2483,1.0,1.0
275,459,1.0,1.0
620,654,1.0,1.0
154,720,1.0,1.0
1053,1181,1.0,1.0
601,733,1.0,1.0
724,1213,1.0,1.0
65,1441,1.0,1.0
2235,2315,1.0,1.0
300,1105,1.0,1.0
2028,2105,1.0,1.0
2193,2402,1.0,1.0
2016,2092,1.0,1.0
700,2163,1.0,1.0
374,402,1.0,1.0
520,693,1.0,1.0
1983,2317,1.0,1.0
1017,2277,1.0,1.0
234,1190,1.0,1.0
1765,2018,1.0,1.0
1015,1025,1.0,1.0
1001,1183,1.0,1.0
109,540,1.0,1.0
103,562,1.0,1.0
178,364,1.0,1.0
1178,1630,1.0,1.0
386,2391,1.0,1.0
300,2246,1.0,1.0
628,2370,1.0,1.0
601,2342,1.0,1.0
1286,2289,1.0,1.0
2066,2426,1.0,1.0
374,1180,1.0,1.0
283,1941,1.0,1.0
601,2280,1.0,1.0
85,237,1.0,1.0
1645,2029,1.0,1.0
389,856,1.0,1.0
375,523,1.0,1.0
347,520,1.0,1.0
181,673,1.0,1.0
474,2337,1.0,1.0
951,1000,1.0,1.0
355,1186,1.0,1.0
15,222,1.0,1.0
1854,2165,1.0,1.0
816,839,1.0,1.0
553,1000,1.0,1.0
159,1695,1.0,1.0
1839,2188,1.0,1.0
875,1542,1.0,1.0
544,1614,1.0,1.0
900,1208,1.0,1.0
553,2119,1.0,1.0
278,522,1.0,1.0
799,1515,1.0,1.0
404,1983,1.0,1.0
1030,1216,1.0,1.0
1404,1438,1.0,1.0
1725,2204,1.0,1.0
141,1958,1.0,1.0
1694,2109,1.0,1.0
533,2455,1.0,1.0
2282,2283,1.0,1.0
575,1405,1.0,1.0
220,577,1.0,1.0
1990,2227,1.0,1.0
493,1582,1.0,1.0
761,866,1.0,1.0
155,2013,1.0,1.0
460,517,1.0,1.0
1705,1891,1.0,1.0
1871,1884,1.0,1.0
119,2220,1.0,1.0
2419,2441,1.0,1.0
402,1699,1.0,1.0
73,1042,1.0,1.0
18,1810,1.0,1.0
472,1662,1.0,1.0
813,2309,1.0,1.0
1097,1414,1.0,1.0
51,726,1.0,1.0
1299,1629,1.0,1.0
516,520,1.0,1.0
266,432,1.0,1.0
105,846,1.0,1.0
333,702,1.0,1.0
947,965,1.0,1.0
684,1232,1.0,1.0
2019,2380,1.0,1.0
670,975,1.0,1.0
29,301,1.0,1.0
2362,2392,1.0,1.0
534,2443,1.0,1.0
215,2146,1.0,1.0
1374,1386,1.0,1.0
425,826,1.0,1.0
1830,2061,1.0,1.0
1550,2189,1.0,1.0
322,439,1.0,1.0
1918,2476,1.0,1.0
402,1844,1.0,1.0
208,2363,1.0,1.0
317,553,1.0,1.0
1203,1230,1.0,1.0
673,2312,1.0,1.0
2003,2008,1.0,1.0
1570,1601,1.0,1.0
283,1963,1.0,1.0
238,647,1.0,1.0
246,582,1.0,1.0
321,1458,1.0,1.0
77,204,1.0,1.0
1109,1430,1.0,1.0
1186,1622,1.0,1.0
18,402,1.0,1.0
595,1791,1.0,1.0
1852,2042,1.0,1.0
455,704,1.0,1.0
1233,1236,1.0,1.0
493,519,1.0,1.0
586,1003,1.0,1.0
402,2088,1.0,1.0
710,1919,1.0,1.0
452,628,1.0,1.0
1243,1277,1.0,1.0
533,1675,1.0,1.0
629,918,1.0,1.0
766,1019,1.0,1.0
143,402,1.0,1.0
534,1365,1.0,1.0
859,1277,1.0,1.0
194,259,1.0,1.0
75,2154,1.0,1.0
263,306,1.0,1.0
126,1630,1.0,1.0
739,812,1.0,1.0
830,1434,1.0,1.0
196,1405,1.0,1.0
1733,2338,1.0,1.0
352,526,1.0,1.0
93,410,1.0,1.0
1669,1687,1.0,1.0
182,1958,1.0,1.0
1093,1459,1.0,1.0
1961,2372,1.0,1.0
783,2077,1.0,1.0
1859,2346,1.0,1.0
700,1608,1.0,1.0
548,1064,1.0,1.0
296,1628,1.0,1.0
404,2300,1.0,1.0
1974,2388,1.0,1.0
94,411,1.0,1.0
170,702,1.0,1.0
818,1555,1.0,1.0
778,1375,1.0,1.0
639,702,1.0,1.0
542,2289,1.0,1.0
526,1896,1.0,1.0
389,1106,1.0,1.0
783,2281,1.0,1.0
628,2100,1.0,1.0
1110,1592,1.0,1.0
992,1515,1.0,1.0
424,484,1.0,1.0
126,2188,1.0,1.0
354,1584,1.0,1.0
510,733,1.0,1.0
533,1356,1.0,1.0
1158,1167,1.0,1.0
1019,1246,1.0,1.0
1907,1961,1.0,1.0
126,2006,1.0,1.0
1399,1401,1.0,1.0
960,1247,1.0,1.0
59,1431,1.0,1.0
1206,1444,1.0,1.0
507,1142,1.0,1.0
159,1968,1.0,1.0
363,2387,1.0,1.0
2196,2218,1.0,1.0
159,735,1.0,1.0
139,218,1.0,1.0
1360,1363,1.0,1.0
869,870,1.0,1.0
65,1970,1.0,1.0
633,871,1.0,1.0
1373,1589,1.0,1.0
438,534,1.0,1.0
1213,1225,1.0,1.0
555,2073,1.0,1.0
278,556,1.0,1.0
1404,1442,1.0,1.0
1343,1690,1.0,1.0
493,2227,1.0,1.0
1087,1248,1.0,1.0
489,2058,1.0,1.0
1735,2296,1.0,1.0
2050,2436,1.0,1.0
533,1523,1.0,1.0
1621,2232,1.0,1.0
1221,2114,1.0,1.0
845,1170,1.0,1.0
278,1356,1.0,1.0
1750,1961,1.0,1.0
858,1152,1.0,1.0
760,813,1.0,1.0
1174,1431,1.0,1.0
84,358,1.0,1.0
1962,1986,1.0,1.0
1691,1861,1.0,1.0
73,568,1.0,1.0
