edge_index0,edge_index1,pred,gr
1491,2216,1.0,1.0
2051,2482,1.0,1.0
27,82,0.0,1.0
1225,1500,0.0,1.0
189,603,0.0,1.0
218,1212,0.0,1.0
537,1202,1.0,1.0
520,650,1.0,1.0
144,451,0.0,1.0
1732,1848,0.0,1.0
1745,2443,0.0,1.0
576,1273,0.0,1.0
154,2341,0.0,1.0
235,394,1.0,1.0
2134,2391,0.0,1.0
2017,2336,0.0,1.0
520,693,1.0,1.0
510,702,1.0,1.0
739,1425,0.0,1.0
831,2242,0.0,1.0
159,2354,1.0,1.0
386,483,0.0,1.0
718,2469,1.0,1.0
2197,2198,1.0,1.0
451,2427,0.0,1.0
1499,1605,1.0,1.0
828,1389,0.0,1.0
162,520,1.0,1.0
1390,1391,1.0,1.0
893,1253,0.0,1.0
902,912,0.0,1.0
209,462,0.0,1.0
527,1704,0.0,1.0
1011,1431,1.0,1.0
16,1601,0.0,1.0
11,587,1.0,1.0
1186,2016,1.0,1.0
46,285,1.0,1.0
926,1637,1.0,1.0
1687,2019,1.0,1.0
643,733,0.0,1.0
2322,2358,0.0,1.0
126,2263,1.0,1.0
16,438,0.0,1.0
586,1815,0.0,1.0
404,1684,0.0,1.0
766,1067,1.0,1.0
73,2114,0.0,1.0
135,1619,1.0,1.0
603,2289,1.0,1.0
576,986,0.0,1.0
1990,2227,0.0,1.0
1149,1440,1.0,1.0
142,365,0.0,1.0
239,1703,1.0,1.0
208,797,1.0,1.0
25,1779,0.0,1.0
1892,1935,1.0,1.0
1893,2012,0.0,1.0
77,528,0.0,1.0
881,950,0.0,1.0
2164,2405,0.0,1.0
1052,1600,0.0,1.0
1168,1432,0.0,1.0
1076,2483,0.0,1.0
1470,1543,0.0,1.0
766,984,1.0,1.0
238,278,0.0,1.0
1079,1104,0.0,1.0
1811,2445,0.0,1.0
566,2161,0.0,1.0
1800,2245,1.0,1.0
772,1083,0.0,1.0
380,1213,1.0,1.0
215,410,0.0,1.0
673,1060,0.0,1.0
212,645,0.0,1.0
221,560,1.0,1.0
436,541,0.0,1.0
1984,2115,0.0,1.0
159,1009,1.0,1.0
287,1378,1.0,1.0
951,1000,1.0,1.0
1404,1442,0.0,1.0
1012,1542,1.0,1.0
1985,2061,0.0,1.0
1286,2009,0.0,1.0
1484,1503,0.0,1.0
263,308,0.0,1.0
665,1054,1.0,1.0
702,725,1.0,1.0
951,1114,0.0,1.0
1846,2145,0.0,1.0
197,702,0.0,1.0
159,1901,1.0,1.0
41,1850,1.0,1.0
990,2374,0.0,1.0
289,522,0.0,1.0
1726,2470,0.0,1.0
374,402,0.0,1.0
658,702,1.0,1.0
889,956,1.0,1.0
354,2264,0.0,1.0
1838,2414,1.0,1.0
1117,1432,0.0,1.0
159,1205,0.0,1.0
1052,1055,1.0,1.0
173,572,0.0,1.0
827,1486,1.0,1.0
1187,1431,1.0,1.0
806,1089,1.0,1.0
95,1828,0.0,1.0
1329,2055,1.0,1.0
1993,2020,1.0,1.0
159,570,0.0,1.0
1085,1444,0.0,1.0
2308,2310,0.0,1.0
876,2259,0.0,1.0
1883,2053,0.0,1.0
41,1617,1.0,1.0
601,2342,1.0,1.0
1260,1264,0.0,1.0
1043,1191,0.0,1.0
324,1534,0.0,1.0
65,1602,0.0,1.0
1179,1180,1.0,1.0
1050,1525,0.0,1.0
950,1018,0.0,1.0
760,1368,1.0,1.0
1844,2440,0.0,1.0
831,1135,1.0,1.0
700,1810,1.0,1.0
1673,1870,0.0,1.0
1275,2457,0.0,1.0
1701,2214,1.0,1.0
997,1143,0.0,1.0
355,2429,0.0,1.0
2000,2266,1.0,1.0
1477,1588,1.0,1.0
1148,1226,1.0,1.0
1066,1216,1.0,1.0
520,607,0.0,1.0
402,2091,0.0,1.0
61,2288,1.0,1.0
260,436,0.0,1.0
98,1050,0.0,1.0
92,713,1.0,1.0
324,635,0.0,1.0
1877,2154,1.0,1.0
43,702,0.0,1.0
858,1055,0.0,1.0
1903,2247,0.0,1.0
999,1772,0.0,1.0
421,534,0.0,1.0
59,1613,1.0,1.0
879,1420,1.0,1.0
1279,1349,0.0,1.0
142,2110,0.0,1.0
493,2351,0.0,1.0
15,126,1.0,1.0
526,2445,0.0,1.0
185,395,1.0,1.0
1921,1923,0.0,1.0
1049,1264,1.0,1.0
524,2185,1.0,1.0
819,1297,0.0,1.0
2349,2403,1.0,1.0
1919,2067,0.0,1.0
207,354,0.0,1.0
1209,1512,1.0,1.0
282,385,0.0,1.0
181,493,0.0,1.0
1619,1850,1.0,1.0
1303,1519,0.0,1.0
1617,1858,0.0,1.0
1622,2188,0.0,1.0
897,1321,1.0,1.0
1846,2319,0.0,1.0
595,1791,0.0,1.0
533,832,1.0,1.0
1682,2161,1.0,1.0
73,186,0.0,1.0
127,431,0.0,1.0
1503,1670,0.0,1.0
700,2254,0.0,1.0
557,633,1.0,1.0
77,720,0.0,1.0
80,279,0.0,1.0
1600,1757,1.0,1.0
544,1187,1.0,1.0
1974,2048,0.0,1.0
222,702,0.0,1.0
121,124,1.0,1.0
1670,2343,0.0,1.0
41,91,0.0,1.0
195,702,1.0,1.0
769,1144,1.0,1.0
450,709,0.0,1.0
228,717,0.0,1.0
82,896,1.0,1.0
65,68,0.0,1.0
159,806,1.0,1.0
226,461,1.0,1.0
1155,1258,0.0,1.0
586,1003,0.0,1.0
803,959,0.0,1.0
629,2232,1.0,1.0
841,1619,1.0,1.0
402,1456,0.0,1.0
789,1406,0.0,1.0
1172,1174,1.0,1.0
154,1370,1.0,1.0
826,947,0.0,1.0
89,1188,0.0,1.0
1503,1748,1.0,1.0
300,417,0.0,1.0
486,600,0.0,1.0
1343,1690,0.0,1.0
2409,2411,1.0,1.0
635,2050,0.0,1.0
194,696,0.0,1.0
1064,1144,0.0,1.0
1830,2055,0.0,1.0
632,1507,0.0,1.0
80,288,1.0,1.0
402,1042,0.0,1.0
216,1596,0.0,1.0
2297,2409,1.0,1.0
936,1162,1.0,1.0
1195,1484,1.0,1.0
778,1514,0.0,1.0
1649,2005,0.0,1.0
133,1041,1.0,1.0
1938,2404,0.0,1.0
208,2363,0.0,1.0
478,2348,1.0,1.0
1089,1581,0.0,1.0
1667,2345,0.0,1.0
402,2088,0.0,1.0
292,702,0.0,1.0
65,1999,0.0,1.0
964,1260,0.0,1.0
395,411,0.0,1.0
612,1465,0.0,1.0
434,1550,0.0,1.0
400,533,0.0,1.0
207,1218,0.0,1.0
382,1225,0.0,1.0
628,2062,1.0,1.0
858,1237,1.0,1.0
423,2450,0.0,1.0
1074,1483,0.0,1.0
1079,1171,0.0,1.0
1278,1546,0.0,1.0
1239,1561,0.0,1.0
1190,1947,1.0,1.0
1143,1176,0.0,1.0
1170,1437,1.0,1.0
1251,2253,1.0,1.0
216,848,0.0,1.0
601,1121,0.0,1.0
422,899,0.0,1.0
1209,1210,1.0,1.0
324,2386,0.0,1.0
224,1524,0.0,1.0
215,280,0.0,1.0
402,1886,0.0,1.0
1553,1588,0.0,1.0
149,1306,0.0,1.0
460,517,0.0,1.0
571,773,1.0,1.0
978,1128,0.0,1.0
615,1189,0.0,1.0
828,963,0.0,1.0
413,601,0.0,1.0
544,1702,1.0,1.0
487,2318,0.0,1.0
159,882,0.0,1.0
444,520,0.0,1.0
125,278,1.0,1.0
1914,1915,1.0,1.0
1375,1379,0.0,1.0
2157,2399,1.0,1.0
646,1092,1.0,1.0
1060,1444,0.0,1.0
66,685,0.0,1.0
1731,1848,0.0,1.0
548,1147,0.0,1.0
