edge_index0,edge_index1,pred,gr
599,2469,1.0,1.0
458,1206,0.0,1.0
1617,1996,1.0,1.0
428,633,1.0,1.0
2282,2283,0.0,1.0
520,527,1.0,1.0
1197,1729,0.0,1.0
208,1324,0.0,1.0
1887,1996,0.0,1.0
133,2219,0.0,1.0
402,1042,0.0,1.0
589,646,0.0,1.0
167,598,1.0,1.0
451,2427,0.0,1.0
547,575,0.0,1.0
2171,2484,0.0,1.0
764,1019,1.0,1.0
198,598,1.0,1.0
1797,2220,0.0,1.0
1765,2018,0.0,1.0
897,1462,1.0,1.0
820,1591,0.0,1.0
1093,1459,1.0,1.0
1195,1569,0.0,1.0
896,1171,1.0,1.0
241,721,0.0,1.0
530,632,0.0,1.0
1468,2034,0.0,1.0
72,702,0.0,1.0
703,1806,0.0,1.0
20,603,0.0,1.0
918,1018,1.0,1.0
1226,1313,0.0,1.0
848,1274,0.0,1.0
2147,2320,0.0,1.0
727,1549,0.0,1.0
112,1996,1.0,1.0
1251,2253,1.0,1.0
1002,1089,1.0,1.0
1691,1878,0.0,1.0
494,1372,0.0,1.0
156,1743,0.0,1.0
2157,2395,0.0,1.0
80,533,1.0,1.0
1010,1254,1.0,1.0
557,972,1.0,1.0
889,956,1.0,1.0
141,416,0.0,1.0
1593,1640,1.0,1.0
890,1260,0.0,1.0
550,1415,0.0,1.0
889,1383,0.0,1.0
414,1790,0.0,1.0
437,493,0.0,1.0
1520,1526,1.0,1.0
815,879,1.0,1.0
159,420,1.0,1.0
2087,2174,0.0,1.0
519,2050,0.0,1.0
73,817,0.0,1.0
629,2466,0.0,1.0
1839,2188,0.0,1.0
159,1841,1.0,1.0
2,520,1.0,1.0
951,1486,1.0,1.0
335,1470,0.0,1.0
2027,2141,0.0,1.0
324,1360,1.0,1.0
109,540,1.0,1.0
942,1277,0.0,1.0
542,1902,1.0,1.0
1073,1362,1.0,1.0
278,601,0.0,1.0
1038,1110,0.0,1.0
951,952,0.0,1.0
344,533,0.0,1.0
50,147,1.0,1.0
1095,1606,0.0,1.0
1171,2359,0.0,1.0
527,2168,0.0,1.0
1044,2182,0.0,1.0
1289,2198,1.0,1.0
850,909,1.0,1.0
1279,1349,0.0,1.0
87,639,0.0,1.0
135,1617,1.0,1.0
73,821,0.0,1.0
1737,1778,0.0,1.0
339,2308,1.0,1.0
191,402,0.0,1.0
450,581,0.0,1.0
464,533,0.0,1.0
526,853,0.0,1.0
863,2198,0.0,1.0
2205,2451,0.0,1.0
236,471,0.0,1.0
1095,2442,0.0,1.0
1040,1253,0.0,1.0
1085,1444,1.0,1.0
45,209,0.0,1.0
354,553,1.0,1.0
1444,1464,0.0,1.0
464,2150,1.0,1.0
263,308,1.0,1.0
693,1115,0.0,1.0
1424,1577,0.0,1.0
1851,1936,0.0,1.0
20,253,1.0,1.0
1321,2400,1.0,1.0
833,1142,1.0,1.0
277,362,0.0,1.0
533,727,0.0,1.0
951,1114,0.0,1.0
205,655,0.0,1.0
895,1516,1.0,1.0
159,1138,0.0,1.0
551,1206,1.0,1.0
351,788,1.0,1.0
425,1950,1.0,1.0
402,1485,1.0,1.0
493,858,0.0,1.0
154,922,0.0,1.0
169,473,0.0,1.0
390,1682,0.0,1.0
208,1640,0.0,1.0
24,39,0.0,1.0
73,957,0.0,1.0
442,450,0.0,1.0
726,2007,0.0,1.0
1789,1861,1.0,1.0
1902,2185,1.0,1.0
145,432,0.0,1.0
256,541,0.0,1.0
1281,1475,0.0,1.0
159,683,1.0,1.0
892,1508,0.0,1.0
827,1557,1.0,1.0
738,796,0.0,1.0
290,1890,0.0,1.0
215,2146,0.0,1.0
1937,2404,0.0,1.0
786,1006,1.0,1.0
2265,2331,0.0,1.0
737,1253,0.0,1.0
154,1953,1.0,1.0
1148,1226,1.0,1.0
271,603,0.0,1.0
31,1054,1.0,1.0
190,1381,0.0,1.0
591,702,0.0,1.0
1342,2381,0.0,1.0
611,1549,0.0,1.0
376,414,0.0,1.0
799,1515,1.0,1.0
412,530,0.0,1.0
747,1008,1.0,1.0
14,31,1.0,1.0
57,520,1.0,1.0
598,613,1.0,1.0
636,1030,1.0,1.0
390,493,1.0,1.0
1793,1945,1.0,1.0
1437,1776,1.0,1.0
905,1220,0.0,1.0
673,1760,0.0,1.0
159,1094,1.0,1.0
1666,2177,0.0,1.0
1988,2022,0.0,1.0
241,396,0.0,1.0
2110,2116,1.0,1.0
10,489,1.0,1.0
1312,1408,0.0,1.0
1062,1474,1.0,1.0
405,1983,0.0,1.0
52,450,0.0,1.0
642,645,0.0,1.0
575,1275,0.0,1.0
516,1744,0.0,1.0
59,1613,1.0,1.0
1329,1689,0.0,1.0
858,1481,1.0,1.0
1722,2023,1.0,1.0
575,1042,0.0,1.0
2013,2473,0.0,1.0
1647,2359,0.0,1.0
718,2469,1.0,1.0
137,305,0.0,1.0
1987,2320,1.0,1.0
617,618,0.0,1.0
1074,1483,0.0,1.0
1050,1525,0.0,1.0
2080,2182,0.0,1.0
932,1668,0.0,1.0
328,1504,1.0,1.0
687,1368,0.0,1.0
280,601,0.0,1.0
333,402,1.0,1.0
1123,1218,0.0,1.0
58,2306,0.0,1.0
278,438,1.0,1.0
1218,2010,0.0,1.0
1084,1272,1.0,1.0
799,1320,1.0,1.0
