edge_index0,edge_index1,pred,gr
571,994,0.0,1.0
1588,1628,1.0,1.0
1160,1522,1.0,1.0
1096,1520,0.0,1.0
722,726,0.0,1.0
2066,2426,0.0,1.0
2004,2396,0.0,1.0
928,2400,0.0,1.0
1863,1967,0.0,1.0
1083,1582,0.0,1.0
102,1251,1.0,1.0
595,2317,0.0,1.0
159,377,0.0,1.0
847,1472,0.0,1.0
404,1543,0.0,1.0
287,402,0.0,1.0
1415,2267,0.0,1.0
1621,1984,0.0,1.0
588,659,0.0,1.0
402,1325,1.0,1.0
384,2380,0.0,1.0
380,1500,1.0,1.0
1911,2202,0.0,1.0
220,577,1.0,1.0
1172,1435,1.0,1.0
1116,1677,0.0,1.0
43,544,0.0,1.0
642,1745,0.0,1.0
244,254,0.0,1.0
564,702,1.0,1.0
592,1447,1.0,1.0
324,1196,0.0,1.0
776,1528,0.0,1.0
25,428,0.0,1.0
588,620,0.0,1.0
601,1991,0.0,1.0
1053,1181,1.0,1.0
48,681,0.0,1.0
1669,1687,1.0,1.0
159,2399,0.0,1.0
1838,2414,1.0,1.0
335,700,0.0,1.0
516,533,1.0,1.0
450,493,0.0,1.0
1459,1463,1.0,1.0
640,2136,0.0,1.0
1086,1773,0.0,1.0
1168,1401,0.0,1.0
1114,1477,1.0,1.0
1081,2248,0.0,1.0
286,401,0.0,1.0
738,796,0.0,1.0
1197,1986,1.0,1.0
1782,2304,0.0,1.0
57,533,1.0,1.0
1127,1536,1.0,1.0
126,159,1.0,1.0
516,1744,0.0,1.0
1082,1248,0.0,1.0
575,1405,0.0,1.0
159,747,1.0,1.0
43,702,0.0,1.0
1562,1709,0.0,1.0
61,891,0.0,1.0
1520,1521,1.0,1.0
699,1892,1.0,1.0
159,1285,1.0,1.0
156,1743,1.0,1.0
227,1301,0.0,1.0
798,972,0.0,1.0
55,1787,0.0,1.0
747,1137,1.0,1.0
75,2211,0.0,1.0
22,2090,0.0,1.0
1655,1729,1.0,1.0
1130,1223,0.0,1.0
989,1103,0.0,1.0
1550,2228,0.0,1.0
1395,2165,0.0,1.0
1061,1400,0.0,1.0
493,2351,0.0,1.0
1965,2416,0.0,1.0
700,1092,1.0,1.0
378,1960,0.0,1.0
1410,1634,0.0,1.0
159,2397,0.0,1.0
28,1514,0.0,1.0
425,1896,0.0,1.0
218,402,1.0,1.0
587,620,0.0,1.0
1347,2243,0.0,1.0
1312,1408,0.0,1.0
661,702,0.0,1.0
1142,1371,0.0,1.0
270,2031,1.0,1.0
159,566,0.0,1.0
14,512,1.0,1.0
1379,1563,0.0,1.0
647,1177,0.0,1.0
64,698,1.0,1.0
440,844,0.0,1.0
1051,1089,1.0,1.0
528,695,0.0,1.0
870,1164,1.0,1.0
231,533,0.0,1.0
159,2325,1.0,1.0
928,1550,1.0,1.0
520,522,1.0,1.0
21,535,0.0,1.0
300,2137,0.0,1.0
1064,1414,1.0,1.0
766,1019,1.0,1.0
2137,2381,0.0,1.0
355,1677,0.0,1.0
395,2049,0.0,1.0
1010,1220,1.0,1.0
739,1700,1.0,1.0
779,857,1.0,1.0
547,702,0.0,1.0
710,1324,0.0,1.0
2198,2321,1.0,1.0
1792,2301,0.0,1.0
1329,2055,0.0,1.0
1086,1087,1.0,1.0
425,965,1.0,1.0
1671,1886,0.0,1.0
1262,2128,0.0,1.0
0,407,1.0,1.0
1617,2319,1.0,1.0
1170,1171,1.0,1.0
1537,2226,0.0,1.0
36,1930,0.0,1.0
65,146,0.0,1.0
702,733,1.0,1.0
842,1188,0.0,1.0
533,1523,1.0,1.0
142,2124,1.0,1.0
460,517,0.0,1.0
159,2428,0.0,1.0
1239,1530,0.0,1.0
684,956,1.0,1.0
2309,2314,1.0,1.0
533,953,1.0,1.0
1232,1483,0.0,1.0
2148,2194,0.0,1.0
159,2116,0.0,1.0
646,1604,1.0,1.0
279,1936,0.0,1.0
508,567,1.0,1.0
1697,2382,0.0,1.0
80,1358,0.0,1.0
1170,1437,0.0,1.0
1056,1450,0.0,1.0
263,308,0.0,1.0
159,1009,0.0,1.0
1917,1953,0.0,1.0
811,1350,0.0,1.0
98,2468,0.0,1.0
761,984,1.0,1.0
208,711,0.0,1.0
393,1198,0.0,1.0
1594,1638,0.0,1.0
213,562,0.0,1.0
1971,2295,0.0,1.0
526,1812,1.0,1.0
306,314,1.0,1.0
327,940,0.0,1.0
1144,1460,0.0,1.0
488,720,1.0,1.0
1241,2269,1.0,1.0
159,184,1.0,1.0
159,1214,1.0,1.0
1253,1332,1.0,1.0
903,1329,0.0,1.0
390,1682,1.0,1.0
216,848,0.0,1.0
1074,1258,0.0,1.0
354,371,0.0,1.0
1260,1262,1.0,1.0
163,1654,0.0,1.0
1726,2470,1.0,1.0
488,2335,1.0,1.0
104,1815,0.0,1.0
2237,2320,1.0,1.0
2276,2401,0.0,1.0
1396,1879,0.0,1.0
633,1902,1.0,1.0
533,858,0.0,1.0
2,533,0.0,1.0
52,2378,1.0,1.0
244,375,0.0,1.0
926,943,0.0,1.0
132,615,0.0,1.0
1302,1519,0.0,1.0
1537,2395,0.0,1.0
1981,2042,1.0,1.0
324,1894,1.0,1.0
524,579,0.0,1.0
842,1106,0.0,1.0
412,530,0.0,1.0
251,712,1.0,1.0
831,1331,1.0,1.0
1437,2239,0.0,1.0
1032,1943,1.0,1.0
106,1223,0.0,1.0
1346,1459,1.0,1.0
1801,1809,1.0,1.0
756,1570,0.0,1.0
1719,2161,0.0,1.0
75,819,0.0,1.0
1492,1994,1.0,1.0
989,1499,0.0,1.0
425,1955,1.0,1.0
1766,1768,1.0,1.0
1668,1773,0.0,1.0
234,1055,1.0,1.0
779,1776,1.0,1.0
215,1244,1.0,1.0
2248,2451,0.0,1.0
2080,2182,0.0,1.0
1816,2135,0.0,1.0
1500,1636,0.0,1.0
598,621,0.0,1.0
408,598,0.0,1.0
58,2306,0.0,1.0
159,1757,1.0,1.0
1810,1886,0.0,1.0
612,1465,0.0,1.0
750,1551,0.0,1.0
124,2063,0.0,1.0
1133,1170,0.0,1.0
148,1503,0.0,1.0
1862,2323,1.0,1.0
576,2368,1.0,1.0
1721,1787,0.0,1.0
954,995,1.0,1.0
518,537,0.0,1.0
14,407,1.0,1.0
1196,1417,0.0,1.0
885,2032,0.0,1.0
183,336,1.0,1.0
189,603,0.0,1.0
13,546,0.0,1.0
747,1065,0.0,1.0
1791,2460,1.0,1.0
390,1723,0.0,1.0
451,1277,0.0,1.0
881,1276,0.0,1.0
530,632,0.0,1.0
785,1688,1.0,1.0
86,404,0.0,1.0
2073,2232,1.0,1.0
18,1810,0.0,1.0
352,43,0.0,0.0
673,2456,0.0,0.0
465,888,0.0,0.0
1324,1968,0.0,0.0
1616,2103,0.0,0.0
2030,2140,0.0,0.0
1844,1003,0.0,0.0
1674,1583,0.0,0.0
1825,1737,0.0,0.0
1093,474,0.0,0.0
1223,376,0.0,0.0
1452,328,0.0,0.0
1370,1082,0.0,0.0
122,697,0.0,0.0
127,2309,0.0,0.0
612,70,0.0,0.0
516,1001,0.0,0.0
1209,1405,0.0,0.0
740,1038,0.0,0.0
1001,2220,0.0,0.0
804,1643,0.0,0.0
1228,467,0.0,0.0
1937,2026,0.0,0.0
656,2406,0.0,0.0
2109,1343,0.0,0.0
2287,2199,0.0,0.0
1161,2378,0.0,0.0
1295,1872,0.0,0.0
1228,412,0.0,0.0
1808,1649,0.0,0.0
2391,567,0.0,0.0
377,1971,0.0,0.0
758,430,0.0,0.0
643,1951,0.0,0.0
1176,14,0.0,0.0
624,2224,0.0,0.0
1805,93,0.0,0.0
717,2478,0.0,0.0
71,1453,0.0,0.0
91,71,0.0,0.0
397,1843,0.0,0.0
645,1193,0.0,0.0
1002,1379,0.0,0.0
2330,350,0.0,0.0
2469,1486,0.0,0.0
1086,287,0.0,0.0
1827,424,0.0,0.0
1679,1278,0.0,0.0
139,1638,0.0,0.0
1034,411,0.0,0.0
2428,1986,0.0,0.0
1326,1473,0.0,0.0
552,2341,0.0,0.0
471,983,0.0,0.0
1268,1877,0.0,0.0
2084,1977,0.0,0.0
1566,251,0.0,0.0
1184,315,0.0,0.0
1201,2421,0.0,0.0
19,1890,0.0,0.0
1507,1369,0.0,0.0
2357,285,0.0,0.0
460,702,0.0,0.0
1511,88,0.0,0.0
100,1286,0.0,0.0
2472,2032,0.0,0.0
2418,2264,0.0,0.0
1413,62,0.0,0.0
714,392,0.0,0.0
388,76,0.0,0.0
1116,345,0.0,0.0
998,68,0.0,0.0
2018,333,0.0,0.0
1885,958,0.0,0.0
183,1276,0.0,0.0
264,1857,0.0,0.0
1626,1350,0.0,0.0
544,2136,0.0,0.0
2280,2299,0.0,0.0
1779,1664,0.0,0.0
206,454,0.0,0.0
611,1466,0.0,0.0
2077,307,0.0,0.0
814,83,0.0,0.0
2026,1354,0.0,0.0
1123,1097,0.0,0.0
2023,1500,0.0,0.0
66,314,0.0,0.0
2447,405,0.0,0.0
2232,474,0.0,0.0
77,603,0.0,0.0
1292,1870,0.0,0.0
1475,1564,0.0,0.0
781,743,0.0,0.0
1976,1408,0.0,0.0
466,2169,0.0,0.0
2099,788,0.0,0.0
144,352,0.0,0.0
452,1092,0.0,0.0
617,2161,0.0,0.0
2043,1591,0.0,0.0
964,871,0.0,0.0
788,1455,0.0,0.0
1469,1277,0.0,0.0
1061,1641,0.0,0.0
1826,2054,0.0,0.0
2142,1013,0.0,0.0
1256,181,0.0,0.0
574,1080,0.0,0.0
2465,238,0.0,0.0
1166,2185,0.0,0.0
2282,111,0.0,0.0
1838,700,0.0,0.0
2226,1732,0.0,0.0
1933,739,0.0,0.0
1164,1709,0.0,0.0
871,748,0.0,0.0
2015,1283,0.0,0.0
1131,1432,0.0,0.0
1815,1450,0.0,0.0
108,1275,0.0,0.0
1837,974,0.0,0.0
513,1843,0.0,0.0
1235,984,0.0,0.0
1926,2280,0.0,0.0
665,54,0.0,0.0
1669,800,0.0,0.0
1591,486,0.0,0.0
403,742,0.0,0.0
249,1718,0.0,0.0
2119,1517,0.0,0.0
2011,1575,0.0,0.0
662,411,0.0,0.0
536,2114,0.0,0.0
483,1994,0.0,0.0
1861,369,0.0,0.0
2401,1109,0.0,0.0
472,990,0.0,0.0
2015,1772,0.0,0.0
173,1742,0.0,0.0
1819,487,0.0,0.0
1169,270,0.0,0.0
271,2375,0.0,0.0
2394,2413,0.0,0.0
158,2254,0.0,0.0
2041,1527,0.0,0.0
503,2205,0.0,0.0
1836,1254,0.0,0.0
594,1073,0.0,0.0
888,1658,0.0,0.0
2110,999,0.0,0.0
193,1067,0.0,0.0
