edge_index0,edge_index1,pred,gr
877,1001,0.0,1.0
538,824,1.0,1.0
1205,2284,0.0,1.0
528,1370,0.0,1.0
159,1593,1.0,1.0
951,1000,0.0,1.0
747,904,0.0,1.0
1376,1450,0.0,1.0
1466,2364,0.0,1.0
1401,1432,0.0,1.0
309,891,1.0,1.0
1775,1790,0.0,1.0
102,235,1.0,1.0
126,2263,1.0,1.0
1110,1639,0.0,1.0
1781,2120,0.0,1.0
321,1458,0.0,1.0
987,1270,0.0,1.0
797,1443,0.0,1.0
312,702,0.0,1.0
1673,1870,0.0,1.0
397,1589,1.0,1.0
548,549,0.0,1.0
1118,1197,0.0,1.0
475,1701,0.0,1.0
60,533,0.0,1.0
122,1743,0.0,1.0
1045,1232,1.0,1.0
163,1654,0.0,1.0
1181,1402,0.0,1.0
401,1000,1.0,1.0
15,304,0.0,1.0
2216,2363,0.0,1.0
978,1128,0.0,1.0
1121,1591,0.0,1.0
1790,2361,0.0,1.0
1792,2315,1.0,1.0
812,928,0.0,1.0
906,1427,0.0,1.0
747,1384,0.0,1.0
1711,1869,0.0,1.0
257,674,0.0,1.0
306,308,0.0,1.0
575,1660,0.0,1.0
402,1905,0.0,1.0
1685,1940,1.0,1.0
718,1237,0.0,1.0
1075,1376,0.0,1.0
159,753,0.0,1.0
159,1581,1.0,1.0
33,236,0.0,1.0
1304,1435,0.0,1.0
601,733,0.0,1.0
457,1725,1.0,1.0
133,2378,0.0,1.0
1329,2397,1.0,1.0
641,2249,0.0,1.0
533,543,1.0,1.0
1454,1490,1.0,1.0
278,2290,0.0,1.0
2191,2375,0.0,1.0
403,1426,0.0,1.0
1273,1447,1.0,1.0
647,1177,0.0,1.0
1052,1190,1.0,1.0
2242,2442,0.0,1.0
537,965,1.0,1.0
1172,1174,0.0,1.0
231,533,0.0,1.0
687,1671,0.0,1.0
149,1306,0.0,1.0
84,675,0.0,1.0
528,885,0.0,1.0
601,1385,0.0,1.0
140,343,0.0,1.0
1210,1411,0.0,1.0
425,2413,0.0,1.0
278,596,1.0,1.0
2077,2079,0.0,1.0
854,1745,0.0,1.0
2122,2204,0.0,1.0
769,1290,0.0,1.0
601,1991,0.0,1.0
65,2122,0.0,1.0
289,522,0.0,1.0
778,1341,0.0,1.0
