edge_index0,edge_index1,pred,gr
156,441,0.0,1.0
1720,2191,0.0,1.0
592,1445,1.0,1.0
443,1744,1.0,1.0
1753,2240,0.0,1.0
1893,2012,0.0,1.0
148,1503,0.0,1.0
242,597,0.0,1.0
425,485,0.0,1.0
2118,2119,1.0,1.0
1267,2271,0.0,1.0
1503,1747,0.0,1.0
16,438,0.0,1.0
533,1296,0.0,1.0
444,612,1.0,1.0
34,65,0.0,1.0
533,1969,0.0,1.0
402,1212,1.0,1.0
1075,1376,0.0,1.0
174,330,0.0,1.0
1209,1512,1.0,1.0
457,1725,1.0,1.0
354,1169,0.0,1.0
2263,2268,1.0,1.0
237,2360,1.0,1.0
1760,2050,0.0,1.0
1481,1579,1.0,1.0
747,1258,0.0,1.0
208,377,0.0,1.0
646,700,1.0,1.0
912,1469,0.0,1.0
1467,1607,1.0,1.0
1992,2308,0.0,1.0
2172,2237,0.0,1.0
573,675,0.0,1.0
404,642,1.0,1.0
1089,1330,0.0,1.0
718,1481,1.0,1.0
231,533,0.0,1.0
533,1242,1.0,1.0
611,707,0.0,1.0
1089,1373,0.0,1.0
799,1641,0.0,1.0
218,381,0.0,1.0
700,907,0.0,1.0
1810,1886,0.0,1.0
1095,1606,0.0,1.0
1766,1767,1.0,1.0
430,700,0.0,1.0
451,2427,1.0,1.0
1719,2161,1.0,1.0
537,1202,0.0,1.0
325,1804,0.0,1.0
58,2306,0.0,1.0
278,474,0.0,1.0
633,945,1.0,1.0
1492,1994,1.0,1.0
404,598,1.0,1.0
75,488,1.0,1.0
812,2242,0.0,1.0
996,1282,0.0,1.0
65,205,0.0,1.0
655,1578,0.0,1.0
322,730,0.0,1.0
586,1986,0.0,1.0
1386,1567,0.0,1.0
2245,2305,0.0,1.0
1733,1734,1.0,1.0
827,951,1.0,1.0
176,440,1.0,1.0
159,1150,1.0,1.0
1403,1477,0.0,1.0
89,533,0.0,1.0
1010,1254,1.0,1.0
1194,1627,0.0,1.0
1733,1807,1.0,1.0
798,912,1.0,1.0
159,1375,0.0,1.0
567,1546,1.0,1.0
894,1364,0.0,1.0
774,1401,0.0,1.0
718,1237,0.0,1.0
1058,2105,0.0,1.0
65,2326,1.0,1.0
319,326,0.0,1.0
804,2395,1.0,1.0
2191,2375,0.0,1.0
338,1184,0.0,1.0
92,338,0.0,1.0
1408,1513,0.0,1.0
328,601,0.0,1.0
454,519,0.0,1.0
1946,2329,0.0,1.0
390,668,1.0,1.0
1012,1114,1.0,1.0
354,2031,1.0,1.0
159,1330,0.0,1.0
936,1841,0.0,1.0
145,1591,1.0,1.0
575,1472,1.0,1.0
1074,1080,1.0,1.0
1778,2214,0.0,1.0
159,1048,1.0,1.0
1055,1947,1.0,1.0
70,2259,1.0,1.0
124,2063,0.0,1.0
1714,2059,0.0,1.0
1927,2063,1.0,1.0
2113,2114,0.0,1.0
703,1818,1.0,1.0
10,489,1.0,1.0
36,1930,0.0,1.0
185,663,0.0,1.0
386,1387,0.0,1.0
1149,1440,1.0,1.0
533,1889,1.0,1.0
996,1234,0.0,1.0
242,2193,0.0,1.0
1092,1604,0.0,1.0
711,797,1.0,1.0
1741,1970,1.0,1.0
216,2412,0.0,1.0
1375,1379,0.0,1.0
949,952,0.0,1.0
1711,1869,0.0,1.0
119,121,1.0,1.0
887,1620,1.0,1.0
557,2472,0.0,1.0
1780,1986,1.0,1.0
73,2240,0.0,1.0
50,606,1.0,1.0
718,2469,1.0,1.0
69,878,0.0,1.0
1860,2075,0.0,1.0
211,549,1.0,1.0
244,375,0.0,1.0
140,174,0.0,1.0
521,2276,0.0,1.0
1558,1565,0.0,1.0
73,2321,1.0,1.0
1809,2417,0.0,1.0
1018,1311,0.0,1.0
205,450,0.0,1.0
1714,1832,1.0,1.0
575,2093,0.0,1.0
599,2014,1.0,1.0
506,2136,0.0,1.0
1175,1431,0.0,1.0
1218,1616,0.0,1.0
155,1925,1.0,1.0
478,2246,1.0,1.0
795,1116,1.0,1.0
2299,2383,0.0,1.0
1808,1966,1.0,1.0
1652,1754,0.0,1.0
13,1165,0.0,1.0
966,1044,0.0,1.0
761,1545,1.0,1.0
402,1661,0.0,1.0
384,2380,0.0,1.0
1061,1400,0.0,1.0
