edge_index0,edge_index1,pred,gr
810,1817,0.0,1.0
2034,2476,0.0,1.0
528,900,0.0,1.0
1070,1235,0.0,1.0
1729,2168,0.0,1.0
318,702,0.0,1.0
2004,2383,0.0,1.0
543,2298,1.0,1.0
759,1356,0.0,1.0
700,1472,1.0,1.0
1341,1563,0.0,1.0
1621,2380,0.0,1.0
402,1456,1.0,1.0
113,645,1.0,1.0
76,319,0.0,1.0
745,945,1.0,1.0
601,2280,0.0,1.0
545,2445,0.0,1.0
1097,1444,0.0,1.0
1437,2329,1.0,1.0
55,795,0.0,1.0
306,314,1.0,1.0
1166,2317,0.0,1.0
601,967,1.0,1.0
756,1493,0.0,1.0
390,936,0.0,1.0
358,601,0.0,1.0
328,1173,1.0,1.0
987,1278,0.0,1.0
1148,1226,0.0,1.0
565,1643,0.0,1.0
761,1122,1.0,1.0
633,945,1.0,1.0
849,1462,1.0,1.0
1018,1042,0.0,1.0
784,1605,0.0,1.0
779,857,0.0,1.0
1397,1442,0.0,1.0
382,483,0.0,1.0
1966,1972,0.0,1.0
1725,1790,1.0,1.0
981,1246,0.0,1.0
154,2341,0.0,1.0
601,2012,0.0,1.0
279,533,1.0,1.0
424,484,0.0,1.0
46,285,1.0,1.0
994,1212,0.0,1.0
286,450,1.0,1.0
1671,1886,0.0,1.0
323,498,0.0,1.0
1808,1972,0.0,1.0
322,1821,1.0,1.0
360,533,0.0,1.0
958,1074,0.0,1.0
779,1776,0.0,1.0
1550,1634,0.0,1.0
629,918,1.0,1.0
345,575,0.0,1.0
117,1116,0.0,1.0
766,1067,1.0,1.0
70,2259,1.0,1.0
402,1042,1.0,1.0
928,2411,1.0,1.0
1118,1235,0.0,1.0
1826,1891,0.0,1.0
99,2160,0.0,1.0
1232,1483,0.0,1.0
185,481,1.0,1.0
159,531,1.0,1.0
564,702,1.0,1.0
1098,1478,0.0,1.0
159,1089,1.0,1.0
1261,1395,0.0,1.0
1034,1352,0.0,1.0
29,401,0.0,1.0
668,2449,0.0,1.0
315,533,1.0,1.0
1408,1513,0.0,1.0
1617,1847,0.0,1.0
401,1438,0.0,1.0
332,1295,0.0,1.0
1197,1655,0.0,1.0
73,325,1.0,1.0
397,1595,0.0,1.0
1289,2233,1.0,1.0
1231,1277,0.0,1.0
941,1117,0.0,1.0
990,991,0.0,1.0
1673,1870,0.0,1.0
544,1614,0.0,1.0
235,1946,1.0,1.0
984,1288,1.0,1.0
711,797,0.0,1.0
1715,1880,0.0,1.0
1910,2134,0.0,1.0
390,668,1.0,1.0
575,1275,0.0,1.0
1854,2165,1.0,1.0
99,1874,0.0,1.0
1376,1450,0.0,1.0
559,1126,0.0,1.0
157,669,0.0,1.0
217,702,1.0,1.0
