edge_index0,edge_index1,pred,gr
635,1363,1.0,1.0
522,533,1.0,1.0
2081,2124,1.0,1.0
327,940,1.0,1.0
1023,1897,1.0,1.0
283,1714,1.0,1.0
780,1341,1.0,1.0
330,686,1.0,1.0
324,2166,1.0,1.0
73,831,0.0,1.0
2245,2305,1.0,1.0
1740,1845,1.0,1.0
1809,2107,1.0,1.0
84,675,0.0,1.0
838,841,1.0,1.0
1058,2105,1.0,1.0
1268,1286,1.0,1.0
633,1268,1.0,1.0
2304,2347,0.0,1.0
812,1425,1.0,1.0
1049,2120,0.0,1.0
41,837,1.0,1.0
1437,2056,0.0,1.0
1251,1989,1.0,1.0
323,1230,1.0,1.0
278,534,1.0,1.0
2250,2388,1.0,1.0
425,1955,1.0,1.0
992,1515,1.0,1.0
253,316,1.0,1.0
1376,2223,0.0,1.0
402,2134,1.0,1.0
159,2428,1.0,1.0
493,508,0.0,1.0
1132,1431,1.0,1.0
286,1106,1.0,1.0
971,1253,1.0,1.0
533,1299,1.0,1.0
159,1004,1.0,1.0
1107,1535,0.0,1.0
781,907,0.0,1.0
946,1239,0.0,1.0
283,561,1.0,1.0
1171,1272,1.0,1.0
1847,2319,1.0,1.0
724,1213,1.0,1.0
23,41,1.0,1.0
89,133,1.0,1.0
376,2278,1.0,1.0
1697,1929,0.0,1.0
10,185,1.0,1.0
1580,1586,1.0,1.0
1401,1596,1.0,1.0
126,2268,1.0,1.0
324,1529,1.0,1.0
639,702,1.0,1.0
199,2161,1.0,1.0
1655,1729,1.0,1.0
1081,2248,1.0,1.0
1376,2056,1.0,1.0
1250,2136,1.0,1.0
532,1728,1.0,1.0
36,700,0.0,1.0
747,1303,1.0,1.0
303,534,1.0,1.0
404,2300,1.0,1.0
80,1461,1.0,1.0
14,31,1.0,1.0
339,1680,1.0,1.0
1585,1628,1.0,1.0
443,1744,1.0,1.0
159,2018,0.0,1.0
711,1835,1.0,1.0
742,891,1.0,1.0
2258,2382,0.0,1.0
772,1181,1.0,1.0
704,2298,1.0,1.0
55,1787,0.0,1.0
2228,2455,1.0,1.0
1553,2410,1.0,1.0
1600,1819,1.0,1.0
1108,2102,0.0,1.0
1874,1982,1.0,1.0
730,2007,1.0,1.0
1849,2038,1.0,1.0
737,1091,1.0,1.0
759,1356,1.0,1.0
1392,1548,1.0,1.0
1939,2001,1.0,1.0
1562,1709,1.0,1.0
548,1144,1.0,1.0
1033,1565,1.0,1.0
1273,1445,1.0,1.0
1261,1395,1.0,1.0
1714,2059,1.0,1.0
1144,1414,1.0,1.0
290,1374,1.0,1.0
1622,2094,1.0,1.0
93,410,0.0,1.0
57,289,1.0,1.0
96,1624,1.0,1.0
826,1198,1.0,1.0
1854,2165,1.0,1.0
897,2400,1.0,1.0
599,2040,1.0,1.0
448,569,1.0,1.0
280,651,1.0,1.0
440,2201,1.0,1.0
1268,1374,1.0,1.0
745,1468,1.0,1.0
927,1925,1.0,1.0
36,1499,1.0,1.0
1186,1757,1.0,1.0
1008,1373,1.0,1.0
959,1185,1.0,1.0
209,279,1.0,1.0
703,1818,1.0,1.0
154,978,1.0,1.0
1621,2232,1.0,1.0
1286,2438,1.0,1.0
1602,2394,0.0,1.0
391,2319,1.0,1.0
1110,1592,1.0,1.0
1074,1258,1.0,1.0
354,553,1.0,1.0
685,1821,1.0,1.0
1763,2130,0.0,1.0
635,1348,1.0,1.0
280,601,1.0,1.0
158,729,1.0,1.0
283,701,1.0,1.0
2198,2321,1.0,1.0
130,369,1.0,1.0
159,723,1.0,1.0
324,1173,1.0,1.0
1837,2173,1.0,1.0
1601,1607,1.0,1.0
1287,1609,1.0,1.0
450,451,1.0,1.0
1383,1556,1.0,1.0
516,533,1.0,1.0
278,601,0.0,1.0
154,1217,1.0,1.0
133,2219,0.0,1.0
896,1170,1.0,1.0
197,647,1.0,1.0
999,1901,1.0,1.0
175,623,1.0,1.0
267,1951,0.0,1.0
1118,1235,1.0,1.0
20,25,1.0,1.0
1181,1402,0.0,1.0
322,439,1.0,1.0
633,871,1.0,1.0
65,2122,1.0,1.0
196,1773,1.0,1.0
1189,1238,1.0,1.0
313,728,1.0,1.0
883,1427,0.0,1.0
159,1230,1.0,1.0
142,1149,1.0,1.0
1025,1454,1.0,1.0
1091,1327,1.0,1.0
2037,2068,1.0,1.0
683,1690,1.0,1.0
241,537,1.0,1.0
391,1795,1.0,1.0
815,2360,1.0,1.0
402,1796,0.0,1.0
444,534,1.0,1.0
101,725,1.0,1.0
181,248,1.0,1.0
421,1449,1.0,1.0
551,1064,1.0,1.0
569,636,1.0,1.0
927,1900,1.0,1.0
1249,1647,1.0,1.0
1467,1570,1.0,1.0
159,1841,1.0,1.0
1533,1602,1.0,1.0
1822,2324,1.0,1.0
178,314,1.0,1.0
1723,2161,1.0,1.0
18,124,1.0,1.0
324,328,1.0,1.0
2079,2285,1.0,1.0
159,1589,1.0,1.0
425,1998,1.0,1.0
1846,1996,1.0,1.0
910,1579,1.0,1.0
74,1740,1.0,1.0
857,1776,1.0,1.0
473,624,1.0,1.0
2039,2224,1.0,1.0
268,458,1.0,1.0
254,1907,1.0,1.0
1280,1423,0.0,1.0
891,1215,1.0,1.0
98,2468,1.0,1.0
1064,2195,1.0,1.0
384,1514,1.0,1.0
1827,1961,1.0,1.0
1051,1303,1.0,1.0
489,2387,1.0,1.0
575,1813,1.0,1.0
15,149,0.0,1.0
745,945,1.0,1.0
740,945,1.0,1.0
1621,1752,0.0,1.0
574,702,1.0,1.0
968,982,1.0,1.0
1694,2370,0.0,1.0
1044,2182,1.0,1.0
841,1617,1.0,1.0
2163,2377,0.0,1.0
425,965,1.0,1.0
202,544,1.0,1.0
2344,2368,1.0,1.0
398,2244,1.0,1.0
695,876,1.0,1.0
19,539,0.0,1.0
2308,2367,1.0,1.0
1151,1401,1.0,1.0
159,566,1.0,1.0
236,545,1.0,1.0
1213,1305,1.0,1.0
305,2282,0.0,1.0
330,724,1.0,1.0
107,700,1.0,1.0
1146,1541,1.0,1.0
808,2356,1.0,1.0
107,702,1.0,1.0
1131,1606,1.0,1.0
529,702,1.0,1.0
545,2445,1.0,1.0
534,2056,0.0,1.0
2282,2283,0.0,1.0
1347,2412,1.0,1.0
944,1386,1.0,1.0
1740,1749,1.0,1.0
633,2185,1.0,1.0
