edge_index0,edge_index1,pred,gr
26,702,1.0,1.0
2105,2328,0.0,1.0
807,1921,0.0,1.0
159,2095,1.0,1.0
127,603,1.0,1.0
1057,2224,1.0,1.0
1052,1294,0.0,1.0
539,2158,1.0,1.0
1444,1505,1.0,1.0
533,1145,1.0,1.0
2144,2248,1.0,1.0
234,1055,1.0,1.0
776,1528,1.0,1.0
1022,1566,0.0,1.0
1186,1622,1.0,1.0
399,539,0.0,1.0
774,1401,1.0,1.0
538,1431,1.0,1.0
406,562,1.0,1.0
956,1232,1.0,1.0
643,1459,1.0,1.0
1824,2061,1.0,1.0
1446,2313,1.0,1.0
980,1277,0.0,1.0
1685,2022,1.0,1.0
232,1542,1.0,1.0
1590,2245,1.0,1.0
999,1901,1.0,1.0
901,1162,1.0,1.0
682,1007,1.0,1.0
2172,2320,1.0,1.0
1349,1401,1.0,1.0
573,675,1.0,1.0
1718,1723,1.0,1.0
1355,1501,1.0,1.0
1215,1355,1.0,1.0
740,745,1.0,1.0
635,2050,1.0,1.0
1329,2055,1.0,1.0
322,730,1.0,1.0
2308,2367,1.0,1.0
1273,1447,1.0,1.0
133,928,1.0,1.0
425,1955,1.0,1.0
897,1462,1.0,1.0
1650,2483,0.0,1.0
2156,2386,1.0,1.0
353,585,1.0,1.0
557,1997,1.0,1.0
170,702,0.0,1.0
700,2004,0.0,1.0
1796,2017,1.0,1.0
378,2130,1.0,1.0
54,1591,1.0,1.0
443,985,1.0,1.0
1311,2484,1.0,1.0
652,1418,0.0,1.0
39,80,1.0,1.0
1162,1853,1.0,1.0
208,1324,1.0,1.0
171,2029,1.0,1.0
559,1060,1.0,1.0
299,479,1.0,1.0
2234,2333,1.0,1.0
1201,1210,0.0,1.0
1144,1460,1.0,1.0
351,601,1.0,1.0
1109,1112,1.0,1.0
278,1276,1.0,1.0
769,1063,0.0,1.0
1696,2046,0.0,1.0
673,1060,1.0,1.0
507,1142,0.0,1.0
1480,1506,1.0,1.0
544,1132,1.0,1.0
2055,2397,1.0,1.0
324,1363,1.0,1.0
1668,1838,1.0,1.0
324,2245,1.0,1.0
439,1878,1.0,1.0
165,236,1.0,1.0
136,2186,1.0,1.0
590,996,1.0,1.0
499,1407,0.0,1.0
22,159,1.0,1.0
312,334,1.0,1.0
1772,1901,1.0,1.0
380,708,1.0,1.0
1218,1799,1.0,1.0
278,534,1.0,1.0
