edge_index0,edge_index1,pred,gr
2208,2309,1.0,1.0
324,2050,1.0,1.0
200,1376,1.0,1.0
322,685,1.0,1.0
1301,2298,1.0,1.0
575,2341,1.0,1.0
154,1014,1.0,1.0
849,1461,1.0,1.0
437,438,1.0,1.0
324,2258,1.0,1.0
352,526,1.0,1.0
1002,1074,1.0,1.0
1761,2371,0.0,1.0
1507,1601,1.0,1.0
1859,2346,1.0,1.0
159,1155,1.0,1.0
1764,2266,1.0,1.0
636,995,1.0,1.0
347,520,1.0,1.0
273,1444,1.0,1.0
178,314,1.0,1.0
272,1999,0.0,1.0
592,1445,1.0,1.0
939,1170,1.0,1.0
1409,1626,1.0,1.0
186,226,1.0,1.0
181,248,1.0,1.0
491,1021,1.0,1.0
726,1084,1.0,1.0
1737,1778,1.0,1.0
891,1215,1.0,1.0
159,291,1.0,1.0
1849,2038,1.0,1.0
1914,2472,1.0,1.0
2197,2198,1.0,1.0
700,1604,1.0,1.0
1887,1996,1.0,1.0
1924,1944,1.0,1.0
761,1522,1.0,1.0
200,607,1.0,1.0
816,839,1.0,1.0
2044,2069,1.0,1.0
404,494,1.0,1.0
2212,2348,1.0,1.0
527,1704,1.0,1.0
306,308,1.0,1.0
1159,1591,1.0,1.0
106,478,1.0,1.0
1221,1500,1.0,1.0
195,700,1.0,1.0
865,1181,1.0,1.0
402,863,1.0,1.0
551,2368,1.0,1.0
65,68,0.0,1.0
450,490,1.0,1.0
286,1106,1.0,1.0
1839,2136,1.0,1.0
159,2038,1.0,1.0
159,1138,1.0,1.0
1437,1776,1.0,1.0
533,2421,1.0,1.0
46,285,1.0,1.0
86,404,1.0,1.0
2083,2101,1.0,1.0
1499,1605,1.0,1.0
322,1859,1.0,1.0
1028,1277,1.0,1.0
896,1170,1.0,1.0
1522,1545,1.0,1.0
904,1068,1.0,1.0
178,364,1.0,1.0
628,2370,0.0,1.0
99,2160,1.0,1.0
975,1148,1.0,1.0
589,646,1.0,1.0
36,1930,1.0,1.0
548,1144,1.0,1.0
568,629,1.0,1.0
633,1902,1.0,1.0
1740,1741,0.0,1.0
472,531,1.0,1.0
505,1136,1.0,1.0
1195,1569,1.0,1.0
557,972,1.0,1.0
926,1542,1.0,1.0
236,602,1.0,1.0
96,1184,1.0,1.0
1492,1533,1.0,1.0
1666,2177,0.0,1.0
2016,2082,1.0,1.0
601,2456,1.0,1.0
1877,1896,1.0,1.0
1095,1606,1.0,1.0
