edge_index0,edge_index1,pred,gr
1712,1836,0.0,1.0
2204,2322,1.0,1.0
1218,1616,1.0,1.0
296,1628,1.0,1.0
645,714,1.0,1.0
1076,1505,1.0,1.0
916,1251,1.0,1.0
83,400,1.0,1.0
530,1321,1.0,1.0
1151,1516,1.0,1.0
1983,2317,1.0,1.0
1089,1150,1.0,1.0
167,404,1.0,1.0
1308,1559,0.0,1.0
831,1135,1.0,1.0
448,995,1.0,1.0
54,668,1.0,1.0
1821,1859,1.0,1.0
508,1059,0.0,1.0
401,884,1.0,1.0
1061,1400,0.0,1.0
2027,2148,0.0,1.0
857,1437,1.0,1.0
382,1758,1.0,1.0
1742,2240,0.0,1.0
747,1258,1.0,1.0
910,1579,1.0,1.0
1709,2447,0.0,1.0
619,1485,1.0,1.0
1942,2410,0.0,1.0
575,1275,1.0,1.0
287,1378,1.0,1.0
1074,1483,0.0,1.0
1731,1732,1.0,1.0
1073,1360,1.0,1.0
45,462,1.0,1.0
1079,1104,1.0,1.0
74,1741,0.0,1.0
1251,1647,1.0,1.0
215,2146,1.0,1.0
1113,1350,1.0,1.0
103,562,0.0,1.0
29,301,1.0,1.0
1076,1339,0.0,1.0
533,1582,1.0,1.0
386,2380,1.0,1.0
468,473,1.0,1.0
206,644,1.0,1.0
86,601,1.0,1.0
225,311,0.0,1.0
1195,1228,1.0,1.0
159,1483,0.0,1.0
200,279,1.0,1.0
175,720,1.0,1.0
126,2268,1.0,1.0
1041,1396,1.0,1.0
738,1520,1.0,1.0
1803,1808,1.0,1.0
1890,2438,1.0,1.0
385,533,1.0,1.0
1792,2001,1.0,1.0
402,1886,1.0,1.0
354,1874,1.0,1.0
295,1277,1.0,1.0
778,1514,1.0,1.0
533,584,1.0,1.0
601,678,1.0,1.0
159,2110,1.0,1.0
159,1186,1.0,1.0
124,702,1.0,1.0
159,365,1.0,1.0
104,236,1.0,1.0
404,1099,1.0,1.0
1526,1624,1.0,1.0
601,1252,1.0,1.0
45,464,1.0,1.0
1961,2307,1.0,1.0
159,925,1.0,1.0
745,1468,1.0,1.0
857,1776,1.0,1.0
1503,1834,1.0,1.0
2237,2320,1.0,1.0
718,2469,1.0,1.0
429,611,1.0,1.0
616,702,0.0,1.0
909,1398,1.0,1.0
87,639,0.0,1.0
1321,1462,1.0,1.0
557,603,1.0,1.0
140,319,1.0,1.0
2077,2079,1.0,1.0
1553,1932,1.0,1.0
171,835,1.0,1.0
1710,2300,1.0,1.0
1052,1600,1.0,1.0
2020,2024,1.0,1.0
1303,1620,1.0,1.0
381,2135,0.0,1.0
1089,1330,0.0,1.0
159,888,0.0,1.0
277,362,0.0,1.0
145,1591,1.0,1.0
2162,2202,1.0,1.0
412,530,1.0,1.0
956,1137,1.0,1.0
1204,2119,1.0,1.0
1679,2043,0.0,1.0
488,623,1.0,1.0
910,1398,1.0,1.0
695,1607,1.0,1.0
1739,1746,0.0,1.0
181,182,1.0,1.0
617,727,1.0,1.0
772,1181,1.0,1.0
710,1324,1.0,1.0
425,826,1.0,1.0
812,2242,1.0,1.0
1754,2228,1.0,1.0
168,520,1.0,1.0
1945,2016,1.0,1.0
1691,1861,1.0,1.0
1314,1355,1.0,1.0
692,702,1.0,1.0
303,1124,1.0,1.0
1654,2408,0.0,1.0
729,1376,1.0,1.0
915,1316,0.0,1.0
382,2256,1.0,1.0
533,1744,1.0,1.0
487,1102,1.0,1.0
1622,2188,1.0,1.0
501,731,0.0,1.0
278,601,1.0,1.0
198,1477,1.0,1.0
1067,1122,1.0,1.0
390,1723,0.0,1.0
1186,2092,1.0,1.0
159,723,1.0,1.0
106,1915,1.0,1.0
1067,1153,1.0,1.0
1084,1171,1.0,1.0
903,1329,0.0,1.0
159,531,1.0,1.0
876,1601,1.0,1.0
654,1837,0.0,1.0
41,1635,0.0,1.0
216,1596,1.0,1.0
761,1160,1.0,1.0
159,1045,1.0,1.0
288,533,1.0,1.0
454,519,1.0,1.0
342,2028,0.0,1.0
183,2058,1.0,1.0
1309,2185,1.0,1.0
159,719,0.0,1.0
601,733,1.0,1.0
1776,2329,1.0,1.0
457,667,0.0,1.0
363,411,1.0,1.0
747,1255,1.0,1.0
1868,2172,0.0,1.0
778,1202,1.0,1.0
972,1260,1.0,1.0
1941,2320,1.0,1.0
893,1253,0.0,1.0
1165,1204,1.0,1.0
792,1170,1.0,1.0
2315,2373,1.0,1.0
520,607,1.0,1.0
1976,2293,0.0,1.0
526,853,1.0,1.0
684,1383,1.0,1.0
425,1896,1.0,1.0
779,1437,1.0,1.0
770,1147,1.0,1.0
1440,1947,1.0,1.0
98,2468,1.0,1.0
354,1000,1.0,1.0
1399,1401,0.0,1.0
1268,1287,1.0,1.0
1098,1533,1.0,1.0
1097,1414,1.0,1.0
154,1621,1.0,1.0
1012,1050,1.0,1.0
910,1078,1.0,1.0
734,1077,1.0,1.0
435,532,1.0,1.0
1064,2302,1.0,1.0
1995,2248,1.0,1.0
693,1145,1.0,1.0
1006,1702,1.0,1.0
126,1842,1.0,1.0
759,1578,1.0,1.0
546,1760,1.0,1.0
936,1853,1.0,1.0
229,947,1.0,1.0
2180,2185,1.0,1.0
215,450,1.0,1.0
238,278,1.0,1.0
1289,2232,1.0,1.0
1813,2309,1.0,1.0
52,450,1.0,1.0
1115,1125,0.0,1.0
164,202,1.0,1.0
104,846,1.0,1.0
372,620,1.0,1.0
790,1011,1.0,1.0
