edge_index0,edge_index1,pred,gr
131,1982,1.0,1.0
1745,2249,1.0,1.0
242,598,1.0,1.0
803,992,1.0,1.0
1328,1809,1.0,1.0
1898,2477,0.0,1.0
1053,1181,1.0,1.0
1850,1996,1.0,1.0
632,1507,1.0,1.0
960,1262,1.0,1.0
990,2374,0.0,1.0
1996,2054,1.0,1.0
159,365,1.0,1.0
122,1743,1.0,1.0
1082,1248,0.0,1.0
551,1206,1.0,1.0
157,713,1.0,1.0
366,402,1.0,1.0
544,1435,1.0,1.0
493,832,1.0,1.0
73,292,1.0,1.0
14,375,1.0,1.0
28,575,1.0,1.0
242,875,1.0,1.0
693,1145,1.0,1.0
636,954,1.0,1.0
1337,2309,1.0,1.0
747,1255,1.0,1.0
897,1321,1.0,1.0
401,1000,1.0,1.0
461,2453,0.0,1.0
274,1793,1.0,1.0
468,473,1.0,1.0
331,686,1.0,1.0
171,1831,1.0,1.0
936,1110,1.0,1.0
1600,1665,1.0,1.0
1171,1272,1.0,1.0
1186,2092,1.0,1.0
426,509,1.0,1.0
1143,1431,1.0,1.0
159,1074,1.0,1.0
369,572,1.0,1.0
259,450,1.0,1.0
402,626,1.0,1.0
169,2228,1.0,1.0
439,1878,1.0,1.0
276,852,1.0,1.0
2169,2390,1.0,1.0
489,2403,1.0,1.0
601,1800,1.0,1.0
452,2100,0.0,1.0
208,797,1.0,1.0
523,579,1.0,1.0
192,702,1.0,1.0
351,598,1.0,1.0
399,539,0.0,1.0
430,702,1.0,1.0
65,2184,1.0,1.0
2019,2380,1.0,1.0
572,2065,1.0,1.0
159,735,1.0,1.0
1095,1468,1.0,1.0
159,2084,1.0,1.0
82,1272,1.0,1.0
835,1260,1.0,1.0
2180,2185,1.0,1.0
1769,1784,1.0,1.0
1405,1574,0.0,1.0
472,2261,0.0,1.0
625,921,1.0,1.0
56,967,1.0,1.0
544,1810,1.0,1.0
1359,1620,1.0,1.0
928,2409,1.0,1.0
1766,1768,1.0,1.0
402,1796,1.0,1.0
351,1484,1.0,1.0
404,515,0.0,1.0
1653,2251,0.0,1.0
619,1485,0.0,1.0
1834,2458,1.0,1.0
376,414,1.0,1.0
132,615,1.0,1.0
521,2276,1.0,1.0
22,126,1.0,1.0
1375,1379,1.0,1.0
1458,1510,1.0,1.0
761,764,1.0,1.0
2026,2148,0.0,1.0
1654,2398,0.0,1.0
159,2428,1.0,1.0
1278,1546,1.0,1.0
545,1419,1.0,1.0
2050,2436,1.0,1.0
760,813,1.0,1.0
41,841,1.0,1.0
153,491,1.0,1.0
999,1772,1.0,1.0
238,530,1.0,1.0
1705,1931,0.0,1.0
88,702,1.0,1.0
1120,1277,1.0,1.0
670,1947,1.0,1.0
81,702,1.0,1.0
1089,1373,1.0,1.0
1241,2392,0.0,1.0
323,1037,1.0,1.0
21,535,1.0,1.0
122,369,1.0,1.0
133,1449,1.0,1.0
643,733,0.0,1.0
354,1874,1.0,1.0
533,1145,1.0,1.0
606,2302,1.0,1.0
534,1453,1.0,1.0
1010,1220,1.0,1.0
533,607,1.0,1.0
891,1334,1.0,1.0
1063,1413,0.0,1.0
1813,2309,1.0,1.0
164,202,1.0,1.0
215,2146,1.0,1.0
544,1888,1.0,1.0
33,1605,1.0,1.0
