edge_index0,edge_index1,pred,gr
1230,2174,1.0,1.0
1877,1950,1.0,1.0
2004,2396,0.0,1.0
169,473,1.0,1.0
114,152,1.0,1.0
382,1660,1.0,1.0
1115,1125,0.0,1.0
335,700,1.0,1.0
106,1770,1.0,1.0
799,1385,1.0,1.0
1520,1521,1.0,1.0
50,606,0.0,1.0
2297,2409,1.0,1.0
342,702,1.0,1.0
287,402,1.0,1.0
1157,1165,1.0,1.0
703,1818,1.0,1.0
278,556,1.0,1.0
784,991,1.0,1.0
1190,1947,1.0,1.0
425,517,1.0,1.0
1669,1968,1.0,1.0
355,1390,1.0,1.0
829,922,0.0,1.0
157,643,1.0,1.0
528,900,1.0,1.0
1750,1961,0.0,1.0
865,1181,0.0,1.0
797,1443,1.0,1.0
2198,2321,1.0,1.0
1280,1378,1.0,1.0
73,585,1.0,1.0
207,450,1.0,1.0
295,1548,1.0,1.0
254,2371,1.0,1.0
73,929,1.0,1.0
1289,2321,1.0,1.0
881,950,1.0,1.0
905,1220,1.0,1.0
915,1316,0.0,1.0
506,1593,1.0,1.0
159,1480,1.0,1.0
1109,1112,1.0,1.0
236,470,0.0,1.0
1040,1253,1.0,1.0
540,702,1.0,1.0
2228,2455,1.0,1.0
173,313,1.0,1.0
386,504,1.0,1.0
1955,1956,1.0,1.0
601,1991,1.0,1.0
285,461,0.0,1.0
572,575,1.0,1.0
553,1000,1.0,1.0
1844,2471,1.0,1.0
1196,1260,1.0,1.0
159,1736,1.0,1.0
824,1431,1.0,1.0
939,1171,1.0,1.0
698,1935,1.0,1.0
194,562,1.0,1.0
278,438,1.0,1.0
1241,2269,0.0,1.0
28,1514,1.0,1.0
2157,2395,1.0,1.0
684,1383,1.0,1.0
1537,2157,1.0,1.0
24,255,0.0,1.0
523,524,1.0,1.0
65,177,1.0,1.0
812,1091,1.0,1.0
283,1941,1.0,1.0
647,1177,1.0,1.0
1691,1878,1.0,1.0
206,702,0.0,1.0
44,2247,1.0,1.0
389,1360,1.0,1.0
559,1528,1.0,1.0
455,534,1.0,1.0
2308,2309,1.0,1.0
150,702,1.0,1.0
139,215,1.0,1.0
1741,1749,1.0,1.0
2051,2482,1.0,1.0
1260,1424,1.0,1.0
402,1203,1.0,1.0
2393,2452,0.0,1.0
977,982,1.0,1.0
84,358,1.0,1.0
77,441,1.0,1.0
159,1156,1.0,1.0
206,644,0.0,1.0
940,1170,1.0,1.0
741,1216,1.0,1.0
627,700,0.0,1.0
168,1301,1.0,1.0
786,1431,1.0,1.0
93,1922,1.0,1.0
526,853,1.0,1.0
1055,1947,1.0,1.0
1924,1944,1.0,1.0
733,1135,1.0,1.0
1622,2188,1.0,1.0
533,1643,1.0,1.0
1071,1572,1.0,1.0
425,1367,1.0,1.0
1254,1854,1.0,1.0
182,370,1.0,1.0
1738,2389,1.0,1.0
518,2242,1.0,1.0
1943,2063,1.0,1.0
1860,2075,0.0,1.0
601,812,1.0,1.0
75,2335,1.0,1.0
1771,2435,0.0,1.0
1055,1496,1.0,1.0
1000,1486,1.0,1.0
428,537,1.0,1.0
901,1162,1.0,1.0
766,984,1.0,1.0
1169,1218,1.0,1.0
324,491,1.0,1.0
533,650,1.0,1.0
