edge_index0,edge_index1,pred,gr
1420,2360,1.0,1.0
333,402,0.0,1.0
1209,1271,1.0,1.0
21,1301,0.0,1.0
15,506,0.0,1.0
61,891,0.0,1.0
283,1963,1.0,1.0
1659,2306,1.0,1.0
1887,2474,0.0,1.0
118,687,0.0,1.0
402,2231,1.0,1.0
522,533,1.0,1.0
818,1555,0.0,1.0
296,480,0.0,1.0
1896,2154,0.0,1.0
1634,2242,1.0,1.0
159,225,0.0,1.0
1854,2278,0.0,1.0
1550,1747,1.0,1.0
425,1062,1.0,1.0
1910,2229,0.0,1.0
979,1277,0.0,1.0
1086,1087,0.0,1.0
1850,1996,1.0,1.0
2237,2320,1.0,1.0
2028,2105,0.0,1.0
390,743,0.0,1.0
2193,2402,0.0,1.0
1140,1353,0.0,1.0
339,2149,1.0,1.0
157,2138,0.0,1.0
1201,1512,1.0,1.0
949,1403,0.0,1.0
2308,2309,1.0,1.0
829,922,0.0,1.0
1704,1812,0.0,1.0
493,1146,0.0,1.0
60,530,1.0,1.0
354,1550,0.0,1.0
121,2220,1.0,1.0
356,645,1.0,1.0
1154,1341,0.0,1.0
1499,1605,1.0,1.0
860,1086,0.0,1.0
70,1803,0.0,1.0
159,2451,1.0,1.0
489,2349,1.0,1.0
1986,2120,0.0,1.0
2044,2140,0.0,1.0
602,1660,0.0,1.0
212,645,0.0,1.0
1981,2035,0.0,1.0
557,1915,1.0,1.0
1984,2115,0.0,1.0
413,601,0.0,1.0
756,1570,1.0,1.0
980,1277,0.0,1.0
2197,2233,1.0,1.0
205,450,0.0,1.0
133,1293,0.0,1.0
181,493,0.0,1.0
910,1498,0.0,1.0
777,1147,1.0,1.0
586,1104,1.0,1.0
22,126,0.0,1.0
425,557,0.0,1.0
1881,1992,0.0,1.0
159,1453,0.0,1.0
1542,1588,1.0,1.0
84,2079,0.0,1.0
378,2130,1.0,1.0
236,545,0.0,1.0
2152,2339,0.0,1.0
2027,2141,0.0,1.0
544,786,1.0,1.0
533,1455,0.0,1.0
1105,2381,0.0,1.0
1924,1944,0.0,1.0
200,279,0.0,1.0
65,68,0.0,1.0
355,1186,0.0,1.0
832,1523,0.0,1.0
534,1675,0.0,1.0
161,429,1.0,1.0
33,236,0.0,1.0
1467,1587,0.0,1.0
75,622,0.0,1.0
1887,1996,0.0,1.0
633,1902,1.0,1.0
183,336,0.0,1.0
799,1515,1.0,1.0
1645,2029,0.0,1.0
700,2254,0.0,1.0
1994,2169,0.0,1.0
2109,2377,0.0,1.0
989,1311,0.0,1.0
338,1184,1.0,1.0
597,598,1.0,1.0
1759,2425,0.0,1.0
55,1719,0.0,1.0
727,1549,0.0,1.0
1647,2002,0.0,1.0
1437,2056,0.0,1.0
180,434,0.0,1.0
1052,1294,0.0,1.0
82,1272,1.0,1.0
426,509,1.0,1.0
126,1329,0.0,1.0
225,999,0.0,1.0
1055,1511,1.0,1.0
99,1711,0.0,1.0
737,1700,1.0,1.0
869,1164,1.0,1.0
1373,1589,1.0,1.0
770,1063,0.0,1.0
444,534,0.0,1.0
104,105,1.0,1.0
121,124,1.0,1.0
1347,2305,0.0,1.0
9,290,0.0,1.0
159,1935,1.0,1.0
196,504,0.0,1.0
82,1459,0.0,1.0
1902,2185,1.0,1.0
159,1819,0.0,1.0
2137,2402,0.0,1.0
41,2273,0.0,1.0
198,598,0.0,1.0
599,1481,1.0,1.0
2150,2238,1.0,1.0
402,2134,1.0,1.0
138,181,0.0,1.0
533,1889,1.0,1.0
595,598,1.0,1.0
1669,1687,1.0,1.0
574,702,0.0,1.0
410,571,0.0,1.0
142,2116,0.0,1.0
67,1712,1.0,1.0
1477,1585,0.0,1.0
1077,1480,1.0,1.0
698,1892,1.0,1.0
251,712,0.0,1.0
1260,1262,1.0,1.0
493,1682,0.0,1.0
77,2464,0.0,1.0
2164,2401,0.0,1.0
478,751,0.0,1.0
1580,1586,1.0,1.0
1997,2282,0.0,1.0
234,2263,0.0,1.0
1674,1706,0.0,1.0
629,1241,0.0,1.0
73,1540,0.0,1.0
1239,1530,0.0,1.0
334,544,1.0,1.0
201,1437,0.0,1.0
970,1074,0.0,1.0
159,182,1.0,1.0
1918,2476,0.0,1.0
282,385,0.0,1.0
215,450,0.0,1.0
159,1068,0.0,1.0
838,841,1.0,1.0
2051,2470,1.0,1.0
1775,1777,1.0,1.0
1600,2083,0.0,1.0
743,1329,0.0,1.0
389,856,0.0,1.0
533,1523,1.0,1.0
546,1060,0.0,1.0
2144,2417,1.0,1.0
159,2186,0.0,1.0
675,702,1.0,1.0
586,1815,0.0,1.0
823,867,0.0,1.0
473,475,1.0,1.0
73,1808,1.0,1.0
80,1301,1.0,1.0
300,2246,0.0,1.0
474,533,1.0,1.0
106,732,0.0,1.0
533,565,1.0,1.0
1253,1342,0.0,1.0
1550,2242,0.0,1.0
73,482,0.0,1.0
755,1471,1.0,1.0
735,1116,0.0,1.0
133,451,0.0,1.0
324,1529,1.0,1.0
461,702,0.0,1.0
57,520,1.0,1.0
1600,1819,0.0,1.0
47,84,0.0,1.0
43,702,0.0,1.0
2052,2112,0.0,1.0
652,1388,0.0,1.0
2055,2397,0.0,1.0
2235,2315,0.0,1.0
599,718,1.0,1.0
83,437,1.0,1.0
994,998,0.0,1.0
2184,2326,0.0,1.0
870,1064,0.0,1.0
1047,1478,1.0,1.0
827,1477,1.0,1.0
1157,1165,0.0,1.0
496,702,0.0,1.0
374,1180,1.0,1.0
1467,1607,1.0,1.0
159,2363,1.0,1.0
1808,1966,1.0,1.0
139,215,1.0,1.0
3,187,0.0,1.0
960,1254,0.0,1.0
744,1918,1.0,1.0
1054,1501,0.0,1.0
858,1069,1.0,1.0
2343,2457,0.0,1.0
915,917,0.0,1.0
889,1552,0.0,1.0
2297,2409,1.0,1.0
512,706,1.0,1.0
803,2242,1.0,1.0
334,1011,1.0,1.0
548,1064,1.0,1.0
2161,2179,1.0,1.0
273,1444,1.0,1.0
562,635,0.0,1.0
242,875,1.0,1.0
442,450,0.0,1.0
881,886,0.0,1.0
757,877,0.0,1.0
1415,2218,1.0,1.0
406,1264,0.0,1.0
80,288,1.0,1.0
2095,2174,0.0,1.0
156,441,0.0,1.0
354,1204,1.0,1.0
133,1188,0.0,1.0
595,2317,0.0,1.0
284,1528,0.0,1.0
1112,1527,1.0,1.0
77,154,1.0,1.0
871,1377,0.0,1.0
401,788,0.0,1.0
538,1187,0.0,1.0
239,1703,0.0,1.0
1031,1401,0.0,1.0
876,1601,0.0,1.0
106,1567,0.0,1.0
821,1499,0.0,1.0
1993,2133,1.0,1.0
666,1242,0.0,0.0
1213,1959,0.0,0.0
1776,2424,0.0,0.0
11,2198,0.0,0.0
2291,1230,0.0,0.0
1314,556,0.0,0.0
1956,1204,0.0,0.0
1438,460,0.0,0.0
1368,1389,0.0,0.0
