edge_index0,edge_index1,pred,gr
402,466,1.0,1.0
929,1516,1.0,1.0
205,2204,1.0,1.0
159,2357,1.0,1.0
506,1136,1.0,1.0
2117,2142,1.0,1.0
44,2247,1.0,1.0
778,1514,1.0,1.0
2095,2174,0.0,1.0
159,1230,1.0,1.0
224,1524,1.0,1.0
928,2400,1.0,1.0
551,1146,1.0,1.0
1427,1489,1.0,1.0
159,2456,1.0,1.0
1603,2441,1.0,1.0
707,1528,1.0,1.0
175,623,1.0,1.0
850,924,1.0,1.0
1942,2410,0.0,1.0
1145,1555,1.0,1.0
313,728,1.0,1.0
80,533,1.0,1.0
1258,1292,0.0,1.0
397,1595,0.0,1.0
575,2178,1.0,1.0
1923,1925,1.0,1.0
959,1185,1.0,1.0
366,1211,1.0,1.0
1730,2419,0.0,1.0
1718,1719,0.0,1.0
355,2032,1.0,1.0
2036,2480,1.0,1.0
1723,2161,1.0,1.0
564,700,1.0,1.0
270,1833,1.0,1.0
1445,1447,0.0,1.0
747,1048,1.0,1.0
528,1298,1.0,1.0
5,2005,1.0,1.0
1467,1570,1.0,1.0
286,401,1.0,1.0
523,524,1.0,1.0
848,1274,1.0,1.0
1061,1277,1.0,1.0
206,644,0.0,1.0
159,925,1.0,1.0
90,713,1.0,1.0
194,696,1.0,1.0
956,1009,1.0,1.0
324,2404,1.0,1.0
1085,1444,1.0,1.0
868,1627,1.0,1.0
1271,1369,1.0,1.0
73,821,1.0,1.0
228,717,0.0,1.0
1562,2183,1.0,1.0
440,2201,1.0,1.0
575,1275,1.0,1.0
1435,1436,1.0,1.0
552,602,1.0,1.0
670,975,1.0,1.0
1647,2253,1.0,1.0
393,451,1.0,1.0
73,622,1.0,1.0
1526,1625,0.0,1.0
799,1320,1.0,1.0
2032,2097,0.0,1.0
426,1291,1.0,1.0
542,603,1.0,1.0
682,1007,1.0,1.0
1254,1975,1.0,1.0
1063,1413,0.0,1.0
230,684,1.0,1.0
1398,1481,1.0,1.0
537,941,1.0,1.0
1249,1647,1.0,1.0
1094,1402,0.0,1.0
598,642,1.0,1.0
812,1700,1.0,1.0
1821,1859,1.0,1.0
143,702,1.0,1.0
159,531,1.0,1.0
1839,2188,1.0,1.0
1901,2087,1.0,1.0
358,601,1.0,1.0
215,1456,1.0,1.0
142,1552,0.0,1.0
1624,1625,0.0,1.0
278,438,1.0,1.0
18,702,1.0,1.0
159,2092,1.0,1.0
1360,1363,1.0,1.0
1297,1457,1.0,1.0
1148,1226,1.0,1.0
1124,1993,1.0,1.0
321,1458,1.0,1.0
1503,1563,1.0,1.0
575,1018,1.0,1.0
831,2039,1.0,1.0
1251,2003,1.0,1.0
1049,1264,1.0,1.0
354,1550,1.0,1.0
996,1401,1.0,1.0
1562,1614,1.0,1.0
1814,1819,0.0,1.0
1170,1272,1.0,1.0
481,2058,1.0,1.0
509,1061,1.0,1.0
799,1154,1.0,1.0
1839,2036,0.0,1.0
1095,2151,1.0,1.0
603,1915,1.0,1.0
497,1562,1.0,1.0
827,951,1.0,1.0
339,1680,1.0,1.0
435,449,1.0,1.0
