edge_index0,edge_index1,pred,gr
450,581,1.0,1.0
159,1695,1.0,1.0
2111,2248,1.0,1.0
891,1215,1.0,1.0
241,537,1.0,1.0
488,623,1.0,1.0
1347,2243,1.0,1.0
807,1063,1.0,1.0
575,2314,1.0,1.0
510,702,1.0,1.0
1985,2055,1.0,1.0
536,794,1.0,1.0
675,702,1.0,1.0
799,912,1.0,1.0
945,1268,1.0,1.0
159,2397,1.0,1.0
703,1818,1.0,1.0
548,549,1.0,1.0
1049,1478,1.0,1.0
553,1949,1.0,1.0
26,2407,1.0,1.0
324,948,1.0,1.0
1280,1378,1.0,1.0
1268,1287,1.0,1.0
319,343,1.0,1.0
2252,2254,1.0,1.0
364,1815,1.0,1.0
1391,1630,1.0,1.0
1657,1762,1.0,1.0
889,956,1.0,1.0
425,1956,1.0,1.0
1667,2345,1.0,1.0
1081,2248,1.0,1.0
1076,1505,1.0,1.0
747,1178,1.0,1.0
1514,2205,1.0,1.0
1221,1514,1.0,1.0
323,498,1.0,1.0
402,634,1.0,1.0
127,633,1.0,1.0
1520,1521,1.0,1.0
154,2065,1.0,1.0
1913,1923,1.0,1.0
499,1407,1.0,1.0
402,1456,1.0,1.0
1168,1341,1.0,1.0
439,685,1.0,1.0
956,1383,1.0,1.0
737,1253,1.0,1.0
628,2100,1.0,1.0
617,727,1.0,1.0
404,645,1.0,1.0
163,447,1.0,1.0
376,595,1.0,1.0
1741,2295,1.0,1.0
1839,2136,1.0,1.0
121,2220,1.0,1.0
2103,2185,1.0,1.0
936,1853,1.0,1.0
686,724,1.0,1.0
457,1725,1.0,1.0
96,1184,1.0,1.0
876,1467,1.0,1.0
61,2366,1.0,1.0
1705,1891,1.0,1.0
971,1253,1.0,1.0
75,653,1.0,1.0
219,269,1.0,1.0
1123,1218,1.0,1.0
41,1619,1.0,1.0
385,533,1.0,1.0
533,832,1.0,1.0
380,1213,1.0,1.0
761,1067,1.0,1.0
384,708,1.0,1.0
894,1210,1.0,1.0
189,557,1.0,1.0
36,1930,1.0,1.0
1809,2107,1.0,1.0
198,1199,1.0,1.0
45,209,1.0,1.0
9,425,1.0,1.0
133,1396,1.0,1.0
519,2287,1.0,1.0
82,1170,1.0,1.0
799,1310,1.0,1.0
178,314,1.0,1.0
1666,2177,1.0,1.0
143,402,1.0,1.0
700,1092,1.0,1.0
1889,2228,1.0,1.0
720,922,1.0,1.0
198,404,1.0,1.0
767,830,1.0,1.0
303,2020,1.0,1.0
1098,1478,1.0,1.0
244,971,1.0,1.0
744,1422,1.0,1.0
1855,2402,1.0,1.0
1874,1982,1.0,1.0
782,1181,1.0,1.0
324,1363,1.0,1.0
581,601,1.0,1.0
2144,2248,1.0,1.0
70,1547,1.0,1.0
34,527,1.0,1.0
1460,1462,1.0,1.0
281,413,1.0,1.0
354,651,1.0,1.0
345,702,1.0,1.0
887,1620,1.0,1.0
421,534,1.0,1.0
989,1311,1.0,1.0
1424,1577,1.0,1.0
218,490,1.0,1.0
2407,2418,1.0,1.0
992,1515,1.0,1.0
1181,1402,1.0,1.0
381,402,1.0,1.0
1060,1126,1.0,1.0
1303,1620,1.0,1.0
324,328,1.0,1.0
46,285,1.0,1.0
410,580,1.0,1.0
84,1883,1.0,1.0
1867,1902,1.0,1.0
354,1204,1.0,1.0
533,650,1.0,1.0
533,1744,1.0,1.0
665,1054,1.0,1.0
216,245,1.0,1.0
290,1890,1.0,1.0
1988,2022,1.0,1.0
474,2337,1.0,1.0
273,1206,1.0,1.0
70,637,1.0,1.0
879,1420,1.0,1.0
357,1167,1.0,1.0
463,2201,1.0,1.0
1888,2352,1.0,1.0
752,1603,1.0,1.0
1253,1425,1.0,1.0
533,2286,1.0,1.0
780,1375,1.0,1.0
513,702,1.0,1.0
999,1772,1.0,1.0
939,1171,1.0,1.0
611,2360,1.0,1.0
53,755,1.0,1.0
57,912,1.0,1.0
38,1593,1.0,1.0
395,489,1.0,1.0
77,441,1.0,1.0
59,538,1.0,1.0
635,1363,1.0,1.0
915,1316,1.0,1.0
1902,2185,1.0,1.0
2244,2288,1.0,1.0
735,1116,1.0,1.0
2001,2446,1.0,1.0
85,113,1.0,1.0
104,105,1.0,1.0
2246,2388,1.0,1.0
533,2455,1.0,1.0
104,1815,1.0,1.0
863,2468,1.0,1.0
1274,1415,1.0,1.0
1147,1603,1.0,1.0
901,2395,1.0,1.0
241,396,1.0,1.0
75,1457,1.0,1.0
159,619,1.0,1.0
910,911,1.0,1.0
819,1297,1.0,1.0
283,701,1.0,1.0
575,1574,1.0,1.0
1503,1834,1.0,1.0
2309,2310,1.0,1.0
106,1915,1.0,1.0
1553,2383,1.0,1.0
1342,2381,1.0,1.0
54,493,1.0,1.0
545,2445,1.0,1.0
1025,1454,1.0,1.0
1064,2302,1.0,1.0
693,1643,1.0,1.0
573,675,1.0,1.0
43,544,1.0,1.0
628,2062,1.0,1.0
628,1808,1.0,1.0
683,956,1.0,1.0
109,831,1.0,1.0
867,1431,1.0,1.0
325,585,1.0,1.0
1239,1561,1.0,1.0
951,1000,1.0,1.0
159,355,1.0,1.0
1049,1253,1.0,1.0
237,454,1.0,1.0
567,631,1.0,1.0
748,749,1.0,1.0
575,1813,1.0,1.0
854,959,1.0,1.0
534,2443,1.0,1.0
765,1434,1.0,1.0
214,2247,1.0,1.0
1946,2329,1.0,1.0
30,638,1.0,1.0
1251,1510,1.0,1.0
1,324,1.0,1.0
583,702,1.0,1.0
1857,2319,1.0,1.0
238,647,1.0,1.0
361,700,1.0,1.0
61,2288,1.0,1.0
756,1376,1.0,1.0
283,1941,1.0,1.0
1621,1752,1.0,1.0
612,617,1.0,1.0
430,700,1.0,1.0
216,305,1.0,1.0
533,1296,1.0,1.0
766,1288,1.0,1.0
786,1431,1.0,1.0
130,575,1.0,1.0
590,1585,1.0,1.0
257,1917,1.0,1.0
1478,1584,1.0,1.0
404,2033,1.0,1.0
550,1415,1.0,1.0
425,826,1.0,1.0
73,186,1.0,1.0
354,1584,1.0,1.0
919,1197,1.0,1.0
31,236,1.0,1.0
153,405,1.0,1.0
915,1443,1.0,1.0
9,715,1.0,1.0
1440,1947,1.0,1.0
218,366,1.0,1.0
1253,1476,1.0,1.0
1095,2442,1.0,1.0
126,506,1.0,1.0
877,1001,1.0,1.0
738,864,1.0,1.0
888,1089,1.0,1.0
2113,2114,1.0,1.0
655,702,1.0,1.0
595,2317,1.0,1.0
538,1174,1.0,1.0
1638,1639,1.0,1.0
324,1189,1.0,1.0
269,1085,1.0,1.0
1829,2337,1.0,1.0
65,1999,1.0,1.0
916,1251,1.0,1.0
295,1277,1.0,1.0
404,1477,1.0,1.0
1805,1981,1.0,1.0
586,1986,1.0,1.0
2212,2348,1.0,1.0
810,1116,1.0,1.0
70,876,1.0,1.0
1846,2319,1.0,1.0
131,1056,1.0,1.0
261,322,1.0,1.0
841,852,1.0,1.0
32,638,1.0,1.0
1921,1923,1.0,1.0
159,882,1.0,1.0
52,216,1.0,1.0
2092,2094,1.0,1.0
1089,1519,1.0,1.0
159,1203,1.0,1.0
1205,1995,1.0,1.0
1672,1870,1.0,1.0
2147,2320,1.0,1.0
975,1149,1.0,1.0
499,2027,0.0,1.0
936,2456,1.0,1.0
2180,2185,1.0,1.0
528,2117,1.0,1.0
1808,1966,1.0,1.0
159,2364,1.0,1.0
242,926,1.0,1.0
2190,2373,1.0,1.0
52,2378,1.0,1.0
530,1115,1.0,1.0
116,216,1.0,1.0
262,278,1.0,1.0
1808,1972,1.0,1.0
1151,1516,1.0,1.0
448,569,1.0,1.0
1767,1768,1.0,1.0
675,1572,1.0,1.0
98,2463,1.0,1.0
73,1875,1.0,1.0
575,2093,1.0,1.0
201,1934,1.0,1.0
794,2443,1.0,1.0
584,1744,1.0,1.0
871,1235,1.0,1.0
437,534,1.0,1.0
159,2126,1.0,1.0
200,607,1.0,1.0
2085,2101,1.0,1.0
377,640,1.0,1.0
798,912,1.0,1.0
92,713,1.0,1.0
47,84,1.0,1.0
898,1003,1.0,1.0
384,1514,1.0,1.0
1260,1264,1.0,1.0
497,1838,1.0,1.0
2105,2328,1.0,1.0
159,2325,1.0,1.0
1867,2185,1.0,1.0
404,598,1.0,1.0
619,1485,1.0,1.0
127,603,1.0,1.0
831,1057,1.0,1.0
747,1009,1.0,1.0
1396,2343,1.0,1.0
398,526,1.0,1.0
1467,1601,1.0,1.0
237,2360,1.0,1.0
181,711,1.0,1.0
1000,1173,1.0,1.0
1051,1089,1.0,1.0
1481,2015,1.0,1.0
1277,1382,1.0,1.0
159,2188,1.0,1.0
350,427,1.0,1.0
1091,1253,1.0,1.0
1779,2023,1.0,1.0
857,1776,1.0,1.0
1537,2395,1.0,1.0
41,837,1.0,1.0
159,1787,1.0,1.0
1165,1204,1.0,1.0
18,839,1.0,1.0
2027,2148,1.0,1.0
642,645,1.0,1.0
726,1084,1.0,1.0
1780,1962,1.0,1.0
1617,2319,1.0,1.0
2092,2101,1.0,1.0
533,1829,1.0,1.0
77,528,1.0,1.0
322,2346,1.0,1.0
763,1078,1.0,1.0
83,2192,1.0,1.0
244,512,1.0,1.0
881,950,1.0,1.0
324,2012,1.0,1.0
813,2309,1.0,1.0
344,533,1.0,1.0
171,1406,1.0,1.0
106,478,1.0,1.0
757,877,1.0,1.0
402,1203,1.0,1.0
52,404,1.0,1.0
670,1947,1.0,1.0
351,598,1.0,1.0
537,1202,1.0,1.0
404,2390,1.0,1.0
1020,1021,1.0,1.0
1885,1982,1.0,1.0
533,1242,1.0,1.0
601,2342,1.0,1.0
159,1593,1.0,1.0
107,700,1.0,1.0
520,679,1.0,1.0
598,613,1.0,1.0
159,570,1.0,1.0
390,493,1.0,1.0
1206,1444,1.0,1.0
1002,1535,1.0,1.0
235,1946,1.0,1.0
1110,1594,1.0,1.0
646,2205,1.0,1.0
1985,2061,1.0,1.0
1622,1793,1.0,1.0
2098,2262,1.0,1.0
954,995,1.0,1.0
599,2455,1.0,1.0
912,972,1.0,1.0
104,846,1.0,1.0
1663,2090,1.0,1.0
858,1152,1.0,1.0
196,1773,1.0,1.0
1020,1188,1.0,1.0
1481,1579,1.0,1.0
673,1060,1.0,1.0
50,606,1.0,1.0
148,340,1.0,1.0
168,534,1.0,1.0
1232,1642,1.0,1.0
908,1430,1.0,1.0
425,1062,1.0,1.0
812,928,1.0,1.0
1347,2156,1.0,1.0
114,424,1.0,1.0
402,899,1.0,1.0
1268,1286,1.0,1.0
2072,2101,1.0,1.0
196,504,1.0,1.0
945,1386,1.0,1.0
186,489,1.0,1.0
578,579,1.0,1.0
159,673,1.0,1.0
215,601,1.0,1.0
761,1545,1.0,1.0
967,1310,1.0,1.0
194,702,1.0,1.0
711,1919,1.0,1.0
398,1218,1.0,1.0
1839,1912,1.0,1.0
157,713,1.0,1.0
1600,1841,1.0,1.0
762,1621,1.0,1.0
1159,1555,1.0,1.0
1960,2130,1.0,1.0
2376,2462,1.0,1.0
1873,2424,1.0,1.0
2039,2224,1.0,1.0
1654,2408,1.0,1.0
159,1479,1.0,1.0
1114,1477,1.0,1.0
544,1132,1.0,1.0
652,1418,1.0,1.0
1828,1993,1.0,1.0
159,699,1.0,1.0
1401,1596,1.0,1.0
856,2132,1.0,1.0
258,349,1.0,1.0
16,1601,1.0,1.0
1142,1371,1.0,1.0
1835,1947,1.0,1.0
575,1653,1.0,1.0
1783,2129,1.0,1.0
790,1431,1.0,1.0
956,1232,1.0,1.0
818,1549,1.0,1.0
1188,1820,1.0,1.0
159,2123,1.0,1.0
983,1354,1.0,1.0
402,1905,1.0,1.0
402,1661,1.0,1.0
1092,1604,1.0,1.0
912,1469,1.0,1.0
1104,2168,1.0,1.0
185,411,1.0,1.0
1444,1464,1.0,1.0
2187,2319,1.0,1.0
402,2134,1.0,1.0
2248,2417,1.0,1.0
1550,2297,1.0,1.0
282,520,1.0,1.0
114,325,1.0,1.0
236,552,1.0,1.0
1492,1533,1.0,1.0
15,79,1.0,1.0
1280,1423,1.0,1.0
988,1415,1.0,1.0
62,1455,1.0,1.0
83,400,1.0,1.0
1792,2373,1.0,1.0
2146,2293,1.0,1.0
114,152,1.0,1.0
159,184,1.0,1.0
521,2276,1.0,1.0
1731,1732,1.0,1.0
40,715,1.0,1.0
1109,1527,1.0,1.0
909,1398,1.0,1.0
156,1743,1.0,1.0
1670,2343,1.0,1.0
1061,1120,1.0,1.0
947,2185,1.0,1.0
401,1204,1.0,1.0
2064,2448,1.0,1.0
1768,1784,1.0,1.0
833,1571,1.0,1.0
1721,1787,1.0,1.0
2183,2309,1.0,1.0
1477,1585,1.0,1.0
1704,1812,1.0,1.0
859,1277,1.0,1.0
1072,2111,1.0,1.0
306,308,1.0,1.0
2138,2265,1.0,1.0
8,706,1.0,1.0
354,905,1.0,1.0
195,402,1.0,1.0
2122,2204,1.0,1.0
911,1398,1.0,1.0
874,1253,1.0,1.0
958,1080,1.0,1.0
353,585,1.0,1.0
2198,2316,1.0,1.0
402,863,1.0,1.0
1158,1167,1.0,1.0
404,494,1.0,1.0
133,2219,1.0,1.0
2309,2314,1.0,1.0
34,533,1.0,1.0
137,305,1.0,1.0
487,2318,1.0,1.0
808,2131,1.0,1.0
458,1085,1.0,1.0
444,520,1.0,1.0
2308,2367,1.0,1.0
1877,1950,1.0,1.0
1017,2277,1.0,1.0
633,2185,1.0,1.0
425,2413,1.0,1.0
144,451,1.0,1.0
1163,2395,1.0,1.0
74,272,1.0,1.0
739,812,1.0,1.0
1977,2271,1.0,1.0
946,1239,1.0,1.0
1678,2364,1.0,1.0
492,495,1.0,1.0
1162,1163,1.0,1.0
805,1263,1.0,1.0
527,1704,1.0,1.0
973,1106,1.0,1.0
1119,1165,1.0,1.0
81,278,1.0,1.0
1306,1318,1.0,1.0
208,668,1.0,1.0
154,863,1.0,1.0
54,1591,1.0,1.0
831,2123,1.0,1.0
451,2427,1.0,1.0
1866,2323,1.0,1.0
970,1688,1.0,1.0
538,1431,1.0,1.0
159,765,1.0,1.0
691,1054,1.0,1.0
1218,1550,1.0,1.0
1148,1479,1.0,1.0
2,520,1.0,1.0
53,1471,1.0,1.0
551,2218,1.0,1.0
599,2040,1.0,1.0
159,2116,1.0,1.0
215,450,1.0,1.0
159,1841,1.0,1.0
577,2307,1.0,1.0
795,917,1.0,1.0
1187,1431,1.0,1.0
159,1684,1.0,1.0
2172,2320,1.0,1.0
21,535,1.0,1.0
754,1392,1.0,1.0
580,1907,1.0,1.0
1760,2050,1.0,1.0
89,2255,1.0,1.0
300,2137,1.0,1.0
1800,2250,1.0,1.0
1059,1546,1.0,1.0
853,1317,1.0,1.0
1797,2220,1.0,1.0
647,787,1.0,1.0
1314,1355,1.0,1.0
378,2130,1.0,1.0
993,1178,1.0,1.0
1946,2330,1.0,1.0
83,278,1.0,1.0
1210,1388,1.0,1.0
538,1132,1.0,1.0
776,1528,1.0,1.0
1664,2157,1.0,1.0
602,1660,1.0,1.0
1007,2309,1.0,1.0
422,609,1.0,1.0
1488,1532,1.0,1.0
1383,1556,1.0,1.0
315,534,1.0,1.0
397,1008,1.0,1.0
69,940,1.0,1.0
1336,1340,1.0,1.0
2258,2382,1.0,1.0
159,1968,1.0,1.0
771,1090,1.0,1.0
394,1647,1.0,1.0
75,1066,1.0,1.0
747,1595,1.0,1.0
265,2349,1.0,1.0
1085,1278,1.0,1.0
89,133,1.0,1.0
965,1169,1.0,1.0
372,702,1.0,1.0
499,652,1.0,1.0
523,579,1.0,1.0
833,1142,1.0,1.0
1699,2229,1.0,1.0
337,505,1.0,1.0
122,369,1.0,1.0
759,1356,1.0,1.0
173,575,1.0,1.0
304,912,1.0,1.0
41,112,1.0,1.0
412,530,1.0,1.0
1049,2120,1.0,1.0
911,1069,1.0,1.0
869,1164,1.0,1.0
69,1432,1.0,1.0
797,2014,1.0,1.0
1185,1550,1.0,1.0
1227,1267,1.0,1.0
1655,2056,1.0,1.0
488,720,1.0,1.0
42,159,1.0,1.0
575,2065,1.0,1.0
1957,2284,1.0,1.0
1088,1371,1.0,1.0
274,1793,1.0,1.0
825,1124,1.0,1.0
601,1777,1.0,1.0
1175,1431,1.0,1.0
871,1449,1.0,1.0
883,1427,1.0,1.0
199,2481,1.0,1.0
215,775,1.0,1.0
648,1488,1.0,1.0
319,326,1.0,1.0
142,2327,1.0,1.0
2073,2321,1.0,1.0
106,603,1.0,1.0
30,2106,1.0,1.0
832,1439,1.0,1.0
1174,1431,1.0,1.0
1585,1628,1.0,1.0
402,1862,1.0,1.0
858,1182,1.0,1.0
1197,1729,1.0,1.0
817,1410,1.0,1.0
869,870,1.0,1.0
282,385,1.0,1.0
1431,1435,1.0,1.0
159,1618,1.0,1.0
20,253,1.0,1.0
430,702,1.0,1.0
2199,2235,1.0,1.0
629,1241,1.0,1.0
693,1493,1.0,1.0
1018,1311,1.0,1.0
192,725,1.0,1.0
330,686,1.0,1.0
2049,2058,1.0,1.0
1706,2378,1.0,1.0
768,1135,1.0,1.0
193,339,1.0,1.0
1681,2022,1.0,1.0
1771,2383,1.0,1.0
322,1821,1.0,1.0
1749,1970,1.0,1.0
1767,1784,1.0,1.0
1074,1466,1.0,1.0
772,1053,0.0,1.0
1806,1818,1.0,1.0
1089,1150,1.0,1.0
163,1654,1.0,1.0
884,1165,1.0,1.0
402,465,1.0,1.0
2315,2373,1.0,1.0
1233,1236,1.0,1.0
203,462,1.0,1.0
1188,2048,1.0,1.0
1218,1616,1.0,1.0
233,528,1.0,1.0
80,1301,1.0,1.0
533,1675,1.0,1.0
557,1281,1.0,1.0
575,674,1.0,1.0
978,1128,1.0,1.0
133,1670,1.0,1.0
59,790,1.0,1.0
1600,1665,1.0,1.0
105,287,1.0,1.0
1669,1685,1.0,1.0
875,926,1.0,1.0
955,1263,1.0,1.0
175,488,1.0,1.0
811,1350,1.0,1.0
520,650,1.0,1.0
