edge_index0,edge_index1,pred,gr
89,520,1.0,1.0
824,1431,1.0,1.0
397,1589,0.0,1.0
2200,2241,0.0,1.0
1276,2144,1.0,1.0
739,1253,1.0,1.0
1974,2048,1.0,1.0
181,710,1.0,1.0
987,1273,1.0,1.0
339,2149,1.0,1.0
497,2401,0.0,1.0
12,152,1.0,1.0
958,1077,0.0,1.0
242,2193,1.0,1.0
324,1529,1.0,1.0
1023,1897,1.0,1.0
1205,1393,1.0,1.0
159,1051,1.0,1.0
159,1481,1.0,1.0
1431,1436,1.0,1.0
487,1102,1.0,1.0
1740,1749,1.0,1.0
147,606,1.0,1.0
60,533,1.0,1.0
104,236,1.0,1.0
274,1726,0.0,1.0
675,2361,1.0,1.0
747,1373,1.0,1.0
461,1703,1.0,1.0
1789,1861,0.0,1.0
263,1780,1.0,1.0
668,2449,1.0,1.0
324,1173,1.0,1.0
1110,1163,1.0,1.0
927,1900,1.0,1.0
532,1728,0.0,1.0
1018,1241,1.0,1.0
897,1321,0.0,1.0
695,1570,1.0,1.0
804,1162,1.0,1.0
544,569,1.0,1.0
2313,2451,1.0,1.0
159,291,0.0,1.0
45,1376,1.0,1.0
687,1368,1.0,1.0
323,1434,1.0,1.0
70,1803,1.0,1.0
186,226,1.0,1.0
970,1074,1.0,1.0
520,704,1.0,1.0
1999,2365,0.0,1.0
244,407,1.0,1.0
702,733,1.0,1.0
1860,1954,0.0,1.0
530,1771,1.0,1.0
278,601,1.0,1.0
649,2274,0.0,1.0
477,485,0.0,1.0
159,566,1.0,1.0
278,2290,1.0,1.0
1847,2319,0.0,1.0
438,520,1.0,1.0
2200,2310,0.0,1.0
1526,1624,0.0,1.0
697,1170,1.0,1.0
2169,2390,1.0,1.0
1239,1305,1.0,1.0
2245,2250,1.0,1.0
1722,1873,0.0,1.0
2250,2388,1.0,1.0
491,1188,1.0,1.0
179,278,1.0,1.0
495,1346,1.0,1.0
325,2096,0.0,1.0
703,1811,1.0,1.0
1195,1484,1.0,1.0
169,473,1.0,1.0
168,543,0.0,1.0
2011,2071,1.0,1.0
838,841,1.0,1.0
277,544,0.0,1.0
2276,2401,0.0,1.0
482,575,0.0,1.0
641,1683,1.0,1.0
781,1181,1.0,1.0
355,1677,1.0,1.0
965,1218,1.0,1.0
