edge_index0,edge_index1,pred,gr
1052,1511,1.0,1.0
4,165,0.0,1.0
1361,1450,0.0,1.0
1401,1432,1.0,1.0
82,896,1.0,1.0
533,2294,1.0,1.0
881,886,1.0,1.0
1889,2228,1.0,1.0
324,1764,1.0,1.0
958,1074,1.0,1.0
586,1003,1.0,1.0
305,2360,1.0,1.0
933,1023,1.0,1.0
1073,1106,1.0,1.0
402,1699,1.0,1.0
269,458,1.0,1.0
200,693,1.0,1.0
1209,1388,1.0,1.0
2055,2397,1.0,1.0
1023,1897,1.0,1.0
2343,2457,1.0,1.0
530,1880,1.0,1.0
65,1177,1.0,1.0
159,2363,1.0,1.0
159,1065,1.0,1.0
404,642,1.0,1.0
307,1133,1.0,1.0
33,236,1.0,1.0
1061,1108,1.0,1.0
537,1198,1.0,1.0
534,2443,1.0,1.0
458,1206,1.0,1.0
956,1009,1.0,1.0
83,520,1.0,1.0
940,1170,1.0,1.0
537,1375,1.0,1.0
2190,2275,1.0,1.0
911,1078,1.0,1.0
1232,1642,1.0,1.0
986,1270,1.0,1.0
159,1684,1.0,1.0
1709,2447,1.0,1.0
125,278,1.0,1.0
169,2228,1.0,1.0
460,557,1.0,1.0
553,859,1.0,1.0
2344,2368,0.0,1.0
393,1130,1.0,1.0
334,1431,1.0,1.0
933,1291,1.0,1.0
1204,2118,1.0,1.0
1101,1372,1.0,1.0
1289,2197,1.0,1.0
199,2481,1.0,1.0
1083,1582,1.0,1.0
810,881,1.0,1.0
489,663,1.0,1.0
106,478,1.0,1.0
937,955,1.0,1.0
774,1401,1.0,1.0
1219,1457,0.0,1.0
635,1348,1.0,1.0
999,1772,1.0,1.0
401,1974,1.0,1.0
394,1647,1.0,1.0
1347,2412,1.0,1.0
527,2168,1.0,1.0
2401,2406,1.0,1.0
881,1276,1.0,1.0
1834,2458,1.0,1.0
1052,1294,0.0,1.0
598,621,0.0,1.0
1877,2154,1.0,1.0
378,2130,1.0,1.0
2032,2097,0.0,1.0
444,612,1.0,1.0
73,585,1.0,1.0
404,598,1.0,1.0
434,2380,1.0,1.0
927,1041,1.0,1.0
1326,1380,0.0,1.0
858,1498,1.0,1.0
1503,1834,1.0,1.0
564,700,1.0,1.0
564,702,1.0,1.0
823,867,1.0,1.0
183,489,1.0,1.0
1792,2199,1.0,1.0
493,2430,1.0,1.0
226,1703,1.0,1.0
495,1346,1.0,1.0
1049,2120,1.0,1.0
1679,2043,0.0,1.0
1454,1490,1.0,1.0
2016,2092,1.0,1.0
159,2116,1.0,1.0
530,1321,1.0,1.0
99,1874,1.0,1.0
18,816,0.0,1.0
131,1982,1.0,1.0
212,645,1.0,1.0
140,319,1.0,1.0
629,1421,1.0,1.0
533,1242,1.0,1.0
2230,2450,0.0,1.0
592,1447,1.0,1.0
355,881,1.0,1.0
342,2028,1.0,1.0
686,724,1.0,1.0
739,1425,1.0,1.0
376,2278,1.0,1.0
940,1424,1.0,1.0
569,636,1.0,1.0
1860,1954,1.0,1.0
533,1629,1.0,1.0
2004,2396,0.0,1.0
1260,1424,1.0,1.0
2013,2473,1.0,1.0
1119,1165,1.0,1.0
54,1591,1.0,1.0
401,1000,1.0,1.0
278,532,1.0,1.0
1055,1496,1.0,1.0
923,1405,0.0,1.0
533,1296,1.0,1.0
815,2360,1.0,1.0
345,702,1.0,1.0
1503,1670,1.0,1.0
109,587,1.0,1.0
450,709,0.0,1.0
481,489,1.0,1.0
2044,2070,0.0,1.0
1810,1886,1.0,1.0
2157,2395,1.0,1.0
1781,2120,1.0,1.0
548,1064,1.0,1.0
816,839,0.0,1.0
162,520,1.0,1.0
1110,1639,1.0,1.0
99,1777,1.0,1.0
428,537,1.0,1.0
374,1180,1.0,1.0
547,655,1.0,1.0
114,152,1.0,1.0
70,2259,1.0,1.0
344,455,1.0,1.0
946,1239,0.0,1.0
266,432,1.0,1.0
200,607,1.0,1.0
918,1018,1.0,1.0
745,944,1.0,1.0
106,1915,1.0,1.0
159,1935,1.0,1.0
870,1335,1.0,1.0
1415,2000,1.0,1.0
1064,2195,1.0,1.0
1654,2408,0.0,1.0
1149,1576,1.0,1.0
140,326,1.0,1.0
1110,1638,1.0,1.0
2355,2360,0.0,1.0
1314,1334,1.0,1.0
184,420,1.0,1.0
1796,2017,1.0,1.0
1984,2115,1.0,1.0
178,364,1.0,1.0
659,702,1.0,1.0
1590,2245,1.0,1.0
1170,1437,1.0,1.0
159,370,1.0,1.0
949,1403,1.0,1.0
871,1397,1.0,1.0
294,402,1.0,1.0
1205,1393,1.0,1.0
763,1078,1.0,1.0
1758,2353,0.0,1.0
354,1584,1.0,1.0
810,1793,1.0,1.0
831,1135,1.0,1.0
2009,2176,1.0,1.0
775,1211,1.0,1.0
216,245,1.0,1.0
254,1907,1.0,1.0
586,600,1.0,1.0
1835,1947,1.0,1.0
629,2466,1.0,1.0
323,1037,1.0,1.0
1022,1566,0.0,1.0
73,964,1.0,1.0
144,451,0.0,1.0
317,553,1.0,1.0
533,650,1.0,1.0
802,955,1.0,1.0
987,1339,1.0,1.0
43,544,1.0,1.0
121,2220,1.0,1.0
402,555,1.0,1.0
1081,2006,1.0,1.0
825,1124,1.0,1.0
100,278,1.0,1.0
533,2422,1.0,1.0
1247,2340,1.0,1.0
530,1115,1.0,1.0
2082,2101,1.0,1.0
133,2343,1.0,1.0
635,1360,1.0,1.0
552,602,1.0,1.0
491,1021,1.0,1.0
795,1677,1.0,1.0
1018,1621,1.0,1.0
551,2368,1.0,1.0
572,639,1.0,1.0
1874,1982,1.0,1.0
1838,2414,1.0,1.0
2236,2335,1.0,1.0
73,151,1.0,1.0
236,665,1.0,1.0
2144,2248,1.0,1.0
335,700,1.0,1.0
1727,2470,1.0,1.0
1645,2029,0.0,1.0
2110,2116,1.0,1.0
533,832,1.0,1.0
1918,2476,1.0,1.0
1085,1278,1.0,1.0
1467,2443,1.0,1.0
700,1472,1.0,1.0
1045,1232,1.0,1.0
533,2259,1.0,1.0
1437,2056,1.0,1.0
1553,1932,1.0,1.0
1201,1369,1.0,1.0
402,2231,1.0,1.0
493,1809,1.0,1.0
684,1383,1.0,1.0
335,544,1.0,1.0
203,462,1.0,1.0
542,2185,1.0,1.0
1088,1371,0.0,1.0
759,1578,1.0,1.0
378,1960,1.0,1.0
1147,1611,1.0,1.0
905,1220,1.0,1.0
1091,1700,1.0,1.0
872,1442,0.0,1.0
537,941,1.0,1.0
1332,1350,1.0,1.0
1895,2415,0.0,1.0
404,1524,1.0,1.0
230,337,1.0,1.0
257,674,1.0,1.0
215,280,1.0,1.0
402,1203,1.0,1.0
989,1332,1.0,0.0
101,1508,1.0,0.0
1502,591,1.0,0.0
1375,568,1.0,0.0
1293,2253,1.0,0.0
1066,2416,1.0,0.0
1866,454,1.0,0.0
1969,38,1.0,0.0
1045,1376,1.0,0.0
2139,2097,0.0,0.0
1681,386,1.0,0.0
1786,1807,1.0,0.0
2318,1959,1.0,0.0
2387,957,1.0,0.0
1011,254,1.0,0.0
2254,1647,1.0,0.0
1634,1836,1.0,0.0
101,2233,1.0,0.0
2030,2087,1.0,0.0
643,695,1.0,0.0
2454,1392,1.0,0.0
2141,468,1.0,0.0
8,34,1.0,0.0
362,2423,1.0,0.0
2235,994,1.0,0.0
789,1347,1.0,0.0
1661,201,1.0,0.0
584,1479,1.0,0.0
1768,896,1.0,0.0
2110,1808,1.0,0.0
1555,614,1.0,0.0
671,1790,1.0,0.0
653,610,1.0,0.0
1788,777,1.0,0.0
715,1407,1.0,0.0
125,401,1.0,0.0
1690,94,1.0,0.0
2181,1087,1.0,0.0
1500,406,1.0,0.0
376,1964,1.0,0.0
1911,1066,1.0,0.0
956,1395,1.0,0.0
2220,1120,1.0,0.0
515,919,1.0,0.0
457,2205,1.0,0.0
1577,2228,1.0,0.0
299,1650,1.0,0.0
2104,2097,0.0,0.0
170,2243,1.0,0.0
86,430,1.0,0.0
1215,1008,1.0,0.0
2088,443,1.0,0.0
788,624,1.0,0.0
1708,1576,1.0,0.0
262,2131,1.0,0.0
1683,1973,1.0,0.0
1819,2058,1.0,0.0
63,2054,1.0,0.0
1146,2416,1.0,0.0
1091,462,1.0,0.0
1108,2105,1.0,0.0
1161,107,1.0,0.0
2345,2248,1.0,0.0
2341,1762,1.0,0.0
453,1814,1.0,0.0
271,2243,1.0,0.0
2030,89,1.0,0.0
114,1738,1.0,0.0
2417,2013,1.0,0.0
270,178,1.0,0.0
1160,825,1.0,0.0
692,1434,1.0,0.0
213,2223,1.0,0.0
675,843,1.0,0.0
1475,2130,1.0,0.0
2360,1667,1.0,0.0
745,2375,1.0,0.0
1637,2182,1.0,0.0
1066,1264,1.0,0.0
368,1271,1.0,0.0
144,511,0.0,0.0
1379,1110,1.0,0.0
263,536,1.0,0.0
676,1078,1.0,0.0
2383,1607,1.0,0.0
543,262,1.0,0.0
1322,243,1.0,0.0
1678,2161,1.0,0.0
1598,723,1.0,0.0
2361,1244,1.0,0.0
229,1462,1.0,0.0
1814,2362,1.0,0.0
1425,1225,1.0,0.0
703,1840,1.0,0.0
2192,1310,1.0,0.0
1651,1102,1.0,0.0
1028,2037,1.0,0.0
78,2285,1.0,0.0
1568,802,1.0,0.0
1545,692,1.0,0.0
2334,1287,1.0,0.0
1355,1853,1.0,0.0
1480,1013,1.0,0.0
609,2135,1.0,0.0
1537,2063,1.0,0.0
125,1893,1.0,0.0
2430,1094,1.0,0.0
866,1610,1.0,0.0
1239,379,1.0,0.0
1252,1981,1.0,0.0
1512,152,1.0,0.0
1787,1443,1.0,0.0
1220,2245,1.0,0.0
2014,812,1.0,0.0
1356,2317,1.0,0.0
755,2345,1.0,0.0
9,298,1.0,0.0
705,1958,1.0,0.0
873,1378,1.0,0.0
1248,649,1.0,0.0
484,1318,1.0,0.0
1553,1004,1.0,0.0
1802,1852,1.0,0.0
659,1336,1.0,0.0
537,661,1.0,0.0
706,1927,1.0,0.0
75,155,1.0,0.0
576,1688,1.0,0.0
1973,2450,1.0,0.0
1363,1185,1.0,0.0
1700,2145,1.0,0.0
568,688,1.0,0.0
2150,575,1.0,0.0
92,2014,1.0,0.0
470,708,1.0,0.0
371,1765,1.0,0.0
2055,1369,1.0,0.0
568,328,1.0,0.0
1495,397,1.0,0.0
1655,1707,1.0,0.0
624,207,1.0,0.0
201,1665,1.0,0.0
75,1846,1.0,0.0
1361,788,0.0,0.0
1512,2482,1.0,0.0
1073,1041,1.0,0.0
1376,2412,1.0,0.0
110,2233,1.0,0.0
2375,1409,1.0,0.0
2411,538,1.0,0.0
172,1545,1.0,0.0
807,2320,1.0,0.0
1361,2429,0.0,0.0
132,409,1.0,0.0
1339,920,1.0,0.0
1665,1746,1.0,0.0
90,107,1.0,0.0
739,678,1.0,0.0
815,1916,1.0,0.0
318,890,1.0,0.0
1313,2387,1.0,0.0
1602,1748,1.0,0.0
643,2031,1.0,0.0
556,996,1.0,0.0
1124,1206,1.0,0.0
2102,134,1.0,0.0
392,605,1.0,0.0
1169,1675,1.0,0.0
