edge_index0,edge_index1,pred,gr
1996,2478,0.0,1.0
966,1352,1.0,1.0
73,2240,1.0,1.0
124,702,1.0,1.0
1593,1640,1.0,1.0
199,390,0.0,1.0
1526,1624,1.0,1.0
964,2165,1.0,1.0
1839,2036,1.0,1.0
1968,1973,0.0,1.0
126,1329,1.0,1.0
1776,1989,1.0,1.0
1490,2460,1.0,1.0
697,1170,1.0,1.0
16,438,1.0,1.0
850,910,1.0,1.0
916,1437,1.0,1.0
410,651,1.0,1.0
275,459,0.0,1.0
532,693,1.0,1.0
761,1160,1.0,1.0
729,825,1.0,1.0
2209,2373,1.0,1.0
1550,2297,1.0,1.0
790,1431,1.0,1.0
947,965,1.0,1.0
1089,1136,1.0,1.0
419,593,1.0,1.0
2277,2304,1.0,1.0
2129,2385,0.0,1.0
85,348,1.0,1.0
1764,2267,0.0,1.0
67,1848,1.0,1.0
601,2342,1.0,1.0
1280,1423,0.0,1.0
439,685,1.0,1.0
1829,2337,1.0,1.0
2125,2132,0.0,1.0
208,1324,1.0,1.0
2246,2388,1.0,1.0
538,1174,1.0,1.0
2169,2390,1.0,1.0
984,1288,1.0,1.0
301,1202,0.0,1.0
449,1661,1.0,1.0
588,620,0.0,1.0
1775,1790,1.0,1.0
80,385,1.0,1.0
758,1076,1.0,1.0
1839,2136,1.0,1.0
135,1617,1.0,1.0
539,2475,1.0,1.0
283,1963,0.0,1.0
898,1566,0.0,1.0
571,994,1.0,1.0
15,660,1.0,1.0
1217,1370,0.0,1.0
750,1551,0.0,1.0
601,1385,1.0,1.0
59,790,1.0,1.0
65,177,1.0,1.0
538,822,1.0,1.0
159,1446,1.0,1.0
1655,2168,1.0,1.0
592,1445,1.0,1.0
253,688,1.0,1.0
595,1490,1.0,1.0
450,536,1.0,1.0
530,632,1.0,1.0
1751,2102,0.0,1.0
61,398,1.0,1.0
1932,2410,1.0,1.0
1360,1363,1.0,1.0
1650,2483,0.0,1.0
520,647,1.0,1.0
1375,1379,1.0,1.0
1047,1478,1.0,1.0
437,493,1.0,1.0
449,700,1.0,1.0
184,278,1.0,1.0
1897,2131,1.0,1.0
160,487,1.0,1.0
575,2208,1.0,1.0
542,1714,1.0,1.0
1638,1639,0.0,1.0
