edge_index0,edge_index1,pred,gr
567,631,1.0,1.0
192,725,1.0,1.0
868,1194,1.0,1.0
96,2462,1.0,1.0
41,681,1.0,1.0
2103,2185,1.0,1.0
1209,1512,1.0,1.0
850,911,1.0,1.0
2107,2417,1.0,1.0
1503,1711,1.0,1.0
133,2219,1.0,1.0
267,702,1.0,1.0
1823,2357,1.0,1.0
425,1281,1.0,1.0
1422,1918,1.0,1.0
75,1812,1.0,1.0
159,390,1.0,1.0
84,675,1.0,1.0
5,462,1.0,1.0
1144,1460,1.0,1.0
2299,2383,1.0,1.0
1173,1504,1.0,1.0
752,2441,1.0,1.0
1792,2199,1.0,1.0
402,574,1.0,1.0
73,957,1.0,1.0
537,941,1.0,1.0
1939,2001,1.0,1.0
199,2161,1.0,1.0
1401,1432,1.0,1.0
2322,2358,1.0,1.0
73,2211,1.0,1.0
1064,1414,1.0,1.0
154,1265,1.0,1.0
1221,1500,1.0,1.0
986,2483,1.0,1.0
34,35,1.0,1.0
1427,1615,1.0,1.0
1429,1446,1.0,1.0
2304,2347,1.0,1.0
1060,1126,1.0,1.0
351,1484,1.0,1.0
493,519,1.0,1.0
965,1218,1.0,1.0
808,2356,1.0,1.0
344,455,1.0,1.0
159,1556,1.0,1.0
2080,2289,1.0,1.0
533,1439,1.0,1.0
310,2414,1.0,1.0
1219,1457,1.0,1.0
150,702,1.0,1.0
1665,1669,1.0,1.0
1052,1055,1.0,1.0
324,1764,1.0,1.0
1904,2100,1.0,1.0
337,1947,1.0,1.0
1767,1784,1.0,1.0
73,854,1.0,1.0
633,1377,1.0,1.0
59,1431,1.0,1.0
601,1238,1.0,1.0
1066,1216,1.0,1.0
520,565,1.0,1.0
451,611,1.0,1.0
1621,1752,1.0,1.0
159,1232,1.0,1.0
404,1139,1.0,1.0
537,666,1.0,1.0
1249,1647,1.0,1.0
95,579,1.0,1.0
74,1740,1.0,1.0
1741,2295,1.0,1.0
1460,1462,1.0,1.0
1892,2143,1.0,1.0
811,1584,1.0,1.0
1514,2205,1.0,1.0
159,1695,1.0,1.0
1262,2128,1.0,1.0
71,702,1.0,1.0
387,647,1.0,1.0
315,534,1.0,1.0
1890,2438,1.0,1.0
173,572,1.0,1.0
1647,2359,1.0,1.0
750,1551,1.0,1.0
96,713,1.0,1.0
590,1470,1.0,1.0
143,402,1.0,1.0
73,476,1.0,1.0
654,702,1.0,1.0
303,2133,1.0,1.0
1694,2109,1.0,1.0
1503,2458,1.0,1.0
1789,2129,1.0,1.0
601,678,1.0,1.0
1391,1630,1.0,1.0
283,1714,1.0,1.0
1096,1520,1.0,1.0
324,1196,1.0,1.0
50,551,1.0,1.0
758,1277,1.0,1.0
594,996,1.0,1.0
185,265,1.0,1.0
1347,2064,1.0,1.0
205,1922,1.0,1.0
2017,2336,1.0,1.0
273,2368,1.0,1.0
2291,2461,1.0,1.0
533,1969,1.0,1.0
1057,2224,1.0,1.0
210,592,1.0,1.0
155,2013,1.0,1.0
261,1967,1.0,1.0
558,559,1.0,1.0
149,1306,1.0,1.0
33,1499,1.0,1.0
1892,2444,1.0,1.0
780,1375,1.0,1.0
1503,1670,1.0,1.0
124,702,1.0,1.0
402,552,1.0,1.0
49,606,1.0,1.0
1349,1401,1.0,1.0
739,1700,1.0,1.0
159,1690,1.0,1.0
850,858,1.0,1.0
984,1266,1.0,1.0
355,2032,1.0,1.0
1189,1948,1.0,1.0
507,509,1.0,1.0
1847,2319,1.0,1.0
798,1322,1.0,1.0
657,1350,1.0,1.0
493,1801,1.0,1.0
1825,2131,1.0,1.0
1594,1638,1.0,1.0
278,2290,1.0,1.0
1008,1373,1.0,1.0
142,1155,1.0,1.0
89,133,1.0,1.0
1911,2202,1.0,1.0
2190,2275,1.0,1.0
968,1354,1.0,1.0
402,465,1.0,1.0
309,1781,1.0,1.0
323,1434,1.0,1.0
804,2395,1.0,1.0
2160,2381,1.0,1.0
1600,1664,1.0,1.0
940,1424,1.0,1.0
1004,1089,1.0,1.0
2128,2427,1.0,1.0
159,1718,1.0,1.0
448,995,1.0,1.0
159,2399,1.0,1.0
557,633,1.0,1.0
779,861,1.0,1.0
1360,1363,1.0,1.0
116,404,1.0,1.0
