edge_index0,edge_index1,pred,gr
970,1688,0.0,1.0
815,1420,0.0,1.0
842,1188,0.0,1.0
54,493,0.0,1.0
139,490,0.0,1.0
594,996,0.0,1.0
133,2378,0.0,1.0
1833,2031,0.0,1.0
548,1414,0.0,1.0
790,1613,0.0,1.0
1914,2472,0.0,1.0
518,537,0.0,1.0
159,882,1.0,1.0
870,1064,0.0,1.0
195,700,0.0,1.0
724,1213,0.0,1.0
761,764,0.0,1.0
154,1953,0.0,1.0
1097,1415,0.0,1.0
73,622,0.0,1.0
175,488,0.0,1.0
737,1253,0.0,1.0
90,713,0.0,1.0
874,959,0.0,1.0
1747,1748,0.0,1.0
216,305,0.0,1.0
185,481,0.0,1.0
50,147,0.0,1.0
486,2005,0.0,1.0
913,1213,0.0,1.0
778,1375,0.0,1.0
1503,1747,0.0,1.0
179,556,0.0,1.0
41,837,0.0,1.0
159,1427,0.0,1.0
468,624,0.0,1.0
544,786,0.0,1.0
393,1238,0.0,1.0
45,1376,0.0,1.0
1050,2234,0.0,1.0
44,2247,0.0,1.0
1663,2090,0.0,1.0
236,653,0.0,1.0
133,1041,0.0,1.0
124,700,0.0,1.0
1015,2277,0.0,1.0
1331,2039,0.0,1.0
59,1613,0.0,1.0
528,900,0.0,1.0
1277,1382,0.0,1.0
1007,2310,0.0,1.0
601,2280,0.0,1.0
1733,1734,0.0,1.0
815,879,0.0,1.0
142,2081,1.0,1.0
1731,1848,0.0,1.0
850,909,1.0,1.0
317,324,0.0,1.0
1766,1784,0.0,1.0
596,1376,0.0,1.0
159,566,0.0,1.0
1075,1376,0.0,1.0
988,1220,0.0,1.0
533,1356,0.0,1.0
191,1621,0.0,1.0
964,992,0.0,1.0
645,2342,0.0,1.0
1813,2167,0.0,1.0
742,891,0.0,1.0
1209,1512,0.0,1.0
1521,1526,0.0,1.0
544,2352,0.0,1.0
1314,1419,0.0,1.0
928,2409,0.0,1.0
200,693,0.0,1.0
837,1633,0.0,1.0
36,2211,0.0,1.0
80,533,1.0,1.0
792,1170,0.0,1.0
133,2013,0.0,1.0
14,368,0.0,1.0
1692,1702,0.0,1.0
1008,1589,1.0,1.0
493,1146,0.0,1.0
357,1167,0.0,1.0
894,1210,0.0,1.0
330,686,0.0,1.0
533,1675,0.0,1.0
936,1110,1.0,1.0
103,562,0.0,1.0
1647,2002,0.0,1.0
73,353,0.0,1.0
159,1330,0.0,1.0
2061,2292,0.0,1.0
543,1301,1.0,1.0
1776,2329,0.0,1.0
1742,2240,0.0,1.0
339,2241,0.0,1.0
1105,1253,0.0,1.0
1205,1995,0.0,1.0
932,1668,0.0,1.0
2042,2094,0.0,1.0
1347,2340,0.0,1.0
204,441,0.0,1.0
425,557,0.0,1.0
844,1295,0.0,1.0
355,1390,0.0,1.0
20,316,0.0,1.0
646,1092,0.0,1.0
82,1171,0.0,1.0
1562,2183,0.0,1.0
203,464,0.0,1.0
693,1629,0.0,1.0
507,1142,0.0,1.0
115,437,1.0,1.0
766,1019,0.0,1.0
1314,1334,0.0,1.0
18,702,0.0,1.0
337,1947,0.0,1.0
323,1434,1.0,1.0
159,1375,0.0,1.0
921,1828,0.0,1.0
860,1087,0.0,1.0
156,441,0.0,1.0
69,940,0.0,1.0
1033,1943,0.0,1.0
643,1344,0.0,1.0
523,579,0.0,1.0
117,1831,0.0,1.0
1253,1332,0.0,1.0
1091,1253,0.0,1.0
955,1263,0.0,1.0
50,551,0.0,1.0
543,2298,1.0,1.0
335,700,0.0,1.0
1347,2243,0.0,1.0
