edge_index0,edge_index1,pred,gr
142,2116,0.0,1.0
1077,1480,0.0,1.0
972,1260,0.0,1.0
726,2007,0.0,1.0
1955,1998,0.0,1.0
328,1173,0.0,1.0
73,2211,0.0,1.0
1139,1258,0.0,1.0
965,1310,0.0,1.0
192,725,0.0,1.0
73,515,0.0,1.0
1204,2119,0.0,1.0
601,1777,0.0,1.0
214,2247,0.0,1.0
1743,2464,0.0,1.0
586,1104,0.0,1.0
1477,1623,0.0,1.0
322,467,0.0,1.0
535,915,0.0,1.0
1095,1606,0.0,1.0
536,794,0.0,1.0
73,238,0.0,1.0
714,2247,0.0,1.0
1971,2295,0.0,1.0
159,2268,1.0,1.0
437,533,1.0,1.0
533,1321,0.0,1.0
151,367,0.0,1.0
533,1629,0.0,1.0
5,462,0.0,1.0
698,699,0.0,1.0
1002,1535,0.0,1.0
1006,1692,0.0,1.0
393,1198,0.0,1.0
2073,2233,0.0,1.0
1269,1270,0.0,1.0
189,603,0.0,1.0
339,2149,0.0,1.0
944,1386,0.0,1.0
1960,2130,0.0,1.0
1522,1545,0.0,1.0
650,1555,0.0,1.0
11,620,0.0,1.0
730,1251,0.0,1.0
236,287,0.0,1.0
75,367,0.0,1.0
1714,2059,0.0,1.0
478,2348,0.0,1.0
1723,2161,0.0,1.0
823,1431,0.0,1.0
1721,1787,0.0,1.0
1081,2248,0.0,1.0
104,1815,0.0,1.0
528,695,0.0,1.0
1823,2357,0.0,1.0
1064,1414,0.0,1.0
325,2210,0.0,1.0
1032,1943,0.0,1.0
1218,2156,0.0,1.0
1484,1503,0.0,1.0
1178,1328,0.0,1.0
1839,1912,0.0,1.0
1131,1606,0.0,1.0
1424,1516,0.0,1.0
1884,1996,0.0,1.0
1218,1799,0.0,1.0
542,603,0.0,1.0
184,278,0.0,1.0
20,688,0.0,1.0
1296,1621,0.0,1.0
893,1253,0.0,1.0
314,1003,0.0,1.0
575,1241,0.0,1.0
628,1930,0.0,1.0
1062,1474,0.0,1.0
401,1204,0.0,1.0
2053,2164,0.0,1.0
1373,1589,1.0,1.0
278,437,0.0,1.0
129,326,0.0,1.0
850,858,0.0,1.0
14,415,0.0,1.0
278,759,0.0,1.0
384,2380,0.0,1.0
804,2395,0.0,1.0
1196,1424,0.0,1.0
530,1055,0.0,1.0
74,1740,0.0,1.0
666,798,0.0,1.0
1621,1752,0.0,1.0
355,1186,0.0,1.0
1621,2380,0.0,1.0
1491,2363,0.0,1.0
941,1117,0.0,1.0
305,2360,0.0,1.0
1351,1481,1.0,1.0
797,2040,1.0,1.0
296,1173,0.0,1.0
533,832,0.0,1.0
1712,1836,0.0,1.0
2230,2450,0.0,1.0
309,891,0.0,1.0
398,526,0.0,1.0
295,754,0.0,1.0
227,533,1.0,1.0
773,1340,0.0,1.0
46,461,0.0,1.0
949,952,0.0,1.0
1762,2181,0.0,1.0
958,1077,0.0,1.0
1685,2022,0.0,1.0
1741,1970,0.0,1.0
575,814,0.0,1.0
1656,2231,0.0,1.0
215,354,0.0,1.0
1887,1996,0.0,1.0
190,1773,0.0,1.0
646,1608,0.0,1.0
761,1067,0.0,1.0
391,1795,0.0,1.0
121,2220,0.0,1.0
2164,2401,0.0,1.0
772,1083,0.0,1.0
988,1415,0.0,1.0
278,1578,0.0,1.0
505,570,0.0,1.0
1086,1773,0.0,1.0
2401,2447,0.0,1.0
159,970,0.0,1.0
1001,2437,0.0,1.0
15,660,0.0,1.0
658,702,0.0,1.0
769,770,0.0,1.0
1049,1253,0.0,1.0
1759,2425,0.0,1.0
2192,2430,1.0,1.0
1422,1918,0.0,1.0
665,1054,0.0,1.0
711,797,1.0,1.0
278,596,0.0,1.0
1786,2356,0.0,1.0
963,1029,0.0,1.0
1039,1381,0.0,1.0
77,204,0.0,1.0
1741,1933,0.0,1.0
293,381,0.0,1.0
1172,1435,0.0,1.0
752,2441,0.0,1.0
1057,2224,0.0,1.0
2291,2461,0.0,1.0
540,587,0.0,1.0
14,665,0.0,1.0
1226,1313,0.0,1.0
1898,2477,0.0,1.0
434,2380,0.0,1.0
58,1773,0.0,1.0
1319,1380,0.0,1.0
557,633,0.0,1.0
760,1267,0.0,1.0
2115,2138,0.0,1.0
1123,1218,0.0,1.0
122,369,0.0,1.0
915,1316,0.0,1.0
1209,1271,0.0,1.0
1899,1994,0.0,1.0
140,191,0.0,1.0
741,1355,0.0,1.0
236,470,0.0,1.0
818,1549,0.0,1.0
1946,2008,0.0,1.0
2051,2470,0.0,1.0
897,1321,0.0,1.0
139,215,0.0,1.0
1110,1163,1.0,1.0
163,1654,0.0,1.0
449,2443,0.0,1.0
1157,1165,0.0,1.0
524,2180,0.0,1.0
279,1675,0.0,1.0
273,1206,0.0,1.0
534,1365,0.0,1.0
