edge_index0,edge_index1,pred,gr
1685,1687,1.0,1.0
661,2068,1.0,1.0
172,354,1.0,1.0
2053,2164,1.0,1.0
133,231,1.0,1.0
1875,2206,1.0,1.0
922,1732,1.0,1.0
992,1476,1.0,1.0
929,1170,1.0,1.0
2269,2392,1.0,1.0
1479,2038,1.0,1.0
533,2298,1.0,1.0
965,1616,1.0,1.0
237,879,1.0,1.0
1168,1341,1.0,1.0
488,720,1.0,1.0
339,1007,1.0,1.0
936,1412,1.0,1.0
533,2294,1.0,1.0
386,1387,1.0,1.0
927,1900,1.0,1.0
746,1034,1.0,1.0
421,451,1.0,1.0
147,606,1.0,1.0
526,1812,1.0,1.0
217,702,1.0,1.0
475,1891,1.0,1.0
1074,1434,1.0,1.0
693,1299,1.0,1.0
1918,2476,1.0,1.0
1254,1854,1.0,1.0
2197,2233,1.0,1.0
1143,1431,1.0,1.0
1260,1424,1.0,1.0
984,1288,1.0,1.0
597,1425,1.0,1.0
1826,2214,1.0,1.0
524,579,1.0,1.0
700,1608,1.0,1.0
1231,1277,1.0,1.0
1373,1598,1.0,1.0
327,939,1.0,1.0
1741,2295,1.0,1.0
1877,2154,1.0,1.0
227,520,1.0,1.0
330,625,1.0,1.0
574,702,1.0,1.0
48,2273,1.0,1.0
134,135,1.0,1.0
1745,2247,1.0,1.0
921,1828,1.0,1.0
1286,1287,1.0,1.0
1079,1104,1.0,1.0
262,278,1.0,1.0
485,537,1.0,1.0
1914,1915,1.0,1.0
1178,1328,1.0,1.0
439,1878,1.0,1.0
213,562,1.0,1.0
1622,2094,1.0,1.0
403,1218,1.0,1.0
2085,2107,1.0,1.0
683,956,1.0,1.0
2026,2148,1.0,1.0
1204,2412,1.0,1.0
171,910,1.0,1.0
159,1285,1.0,1.0
34,534,1.0,1.0
1748,1834,1.0,1.0
1108,2102,1.0,1.0
1883,2053,1.0,1.0
807,1063,1.0,1.0
242,2060,1.0,1.0
1924,1944,1.0,1.0
654,1837,1.0,1.0
65,68,1.0,1.0
1189,1948,1.0,1.0
737,1327,1.0,1.0
404,1477,1.0,1.0
63,458,1.0,1.0
1621,1984,1.0,1.0
1828,2057,1.0,1.0
911,1069,1.0,1.0
402,2209,1.0,1.0
775,1211,1.0,1.0
234,1055,1.0,1.0
1948,2333,1.0,1.0
8,407,1.0,1.0
1834,2458,1.0,1.0
831,1135,1.0,1.0
755,1357,1.0,1.0
1995,2248,1.0,1.0
977,1518,1.0,1.0
1211,1244,1.0,1.0
96,1738,1.0,1.0
91,123,1.0,1.0
133,2013,1.0,1.0
112,852,1.0,1.0
1181,1394,1.0,1.0
838,841,1.0,1.0
533,596,1.0,1.0
493,519,1.0,1.0
2199,2235,1.0,1.0
533,1493,1.0,1.0
1337,2309,1.0,1.0
543,794,1.0,1.0
475,2216,1.0,1.0
73,2096,1.0,1.0
154,1881,1.0,1.0
1197,1334,1.0,1.0
697,1170,1.0,1.0
858,1498,1.0,1.0
853,1215,1.0,1.0
189,557,1.0,1.0
423,520,1.0,1.0
726,1084,1.0,1.0
2248,2417,1.0,1.0
353,585,1.0,1.0
52,2378,1.0,1.0
508,511,1.0,1.0
487,2318,1.0,1.0
300,2246,1.0,1.0
134,703,1.0,1.0
201,608,1.0,1.0
639,702,1.0,1.0
1218,1938,1.0,1.0
684,1383,1.0,1.0
728,2484,1.0,1.0
557,603,1.0,1.0
181,673,1.0,1.0
1665,1757,1.0,1.0
516,1745,1.0,1.0
1183,1381,1.0,1.0
990,2374,1.0,1.0
