edge_index0,edge_index1,pred,gr
11931,19231,1.0,1.0
6098,16729,0.0,1.0
1203,18417,1.0,1.0
515,890,1.0,1.0
12174,15836,1.0,1.0
4320,8845,0.0,1.0
15522,17641,1.0,1.0
1663,7317,1.0,1.0
14419,15002,1.0,1.0
8592,13853,1.0,1.0
15261,16348,1.0,1.0
712,2045,0.0,1.0
4849,9293,0.0,1.0
2104,5883,1.0,1.0
15151,18581,1.0,1.0
8736,11630,1.0,1.0
2176,7075,1.0,1.0
12232,13554,1.0,1.0
2692,8065,0.0,1.0
12306,18232,0.0,1.0
8760,14944,1.0,1.0
4248,7829,0.0,1.0
365,15375,1.0,1.0
11260,12639,1.0,1.0
5450,16334,1.0,1.0
3773,16991,1.0,1.0
18013,19069,1.0,1.0
2236,13192,1.0,1.0
5736,16252,0.0,1.0
2196,14663,1.0,1.0
12867,17756,0.0,1.0
4074,16334,1.0,1.0
4083,13470,1.0,1.0
1527,16452,1.0,1.0
4809,13726,1.0,1.0
5401,15771,0.0,1.0
4826,12266,1.0,1.0
12642,14466,1.0,1.0
3137,7797,1.0,1.0
8928,15593,1.0,1.0
99,1339,1.0,1.0
2229,9322,1.0,1.0
18299,19378,0.0,1.0
1945,18478,1.0,1.0
1434,7903,1.0,1.0
3210,10391,1.0,1.0
3499,13190,1.0,1.0
3055,9312,1.0,1.0
891,16488,0.0,1.0
1129,3598,0.0,1.0
7479,12133,1.0,1.0
454,12147,1.0,1.0
9131,13554,1.0,1.0
6398,12052,1.0,1.0
11016,17969,0.0,1.0
2605,5620,1.0,1.0
6475,9039,1.0,1.0
8485,12226,0.0,1.0
5775,18948,0.0,1.0
7417,14776,1.0,1.0
12801,13677,1.0,1.0
3586,19459,1.0,1.0
6251,18698,1.0,1.0
4879,16329,1.0,1.0
4301,8892,0.0,1.0
7904,10072,1.0,1.0
336,7119,1.0,1.0
10134,18739,1.0,1.0
8304,9605,1.0,1.0
1372,15887,1.0,1.0
1170,13003,0.0,1.0
13999,15514,1.0,1.0
4537,16567,1.0,1.0
14362,15275,1.0,1.0
12305,15810,1.0,1.0
515,8168,1.0,1.0
4933,5454,1.0,1.0
6541,7075,1.0,1.0
537,15874,0.0,1.0
515,6589,1.0,1.0
10203,19612,1.0,1.0
4030,6366,1.0,1.0
1215,3656,1.0,1.0
6462,11697,1.0,1.0
1137,19609,1.0,1.0
4430,14463,0.0,1.0
8027,16044,1.0,1.0
9039,9045,1.0,1.0
8209,18451,0.0,1.0
14361,18386,1.0,1.0
845,18749,1.0,1.0
6177,17386,1.0,1.0
8374,8782,0.0,1.0
4093,17775,0.0,1.0
8814,19355,0.0,1.0
873,18947,1.0,1.0
3896,16397,1.0,1.0
