edge_index0,edge_index1,pred,gr
3834,12201,1.0,1.0
14764,18961,1.0,1.0
14642,15630,0.0,1.0
4647,18269,1.0,1.0
1355,13694,1.0,1.0
3956,14795,0.0,1.0
4984,12696,1.0,1.0
2443,9403,1.0,1.0
16196,16238,1.0,1.0
1836,11572,0.0,1.0
16656,17537,0.0,1.0
2765,10080,1.0,1.0
10354,10661,0.0,1.0
586,17713,1.0,1.0
7917,13985,1.0,1.0
3168,10013,1.0,1.0
9664,13707,0.0,1.0
4166,11093,1.0,1.0
14242,14962,1.0,1.0
3395,18049,1.0,1.0
13230,13725,0.0,1.0
14939,18935,1.0,1.0
819,3931,0.0,1.0
266,11249,1.0,1.0
371,7942,1.0,1.0
2611,8194,1.0,1.0
4777,5945,1.0,1.0
11825,17683,1.0,1.0
721,5790,1.0,1.0
4237,6562,0.0,1.0
5997,6365,1.0,1.0
14789,17378,1.0,1.0
5323,7205,1.0,1.0
4141,16150,1.0,1.0
785,7776,1.0,1.0
4097,11590,1.0,1.0
2526,15632,1.0,1.0
9643,13580,1.0,1.0
11972,13859,1.0,1.0
1643,9643,1.0,1.0
15518,16647,1.0,1.0
9499,13129,0.0,1.0
8513,18317,1.0,1.0
7208,17016,0.0,1.0
1170,13177,1.0,1.0
6562,14728,1.0,1.0
6,18675,0.0,1.0
4821,19025,1.0,1.0
17066,18855,1.0,1.0
15850,19419,1.0,1.0
4544,14549,1.0,1.0
10537,15347,1.0,1.0
3878,4722,1.0,1.0
320,19312,0.0,1.0
15570,16177,0.0,1.0
13671,17741,1.0,1.0
9321,13907,1.0,1.0
293,13418,0.0,1.0
5451,11260,1.0,1.0
10978,12043,1.0,1.0
5984,19432,1.0,1.0
10987,17138,0.0,1.0
14059,16079,1.0,1.0
7740,16684,1.0,1.0
9547,11932,1.0,1.0
1103,19503,1.0,1.0
6658,16034,1.0,1.0
6235,11937,1.0,1.0
3910,16440,1.0,1.0
651,7829,0.0,1.0
15614,18987,1.0,1.0
4678,8294,1.0,1.0
4346,9964,1.0,1.0
164,18176,1.0,1.0
4120,16517,1.0,1.0
17896,18310,1.0,1.0
550,12833,0.0,1.0
19052,19072,1.0,1.0
13656,17182,1.0,1.0
12201,13446,1.0,1.0
13447,14307,1.0,1.0
6009,19072,1.0,1.0
3772,6790,0.0,1.0
10478,16064,1.0,1.0
2968,11732,1.0,1.0
133,17803,1.0,1.0
491,7223,1.0,1.0
3278,15415,1.0,1.0
3689,18989,1.0,1.0
12052,13103,0.0,1.0
3823,12600,1.0,1.0
