edge_index0,edge_index1,pred,gr
7640,10885,1.0,1.0
9639,14898,1.0,1.0
3714,4282,1.0,1.0
11595,16383,1.0,1.0
9840,10496,1.0,1.0
12257,16703,1.0,1.0
1796,6481,1.0,1.0
3108,6549,1.0,1.0
9328,14659,1.0,1.0
816,13399,1.0,1.0
5047,13027,1.0,1.0
6565,18791,1.0,1.0
8737,18540,1.0,1.0
2218,2915,1.0,1.0
14400,17211,1.0,1.0
667,13457,1.0,1.0
11788,14036,1.0,1.0
2860,11339,1.0,1.0
13562,19069,1.0,1.0
1836,7075,1.0,1.0
7880,11052,1.0,1.0
2355,9820,1.0,1.0
18215,19419,1.0,1.0
1440,5733,1.0,1.0
10436,10454,1.0,1.0
6009,16196,1.0,1.0
7207,19476,1.0,1.0
14003,15713,1.0,1.0
4357,17409,1.0,1.0
4141,18849,1.0,1.0
164,9009,1.0,1.0
11730,12203,1.0,1.0
4884,9420,1.0,1.0
6820,10552,1.0,1.0
19103,19320,1.0,1.0
603,3622,1.0,1.0
15415,17263,1.0,1.0
265,17449,1.0,1.0
2230,14371,1.0,1.0
5790,14540,1.0,1.0
2520,8620,1.0,1.0
6228,10046,1.0,1.0
2265,7235,1.0,1.0
4213,12154,1.0,1.0
26,3997,1.0,1.0
5745,8087,1.0,1.0
5764,8799,1.0,1.0
14586,17798,1.0,1.0
785,5681,1.0,1.0
3956,6235,1.0,1.0
6312,10521,1.0,1.0
4734,14217,1.0,1.0
1434,4832,1.0,1.0
4605,12084,1.0,1.0
7334,18275,1.0,1.0
11043,12751,1.0,1.0
6226,12398,1.0,1.0
11364,12174,1.0,1.0
3834,19630,1.0,1.0
7979,12701,1.0,1.0
9869,19221,1.0,1.0
11309,18109,1.0,1.0
1809,9835,1.0,1.0
11291,18018,1.0,1.0
9542,10575,1.0,1.0
829,5175,1.0,1.0
16092,18647,1.0,1.0
2408,3739,1.0,1.0
3631,8155,1.0,1.0
4832,18950,1.0,1.0
15563,17525,1.0,1.0
5602,5873,1.0,1.0
862,15355,1.0,1.0
3355,4141,1.0,1.0
251,2118,1.0,1.0
7615,18045,1.0,1.0
7897,10906,1.0,1.0
13186,14251,1.0,1.0
1633,19581,1.0,1.0
15334,19698,1.0,1.0
4097,13261,1.0,1.0
1252,10062,1.0,1.0
3058,13178,1.0,1.0
11348,11985,1.0,1.0
7028,7433,1.0,1.0
10933,19550,1.0,1.0
5681,17742,1.0,1.0
2176,15271,1.0,1.0
2381,10011,1.0,1.0
6009,12569,1.0,1.0
2314,7602,1.0,1.0
12985,19082,1.0,1.0
6499,9180,1.0,1.0
16742,17951,1.0,1.0
142,19250,1.0,1.0
148,8160,1.0,1.0
3796,18822,1.0,1.0
5444,11383,1.0,1.0
10983,19638,1.0,1.0
2576,2718,1.0,1.0
8274,16742,1.0,1.0
8306,8699,1.0,1.0
3091,5405,1.0,1.0
3649,12430,1.0,1.0
11789,19097,1.0,1.0
3595,11210,1.0,1.0
5900,6226,1.0,1.0
4890,14700,1.0,1.0
15549,19426,1.0,1.0
3997,7671,1.0,1.0
4964,18862,1.0,1.0
9685,10828,1.0,1.0
18037,19131,1.0,1.0
7404,16100,1.0,1.0
266,18277,1.0,1.0
16638,18831,1.0,1.0
3429,13858,1.0,1.0
4432,12178,1.0,1.0
8167,17511,1.0,1.0
10519,16124,1.0,1.0
350,10013,1.0,1.0
7884,8748,1.0,1.0
8020,11353,1.0,1.0
17510,17538,1.0,1.0
756,2826,1.0,1.0
6009,17072,1.0,1.0
7028,8832,1.0,1.0
1874,3878,1.0,1.0
18912,19080,1.0,1.0
11175,17266,1.0,1.0
1263,2604,1.0,1.0
515,12069,1.0,1.0
13197,16107,1.0,1.0
9576,14502,1.0,1.0
8625,9850,1.0,1.0
2102,3768,1.0,1.0
1520,17015,1.0,1.0
1788,2505,1.0,1.0
6927,7615,1.0,1.0
4852,16196,1.0,1.0
696,9189,1.0,1.0
2492,19377,1.0,1.0
9020,16554,1.0,1.0
4411,9811,1.0,1.0
1379,3726,1.0,1.0
325,4698,1.0,1.0
2918,9274,1.0,1.0
13750,18109,1.0,1.0
132,19014,1.0,1.0
7481,16440,1.0,1.0
9612,11025,1.0,1.0
880,4141,1.0,1.0
8967,12618,1.0,1.0
6486,15663,1.0,1.0
10300,11084,1.0,1.0
2826,11818,1.0,1.0
15029,16051,1.0,1.0
4844,6853,1.0,1.0
17611,18323,1.0,1.0
5982,12832,1.0,1.0
3722,7741,1.0,1.0
39,7216,1.0,1.0
15647,16683,1.0,1.0
18359,19081,1.0,1.0
2628,17485,1.0,1.0
7577,11291,1.0,1.0
14922,16447,1.0,1.0
4123,9633,1.0,1.0
4218,7798,1.0,1.0
2638,11921,1.0,1.0
13770,17706,1.0,1.0
8085,13266,1.0,1.0
9115,19551,1.0,1.0
3179,8124,1.0,1.0
11505,12639,1.0,1.0
6487,19221,1.0,1.0
2679,19525,1.0,1.0
12223,16049,1.0,1.0
101,10816,1.0,1.0
10396,16224,1.0,1.0
3463,7209,1.0,1.0
1237,3930,1.0,1.0
12775,18118,1.0,1.0
1980,14327,1.0,1.0
9393,13832,1.0,1.0
8013,19037,1.0,1.0
236,9535,1.0,1.0
12255,12589,1.0,1.0
8157,18787,1.0,1.0
6277,7535,1.0,1.0
18410,18866,1.0,1.0
11506,16569,1.0,1.0
3116,11499,1.0,1.0
7273,19402,1.0,1.0
13547,16498,1.0,1.0
2238,14788,1.0,1.0
5714,16617,1.0,1.0
8210,19337,1.0,1.0
13137,17080,1.0,1.0
13331,13336,1.0,1.0
2148,7872,1.0,1.0
4716,9422,1.0,1.0
5790,12070,1.0,1.0
4559,9683,1.0,1.0
10443,18435,1.0,1.0
