edge_index0,edge_index1,pred,gr
1013,6611,1.0,1.0
7045,11726,1.0,1.0
13197,14081,0.0,1.0
1224,19636,1.0,1.0
10066,18096,0.0,1.0
13768,19463,1.0,1.0
5343,10662,0.0,1.0
7230,11942,1.0,1.0
383,13788,1.0,1.0
8764,15022,1.0,1.0
4179,16604,1.0,1.0
1020,3901,1.0,1.0
7676,15337,1.0,1.0
6787,13994,0.0,1.0
5174,16291,1.0,1.0
298,10381,0.0,1.0
10123,12120,1.0,1.0
6093,11549,1.0,1.0
9356,16655,0.0,1.0
1908,5323,0.0,1.0
9766,16248,1.0,1.0
80,16939,0.0,1.0
1272,9461,1.0,1.0
3177,18959,1.0,1.0
18698,19266,1.0,1.0
10221,13420,1.0,1.0
5683,11549,1.0,1.0
13372,16048,1.0,1.0
3115,5966,1.0,1.0
10344,18596,1.0,1.0
1845,9241,1.0,1.0
7608,16991,1.0,1.0
1654,11012,1.0,1.0
1761,16886,1.0,1.0
12309,14676,0.0,1.0
6093,19131,1.0,1.0
12582,14943,1.0,1.0
2192,12224,1.0,1.0
9616,18541,1.0,1.0
5918,8748,1.0,1.0
6887,11669,1.0,1.0
3208,6326,1.0,1.0
396,10957,0.0,1.0
5503,18865,1.0,1.0
1520,12162,1.0,1.0
5093,6920,1.0,1.0
7778,12174,1.0,1.0
6793,12970,1.0,1.0
11010,17097,1.0,1.0
4604,11490,1.0,1.0
5281,7434,1.0,1.0
4862,10165,1.0,1.0
1852,16528,1.0,1.0
1157,13289,1.0,1.0
1672,8822,1.0,1.0
711,1752,0.0,1.0
2414,15416,1.0,1.0
2674,19193,1.0,1.0
218,13100,0.0,1.0
2813,12314,1.0,1.0
2752,3260,1.0,1.0
1434,6897,1.0,1.0
164,6906,1.0,1.0
60,12519,1.0,1.0
6946,14177,1.0,1.0
2677,13168,1.0,1.0
13539,18017,1.0,1.0
49,6232,1.0,1.0
6154,14442,1.0,1.0
1744,19074,1.0,1.0
12264,18277,1.0,1.0
13014,18171,0.0,1.0
13776,16609,0.0,1.0
18493,19182,0.0,1.0
2488,11964,1.0,1.0
1204,15201,0.0,1.0
6064,19431,1.0,1.0
10499,18799,1.0,1.0
3041,15153,1.0,1.0
6846,17706,1.0,1.0
1166,17582,1.0,1.0
786,5167,0.0,1.0
8244,17694,0.0,1.0
1908,13238,1.0,1.0
3144,13015,1.0,1.0
13853,15311,0.0,1.0
11965,12531,0.0,1.0
2470,7517,1.0,1.0
11372,19198,1.0,1.0
18825,18871,1.0,1.0
5879,15768,1.0,1.0
4449,4731,1.0,1.0
15500,19369,0.0,1.0
7075,12257,1.0,1.0
1983,3834,1.0,1.0
350,17022,0.0,1.0
13856,17845,1.0,1.0
7217,19033,1.0,1.0
4544,6802,0.0,1.0
11282,14996,1.0,1.0
9180,18118,0.0,1.0
8115,13257,1.0,1.0
15337,16517,1.0,1.0
4190,9550,1.0,1.0
2462,12630,1.0,1.0
5187,8893,1.0,1.0
17852,18109,1.0,1.0
1809,14653,0.0,1.0
874,7832,1.0,1.0
1927,8978,1.0,1.0
2518,19700,1.0,1.0
2118,2422,1.0,1.0
3918,17000,1.0,1.0
4030,5077,1.0,1.0
14786,15579,0.0,1.0
2414,7031,0.0,1.0
8827,14011,0.0,1.0
5107,18457,1.0,1.0
8139,13229,1.0,1.0
573,9862,1.0,1.0
594,11424,1.0,1.0
4169,14344,1.0,1.0
14928,18167,0.0,1.0
1548,7234,0.0,1.0
9677,13853,1.0,1.0
1808,10267,0.0,1.0
948,9129,1.0,1.0
13788,17973,0.0,1.0
17664,19273,0.0,1.0
5841,7094,0.0,1.0
168,8682,1.0,1.0
5759,12602,1.0,1.0
6050,7570,1.0,1.0
10068,10773,1.0,1.0
2988,19712,1.0,1.0
16767,18780,1.0,1.0
5380,7386,0.0,1.0
1155,17425,1.0,1.0
3945,11404,0.0,1.0
9328,11801,1.0,1.0
8378,10435,1.0,1.0
9135,12647,0.0,1.0
6109,19424,1.0,1.0
8552,15722,1.0,1.0
3713,10420,0.0,1.0
2384,19485,1.0,1.0
