edge_index0,edge_index1,pred,gr
4213,19502,1.0,1.0
12083,15768,1.0,1.0
2929,11198,0.0,1.0
734,18293,1.0,1.0
2187,8703,1.0,1.0
4161,16172,0.0,1.0
2156,8056,1.0,1.0
1633,18443,1.0,1.0
2331,3373,0.0,1.0
11165,13642,0.0,1.0
5100,18216,0.0,1.0
4164,11542,1.0,1.0
6403,14952,1.0,1.0
2611,19098,1.0,1.0
3288,18929,1.0,1.0
12555,13856,1.0,1.0
11486,16383,0.0,1.0
7970,17129,1.0,1.0
7672,16751,1.0,1.0
11006,18898,0.0,1.0
13417,18338,0.0,1.0
3596,16854,0.0,1.0
24,5471,1.0,1.0
6277,7535,1.0,1.0
1602,16903,1.0,1.0
7134,11063,1.0,1.0
3750,17626,1.0,1.0
7867,9083,1.0,1.0
6766,17979,0.0,1.0
11703,13709,0.0,1.0
15518,18183,1.0,1.0
4194,16501,1.0,1.0
13071,18306,1.0,1.0
19096,19348,0.0,1.0
9119,12926,0.0,1.0
9600,16501,1.0,1.0
7390,11957,1.0,1.0
2156,18810,1.0,1.0
4432,9653,1.0,1.0
1497,16533,1.0,1.0
7258,18470,0.0,1.0
7168,9968,0.0,1.0
16376,17691,1.0,1.0
630,10563,0.0,1.0
15038,15239,1.0,1.0
3149,9811,1.0,1.0
12148,13157,0.0,1.0
10619,13759,1.0,1.0
14327,19327,0.0,1.0
8065,15416,1.0,1.0
12526,18598,1.0,1.0
688,3022,1.0,1.0
11766,12789,1.0,1.0
15446,19700,0.0,1.0
37,19239,0.0,1.0
2138,5044,1.0,1.0
14523,15948,1.0,1.0
1677,2476,1.0,1.0
1069,15369,1.0,1.0
8928,13566,1.0,1.0
4976,5330,1.0,1.0
4884,10319,0.0,1.0
4166,13555,0.0,1.0
4584,7233,1.0,1.0
1418,3105,1.0,1.0
12522,19069,1.0,1.0
6226,14809,1.0,1.0
1058,9278,0.0,1.0
5492,17339,0.0,1.0
3051,19473,0.0,1.0
2807,19481,0.0,1.0
6565,8237,1.0,1.0
3792,17779,0.0,1.0
1771,13752,0.0,1.0
785,8398,0.0,1.0
19422,19697,0.0,1.0
6549,13322,1.0,1.0
1732,7290,0.0,1.0
5198,11412,1.0,1.0
7307,10032,0.0,1.0
9299,12511,1.0,1.0
7281,16741,0.0,1.0
936,18596,1.0,1.0
9983,10365,1.0,1.0
10750,12251,1.0,1.0
2597,8555,1.0,1.0
10677,18591,0.0,1.0
1927,17334,0.0,1.0
12338,15587,1.0,1.0
5969,8037,1.0,1.0
10762,13567,1.0,1.0
7814,9157,1.0,1.0
5677,18070,1.0,1.0
7727,17582,1.0,1.0
8930,9208,0.0,1.0
2526,10077,0.0,1.0
5798,6782,1.0,1.0
10203,12299,1.0,1.0
2908,6387,0.0,1.0
14138,18963,0.0,1.0
4243,7236,1.0,1.0
3082,16338,0.0,1.0
12622,18131,1.0,1.0
4912,10727,1.0,1.0
6541,11828,1.0,1.0
3148,13853,1.0,1.0
6463,18119,0.0,1.0
5673,5837,1.0,1.0
769,9616,0.0,1.0
3471,4914,1.0,1.0
2352,11753,1.0,1.0
13347,16224,0.0,1.0
2113,14268,1.0,1.0
2830,2913,1.0,1.0
14902,18354,1.0,1.0
14388,16766,1.0,1.0
5250,10044,1.0,1.0
