edge_index0,edge_index1,pred,gr
8471,19368,1.0,1.0
6565,16719,1.0,1.0
5983,17510,1.0,1.0
3715,13445,1.0,1.0
8134,14505,1.0,1.0
10069,11135,1.0,1.0
17080,18457,1.0,1.0
1195,19476,1.0,1.0
3022,8669,1.0,1.0
2013,9166,1.0,1.0
12237,15223,1.0,1.0
7057,15052,1.0,1.0
4384,15581,1.0,1.0
3968,4564,1.0,1.0
6228,10046,1.0,1.0
3278,14042,1.0,1.0
275,14593,1.0,1.0
3827,15556,1.0,1.0
3556,10264,1.0,1.0
3073,16517,1.0,1.0
2936,15186,1.0,1.0
14922,16447,1.0,1.0
315,4809,1.0,1.0
7646,17547,1.0,1.0
16734,19193,1.0,1.0
759,6481,1.0,1.0
3901,7778,1.0,1.0
13055,15182,1.0,1.0
8864,12491,1.0,1.0
12978,15886,1.0,1.0
5592,17420,1.0,1.0
4322,7932,1.0,1.0
6670,8219,1.0,1.0
15786,16915,1.0,1.0
2752,6226,1.0,1.0
187,7285,1.0,1.0
1922,11314,1.0,1.0
2704,9145,1.0,1.0
15900,17418,1.0,1.0
1478,16273,1.0,1.0
1457,5076,1.0,1.0
11177,19250,1.0,1.0
4354,16274,1.0,1.0
1015,16107,1.0,1.0
5572,18511,1.0,1.0
1983,7092,1.0,1.0
3773,10865,1.0,1.0
11524,18596,1.0,1.0
1418,3105,1.0,1.0
1253,8356,1.0,1.0
16235,18746,1.0,1.0
3297,13210,1.0,1.0
1632,14489,1.0,1.0
5107,16860,1.0,1.0
5277,10340,1.0,1.0
8838,11057,1.0,1.0
9612,15408,1.0,1.0
7118,14059,1.0,1.0
1252,3570,1.0,1.0
9780,10223,1.0,1.0
192,1724,1.0,1.0
3930,16034,1.0,1.0
11925,15840,1.0,1.0
6283,6436,1.0,1.0
7075,16229,1.0,1.0
4448,15563,1.0,1.0
293,13210,1.0,1.0
4184,4868,1.0,1.0
5961,12951,1.0,1.0
304,3920,1.0,1.0
1547,17005,1.0,1.0
8321,13459,1.0,1.0
1951,6838,1.0,1.0
3640,10612,1.0,1.0
5455,14075,1.0,1.0
151,13853,1.0,1.0
8138,18408,1.0,1.0
4594,14107,1.0,1.0
4624,4953,1.0,1.0
9156,11284,1.0,1.0
769,11637,1.0,1.0
2236,7446,1.0,1.0
7301,19584,1.0,1.0
431,4255,1.0,1.0
3989,5632,1.0,1.0
8644,18957,1.0,1.0
1584,3932,1.0,1.0
8814,13322,1.0,1.0
10979,12056,1.0,1.0
1964,7858,1.0,1.0
7216,12505,1.0,1.0
1005,14504,1.0,1.0
3625,4525,1.0,1.0
8644,18685,1.0,1.0
4686,18130,1.0,1.0
2570,6164,1.0,1.0
1497,19239,1.0,1.0
6967,17971,1.0,1.0
4812,7867,1.0,1.0
4041,9300,1.0,1.0
7849,19006,1.0,1.0
13776,18252,1.0,1.0
2428,19666,1.0,1.0
13856,15814,1.0,1.0
410,8918,1.0,1.0
2251,14609,1.0,1.0
10570,19079,1.0,1.0
376,7525,1.0,1.0
5126,14403,1.0,1.0
5770,15574,1.0,1.0
8457,19545,1.0,1.0
251,6917,1.0,1.0
985,15773,1.0,1.0
336,6469,1.0,1.0
841,12730,1.0,1.0
5715,17954,1.0,1.0
10569,19270,1.0,1.0
7616,13219,1.0,1.0
13853,18716,1.0,1.0
4038,4797,1.0,1.0
12702,15690,1.0,1.0
4073,6837,1.0,1.0
11019,17005,1.0,1.0
164,10514,1.0,1.0
3636,5093,1.0,1.0
6812,15223,1.0,1.0
158,4071,1.0,1.0
13774,16447,1.0,1.0
12867,16896,1.0,1.0
4392,16046,1.0,1.0
3583,5125,1.0,1.0
9489,16603,1.0,1.0
3694,14199,1.0,1.0
455,11162,1.0,1.0
7006,9156,1.0,1.0
10365,15414,1.0,1.0
2388,17909,1.0,1.0
6917,16323,1.0,1.0
15812,17501,1.0,1.0
1321,8568,1.0,1.0
1050,6304,1.0,1.0
15614,18987,1.0,1.0
15773,16790,1.0,1.0
1155,3699,1.0,1.0
239,7616,1.0,1.0
4817,15674,1.0,1.0
11910,13186,1.0,1.0
5866,9484,1.0,1.0
1669,16242,1.0,1.0
3478,14692,1.0,1.0
1734,13095,1.0,1.0
11418,19555,1.0,1.0
1170,2138,1.0,1.0
1208,14860,1.0,1.0
6927,16177,1.0,1.0
1740,8003,1.0,1.0
1520,13973,1.0,1.0
14327,14358,1.0,1.0
10949,17627,1.0,1.0
737,4624,1.0,1.0
18529,18647,1.0,1.0
7023,19622,1.0,1.0
757,4013,1.0,1.0
12148,13461,1.0,1.0
14953,17414,1.0,1.0
4731,8875,1.0,1.0
3764,18002,1.0,1.0
6676,18965,1.0,1.0
2174,10908,1.0,1.0
9480,14426,1.0,1.0
845,15510,1.0,1.0
10416,14953,1.0,1.0
14372,15415,1.0,1.0
15011,17013,1.0,1.0
8048,11969,1.0,1.0
4295,13791,1.0,1.0
3608,19276,1.0,1.0
11896,18626,1.0,1.0
3055,4821,1.0,1.0
12746,17744,1.0,1.0
19246,19557,1.0,1.0
4052,8111,1.0,1.0
2991,11260,1.0,1.0
11028,13977,1.0,1.0
3930,6764,1.0,1.0
7216,17575,1.0,1.0
1587,15413,1.0,1.0
2118,5729,1.0,1.0
9217,10080,1.0,1.0
396,1565,1.0,1.0
6381,7158,1.0,1.0
4479,10528,1.0,1.0
17457,18598,1.0,1.0
3424,9433,1.0,1.0
16660,18267,1.0,1.0
2604,12801,1.0,1.0
6101,13623,1.0,1.0
1492,15413,1.0,1.0
353,15099,1.0,1.0
1149,16573,1.0,1.0
8830,15276,1.0,1.0
1028,14881,1.0,1.0
4120,13054,1.0,1.0
4879,12129,1.0,1.0
2369,16725,1.0,1.0
725,19613,1.0,1.0
11016,17969,1.0,1.0
3617,13853,1.0,1.0
8320,17709,1.0,1.0
3907,17151,1.0,1.0
537,1930,1.0,1.0
2672,11629,1.0,1.0
2041,13305,1.0,1.0
11151,14608,1.0,1.0
12621,17199,1.0,1.0
11410,16976,1.0,1.0
3487,19583,1.0,1.0
885,11435,1.0,1.0
812,1121,1.0,1.0
1651,11561,1.0,1.0
2991,17528,1.0,1.0
889,4941,1.0,1.0
3328,3585,1.0,1.0
4071,13159,1.0,1.0
3995,5736,1.0,1.0
3674,19513,1.0,1.0
1676,4156,1.0,1.0
9033,18121,1.0,1.0
2293,13928,1.0,1.0
3761,7916,1.0,1.0
6654,9055,1.0,1.0
5778,14969,1.0,1.0
6879,14019,1.0,1.0
169,3901,1.0,1.0
13856,17485,1.0,1.0
4731,17417,1.0,1.0
15348,16854,1.0,1.0
1103,10014,1.0,1.0
1457,5371,1.0,1.0
315,14809,1.0,1.0
2884,12843,1.0,1.0
13840,17214,1.0,1.0
8808,12891,1.0,1.0
1750,2443,1.0,1.0
9157,14956,1.0,1.0
8298,17409,1.0,1.0
5848,15197,1.0,1.0
19265,19591,1.0,1.0
4071,18973,1.0,1.0
