edge_index0,edge_index1,pred,gr
16219,19079,1.0,1.0
3737,18039,1.0,1.0
1729,2121,1.0,1.0
353,3569,1.0,1.0
294,14725,1.0,1.0
17794,18818,1.0,1.0
6732,11381,1.0,1.0
7457,11495,1.0,1.0
7345,14019,1.0,1.0
7591,19363,1.0,1.0
11637,13026,1.0,1.0
1210,4454,1.0,1.0
4734,6075,1.0,1.0
2539,16196,1.0,1.0
511,7282,1.0,1.0
3726,18820,1.0,1.0
15146,16913,1.0,1.0
6530,7126,1.0,1.0
6362,18957,1.0,1.0
12018,12097,1.0,1.0
3061,16071,1.0,1.0
15574,19176,1.0,1.0
11736,12267,1.0,1.0
13838,18977,1.0,1.0
9281,10056,1.0,1.0
645,11931,1.0,1.0
785,5242,1.0,1.0
785,1604,1.0,1.0
876,3851,1.0,1.0
3834,18178,1.0,1.0
77,2288,1.0,1.0
2737,14738,1.0,1.0
5842,11770,1.0,1.0
4038,4797,1.0,1.0
1836,9374,1.0,1.0
5018,10499,1.0,1.0
11380,18698,1.0,1.0
635,13820,1.0,1.0
6481,17832,1.0,1.0
4603,14734,1.0,1.0
2218,11634,1.0,1.0
7742,8056,1.0,1.0
3458,8682,1.0,1.0
3134,15964,1.0,1.0
936,3368,1.0,1.0
8125,11424,1.0,1.0
1836,17836,1.0,1.0
16089,18885,1.0,1.0
3809,7829,1.0,1.0
6147,8291,1.0,1.0
4229,11757,1.0,1.0
3654,14823,1.0,1.0
3131,4222,1.0,1.0
9479,11335,1.0,1.0
11282,17515,1.0,1.0
15680,17649,1.0,1.0
9329,13040,1.0,1.0
2865,4231,1.0,1.0
12621,17199,1.0,1.0
2013,18327,1.0,1.0
6097,10390,1.0,1.0
2884,6682,1.0,1.0
11309,14952,1.0,1.0
11678,17517,1.0,1.0
6436,6581,1.0,1.0
11992,19079,1.0,1.0
14809,14863,1.0,1.0
5715,11029,1.0,1.0
8200,16286,1.0,1.0
5405,11073,1.0,1.0
13810,17644,1.0,1.0
