edge_index0,edge_index1,pred,gr
5957,8444,0.0,1.0
10608,10611,0.0,1.0
14865,17867,0.0,1.0
10499,12797,1.0,1.0
18683,18926,1.0,1.0
12264,13390,1.0,1.0
11049,18991,0.0,1.0
5019,16525,0.0,1.0
5885,15297,1.0,1.0
10147,13015,0.0,1.0
4731,5729,1.0,1.0
2513,3905,0.0,1.0
7942,18566,0.0,1.0
949,11937,1.0,1.0
10855,15083,1.0,1.0
12295,16575,1.0,1.0
12605,15261,1.0,1.0
13315,13503,0.0,1.0
2004,6422,0.0,1.0
14230,15683,0.0,1.0
11259,11497,1.0,1.0
7018,16048,1.0,1.0
12438,15522,1.0,1.0
3624,8907,1.0,1.0
7577,18710,1.0,1.0
5870,16671,0.0,1.0
671,14272,1.0,1.0
285,14216,1.0,1.0
7466,12027,0.0,1.0
4594,19503,1.0,1.0
2113,14268,1.0,1.0
8391,19641,1.0,1.0
5166,5867,0.0,1.0
8390,19280,1.0,1.0
785,17205,0.0,1.0
293,13418,0.0,1.0
7743,16089,1.0,1.0
1900,19476,1.0,1.0
7305,19694,0.0,1.0
11682,16573,1.0,1.0
14952,16465,0.0,1.0
7285,12985,1.0,1.0
5359,17536,1.0,1.0
9057,14304,1.0,1.0
2199,9469,1.0,1.0
988,14453,0.0,1.0
3470,5505,1.0,1.0
15348,17228,0.0,1.0
7052,16517,1.0,1.0
10599,14489,1.0,1.0
1545,15206,0.0,1.0
8977,12589,1.0,1.0
3617,12622,1.0,1.0
2936,13250,1.0,1.0
13853,18441,1.0,1.0
3961,17156,0.0,1.0
2923,3661,1.0,1.0
8513,16180,1.0,1.0
324,13554,1.0,1.0
2894,6794,1.0,1.0
10316,18912,1.0,1.0
2097,14332,0.0,1.0
5138,17080,1.0,1.0
16092,16344,1.0,1.0
3680,10133,1.0,1.0
6920,11122,1.0,1.0
13224,19385,1.0,1.0
6639,19291,1.0,1.0
718,11569,1.0,1.0
243,18264,0.0,1.0
1497,15369,1.0,1.0
2542,10773,0.0,1.0
2383,16010,0.0,1.0
456,17742,1.0,1.0
7694,18926,0.0,1.0
8487,15701,0.0,1.0
3657,8801,1.0,1.0
15206,17368,1.0,1.0
5837,14856,1.0,1.0
9457,13892,0.0,1.0
374,5003,1.0,1.0
3550,14754,1.0,1.0
4359,11385,1.0,1.0
5099,11161,1.0,1.0
2110,18735,1.0,1.0
3609,8511,0.0,1.0
2796,17470,1.0,1.0
8801,10143,0.0,1.0
10062,11890,1.0,1.0
1975,7350,1.0,1.0
17051,19533,1.0,1.0
5096,12413,0.0,1.0
11370,18020,0.0,1.0
6722,6794,1.0,1.0
8306,8699,1.0,1.0
6463,18119,0.0,1.0
13724,14170,0.0,1.0
4398,10664,0.0,1.0
7404,11003,1.0,1.0
15146,15227,0.0,1.0
14438,18016,0.0,1.0
576,13011,0.0,1.0
14541,17721,1.0,1.0
6426,19596,0.0,1.0
7960,14398,0.0,1.0
8274,16742,0.0,1.0
