edge_index0,edge_index1,pred,gr
3361,18293,1.0,1.0
338,4519,0.0,1.0
4237,16286,0.0,1.0
845,4724,1.0,1.0
3474,19529,1.0,1.0
17438,17809,1.0,1.0
5047,12519,1.0,1.0
5866,18694,1.0,1.0
1924,6292,1.0,1.0
3925,13832,0.0,1.0
5988,13672,1.0,1.0
11351,17456,0.0,1.0
10933,17903,1.0,1.0
18374,19473,1.0,1.0
9989,17099,1.0,1.0
15762,17744,1.0,1.0
813,10722,0.0,1.0
3949,13417,1.0,1.0
14013,17918,0.0,1.0
3013,4880,0.0,1.0
13476,18199,1.0,1.0
1676,6184,0.0,1.0
3149,6636,1.0,1.0
5380,11062,1.0,1.0
12043,18440,1.0,1.0
14607,15142,0.0,1.0
3149,8587,1.0,1.0
14140,15443,1.0,1.0
17714,19552,0.0,1.0
16659,19443,0.0,1.0
15740,15752,1.0,1.0
4244,14300,0.0,1.0
7134,7545,1.0,1.0
4724,18018,1.0,1.0
5885,13128,0.0,1.0
806,19627,0.0,1.0
9916,12201,1.0,1.0
1041,1548,0.0,1.0
2936,18423,1.0,1.0
7434,17485,1.0,1.0
7570,16721,1.0,1.0
2304,15858,0.0,1.0
17998,19280,1.0,1.0
8118,11307,1.0,1.0
649,3784,0.0,1.0
8673,16554,1.0,1.0
7838,18408,0.0,1.0
595,2905,0.0,1.0
3153,6159,0.0,1.0
9680,12332,1.0,1.0
8962,11012,1.0,1.0
18045,18676,1.0,1.0
7393,13881,1.0,1.0
6528,13113,1.0,1.0
11876,17761,0.0,1.0
10367,10500,1.0,1.0
1098,9559,0.0,1.0
8317,19050,1.0,1.0
15016,17971,1.0,1.0
2443,14388,1.0,1.0
8350,13484,1.0,1.0
1609,5422,1.0,1.0
1346,15925,1.0,1.0
9942,10223,1.0,1.0
11385,13752,1.0,1.0
14404,17967,1.0,1.0
6519,10637,0.0,1.0
5764,19422,1.0,1.0
10062,14663,1.0,1.0
12305,14766,0.0,1.0
7434,12668,1.0,1.0
8139,17071,1.0,1.0
8137,13810,0.0,1.0
3582,6259,0.0,1.0
17384,18299,1.0,1.0
17378,18598,1.0,1.0
14745,15523,1.0,1.0
4232,19261,0.0,1.0
557,11134,0.0,1.0
13606,15140,0.0,1.0
7374,8630,0.0,1.0
13935,15631,1.0,1.0
5574,10327,0.0,1.0
5715,17678,0.0,1.0
3755,14009,0.0,1.0
16725,19115,1.0,1.0
12445,16418,0.0,1.0
17547,19459,1.0,1.0
11163,14788,1.0,1.0
5787,19392,0.0,1.0
6589,13113,1.0,1.0
488,2605,0.0,1.0
1145,8593,0.0,1.0
8013,16040,0.0,1.0
5999,16047,1.0,1.0
18414,19712,1.0,1.0
2381,15571,1.0,1.0
7888,18025,0.0,1.0
257,18116,0.0,1.0
2634,16990,0.0,1.0
7671,12701,1.0,1.0
4543,5790,0.0,1.0
5604,9780,1.0,1.0
5677,11271,1.0,1.0
2865,14327,1.0,1.0
8349,10003,1.0,1.0
3862,17743,1.0,1.0
7540,17967,1.0,1.0
789,3021,0.0,1.0
6226,8908,1.0,1.0
297,11766,1.0,1.0
5759,12602,0.0,1.0
6106,11842,0.0,1.0
