edge_index0,edge_index1,pred,gr
3365,11836,0.0,1.0
9221,18183,1.0,1.0
304,10836,1.0,1.0
12955,16384,1.0,1.0
16819,17485,1.0,1.0
9102,11736,1.0,1.0
8288,15680,0.0,1.0
7094,9053,1.0,1.0
6721,8331,1.0,1.0
893,8350,0.0,1.0
12978,19619,1.0,1.0
1021,3866,1.0,1.0
7989,15267,0.0,1.0
4390,15002,0.0,1.0
1013,18618,1.0,1.0
13399,18520,1.0,1.0
7158,8235,1.0,1.0
4744,15466,1.0,1.0
4862,6009,1.0,1.0
8235,15732,1.0,1.0
8096,12019,0.0,1.0
12066,12069,1.0,1.0
9542,10575,0.0,1.0
15119,15273,0.0,1.0
8108,13853,1.0,1.0
4716,6403,1.0,1.0
3297,7075,1.0,1.0
4568,12015,0.0,1.0
1303,19672,1.0,1.0
578,17708,0.0,1.0
9181,10510,0.0,1.0
2234,12436,1.0,1.0
6800,15385,0.0,1.0
4030,5878,1.0,1.0
2224,16100,1.0,1.0
8310,16238,1.0,1.0
11843,16372,1.0,1.0
4832,16974,1.0,1.0
1878,9479,1.0,1.0
15192,16466,1.0,1.0
703,13369,1.0,1.0
1207,11166,1.0,1.0
14210,17711,1.0,1.0
2620,6289,1.0,1.0
9484,17490,1.0,1.0
2630,3383,1.0,1.0
638,3656,1.0,1.0
7258,18470,1.0,1.0
6956,17547,1.0,1.0
6721,8699,1.0,1.0
7819,12943,1.0,1.0
2894,4724,1.0,1.0
3515,6509,1.0,1.0
195,8180,0.0,1.0
4442,14015,0.0,1.0
6281,7671,1.0,1.0
12416,15677,1.0,1.0
13706,14300,1.0,1.0
15885,18623,0.0,1.0
2299,7711,0.0,1.0
10438,14593,1.0,1.0
9653,11282,1.0,1.0
11609,15773,1.0,1.0
8312,17387,0.0,1.0
10841,15282,1.0,1.0
4884,4901,0.0,1.0
537,1930,0.0,1.0
8540,15544,1.0,1.0
11804,15718,1.0,1.0
5951,7513,0.0,1.0
9122,16054,1.0,1.0
9769,16501,1.0,1.0
3649,17273,0.0,1.0
11495,16246,1.0,1.0
11432,11474,1.0,1.0
15098,19419,1.0,1.0
3149,8376,1.0,1.0
752,9906,1.0,1.0
7671,11611,0.0,1.0
2508,19016,0.0,1.0
8211,13042,1.0,1.0
5579,7481,1.0,1.0
8219,16531,1.0,1.0
2333,9112,0.0,1.0
2264,12584,1.0,1.0
4031,8291,1.0,1.0
6376,7057,1.0,1.0
3152,16854,1.0,1.0
997,18663,1.0,1.0
4565,8729,1.0,1.0
128,13928,1.0,1.0
11381,11709,1.0,1.0
5787,12400,1.0,1.0
5462,16952,1.0,1.0
16641,18991,0.0,1.0
3930,14131,1.0,1.0
16179,18114,0.0,1.0
14445,17330,0.0,1.0
13421,16349,1.0,1.0
3162,5790,1.0,1.0
1764,18703,1.0,1.0
1225,3168,1.0,1.0
9643,13298,0.0,1.0
1742,10750,1.0,1.0
2234,16222,1.0,1.0
10072,10656,1.0,1.0
8886,9094,1.0,1.0
6722,6942,1.0,1.0
10526,11569,1.0,1.0
12584,14700,1.0,1.0
14947,18179,0.0,1.0
24,19409,1.0,1.0
568,18964,0.0,1.0
10790,18429,1.0,1.0
12386,14272,1.0,1.0
1968,11936,1.0,1.0
9484,18116,1.0,1.0
11118,12562,0.0,1.0
409,13307,0.0,1.0
4768,13791,1.0,1.0
14400,17211,1.0,1.0
13074,14854,1.0,1.0
5141,5566,1.0,1.0
236,7513,1.0,1.0
116,2679,1.0,1.0
4323,9991,0.0,1.0
12830,18729,1.0,1.0
6856,13618,0.0,1.0
5659,9392,1.0,1.0
137,8194,1.0,1.0
13182,16322,0.0,1.0
15714,16424,1.0,1.0
7980,8400,1.0,1.0
3148,7926,1.0,1.0
2486,4557,0.0,1.0
6678,6841,1.0,1.0
10089,19040,0.0,1.0
14292,15347,1.0,1.0
7466,16517,1.0,1.0
5075,6332,1.0,1.0
456,12959,1.0,1.0
5546,18628,1.0,1.0
9485,19011,0.0,1.0
3191,14302,1.0,1.0
1166,7075,1.0,1.0
18965,19638,1.0,1.0
871,15197,1.0,1.0
5107,9916,1.0,1.0
448,5382,1.0,1.0
3565,11631,1.0,1.0
3390,18265,1.0,1.0
3364,8304,1.0,1.0
5677,17462,1.0,1.0
316,2504,1.0,1.0
3121,7295,1.0,1.0
2274,11579,1.0,1.0
13427,17354,1.0,1.0
7829,18095,1.0,1.0
5783,6180,1.0,1.0
535,10982,1.0,1.0
4912,11152,1.0,1.0
4174,5354,1.0,1.0
5384,18716,1.0,1.0
9189,10181,1.0,1.0
6565,13737,1.0,1.0
7879,13985,1.0,1.0
1170,14211,0.0,1.0
160,12136,1.0,1.0
11249,18898,1.0,1.0
3901,18502,1.0,1.0
6724,9820,1.0,1.0
5141,7404,0.0,1.0
325,16062,1.0,1.0
10782,16774,1.0,1.0
5323,16222,0.0,1.0
1237,8040,1.0,1.0
2004,18131,1.0,1.0
612,2443,1.0,1.0
4821,14082,0.0,1.0
10643,13229,0.0,1.0
7615,18594,1.0,1.0
8065,11597,0.0,1.0
4675,5677,1.0,1.0
5901,8387,1.0,1.0
10877,13895,0.0,1.0
14700,18013,1.0,1.0
11020,15405,1.0,1.0
11249,17691,1.0,1.0
4332,13218,1.0,1.0
6841,17740,1.0,1.0
4093,19036,1.0,1.0
10655,13824,1.0,1.0
2041,2428,1.0,1.0
7211,19250,1.0,1.0
4179,14067,1.0,1.0
615,10749,1.0,1.0
9627,9801,1.0,1.0
17379,17902,1.0,1.0
6936,15911,0.0,1.0
10063,17125,1.0,1.0
8143,11099,1.0,1.0
16237,17485,0.0,1.0
11217,19687,1.0,1.0
7250,14436,1.0,1.0
2179,7134,1.0,1.0
1852,4996,1.0,1.0
19355,19496,1.0,1.0
998,14398,1.0,1.0
9479,11716,1.0,1.0
6880,19221,1.0,1.0
2565,13559,1.0,1.0
2693,17016,0.0,1.0
3015,5472,0.0,1.0
4802,18320,0.0,1.0
2545,7301,0.0,1.0
4052,7420,1.0,1.0
10773,15403,1.0,1.0
3676,4244,1.0,1.0
2583,13143,1.0,1.0
8822,9823,1.0,1.0
512,18311,1.0,1.0
2156,2504,1.0,1.0
4661,13994,1.0,1.0
500,10434,0.0,1.0
1049,9488,1.0,1.0
12615,19239,0.0,1.0
3153,3848,1.0,1.0
4298,10747,0.0,1.0
7728,13195,0.0,1.0
835,3174,1.0,1.0
5037,18409,1.0,1.0
6362,11267,1.0,1.0
4833,18117,1.0,1.0
9582,12950,0.0,1.0
785,1353,1.0,1.0
1333,12442,1.0,1.0
15614,18987,0.0,1.0
2908,8613,1.0,1.0
5464,17182,1.0,1.0
2621,17362,0.0,1.0
2148,10973,1.0,1.0
4928,6500,1.0,1.0
5410,18236,1.0,1.0
3523,13229,0.0,1.0
9311,11375,1.0,1.0
1396,4822,1.0,1.0
6721,8991,1.0,1.0
3606,11076,1.0,1.0
5692,19312,1.0,1.0
2504,10709,1.0,1.0
765,6340,1.0,1.0
13087,17009,1.0,1.0
10485,18142,1.0,1.0
1434,5800,0.0,1.0
12413,15949,1.0,1.0
7074,9949,0.0,1.0
12636,18991,1.0,1.0
12160,18502,1.0,1.0
4392,9046,1.0,1.0
3878,16894,1.0,1.0
6304,18102,1.0,1.0
8801,12870,1.0,1.0
1897,3013,1.0,1.0
404,6009,1.0,1.0
785,17574,1.0,1.0
13064,19078,1.0,1.0
5969,7504,0.0,1.0
8873,17482,1.0,1.0
629,13819,1.0,1.0
12876,19274,1.0,1.0
1918,9361,1.0,1.0
3367,12700,1.0,1.0
6185,9447,0.0,1.0
5779,18310,1.0,1.0
1204,9137,1.0,1.0
4647,17845,1.0,1.0
9858,13630,1.0,1.0
2551,8154,1.0,1.0
203,13063,1.0,1.0
164,10617,1.0,1.0
7884,19586,0.0,1.0
7444,10203,1.0,1.0
12011,15711,1.0,1.0
6549,14925,1.0,1.0
9033,12840,1.0,1.0
17211,18900,1.0,1.0
14037,17761,1.0,1.0
574,7096,1.0,1.0
5895,14240,0.0,1.0
7847,7961,1.0,1.0
3707,5246,0.0,1.0
4120,13054,1.0,1.0
3227,17845,1.0,1.0
7216,17165,0.0,1.0
1900,18431,1.0,1.0
1931,15858,1.0,1.0
13358,15822,1.0,1.0
16546,17220,1.0,1.0
9633,15989,1.0,1.0
4686,6535,1.0,1.0
1334,12453,0.0,1.0
979,17929,1.0,1.0
3227,5979,1.0,1.0
8440,12947,1.0,1.0
324,14814,1.0,1.0
7377,14700,1.0,1.0
1087,12148,1.0,1.0
2936,13250,1.0,1.0
8421,13584,0.0,1.0
10855,11384,1.0,1.0
4271,8550,1.0,1.0
10985,14788,1.0,1.0
12227,15002,0.0,1.0
15011,17581,0.0,1.0
3378,9876,1.0,1.0
133,6549,1.0,1.0
6073,10460,0.0,1.0
9896,15405,1.0,1.0
16085,17967,1.0,1.0
18122,18416,1.0,1.0
2941,11350,1.0,1.0
3112,9280,1.0,1.0
2918,18175,0.0,1.0
13445,19097,1.0,1.0
2807,17290,1.0,1.0
7172,14530,1.0,1.0
775,8003,1.0,1.0
17021,17856,1.0,1.0
10413,18423,1.0,1.0
3510,13805,1.0,1.0
11806,15363,0.0,1.0
9653,14698,1.0,1.0
1929,15443,1.0,1.0
107,1527,1.0,1.0
5762,18551,1.0,1.0
8369,17180,1.0,1.0
8568,17041,1.0,1.0
2815,5778,0.0,1.0
3162,10927,1.0,1.0
5778,18899,0.0,1.0
19317,19525,1.0,1.0
4425,19000,1.0,1.0
2437,8881,1.0,1.0
6710,10808,0.0,1.0
3239,13603,1.0,1.0
583,13023,1.0,1.0
7729,17207,1.0,1.0
6763,9760,1.0,1.0
3853,16196,1.0,1.0
10310,12569,1.0,1.0
4809,17901,0.0,1.0
2443,8748,1.0,1.0
12959,13140,0.0,1.0
6553,9222,0.0,1.0
4936,8001,0.0,1.0
7127,9403,0.0,1.0
11942,15587,1.0,1.0
1305,9719,1.0,1.0
5724,11818,1.0,1.0
14391,16089,1.0,1.0
7750,9065,1.0,1.0
10959,16681,0.0,1.0
2179,16920,1.0,1.0
12924,16517,1.0,1.0
10503,15510,1.0,1.0
8309,17845,1.0,1.0
58,10460,0.0,1.0
4164,15922,1.0,1.0
17387,19183,1.0,1.0
1142,13793,1.0,1.0
2604,9132,0.0,1.0
4103,10997,0.0,1.0
5644,15142,1.0,1.0
5107,12373,1.0,1.0
4559,13609,1.0,1.0
2251,7862,1.0,1.0
1454,17990,1.0,1.0
9031,15898,1.0,1.0
13494,14116,0.0,1.0
2443,17190,1.0,1.0
13735,15396,0.0,1.0
2422,15008,0.0,1.0
5729,7434,1.0,1.0
11872,12978,1.0,1.0
295,10857,1.0,1.0
12678,14844,0.0,1.0
703,8592,1.0,1.0
16531,18725,1.0,1.0
11061,18608,1.0,1.0
4188,16199,1.0,1.0
11222,14593,0.0,1.0
11288,13853,1.0,1.0
1170,3570,1.0,1.0
8634,17967,1.0,1.0
5296,8008,0.0,1.0
8738,15595,0.0,1.0
820,3390,0.0,1.0
13213,17156,1.0,1.0
14921,18806,0.0,1.0
7045,10409,1.0,1.0
4543,10772,1.0,1.0
6375,12785,1.0,1.0
2431,17508,1.0,1.0
533,12257,1.0,1.0
99,784,1.0,1.0
14861,16274,1.0,1.0
7191,14216,1.0,1.0
1597,2120,1.0,1.0
6436,18700,1.0,1.0
7572,17161,1.0,1.0
4784,12117,1.0,1.0
7540,9417,1.0,1.0
5211,14505,0.0,1.0
6069,16574,0.0,1.0
186,14623,1.0,1.0
5779,19288,1.0,1.0
3040,6813,1.0,1.0
2460,4679,0.0,1.0
12804,18423,1.0,1.0
1883,12100,0.0,1.0
12701,12938,0.0,1.0
315,18178,1.0,1.0
4879,8914,1.0,1.0
9350,18651,0.0,1.0
5805,16514,1.0,1.0
4435,4730,1.0,1.0
3362,11759,1.0,1.0
3617,4442,1.0,1.0
667,15840,1.0,1.0
187,473,1.0,1.0
1733,12764,1.0,1.0
2104,14765,1.0,1.0
2026,8847,1.0,1.0
3204,14766,0.0,1.0
16964,19239,1.0,1.0
6714,18441,1.0,1.0
829,6913,1.0,1.0
