edge_index0,edge_index1,pred,gr
8716,16533,1.0,1.0
12034,13016,0.0,1.0
1788,10344,1.0,1.0
7616,16942,1.0,1.0
1672,2708,1.0,1.0
2924,6393,1.0,1.0
12385,14806,1.0,1.0
3288,5346,1.0,1.0
10123,19397,1.0,1.0
7784,19078,0.0,1.0
195,16517,1.0,1.0
1057,13868,1.0,1.0
1676,4156,1.0,1.0
940,15353,1.0,1.0
4857,5189,1.0,1.0
13113,15405,1.0,1.0
771,14203,1.0,1.0
3901,15025,1.0,1.0
7172,7485,1.0,1.0
2352,19610,1.0,1.0
11877,15551,0.0,1.0
534,1295,1.0,1.0
17494,19522,1.0,1.0
6475,12173,1.0,1.0
8760,17091,1.0,1.0
8506,15597,1.0,1.0
13166,16902,1.0,1.0
5645,8093,1.0,1.0
6981,12931,1.0,1.0
1861,7571,1.0,1.0
7952,11165,1.0,1.0
12605,19284,1.0,1.0
3951,13695,1.0,1.0
6318,10063,1.0,1.0
4284,17173,1.0,1.0
3116,16196,1.0,1.0
8511,9259,1.0,1.0
5,16575,0.0,1.0
785,12035,1.0,1.0
9535,19425,1.0,1.0
6636,10511,1.0,1.0
1044,9304,0.0,1.0
9561,15392,0.0,1.0
601,17200,0.0,1.0
5710,16062,1.0,1.0
13528,14310,1.0,1.0
2437,10340,1.0,1.0
3171,8653,0.0,1.0
2617,8068,1.0,1.0
15241,19274,1.0,1.0
7043,15883,1.0,1.0
1944,18090,0.0,1.0
336,8235,1.0,1.0
4154,14598,1.0,1.0
3581,18481,1.0,1.0
5380,12039,1.0,1.0
5238,6450,1.0,1.0
10664,17470,1.0,1.0
6467,19641,1.0,1.0
1698,14521,1.0,1.0
13150,16477,1.0,1.0
9226,14682,1.0,1.0
1121,3041,1.0,1.0
7213,16196,1.0,1.0
5780,14811,0.0,1.0
2620,15247,1.0,1.0
365,10395,1.0,1.0
2045,8370,1.0,1.0
5037,7213,1.0,1.0
3015,9005,0.0,1.0
3441,5798,0.0,1.0
13528,18466,1.0,1.0
1519,17005,1.0,1.0
8722,11820,1.0,1.0
8007,18513,1.0,1.0
12325,15473,0.0,1.0
7152,9867,0.0,1.0
6508,11100,1.0,1.0
3931,6022,1.0,1.0
3751,4331,0.0,1.0
6682,8051,0.0,1.0
11682,17608,1.0,1.0
1561,4769,0.0,1.0
2993,9713,0.0,1.0
12031,12393,1.0,1.0
651,13970,0.0,1.0
1142,18842,1.0,1.0
2106,8326,0.0,1.0
6257,17909,1.0,1.0
3871,9978,0.0,1.0
6565,18999,1.0,1.0
3474,19529,1.0,1.0
6167,16546,0.0,1.0
4816,4942,1.0,1.0
4551,6687,0.0,1.0
11878,19280,1.0,1.0
2860,12352,1.0,1.0
3482,5870,1.0,1.0
3438,10999,1.0,1.0
297,4220,0.0,1.0
1929,2944,0.0,1.0
5498,11660,1.0,1.0
9406,12155,0.0,1.0
11954,14398,1.0,1.0
2359,5027,1.0,1.0
7404,12618,1.0,1.0
2262,6721,0.0,1.0
11259,18017,1.0,1.0
3091,18272,1.0,1.0
5866,9484,1.0,1.0
13154,15750,0.0,1.0
8235,9848,0.0,1.0
396,8734,1.0,1.0
10806,11364,1.0,1.0
1320,17081,1.0,1.0
1605,8260,1.0,1.0
13542,18493,0.0,1.0
1730,10896,0.0,1.0
1882,16445,1.0,1.0
379,19274,1.0,1.0
1939,5433,1.0,1.0
4907,10727,0.0,1.0
1969,7274,1.0,1.0
1429,11697,1.0,1.0
4655,17827,1.0,1.0
10165,17092,1.0,1.0
2004,3661,1.0,1.0
18856,19531,0.0,1.0
3656,12201,1.0,1.0
11028,15208,1.0,1.0
8228,17037,0.0,1.0
7230,8633,1.0,1.0
3657,15407,0.0,1.0
4441,6362,1.0,1.0
