edge_index0,edge_index1,pred,gr
1693,6239,1.0,1.0
9864,12154,1.0,1.0
1321,13911,1.0,1.0
3502,8260,1.0,1.0
827,8085,1.0,1.0
6890,15858,1.0,1.0
10989,16515,1.0,1.0
8496,9852,1.0,1.0
1192,15421,1.0,1.0
5951,7513,1.0,1.0
6737,17596,1.0,1.0
15882,16199,1.0,1.0
4099,9848,1.0,1.0
3516,5259,1.0,1.0
2003,9156,1.0,1.0
14879,17220,1.0,1.0
4285,17730,1.0,1.0
14400,17211,1.0,1.0
2145,2915,1.0,1.0
1590,13023,1.0,1.0
181,5368,1.0,1.0
4212,14436,1.0,1.0
3177,15658,1.0,1.0
10323,11436,1.0,1.0
266,16851,1.0,1.0
6453,19097,1.0,1.0
16010,19511,1.0,1.0
4887,16379,1.0,1.0
5969,12948,1.0,1.0
2774,8305,1.0,1.0
12931,13130,1.0,1.0
3383,15420,1.0,1.0
10637,11633,1.0,1.0
12569,19625,1.0,1.0
2535,19638,1.0,1.0
4291,5116,1.0,1.0
5125,12195,1.0,1.0
14042,17997,1.0,1.0
4057,4775,1.0,1.0
12066,13919,1.0,1.0
9300,9702,1.0,1.0
3379,15810,1.0,1.0
14251,18600,1.0,1.0
2332,14154,1.0,1.0
10598,11418,1.0,1.0
5384,16408,1.0,1.0
3310,15798,1.0,1.0
15407,16703,1.0,1.0
7404,16501,1.0,1.0
8421,14210,1.0,1.0
9111,12117,1.0,1.0
3829,18474,1.0,1.0
4448,16751,1.0,1.0
2865,12444,1.0,1.0
19519,19605,1.0,1.0
2480,17980,1.0,1.0
2894,4724,1.0,1.0
209,12497,1.0,1.0
15128,17939,1.0,1.0
3656,16088,1.0,1.0
8240,8304,1.0,1.0
12679,17744,1.0,1.0
2234,12306,1.0,1.0
5577,7239,1.0,1.0
998,13211,1.0,1.0
7006,19645,1.0,1.0
4603,6115,1.0,1.0
6220,10454,1.0,1.0
5126,6302,1.0,1.0
8620,11495,1.0,1.0
7593,12088,1.0,1.0
4892,14773,1.0,1.0
9548,16376,1.0,1.0
13277,14181,1.0,1.0
15211,18511,1.0,1.0
5807,13759,1.0,1.0
1726,6112,1.0,1.0
15146,15953,1.0,1.0
7942,14259,1.0,1.0
756,19586,1.0,1.0
2737,14561,1.0,1.0
4071,13757,1.0,1.0
1438,7522,1.0,1.0
2768,4077,1.0,1.0
4857,19031,1.0,1.0
2169,8801,1.0,1.0
3691,9719,1.0,1.0
601,7695,1.0,1.0
4763,12102,1.0,1.0
2526,8561,1.0,1.0
13682,17470,1.0,1.0
5061,12041,1.0,1.0
4918,17031,1.0,1.0
7613,13562,1.0,1.0
5565,16196,1.0,1.0
159,14442,1.0,1.0
10412,13559,1.0,1.0
15319,17515,1.0,1.0
7276,19712,1.0,1.0
6599,17510,1.0,1.0
13337,17213,1.0,1.0
6013,6085,1.0,1.0
4986,14101,1.0,1.0
2189,11731,1.0,1.0
12428,14070,1.0,1.0
3781,6724,1.0,1.0
17503,17644,1.0,1.0
2411,19280,1.0,1.0
5295,18286,1.0,1.0
6159,10909,1.0,1.0
8211,13042,1.0,1.0
1939,18234,1.0,1.0
6542,12332,1.0,1.0
2968,17256,1.0,1.0
6721,13827,1.0,1.0
11040,15813,1.0,1.0
1739,11430,1.0,1.0
7640,12735,1.0,1.0
1353,16779,1.0,1.0
5847,15224,1.0,1.0
631,15922,1.0,1.0
3340,19515,1.0,1.0
5729,17799,1.0,1.0
6367,15008,1.0,1.0
8893,14425,1.0,1.0
2929,8991,1.0,1.0
1216,14881,1.0,1.0
3951,7095,1.0,1.0
5386,7626,1.0,1.0
6093,6302,1.0,1.0
10314,12894,1.0,1.0
18709,19550,1.0,1.0
4392,15802,1.0,1.0
18,2826,1.0,1.0
9214,15673,1.0,1.0
16976,19076,1.0,1.0
3640,12733,1.0,1.0
8642,19620,1.0,1.0
3395,6151,1.0,1.0
5736,9987,1.0,1.0
4873,7616,1.0,1.0
2692,4986,1.0,1.0
294,18402,1.0,1.0
5673,13211,1.0,1.0
10499,11531,1.0,1.0
1269,9633,1.0,1.0
2630,9673,1.0,1.0
4724,9364,1.0,1.0
9484,12251,1.0,1.0
17591,18449,1.0,1.0
1258,15029,1.0,1.0
4517,16164,1.0,1.0
2671,6487,1.0,1.0
2238,17941,1.0,1.0
10562,17129,1.0,1.0
6197,13332,1.0,1.0
1861,4559,1.0,1.0
8013,16040,1.0,1.0
4452,16184,1.0,1.0
13559,16106,1.0,1.0
13162,13408,1.0,1.0
2104,12639,1.0,1.0
1300,8748,1.0,1.0
1874,4911,1.0,1.0
789,3585,1.0,1.0
7559,18056,1.0,1.0
1210,11017,1.0,1.0
5715,11029,1.0,1.0
3823,10065,1.0,1.0
14512,16082,1.0,1.0
414,3713,1.0,1.0
2258,7882,1.0,1.0
3878,15915,1.0,1.0
953,14756,1.0,1.0
12190,17214,1.0,1.0
2281,18523,1.0,1.0
3699,14272,1.0,1.0
16323,17088,1.0,1.0
11424,12850,1.0,1.0
4241,11388,1.0,1.0
1525,13459,1.0,1.0
10165,16418,1.0,1.0
2539,10344,1.0,1.0
11501,18711,1.0,1.0
14802,18745,1.0,1.0
8068,19041,1.0,1.0
10109,19088,1.0,1.0
699,3162,1.0,1.0
8102,16851,1.0,1.0
3134,14690,1.0,1.0
7879,11302,1.0,1.0
4479,9100,1.0,1.0
9576,12622,1.0,1.0
514,5408,1.0,1.0
6467,8411,1.0,1.0
8505,18327,1.0,1.0
3951,7680,1.0,1.0
2226,12176,1.0,1.0
2993,14879,1.0,1.0
7743,15647,1.0,1.0
1536,14323,1.0,1.0
8523,8852,1.0,1.0
4516,17510,1.0,1.0
13213,15974,1.0,1.0
1676,6384,1.0,1.0
164,1661,1.0,1.0
12453,19519,1.0,1.0
10433,15146,1.0,1.0
6492,15211,1.0,1.0
6230,12466,1.0,1.0
9653,13853,1.0,1.0
8593,17068,1.0,1.0
4816,6052,1.0,1.0
13553,16598,1.0,1.0
11271,18131,1.0,1.0
3185,14313,1.0,1.0
3383,13095,1.0,1.0
12701,13173,1.0,1.0
7276,18131,1.0,1.0
6794,14601,1.0,1.0
17703,19219,1.0,1.0
15360,16174,1.0,1.0
2679,18402,1.0,1.0
4070,17387,1.0,1.0
14254,19716,1.0,1.0
3470,5505,1.0,1.0
2929,18158,1.0,1.0
948,19712,1.0,1.0
4879,18247,1.0,1.0
14912,19010,1.0,1.0
9427,11012,1.0,1.0
12860,13559,1.0,1.0
5632,14447,1.0,1.0
14991,15720,1.0,1.0
1908,3116,1.0,1.0
192,18096,1.0,1.0
3875,9119,1.0,1.0
8250,8799,1.0,1.0
10717,12569,1.0,1.0
1741,9942,1.0,1.0
12483,14003,1.0,1.0
4989,7290,1.0,1.0
10355,17088,1.0,1.0
17124,17578,1.0,1.0
703,9059,1.0,1.0
12681,14943,1.0,1.0
12136,12232,1.0,1.0
3162,17205,1.0,1.0
688,2697,1.0,1.0
7649,18831,1.0,1.0
6442,12413,1.0,1.0
1461,12489,1.0,1.0
4282,17013,1.0,1.0
8771,15954,1.0,1.0
5986,10680,1.0,1.0
16494,17490,1.0,1.0
2229,7043,1.0,1.0
13630,14935,1.0,1.0
1163,8471,1.0,1.0
13872,15133,1.0,1.0
7396,8858,1.0,1.0
3119,6467,1.0,1.0
12780,18623,1.0,1.0
6317,19050,1.0,1.0
2169,10857,1.0,1.0
1694,8703,1.0,1.0
11490,15773,1.0,1.0
1237,3930,1.0,1.0
9502,13994,1.0,1.0
69,11942,1.0,1.0
4606,6462,1.0,1.0
4655,17680,1.0,1.0
12917,16989,1.0,1.0
3945,11404,1.0,1.0
2378,7311,1.0,1.0
6416,16566,1.0,1.0
16142,19285,1.0,1.0
1944,19331,1.0,1.0
6330,11994,1.0,1.0
3922,15622,1.0,1.0
16832,17647,1.0,1.0
11524,18596,1.0,1.0
898,19089,1.0,1.0
8103,12925,1.0,1.0
4725,12117,1.0,1.0
6565,12731,1.0,1.0
5201,18909,1.0,1.0
18564,18676,1.0,1.0
2988,19712,1.0,1.0
3429,18397,1.0,1.0
9102,11736,1.0,1.0
313,10816,1.0,1.0
1344,7671,1.0,1.0
3119,19422,1.0,1.0
5734,15718,1.0,1.0
8814,17517,1.0,1.0
12180,19088,1.0,1.0
2810,10408,1.0,1.0
13752,18275,1.0,1.0
18409,18709,1.0,1.0
10780,12484,1.0,1.0
2817,17979,1.0,1.0
5089,14334,1.0,1.0
4014,5125,1.0,1.0
9585,9968,1.0,1.0
3647,15598,1.0,1.0
14623,19594,1.0,1.0
6312,10435,1.0,1.0
