edge_index0,edge_index1,pred,gr
1263,3834,1.0,1.0
3998,10468,1.0,1.0
2580,16292,1.0,1.0
6006,11545,1.0,1.0
2673,7610,0.0,1.0
1516,12634,0.0,1.0
7301,16537,0.0,1.0
1523,9251,1.0,1.0
5883,18017,1.0,1.0
2765,6009,1.0,1.0
324,10524,1.0,1.0
8053,10664,0.0,1.0
11307,17379,1.0,1.0
4498,16844,1.0,1.0
7275,9189,1.0,1.0
1429,10733,1.0,1.0
17799,19263,1.0,1.0
3058,15973,0.0,1.0
10929,13682,0.0,1.0
7743,15032,1.0,1.0
12867,19330,1.0,1.0
2966,14230,0.0,1.0
15459,17591,1.0,1.0
604,8971,1.0,1.0
13113,19279,0.0,1.0
8326,8852,1.0,1.0
7561,8523,0.0,1.0
2012,16092,1.0,1.0
2012,13632,1.0,1.0
9014,12485,0.0,1.0
11412,19658,1.0,1.0
2265,9833,1.0,1.0
7694,15123,1.0,1.0
2812,6459,1.0,1.0
9502,11318,1.0,1.0
17903,19636,1.0,1.0
4370,17971,1.0,1.0
1413,17041,1.0,1.0
6553,11916,0.0,1.0
2015,17456,0.0,1.0
13133,13665,1.0,1.0
11259,16425,1.0,1.0
581,6154,0.0,1.0
3395,15927,1.0,1.0
7154,17990,1.0,1.0
3556,12337,1.0,1.0
10169,19048,1.0,1.0
1256,18839,1.0,1.0
4030,12786,1.0,1.0
9226,16020,1.0,1.0
2428,11669,1.0,1.0
10312,18724,1.0,1.0
1690,15647,0.0,1.0
7728,18606,0.0,1.0
13447,18823,1.0,1.0
3422,14947,0.0,1.0
2417,15281,1.0,1.0
2659,10717,1.0,1.0
7979,18950,1.0,1.0
14096,16725,1.0,1.0
6191,7560,1.0,1.0
7698,14324,0.0,1.0
13346,17521,1.0,1.0
6044,8108,1.0,1.0
3038,10499,1.0,1.0
7174,11836,1.0,1.0
5673,16774,1.0,1.0
8989,12063,1.0,1.0
4666,18014,0.0,1.0
6565,6903,0.0,1.0
383,13788,1.0,1.0
9080,14096,0.0,1.0
10009,10906,0.0,1.0
11010,19454,1.0,1.0
936,2162,1.0,1.0
1169,7172,1.0,1.0
1100,2104,1.0,1.0
10351,13223,0.0,1.0
11151,14608,0.0,1.0
1173,5994,0.0,1.0
565,10428,1.0,1.0
2796,2822,0.0,1.0
3932,12819,0.0,1.0
357,5458,1.0,1.0
5165,16404,1.0,1.0
5175,16960,1.0,1.0
1395,8238,0.0,1.0
4183,14135,0.0,1.0
11634,17464,1.0,1.0
4479,12233,1.0,1.0
8822,10508,1.0,1.0
13856,19599,1.0,1.0
7646,17547,0.0,1.0
9342,11627,0.0,1.0
4372,6106,1.0,1.0
2113,6275,1.0,1.0
7749,14294,1.0,1.0
9381,16942,1.0,1.0
10053,10056,0.0,1.0
13640,18696,1.0,1.0
10069,10928,1.0,1.0
13949,14209,0.0,1.0
11615,12682,1.0,1.0
14845,17425,1.0,1.0
246,5242,1.0,1.0
7964,8137,1.0,1.0
866,7197,1.0,1.0
4482,9578,1.0,1.0
7040,7305,0.0,1.0
6811,8801,1.0,1.0
5125,10313,1.0,1.0
16851,17088,1.0,1.0
16572,16685,1.0,1.0
14953,19179,1.0,1.0
3606,19447,0.0,1.0
2929,11508,1.0,1.0
3182,16517,1.0,1.0
18424,19501,1.0,1.0
816,13399,0.0,1.0
6241,12499,1.0,1.0
9459,19571,0.0,1.0
1580,18765,0.0,1.0
4904,19079,0.0,1.0
6474,16349,1.0,1.0
2226,6971,1.0,1.0
7367,17648,1.0,1.0
9438,9900,0.0,1.0
2058,13999,0.0,1.0
3452,8232,0.0,1.0
3024,8955,1.0,1.0
582,8629,1.0,1.0
10003,13551,1.0,1.0
2265,10741,1.0,1.0
12174,13853,1.0,1.0
450,10750,1.0,1.0
10805,15134,1.0,1.0
1176,14423,1.0,1.0
7525,12915,1.0,1.0
10805,11402,0.0,1.0
9271,12710,0.0,1.0
3931,7075,1.0,1.0
17242,17642,0.0,1.0
2443,9495,1.0,1.0
5741,18230,1.0,1.0
4665,6190,1.0,1.0
8537,16517,1.0,1.0
15280,19250,1.0,1.0
1337,9800,1.0,1.0
841,12730,1.0,1.0
7440,16588,1.0,1.0
8977,14319,0.0,1.0
2921,19689,0.0,1.0
7723,19388,1.0,1.0
4521,14923,0.0,1.0
11931,12164,0.0,1.0
1946,17127,1.0,1.0
1809,18064,0.0,1.0
1836,6152,1.0,1.0
1335,2226,1.0,1.0
12129,18473,1.0,1.0
4441,10394,1.0,1.0
1246,1320,1.0,1.0
10851,14372,1.0,1.0
2414,11692,1.0,1.0
8349,12861,1.0,1.0
0,14295,1.0,1.0
455,4064,0.0,1.0
1210,12881,1.0,1.0
584,2885,0.0,1.0
6602,8496,1.0,1.0
2041,12377,1.0,1.0
9245,12235,0.0,1.0
1527,3227,0.0,1.0
7778,15270,1.0,1.0
1396,16020,1.0,1.0
9158,15812,0.0,1.0
8370,13712,0.0,1.0
1320,13349,1.0,1.0
1540,14310,1.0,1.0
6362,7615,1.0,1.0
5751,8511,1.0,1.0
10733,13375,1.0,1.0
14131,17485,1.0,1.0
5330,18680,1.0,1.0
4657,15928,1.0,1.0
5457,18974,1.0,1.0
2104,10400,1.0,1.0
14313,18481,1.0,1.0
1912,16660,0.0,1.0
1446,9927,0.0,1.0
619,13853,1.0,1.0
244,9962,0.0,1.0
11497,14876,1.0,1.0
4057,11678,1.0,1.0
4513,10857,0.0,1.0
4898,7239,0.0,1.0
148,4480,1.0,1.0
9830,14286,1.0,1.0
2519,10117,0.0,1.0
8235,13083,1.0,1.0
5787,17697,1.0,1.0
1951,8209,1.0,1.0
8650,13060,1.0,1.0
7268,18047,0.0,1.0
6636,15518,1.0,1.0
8705,10100,0.0,1.0
4071,19515,1.0,1.0
396,1565,1.0,1.0
11929,18323,1.0,1.0
612,7216,1.0,1.0
14262,18822,0.0,1.0
4928,7068,0.0,1.0
7096,19035,0.0,1.0
6367,11377,1.0,1.0
2291,4431,1.0,1.0
3839,6407,0.0,1.0
1103,15685,1.0,1.0
279,4953,1.0,1.0
2868,16092,1.0,1.0
7793,9731,0.0,1.0
1361,18741,0.0,1.0
77,16684,0.0,1.0
7548,18425,1.0,1.0
11396,14868,1.0,1.0
9374,14681,0.0,1.0
4175,7570,1.0,1.0
9927,18354,0.0,1.0
6009,19522,1.0,1.0
3828,12288,0.0,1.0
2349,3139,1.0,1.0
6569,13359,1.0,1.0
9851,17809,1.0,1.0
10033,18353,1.0,1.0
726,19059,0.0,1.0
5407,14691,0.0,1.0
799,3866,1.0,1.0
7404,11027,1.0,1.0
1329,8401,1.0,1.0
3615,3714,1.0,1.0
164,13569,0.0,1.0
9403,16124,1.0,1.0
874,7022,0.0,1.0
5237,10528,0.0,1.0
3956,14795,0.0,1.0
14608,18823,0.0,1.0
8384,15269,1.0,1.0
4634,17060,1.0,1.0
3760,17644,0.0,1.0
4559,16762,0.0,1.0
3879,17467,1.0,1.0
172,9500,1.0,1.0
1012,14876,1.0,1.0
1836,11461,1.0,1.0
9631,12365,0.0,1.0
1876,18898,1.0,1.0
1667,9794,1.0,1.0
9177,12990,1.0,1.0
5897,17648,0.0,1.0
3142,18227,0.0,1.0
2719,3497,0.0,1.0
10773,16492,1.0,1.0
3950,4746,0.0,1.0
11412,18318,0.0,1.0
1720,6012,0.0,1.0
7167,11122,1.0,1.0
13658,18480,0.0,1.0
9757,12268,0.0,1.0
8530,18058,0.0,1.0
15433,18919,0.0,1.0
14586,18645,0.0,1.0
14711,18282,0.0,1.0
2236,4655,1.0,1.0
15202,19254,1.0,1.0
315,17803,1.0,1.0
2950,5846,0.0,1.0
9937,10180,0.0,1.0
6882,18579,0.0,1.0
9149,12983,0.0,1.0
1280,18454,0.0,1.0
560,1944,1.0,1.0
2332,15171,1.0,1.0
771,5249,1.0,1.0
9404,12309,1.0,1.0
6201,11260,1.0,1.0
5729,6962,0.0,1.0
8250,19641,1.0,1.0
12083,17037,1.0,1.0
13294,17180,1.0,1.0
2112,3204,0.0,1.0
873,18715,1.0,1.0
11440,15369,1.0,1.0
5323,6462,1.0,1.0
1098,7186,1.0,1.0
11861,15537,1.0,1.0
6722,16418,1.0,1.0
12701,12919,0.0,1.0
8392,17087,0.0,1.0
1908,13113,1.0,1.0
8633,17743,1.0,1.0
5632,16323,1.0,1.0
5728,18227,1.0,1.0
1651,17642,0.0,1.0
1885,15965,1.0,1.0
11316,17567,1.0,1.0
5248,5481,1.0,1.0
3850,5837,1.0,1.0
15222,19297,1.0,1.0
4783,5149,1.0,1.0
9033,18825,1.0,1.0
7959,12938,1.0,1.0
7094,9053,1.0,1.0
13771,15396,0.0,1.0
15176,19216,0.0,1.0
8071,17953,1.0,1.0
5196,12891,0.0,1.0
760,1654,0.0,1.0
5969,8949,1.0,1.0
1623,14689,0.0,1.0
18423,19015,1.0,1.0
5969,8604,0.0,1.0
11388,17489,1.0,1.0
18423,18808,0.0,1.0
14071,15533,0.0,1.0
13553,15758,1.0,1.0
2903,18064,0.0,1.0
8530,16085,0.0,1.0
4545,9557,0.0,1.0
14405,15138,1.0,1.0
8601,19536,0.0,1.0
41,16976,0.0,1.0
3089,16062,0.0,1.0
4862,12430,1.0,1.0
1908,4739,1.0,1.0
13214,15046,0.0,1.0
1092,6525,1.0,1.0
5674,8455,1.0,1.0
6509,14217,1.0,1.0
6645,10451,0.0,1.0
4766,8634,1.0,1.0
5047,12974,0.0,1.0
16376,17565,0.0,1.0
2027,12622,1.0,1.0
2293,13928,1.0,1.0
3585,11943,1.0,1.0
16341,19476,0.0,1.0
16426,18205,1.0,1.0
5394,8149,1.0,1.0
9417,9625,0.0,1.0
2259,17190,0.0,1.0
6448,13023,1.0,1.0
13559,17027,0.0,1.0
534,15400,0.0,1.0
2334,14688,0.0,1.0
897,8944,0.0,1.0
14704,17677,1.0,1.0
3331,19524,0.0,1.0
11377,19612,1.0,1.0
6475,11835,0.0,1.0
14925,18493,1.0,1.0
14671,17022,1.0,1.0
3177,9711,0.0,1.0
11076,13557,0.0,1.0
8455,15226,1.0,1.0
12622,13868,1.0,1.0
13173,15737,0.0,1.0
8962,10983,1.0,1.0
17107,18215,0.0,1.0
7469,19619,1.0,1.0
13104,13658,0.0,1.0
16681,19143,1.0,1.0
8570,10066,1.0,1.0
8697,16111,1.0,1.0
9462,16082,1.0,1.0
7179,18478,1.0,1.0
3379,12117,1.0,1.0
15869,19550,1.0,1.0
10583,17738,0.0,1.0
17510,19446,1.0,1.0
6689,11464,1.0,1.0
13207,19509,0.0,1.0
14423,16866,0.0,1.0
10949,17465,0.0,1.0
4420,12365,0.0,1.0
17664,17909,1.0,1.0
3254,6367,0.0,1.0
1723,16976,0.0,1.0
5979,19161,1.0,1.0
15024,19598,0.0,1.0
11077,13328,0.0,1.0
9328,11801,0.0,1.0
1959,9616,1.0,1.0
379,19274,1.0,1.0
574,17528,1.0,1.0
11569,14965,1.0,1.0
7126,15716,1.0,1.0
10614,19712,1.0,1.0
14372,15084,1.0,1.0
4184,4868,1.0,1.0
2690,15706,0.0,1.0
7674,17956,1.0,1.0
7647,14741,0.0,1.0
17,6362,1.0,1.0
1362,3998,1.0,1.0
1485,5787,0.0,1.0
5787,12550,0.0,1.0
5879,6446,1.0,1.0
474,9627,1.0,1.0
11947,13853,1.0,1.0
7050,12575,1.0,1.0
1663,8043,0.0,1.0
14944,15253,0.0,1.0
4868,5126,1.0,1.0
9334,19557,0.0,1.0
7140,10400,1.0,1.0
5677,17425,1.0,1.0
