edge_index0,edge_index1,pred,gr
6794,18705,1.0,1.0
7402,11757,1.0,1.0
12180,19088,1.0,1.0
2045,12036,1.0,1.0
19305,19677,1.0,1.0
5359,8893,1.0,1.0
7075,15311,1.0,1.0
5444,9363,1.0,1.0
8555,9590,1.0,1.0
6808,11326,1.0,1.0
8181,16196,1.0,1.0
1980,12377,1.0,1.0
17953,18275,1.0,1.0
12580,19322,1.0,1.0
13618,14582,0.0,1.0
4132,5994,1.0,1.0
8535,11818,1.0,1.0
18,4796,1.0,1.0
1365,18298,1.0,1.0
244,2277,1.0,1.0
11016,15011,1.0,1.0
1580,19633,1.0,1.0
713,9165,1.0,1.0
10366,16744,1.0,1.0
10956,15312,1.0,1.0
6177,8991,1.0,1.0
11632,12785,1.0,1.0
8523,8917,1.0,1.0
2508,6614,1.0,1.0
9800,12377,1.0,1.0
5413,8568,1.0,1.0
2943,19033,1.0,1.0
4030,16048,1.0,1.0
6232,19489,1.0,1.0
2737,13194,1.0,1.0
6362,18131,1.0,1.0
6549,14925,1.0,1.0
102,18183,1.0,1.0
7230,17990,1.0,1.0
7400,15812,1.0,1.0
5805,8526,1.0,1.0
1994,13468,1.0,1.0
5879,10829,1.0,1.0
4779,13550,1.0,1.0
2657,19696,0.0,1.0
3517,15817,1.0,1.0
858,13571,1.0,1.0
12582,15956,1.0,1.0
11249,15202,0.0,1.0
9278,17644,1.0,1.0
8370,13332,1.0,1.0
6375,7075,1.0,1.0
15938,17623,1.0,1.0
2502,2604,1.0,1.0
2586,6977,1.0,1.0
9410,10983,1.0,1.0
16338,19327,1.0,1.0
7018,8872,1.0,1.0
11174,16447,1.0,1.0
2455,2490,1.0,1.0
3927,13349,1.0,1.0
3878,7075,1.0,1.0
3700,12770,1.0,1.0
465,12246,1.0,1.0
1204,15201,1.0,1.0
1721,14745,1.0,1.0
5787,17428,1.0,1.0
1992,12295,1.0,1.0
3186,11047,1.0,1.0
5979,8540,1.0,1.0
3781,17384,1.0,1.0
914,19466,1.0,1.0
976,17190,1.0,1.0
7179,18478,1.0,1.0
3726,8902,1.0,1.0
4071,8718,1.0,1.0
5326,10883,1.0,1.0
1336,12858,1.0,1.0
8893,12876,1.0,1.0
13856,19599,1.0,1.0
13583,16418,1.0,1.0
16531,16551,1.0,1.0
1272,17900,1.0,1.0
2611,13868,1.0,1.0
2505,19550,1.0,1.0
9578,16975,1.0,1.0
1799,14154,1.0,1.0
7141,10335,1.0,1.0
4964,6705,1.0,1.0
5997,17159,0.0,1.0
2166,2583,1.0,1.0
15812,18512,1.0,1.0
18603,19519,1.0,1.0
3497,18089,1.0,1.0
7820,9110,1.0,1.0
3666,14904,1.0,1.0
9117,9268,1.0,1.0
6103,14794,1.0,1.0
7018,18385,1.0,1.0
12116,18360,1.0,1.0
8929,16025,1.0,1.0
7134,10028,1.0,1.0
4077,11883,1.0,1.0
2488,5236,1.0,1.0
1770,12305,1.0,1.0
9905,17660,1.0,1.0
5805,17612,1.0,1.0
5870,12499,1.0,1.0
9877,13677,1.0,1.0
17425,17459,1.0,1.0
11630,13520,1.0,1.0
12083,15133,1.0,1.0
1726,2160,1.0,1.0
4719,10877,1.0,1.0
1906,8312,1.0,1.0
1303,4587,1.0,1.0
10564,12415,1.0,1.0
14789,15746,1.0,1.0
1654,3168,1.0,1.0
14370,17265,1.0,1.0
8635,16703,1.0,1.0
12291,16525,1.0,1.0
6826,10662,1.0,1.0
10066,16562,1.0,1.0
7630,11329,1.0,1.0
16051,19242,1.0,1.0
14736,18739,1.0,1.0
7350,9633,1.0,1.0
2224,8033,1.0,1.0
4657,15355,1.0,1.0
1639,18898,1.0,1.0
7065,15510,1.0,1.0
2183,9034,1.0,1.0
3553,6311,1.0,1.0
6190,15211,1.0,1.0
7434,12377,1.0,1.0
12990,13261,1.0,1.0
10047,15243,1.0,1.0
7075,17140,1.0,1.0
8077,16371,1.0,1.0
10221,11583,1.0,1.0
936,7938,1.0,1.0
10090,16366,1.0,1.0
5673,7230,1.0,1.0
16163,18871,1.0,1.0
9322,16779,1.0,1.0
2093,11424,1.0,1.0
7747,14492,1.0,1.0
1572,5745,1.0,1.0
9571,16141,1.0,1.0
