edge_index0,edge_index1,pred,gr
3339,19599,1.0,1.0
3000,5632,0.0,1.0
5433,5879,0.0,1.0
13965,19716,0.0,1.0
7130,11942,1.0,1.0
702,17917,0.0,1.0
8424,17871,0.0,1.0
1339,13332,1.0,1.0
936,11672,1.0,1.0
10637,19284,1.0,1.0
12445,13130,0.0,1.0
96,7500,1.0,1.0
17944,19664,1.0,1.0
15510,17900,1.0,1.0
11385,14240,0.0,1.0
5359,14854,1.0,1.0
4479,9100,1.0,1.0
12569,17254,1.0,1.0
4698,11314,1.0,1.0
1256,12012,1.0,1.0
1338,10880,0.0,1.0
3733,9263,0.0,1.0
1191,8929,1.0,1.0
6292,6926,1.0,1.0
3395,6381,1.0,1.0
11925,18898,1.0,1.0
10862,15187,0.0,1.0
3116,12445,0.0,1.0
3158,4879,0.0,1.0
26,3997,1.0,1.0
998,18596,1.0,1.0
13688,15353,0.0,1.0
14091,16274,0.0,1.0
15128,19422,1.0,1.0
12925,13349,1.0,1.0
6743,13929,0.0,1.0
3556,4967,1.0,1.0
8626,18441,0.0,1.0
8903,18702,1.0,1.0
891,12449,0.0,1.0
11849,15518,1.0,1.0
309,14272,1.0,1.0
18271,18487,1.0,1.0
11644,13977,1.0,1.0
4826,7007,0.0,1.0
128,720,1.0,1.0
3875,12332,1.0,1.0
4724,17182,1.0,1.0
13935,14161,1.0,1.0
12482,16915,0.0,1.0
7126,15259,1.0,1.0
7610,19356,0.0,1.0
8055,12417,1.0,1.0
16070,17845,1.0,1.0
5778,9789,0.0,1.0
7481,11692,0.0,1.0
14768,18199,1.0,1.0
2169,10857,0.0,1.0
1429,7868,0.0,1.0
7838,18408,0.0,1.0
10803,19305,1.0,1.0
11329,17461,1.0,1.0
9456,13449,0.0,1.0
2693,14068,0.0,1.0
3700,7394,1.0,1.0
3463,4605,1.0,1.0
389,9633,1.0,1.0
5125,13853,0.0,1.0
2699,10274,1.0,1.0
16550,19258,0.0,1.0
4159,15203,0.0,1.0
813,865,1.0,1.0
21,13977,1.0,1.0
2180,15142,1.0,1.0
164,5750,1.0,1.0
5104,11189,0.0,1.0
195,4900,0.0,1.0
155,19589,0.0,1.0
13977,18378,1.0,1.0
10408,11617,1.0,1.0
10235,18493,0.0,1.0
5967,16655,1.0,1.0
8691,19638,1.0,1.0
6467,13746,1.0,1.0
4928,5153,1.0,1.0
1645,3617,0.0,1.0
5227,11461,0.0,1.0
2698,15982,0.0,1.0
16505,16980,0.0,1.0
3751,19381,1.0,1.0
5980,11719,1.0,1.0
3177,18959,0.0,1.0
2187,9830,1.0,1.0
8459,19040,0.0,1.0
9942,13977,0.0,1.0
11222,14294,1.0,1.0
6487,18047,1.0,1.0
1852,10845,1.0,1.0
14879,18561,1.0,1.0
5803,17664,0.0,1.0
4531,16492,0.0,1.0
11224,18052,0.0,1.0
6095,13855,0.0,1.0
8525,13675,1.0,1.0
4686,6981,1.0,1.0
14302,16585,1.0,1.0
3827,18252,1.0,1.0
8294,8305,1.0,1.0
14532,15956,1.0,1.0
5805,11426,0.0,1.0
13414,14424,1.0,1.0
7770,12151,1.0,1.0
603,17553,0.0,1.0
6654,19704,0.0,1.0
3168,4444,1.0,1.0
4872,19613,0.0,1.0
11385,11663,1.0,1.0
948,11801,1.0,1.0
3119,19422,0.0,1.0
14623,15773,1.0,1.0
6657,18818,0.0,1.0
2437,15208,1.0,1.0
3040,13935,0.0,1.0
5695,17958,0.0,1.0
6131,11736,1.0,1.0
5969,11427,0.0,1.0
10885,18521,0.0,1.0
6143,18457,1.0,1.0
14218,17967,1.0,1.0
1983,4030,1.0,1.0
4225,10636,1.0,1.0
159,19582,1.0,1.0
2390,7586,0.0,1.0
17080,18951,1.0,1.0
3505,10782,1.0,1.0
1852,5962,1.0,1.0
7075,12466,0.0,1.0
7178,14932,0.0,1.0
2826,14426,0.0,1.0
1964,11247,1.0,1.0
4651,10418,1.0,1.0
15711,19020,0.0,1.0
448,10030,1.0,1.0
2123,12622,1.0,1.0
1720,15529,0.0,1.0
18183,18553,1.0,1.0
8235,14042,1.0,1.0
15549,19426,0.0,1.0
4817,16018,0.0,1.0
6093,9800,1.0,1.0
5167,12445,0.0,1.0
373,1100,1.0,1.0
14980,15011,0.0,1.0
10114,10131,0.0,1.0
4231,12639,0.0,1.0
14765,18037,0.0,1.0
15333,17660,0.0,1.0
2657,3058,1.0,1.0
1159,5805,1.0,1.0
9160,15949,1.0,1.0
4724,5304,1.0,1.0
13193,15510,1.0,1.0
1402,5846,0.0,1.0
8107,9556,1.0,1.0
10552,13103,0.0,1.0
2547,13230,0.0,1.0
3896,7252,0.0,1.0
9320,18550,0.0,1.0
12387,17088,1.0,1.0
1246,19459,1.0,1.0
336,4038,0.0,1.0
6658,16930,0.0,1.0
2941,19267,1.0,1.0
3447,14223,0.0,1.0
1449,8958,0.0,1.0
1063,13143,1.0,1.0
177,574,1.0,1.0
4285,16514,0.0,1.0
6197,14403,1.0,1.0
557,17503,1.0,1.0
9410,16681,1.0,1.0
5997,17168,1.0,1.0
2679,3304,1.0,1.0
6366,8852,1.0,1.0
13406,19143,0.0,1.0
1434,2187,1.0,1.0
300,5584,0.0,1.0
2560,19399,0.0,1.0
8421,14210,0.0,1.0
11305,13151,0.0,1.0
6527,7700,1.0,1.0
6305,9627,0.0,1.0
16983,18267,1.0,1.0
12429,16286,0.0,1.0
16056,16454,1.0,1.0
10958,18429,1.0,1.0
12918,15574,0.0,1.0
8102,13110,0.0,1.0
8842,17985,0.0,1.0
1142,15089,1.0,1.0
3933,7084,1.0,1.0
13530,17744,0.0,1.0
5604,17425,1.0,1.0
14042,17997,1.0,1.0
11418,15955,1.0,1.0
7884,9216,1.0,1.0
10733,12196,1.0,1.0
3258,6366,0.0,1.0
5577,8555,1.0,1.0
5740,6307,1.0,1.0
7750,10526,0.0,1.0
2982,15381,1.0,1.0
7576,15000,0.0,1.0
2737,5803,1.0,1.0
5633,19443,0.0,1.0
3990,4953,0.0,1.0
4432,11857,1.0,1.0
2547,12562,0.0,1.0
16650,18017,1.0,1.0
8610,11943,0.0,1.0
987,8304,1.0,1.0
6986,7784,0.0,1.0
936,2179,0.0,1.0
989,19261,0.0,1.0
9392,15965,1.0,1.0
14741,15472,1.0,1.0
1121,8265,0.0,1.0
10056,16500,0.0,1.0
13693,18327,1.0,1.0
8342,12305,0.0,1.0
11941,12978,0.0,1.0
16402,19186,0.0,1.0
102,1253,0.0,1.0
3869,11116,0.0,1.0
6228,6987,0.0,1.0
16976,19076,0.0,1.0
8644,9556,0.0,1.0
17744,17747,0.0,1.0
4597,4933,0.0,1.0
4879,6961,0.0,1.0
2251,14609,1.0,1.0
2708,11604,1.0,1.0
2663,4937,1.0,1.0
12427,17456,0.0,1.0
11292,15074,0.0,1.0
5268,18979,0.0,1.0
2936,11944,0.0,1.0
11682,17608,1.0,1.0
940,1210,1.0,1.0
6869,7126,1.0,1.0
7469,16533,1.0,1.0
6474,7714,0.0,1.0
1693,6239,0.0,1.0
13688,19529,0.0,1.0
7502,12009,0.0,1.0
2690,3548,0.0,1.0
184,18429,0.0,1.0
7075,11490,1.0,1.0
10655,10888,0.0,1.0
3013,5086,1.0,1.0
8065,11597,0.0,1.0
3050,9837,0.0,1.0
2695,6393,0.0,1.0
2229,7324,0.0,1.0
3464,10805,0.0,1.0
5572,17896,0.0,1.0
7247,9550,0.0,1.0
858,13589,1.0,1.0
1599,2705,0.0,1.0
7121,15337,1.0,1.0
6727,14790,0.0,1.0
2369,8370,1.0,1.0
6942,7481,1.0,1.0
12591,13310,0.0,1.0
3149,10517,1.0,1.0
15923,17721,0.0,1.0
4724,8928,1.0,1.0
6054,8093,0.0,1.0
8483,17142,0.0,1.0
3182,11833,1.0,1.0
11925,18965,1.0,1.0
7306,15391,0.0,1.0
6253,19010,0.0,1.0
159,12426,1.0,1.0
186,8330,1.0,1.0
6302,9457,1.0,1.0
5883,17643,1.0,1.0
4037,9832,1.0,1.0
9322,14424,1.0,1.0
1876,12377,1.0,1.0
9944,19050,0.0,1.0
3677,17198,0.0,1.0
6275,17278,1.0,1.0
1263,5983,1.0,1.0
4213,12154,0.0,1.0
293,19139,0.0,1.0
13038,14208,0.0,1.0
7476,14272,1.0,1.0
12575,16808,0.0,1.0
702,13974,0.0,1.0
3497,5815,0.0,1.0
10012,13038,0.0,1.0
8611,13853,1.0,1.0
3323,15510,1.0,1.0
5584,9132,0.0,1.0
11524,16196,1.0,1.0
3368,15134,0.0,1.0
1234,9578,1.0,1.0
741,15812,1.0,1.0
3602,17039,1.0,1.0
3424,15756,1.0,1.0
118,19004,0.0,1.0
14913,17736,0.0,1.0
11180,19712,1.0,1.0
1520,16689,0.0,1.0
7504,11614,0.0,1.0
1423,5215,0.0,1.0
8928,14943,1.0,1.0
4590,14678,0.0,1.0
15718,16163,1.0,1.0
3281,16573,1.0,1.0
5798,15186,0.0,1.0
152,17909,0.0,1.0
1653,15510,1.0,1.0
7662,16422,1.0,1.0
4894,15261,0.0,1.0
4782,18901,0.0,1.0
7589,11175,0.0,1.0
5802,8319,0.0,1.0
6232,6920,1.0,1.0
5153,9301,0.0,1.0
13206,13658,1.0,1.0
5236,12970,1.0,1.0
4953,8962,0.0,1.0
9502,13399,0.0,1.0
10184,13142,1.0,1.0
14953,16767,1.0,1.0
6926,13126,0.0,1.0
2807,16822,0.0,1.0
2040,17896,0.0,1.0
17806,19697,1.0,1.0
10207,12533,0.0,1.0
2850,4487,0.0,1.0
13113,13674,0.0,1.0
3227,13332,1.0,1.0
3949,6947,1.0,1.0
8421,12690,0.0,1.0
1701,5844,1.0,1.0
8085,8633,1.0,1.0
1440,16991,1.0,1.0
3177,5939,1.0,1.0
4559,11814,1.0,1.0
12605,15261,0.0,1.0
11725,16991,0.0,1.0
1210,4454,1.0,1.0
949,6864,1.0,1.0
5073,13143,1.0,1.0
1980,17092,1.0,1.0
9275,10878,1.0,1.0
5787,7943,1.0,1.0
3073,14285,0.0,1.0
3871,18912,1.0,1.0
1710,16600,0.0,1.0
3581,15877,1.0,1.0
11598,14388,0.0,1.0
3556,9535,1.0,1.0
3662,4048,1.0,1.0
6766,19403,0.0,1.0
985,2735,1.0,1.0
1012,15518,0.0,1.0
6737,9006,0.0,1.0
4905,11432,1.0,1.0
6812,10634,0.0,1.0
3490,18409,0.0,1.0
3139,7075,1.0,1.0
11053,11353,0.0,1.0
5783,5973,0.0,1.0
661,3710,0.0,1.0
1917,10883,0.0,1.0
7711,17072,0.0,1.0
6759,15407,0.0,1.0
10574,14272,1.0,1.0
1572,4668,0.0,1.0
6230,12466,0.0,1.0
1677,13557,0.0,1.0
8108,13853,0.0,1.0
15337,19506,0.0,1.0
17467,17763,1.0,1.0
8455,17227,0.0,1.0
4144,17186,1.0,1.0
10888,14764,0.0,1.0
552,19261,0.0,1.0
13776,18252,1.0,1.0
3924,12970,1.0,1.0
8550,11729,0.0,1.0
7616,13011,0.0,1.0
12064,17902,1.0,1.0
7601,13242,0.0,1.0
568,6649,0.0,1.0
14300,16903,1.0,1.0
603,12622,1.0,1.0
9160,15084,1.0,1.0
10997,12170,1.0,1.0
16721,19639,0.0,1.0
11006,18553,0.0,1.0
12604,14623,1.0,1.0
5413,9312,0.0,1.0
11077,15972,0.0,1.0
2908,3470,1.0,1.0
3777,7927,1.0,1.0
12786,13726,0.0,1.0
5467,18818,0.0,1.0
10112,11678,1.0,1.0
1445,2224,1.0,1.0
6782,15261,1.0,1.0
5579,19612,1.0,1.0
10827,17626,1.0,1.0
13445,18157,1.0,1.0
936,6636,1.0,1.0
1265,2041,1.0,1.0
2352,12264,1.0,1.0
5900,17567,0.0,1.0
4142,7070,0.0,1.0
9852,17744,0.0,1.0
842,9166,1.0,1.0
6601,11794,0.0,1.0
18493,19182,0.0,1.0
6475,14285,1.0,1.0
1353,12365,0.0,1.0
5170,18623,0.0,1.0
914,16492,0.0,1.0
11010,17626,1.0,1.0
8012,10431,0.0,1.0
3168,3263,1.0,1.0
12899,18453,1.0,1.0
898,7672,0.0,1.0
1313,8929,0.0,1.0
