edge_index0,edge_index1,pred,gr
6227,7681,0.86412454,1.0
4989,5776,0.9091127,1.0
1496,7744,0.915928,1.0
2347,12185,0.83252263,1.0
2790,11799,0.99389005,1.0
2758,5305,0.99063396,1.0
3657,5200,0.90770507,1.0
4996,8660,0.97723216,1.0
7543,9286,0.9010575,1.0
4998,10107,0.96523106,1.0
1587,10949,0.754424,1.0
7948,8648,0.9909367,1.0
2906,7234,0.9923678,1.0
9593,10465,0.88927835,1.0
8117,8243,0.84598887,1.0
9378,12041,0.9751145,1.0
8755,10467,0.81997114,1.0
328,2345,0.987288,1.0
9181,11359,0.9921703,1.0
8431,8622,0.9890597,1.0
5645,12014,0.95422584,1.0
429,6485,0.9587214,1.0
1232,2906,0.99338937,1.0
3564,7324,0.9989641,1.0
7851,12199,0.9873324,1.0
259,12380,0.81769884,1.0
4255,5852,0.83142596,1.0
5399,8009,0.9761055,1.0
3670,4255,0.9678698,1.0
895,11149,0.34173042,1.0
5288,12193,0.9804177,1.0
1298,3483,0.5934389,1.0
4478,7925,0.33769786,1.0
422,9758,0.5973184,1.0
1604,2529,0.92738813,1.0
175,6775,0.90848875,1.0
4478,9077,0.030852448,1.0
7744,12768,0.993083,1.0
9825,12429,0.96373105,1.0
3787,5695,0.98205984,1.0
3494,6084,0.9311597,1.0
9428,10753,0.97174203,1.0
5981,13000,0.96949995,1.0
4358,4686,0.9907731,1.0
4382,6425,0.964257,1.0
3655,8711,0.9806475,1.0
105,11394,0.98829997,1.0
262,7931,0.9241009,1.0
1234,9570,0.9162351,1.0
8242,10685,0.8634081,1.0
695,5751,0.97886,1.0
5203,9160,0.9903218,1.0
7058,8006,0.961623,1.0
7664,10907,0.9486797,1.0
750,2331,0.9980945,1.0
777,9199,0.89243394,1.0
2165,12550,0.94797426,1.0
3710,6370,0.9940149,1.0
3518,11355,0.7129718,1.0
3628,10021,0.9756817,1.0
4806,8567,0.94074035,1.0
565,4356,0.9682008,1.0
262,10618,0.95751315,1.0
8104,9785,0.9353867,1.0
5775,10947,0.79741734,1.0
6593,8760,0.7840793,1.0
2773,7414,0.9944646,1.0
907,9149,0.9951115,1.0
4399,12719,0.99365014,1.0
412,6660,0.99213105,1.0
8774,11374,0.81869864,1.0
10032,10373,0.9655626,1.0
1555,3284,0.96985906,1.0
