edge_index0,edge_index1,pred,gr
1041,1106,0.8202959,1.0
1215,1355,0.7931965,1.0
121,2220,0.8361174,1.0
533,1358,0.79886895,1.0
520,647,0.7657506,1.0
1110,1162,0.8509363,1.0
1427,1615,0.80433434,1.0
106,598,0.80681723,1.0
135,841,0.5567343,1.0
292,629,0.63586384,1.0
683,1074,0.8621437,1.0
537,1433,0.6767275,1.0
533,1829,0.7735281,1.0
858,1481,0.81071126,1.0
321,1510,0.7774568,1.0
325,2210,0.72645384,1.0
179,278,0.8156254,1.0
351,598,0.85588515,1.0
75,128,0.82459074,1.0
216,1596,0.8400005,1.0
354,1139,0.7731839,1.0
279,1242,0.84093386,1.0
1503,2458,0.8571244,1.0
537,1956,0.8487326,1.0
762,1621,0.8173136,1.0
1590,2245,0.82866246,1.0
1990,2227,0.87565047,1.0
524,579,0.7772113,1.0
1841,2047,0.8320225,1.0
1587,1601,0.80770457,1.0
910,924,0.7540799,1.0
179,556,0.86812866,1.0
428,1468,0.76282084,1.0
218,1211,0.87302834,1.0
1437,2007,0.7947999,1.0
557,1118,0.78290445,1.0
215,1244,0.81133133,1.0
159,326,0.5411185,1.0
534,1675,0.8209239,1.0
398,1218,0.76140213,1.0
30,638,0.83868736,1.0
588,620,0.78155124,1.0
82,671,0.79837334,1.0
1010,1220,0.83018297,1.0
324,2245,0.82041854,1.0
910,1351,0.9361174,1.0
742,891,0.768856,1.0
1289,2232,0.798455,1.0
537,941,0.7522654,1.0
297,702,0.7668402,1.0
1329,2480,0.5378604,1.0
1948,2333,0.8567127,1.0
51,726,0.78663576,1.0
234,1190,0.86233824,1.0
889,1552,0.8429994,1.0
1542,1588,0.6881337,1.0
799,1515,0.80498195,1.0
1277,1339,0.75333905,1.0
2087,2174,0.80640364,1.0
507,1061,0.7807015,1.0
692,1886,0.80094486,1.0
575,1018,0.8364046,1.0
77,2464,0.81565475,1.0
154,348,0.7793279,1.0
2004,2396,0.7786088,1.0
940,1380,0.8710376,1.0
842,1106,0.6532135,1.0
142,2116,0.8404755,1.0
1654,2408,0.83136654,1.0
520,527,0.7571479,1.0
18,816,0.74235004,1.0
577,2307,0.8021226,1.0
1396,1879,0.7511427,1.0
2144,2248,0.8211788,1.0
159,390,0.614757,1.0
195,564,0.6903135,1.0
324,2119,0.7987462,1.0
1213,1305,0.8135657,1.0
1837,2173,0.8105394,1.0
775,1211,0.8163122,1.0
41,1619,0.7022112,1.0
1879,2460,0.7595589,1.0
77,441,0.76204526,1.0
1061,1120,0.8247571,1.0
769,770,0.8254613,1.0
575,2167,0.8027108,1.0
159,683,0.56896913,1.0
1719,1723,0.8115708,1.0
98,2468,0.6731495,1.0
522,533,0.7739676,1.0
119,124,0.7802378,1.0
1368,1614,0.8189866,1.0
5,2005,0.81869584,1.0
116,645,0.8007238,1.0
401,1204,0.85036254,1.0
55,795,0.76330274,1.0
535,915,0.7394206,1.0
257,1917,0.8319472,1.0
159,1901,0.5895244,1.0
878,1401,0.80789334,1.0
30,219,0.84105825,1.0
67,492,0.76997906,1.0
160,487,0.7806132,1.0
1782,2304,0.41180137,1.0
1415,2000,0.72742003,1.0
1061,1277,0.82232845,1.0
272,2204,0.84305626,1.0
770,1063,0.8082501,1.0
956,1383,0.8300278,1.0
572,918,0.7539333,1.0
85,714,0.80506426,1.0
80,288,0.8446633,1.0
83,533,0.7550804,1.0
559,1126,0.8344519,1.0
599,2040,0.83300406,1.0
1153,1246,0.73795646,1.0
185,481,0.77525663,1.0
323,1203,0.698717,1.0
1211,1244,0.8517842,1.0
1911,2202,0.48043856,1.0
824,1431,0.8441526,1.0
1401,1417,0.8202718,1.0
221,560,0.810768,1.0
700,1768,0.8345488,1.0
203,690,0.84704983,1.0
70,622,0.829376,1.0
1215,1334,0.82320344,1.0
571,1233,0.83923596,1.0
85,348,0.8161963,1.0
256,439,0.7880031,1.0
339,2309,0.84877527,1.0
1061,1108,0.77047783,1.0
493,1582,0.75936747,1.0
159,882,0.53765744,1.0
1061,1400,0.7867752,1.0
354,1000,0.81144357,1.0
1328,1809,0.79335016,1.0
1877,1896,0.82778096,1.0
1839,2136,0.7733077,1.0
191,1856,0.50295025,1.0
62,200,0.79433906,1.0
812,959,0.79503965,1.0
887,1359,0.84555364,1.0
147,606,0.8590966,1.0
1232,1642,0.511809,1.0
1198,1238,0.8272898,1.0
294,402,0.6442288,1.0
273,1415,0.5650495,1.0
159,2188,0.5738229,1.0
171,2029,0.85593605,1.0
1064,2196,0.83920974,1.0
412,530,0.78213155,1.0
1120,1277,0.78628623,1.0
530,1771,0.75859874,1.0
812,2242,0.78805685,1.0
354,1169,0.8350871,1.0
192,702,0.8337495,1.0
850,858,0.7868637,1.0
468,2214,0.7921629,1.0
530,1876,0.8091099,1.0
749,815,0.80518067,1.0
936,1163,0.78685206,1.0
1239,1561,0.7756665,1.0
2248,2451,0.8538112,1.0
1805,1981,0.85995877,1.0
1226,1313,0.8557031,1.0
145,1555,0.8021821,1.0
1941,2320,0.8597535,1.0
745,944,0.60834414,1.0
1199,2169,0.82754314,1.0
795,1677,0.82137954,1.0
1974,2388,0.75996464,1.0
980,1277,0.843584,1.0
1143,1176,0.8785354,1.0
1467,1587,0.86100894,1.0
322,1691,0.81304324,1.0
1731,1848,0.71370244,1.0
335,1470,0.843315,1.0
919,1215,0.8135681,1.0
1045,1232,0.83584917,1.0
105,846,0.7852929,1.0
22,1682,0.8612747,1.0
80,1461,0.8014711,1.0
444,520,0.7849597,1.0
1710,2378,0.76167804,1.0
727,1549,0.7947666,1.0
378,2130,0.8108309,1.0
1095,2242,0.76694727,1.0
355,1639,0.7667405,1.0
654,702,0.76485634,1.0
533,727,0.75261706,1.0
753,1074,0.8611829,1.0
526,1463,0.8258541,1.0
1827,1961,0.53469986,1.0
260,436,0.7421251,1.0
869,870,0.78196084,1.0
551,2195,0.82641274,1.0
1386,1609,0.82159233,1.0
225,311,0.78046113,1.0
617,618,0.8127282,1.0
970,1822,0.83604574,1.0
277,544,0.76439816,1.0
171,835,0.7048973,1.0
828,1389,0.8176312,1.0
389,1363,0.7587971,1.0
1701,1705,0.83398765,1.0
