edge_index0,edge_index1,pred,gr
8649,10460,6.80798,1.0
2788,4540,11.742492,1.0
4846,13142,14.381635,1.0
10478,11270,13.361774,1.0
4782,10839,4.017017,1.0
3829,5938,12.529677,1.0
2951,11592,13.312604,1.0
12048,13061,13.590235,1.0
2448,2940,4.824865,1.0
2648,10037,5.2688994,1.0
575,12718,3.1789646,1.0
2103,5679,10.367699,1.0
11261,11588,3.9953332,1.0
2116,11698,11.917676,1.0
2532,10181,14.876687,1.0
1476,8952,6.395416,1.0
4838,6515,-10.255488,1.0
2835,8269,15.02983,1.0
531,12199,2.5981348,1.0
3198,7681,11.697175,1.0
3254,8985,10.523263,1.0
2962,6769,9.611005,1.0
2150,4771,5.985939,1.0
2116,6262,8.479066,1.0
3759,11145,9.116936,1.0
4511,7106,7.7470098,1.0
3982,10973,7.8460045,1.0
7298,8634,11.090362,1.0
262,12829,9.476688,1.0
7824,9652,4.397431,1.0
9348,11377,1.1902413,1.0
2448,11108,9.04926,1.0
808,7611,12.190206,1.0
6413,11655,17.096,1.0
3273,6552,2.383964,1.0
252,6235,13.395361,1.0
5850,11350,9.022531,1.0
59,8340,6.832098,1.0
5163,7985,13.321761,1.0
4365,11428,9.895466,1.0
893,1816,13.953287,1.0
6114,8341,-4.429835,1.0
9476,11362,5.112087,1.0
4925,11078,4.0033965,1.0
262,9468,7.9761977,1.0
2359,13141,10.916547,1.0
9716,11946,13.681418,1.0
1578,12100,13.65781,1.0
1699,12700,11.87734,1.0
1054,12368,8.372889,1.0
5701,12593,14.512032,1.0
263,5796,12.9521,1.0
1742,12208,9.489332,1.0
2418,7055,0.90089023,1.0
9432,11680,15.0861435,1.0
2647,5902,-1.3905075,1.0
304,8646,9.1392765,1.0
7684,10155,11.565459,1.0
5837,8992,12.248734,1.0
3907,6126,11.792419,1.0
9144,10515,7.551125,1.0
321,6589,8.630039,1.0
1690,6114,10.791714,1.0
4598,6263,6.144636,1.0
7142,10181,5.748109,1.0
7744,11082,9.714662,1.0
10975,12988,4.9266257,1.0
9313,10912,14.590223,1.0
6985,12513,6.924908,1.0
5371,6441,12.635484,1.0
6019,9500,4.0854344,1.0
5831,7744,11.400914,1.0
3896,4382,13.617982,1.0
7203,7989,11.745901,1.0
439,2548,7.6624117,1.0
4288,11394,9.269104,1.0
10380,11962,10.5497055,1.0
8393,9788,9.846276,1.0
6770,8153,10.41636,1.0
7643,11911,8.961364,1.0
2818,3514,6.529827,1.0
5002,9780,7.65695,1.0
1078,6214,11.376545,1.0
7798,10975,-0.7136535,1.0
750,7821,9.107734,1.0
10089,12385,4.415272,1.0
262,1085,11.099332,1.0
893,12389,9.938636,1.0
10487,11771,9.912715,1.0
8343,11471,14.388911,1.0
3062,12613,6.78866,1.0
7508,10578,9.787725,1.0
6241,12901,13.4405575,1.0
2651,11944,7.8485327,1.0
8381,13077,11.406452,1.0
5537,11374,13.007893,1.0
1,4906,7.7992554,1.0
259,6992,14.213247,1.0
406,3339,12.965642,1.0
7744,8584,9.937206,1.0
