edge_index0,edge_index1,pred,gr
571,994,9.245815,1.0
1588,1628,9.696096,1.0
1160,1522,10.235134,1.0
1096,1520,-4.468688,1.0
722,726,-3.9007938,1.0
2066,2426,-0.2799896,1.0
2004,2396,-3.281303,1.0
928,2400,-7.5226097,1.0
1863,1967,8.853279,1.0
1083,1582,-4.8730006,1.0
102,1251,10.582329,1.0
595,2317,8.2233,1.0
159,377,9.050368,1.0
847,1472,10.008937,1.0
404,1543,4.0816216,1.0
287,402,10.228127,1.0
1415,2267,1.5507557,1.0
1621,1984,9.053676,1.0
588,659,5.4868464,1.0
402,1325,9.521154,1.0
384,2380,8.652279,1.0
380,1500,9.195227,1.0
1911,2202,-7.510692,1.0
220,577,10.75882,1.0
1172,1435,10.420289,1.0
1116,1677,9.948094,1.0
43,544,9.785622,1.0
642,1745,-6.372183,1.0
244,254,10.714529,1.0
564,702,10.613478,1.0
592,1447,10.753629,1.0
324,1196,-0.44074136,1.0
776,1528,9.836673,1.0
25,428,8.594349,1.0
588,620,-4.444674,1.0
601,1991,-7.492828,1.0
1053,1181,10.295171,1.0
48,681,7.6641116,1.0
1669,1687,10.887538,1.0
159,2399,10.152973,1.0
1838,2414,10.420433,1.0
335,700,5.2757516,1.0
516,533,10.596811,1.0
450,493,10.298726,1.0
1459,1463,10.733606,1.0
640,2136,7.848664,1.0
1086,1773,8.843294,1.0
1168,1401,7.16594,1.0
1114,1477,10.422777,1.0
1081,2248,6.0454807,1.0
286,401,8.525886,1.0
738,796,-0.24496853,1.0
1197,1986,10.872813,1.0
1782,2304,-9.910393,1.0
57,533,9.246846,1.0
1127,1536,9.995443,1.0
126,159,10.071397,1.0
516,1744,8.997963,1.0
1082,1248,7.3853335,1.0
575,1405,10.934931,1.0
159,747,10.627698,1.0
43,702,9.349392,1.0
1562,1709,3.96685,1.0
61,891,8.970211,1.0
1520,1521,10.617018,1.0
699,1892,10.785741,1.0
159,1285,8.814702,1.0
156,1743,10.790785,1.0
227,1301,9.407553,1.0
798,972,10.339577,1.0
55,1787,2.2641945,1.0
747,1137,9.668202,1.0
75,2211,10.0660925,1.0
22,2090,8.928297,1.0
1655,1729,10.914881,1.0
1130,1223,9.134029,1.0
989,1103,9.502789,1.0
1550,2228,4.6905622,1.0
1395,2165,7.913873,1.0
1061,1400,9.114598,1.0
493,2351,10.362433,1.0
1965,2416,6.0873146,1.0
700,1092,10.8147745,1.0
378,1960,4.0348706,1.0
1410,1634,4.8750896,1.0
159,2397,9.93405,1.0
28,1514,9.49835,1.0
425,1896,-0.74826473,1.0
218,402,10.799134,1.0
587,620,9.173232,1.0
1347,2243,7.2602963,1.0
1312,1408,-10.277395,1.0
661,702,10.120797,1.0
1142,1371,10.732249,1.0
270,2031,10.225612,1.0
159,566,7.7758036,1.0
14,512,10.83524,1.0
1379,1563,8.715219,1.0
647,1177,10.144584,1.0
64,698,10.838274,1.0
440,844,4.871328,1.0
1051,1089,6.3941464,1.0
528,695,7.660227,1.0
870,1164,10.853908,1.0
231,533,10.159588,1.0
159,2325,10.354433,1.0
928,1550,10.679902,1.0
520,522,10.212884,1.0
21,535,8.571534,1.0
300,2137,9.5518265,1.0
1064,1414,10.672041,1.0
766,1019,10.782562,1.0
2137,2381,8.97074,1.0
355,1677,1.1176201,1.0
395,2049,3.4250524,1.0
1010,1220,8.8727455,1.0
739,1700,10.631787,1.0
779,857,10.493823,1.0
547,702,10.545732,1.0
710,1324,9.081786,1.0
2198,2321,10.022133,1.0
1792,2301,8.495608,1.0
1329,2055,9.167418,1.0
1086,1087,10.600115,1.0
425,965,10.522793,1.0
1671,1886,-4.4162493,1.0
1262,2128,7.135198,1.0
0,407,10.8264885,1.0
1617,2319,10.636502,1.0
1170,1171,10.867503,1.0
1537,2226,2.526008,1.0
36,1930,9.36069,1.0
65,146,9.555564,1.0
702,733,10.588024,1.0
842,1188,-10.175963,1.0
533,1523,10.746685,1.0
142,2124,10.175543,1.0
460,517,7.067213,1.0
159,2428,10.584209,1.0
1239,1530,-9.08693,1.0
684,956,10.495005,1.0
2309,2314,10.266749,1.0
533,953,10.79801,1.0
1232,1483,6.917933,1.0
2148,2194,8.9897585,1.0
159,2116,10.38497,1.0
646,1604,10.591853,1.0
279,1936,7.7697635,1.0
508,567,10.828286,1.0
1697,2382,6.2368827,1.0
80,1358,10.182607,1.0
1170,1437,10.639054,1.0
1056,1450,-2.4083846,1.0
263,308,10.894231,1.0
159,1009,10.163725,1.0
1917,1953,8.60225,1.0
811,1350,8.260153,1.0
98,2468,9.314737,1.0
761,984,10.788282,1.0
208,711,9.552523,1.0
393,1198,8.762728,1.0
1594,1638,9.545625,1.0
213,562,6.3450375,1.0
1971,2295,7.1551867,1.0
526,1812,10.823731,1.0
306,314,10.695371,1.0
327,940,9.149553,1.0
1144,1460,8.381561,1.0
488,720,10.805714,1.0
1241,2269,9.928656,1.0
159,184,9.758502,1.0
159,1214,9.182087,1.0
1253,1332,10.513775,1.0
903,1329,4.712264,1.0
390,1682,10.341052,1.0
216,848,8.740619,1.0
1074,1258,5.9491825,1.0
354,371,9.094669,1.0
1260,1262,6.4900055,1.0
163,1654,1.1588652,1.0
1726,2470,8.882193,1.0
488,2335,10.430607,1.0
104,1815,8.112222,1.0
2237,2320,10.648796,1.0
2276,2401,9.049482,1.0
1396,1879,-4.6271877,1.0
633,1902,10.428942,1.0
533,858,10.633055,1.0
2,533,10.819689,1.0
52,2378,3.2184818,1.0
244,375,9.634911,1.0
926,943,10.53933,1.0
132,615,7.461596,1.0
1302,1519,4.7266326,1.0
1537,2395,8.8043585,1.0
1981,2042,9.942637,1.0
324,1894,10.878407,1.0
524,579,10.666275,1.0
842,1106,-10.332553,1.0
412,530,3.4175155,1.0
251,712,10.826645,1.0
831,1331,10.746797,1.0
1437,2239,7.844967,1.0
1032,1943,10.126601,1.0
106,1223,-0.39712986,1.0
1346,1459,9.225821,1.0
1801,1809,10.190532,1.0
756,1570,9.269317,1.0
1719,2161,9.272919,1.0
75,819,10.154477,1.0
1492,1994,10.620995,1.0
989,1499,-7.707064,1.0
425,1955,10.505781,1.0
1766,1768,10.727744,1.0
1668,1773,9.006044,1.0
234,1055,9.973864,1.0
779,1776,10.559836,1.0
215,1244,10.611304,1.0
2248,2451,6.5779796,1.0
2080,2182,7.8095603,1.0
1816,2135,9.367461,1.0
1500,1636,-5.8491936,1.0
598,621,9.973464,1.0
408,598,9.716443,1.0
58,2306,0.5478942,1.0
159,1757,10.377148,1.0
1810,1886,7.3208804,1.0
612,1465,6.901158,1.0
750,1551,3.0751739,1.0
124,2063,5.458486,1.0
1133,1170,9.093815,1.0
148,1503,9.231013,1.0
1862,2323,9.788923,1.0
576,2368,10.444329,1.0
1721,1787,-3.1573741,1.0
954,995,7.8359704,1.0
518,537,9.286779,1.0
14,407,10.818217,1.0
1196,1417,7.7174854,1.0
885,2032,8.527371,1.0
183,336,6.078879,1.0
189,603,8.298966,1.0
13,546,10.333241,1.0
747,1065,8.55724,1.0
1791,2460,9.448284,1.0
390,1723,8.617673,1.0
451,1277,9.394092,1.0
881,1276,-6.586095,1.0
530,632,3.879457,1.0
785,1688,10.343273,1.0
86,404,10.746066,1.0
2073,2232,9.945017,1.0
18,1810,8.443419,1.0
352,43,-9.146688,0.0
673,2456,-4.389568,0.0
465,888,-6.7377973,0.0
1324,1968,-7.358596,0.0
1616,2103,-5.877859,0.0
2030,2140,-9.293705,0.0
1844,1003,-9.036524,0.0
1674,1583,-9.153706,0.0
1825,1737,-8.3292465,0.0
1093,474,-7.9690127,0.0
1223,376,-9.697287,0.0
1452,328,-7.2065907,0.0
1370,1082,-8.475096,0.0
122,697,5.670485,0.0
127,2309,-10.052304,0.0
612,70,-6.9470873,0.0
516,1001,-9.309751,0.0
1209,1405,1.3437369,0.0
740,1038,-7.861735,0.0
1001,2220,-9.483046,0.0
804,1643,-9.5323925,0.0
1228,467,-9.540043,0.0
1937,2026,-7.4754663,0.0
656,2406,-9.595844,0.0
2109,1343,-10.497025,0.0
2287,2199,-8.999916,0.0
1161,2378,-10.555081,0.0
1295,1872,-8.852156,0.0
1228,412,-5.905399,0.0
1808,1649,-10.108407,0.0
2391,567,-9.90012,0.0
377,1971,-9.098615,0.0
758,430,-4.9170814,0.0
643,1951,-9.11106,0.0
1176,14,-9.062587,0.0
624,2224,-10.036874,0.0
1805,93,-10.015044,0.0
717,2478,-9.123333,0.0
71,1453,-8.174386,0.0
91,71,-9.187546,0.0
397,1843,-8.811133,0.0
645,1193,-8.636896,0.0
1002,1379,-8.635794,0.0
2330,350,-7.2107925,0.0
2469,1486,-8.4103365,0.0
1086,287,-7.4307413,0.0
1827,424,-10.423043,0.0
1679,1278,-9.54958,0.0
139,1638,-9.129312,0.0
1034,411,-9.852785,0.0
2428,1986,-9.245615,0.0
1326,1473,-9.530488,0.0
552,2341,-2.777107,0.0
471,983,-9.249587,0.0
1268,1877,-9.743625,0.0
2084,1977,-9.055264,0.0
1566,251,-5.3019905,0.0
