edge_index0,edge_index1,pred,gr
11931,19231,11.630216,1.0
6098,16729,10.348781,1.0
1203,18417,11.361951,1.0
515,890,8.246976,1.0
12174,15836,7.7732625,1.0
4320,8845,10.643408,1.0
15522,17641,12.052625,1.0
1663,7317,13.518913,1.0
14419,15002,10.523819,1.0
8592,13853,8.116371,1.0
15261,16348,5.0977407,1.0
712,2045,10.401551,1.0
4849,9293,9.141912,1.0
2104,5883,5.1280875,1.0
15151,18581,11.928177,1.0
8736,11630,10.812752,1.0
2176,7075,11.114631,1.0
12232,13554,11.28545,1.0
2692,8065,9.030183,1.0
12306,18232,9.566118,1.0
8760,14944,12.595338,1.0
4248,7829,11.269201,1.0
365,15375,10.917719,1.0
11260,12639,1.9925896,1.0
5450,16334,6.672731,1.0
3773,16991,11.890163,1.0
18013,19069,12.231344,1.0
2236,13192,12.014041,1.0
5736,16252,7.710063,1.0
2196,14663,10.461677,1.0
12867,17756,12.382855,1.0
4074,16334,11.573001,1.0
4083,13470,11.438057,1.0
1527,16452,6.0283794,1.0
4809,13726,11.402303,1.0
5401,15771,12.290754,1.0
4826,12266,10.035489,1.0
12642,14466,6.00536,1.0
3137,7797,9.307913,1.0
8928,15593,10.188615,1.0
99,1339,11.434908,1.0
2229,9322,12.158038,1.0
18299,19378,-1.1493757,1.0
1945,18478,12.759067,1.0
1434,7903,10.668123,1.0
3210,10391,12.069315,1.0
3499,13190,13.389997,1.0
3055,9312,11.6740465,1.0
891,16488,12.276764,1.0
1129,3598,12.064577,1.0
7479,12133,12.583767,1.0
454,12147,5.245127,1.0
9131,13554,9.978903,1.0
6398,12052,-7.794551,1.0
11016,17969,10.892351,1.0
2605,5620,13.469433,1.0
6475,9039,10.379938,1.0
8485,12226,8.568373,1.0
5775,18948,9.984823,1.0
7417,14776,-6.051967,1.0
12801,13677,12.499086,1.0
3586,19459,12.234502,1.0
6251,18698,13.0106735,1.0
4879,16329,12.371642,1.0
4301,8892,10.598034,1.0
7904,10072,10.233371,1.0
336,7119,10.771789,1.0
10134,18739,6.7774186,1.0
8304,9605,5.2047477,1.0
1372,15887,9.709124,1.0
1170,13003,10.051544,1.0
13999,15514,11.195039,1.0
4537,16567,9.587542,1.0
14362,15275,9.776939,1.0
12305,15810,6.651328,1.0
515,8168,11.508155,1.0
4933,5454,12.178962,1.0
6541,7075,8.966633,1.0
537,15874,-2.7284188,1.0
515,6589,7.0719824,1.0
10203,19612,8.786762,1.0
4030,6366,12.666193,1.0
1215,3656,12.668481,1.0
6462,11697,13.39133,1.0
1137,19609,12.67367,1.0
4430,14463,-5.986105,1.0
8027,16044,11.008152,1.0
9039,9045,11.448457,1.0
8209,18451,12.137232,1.0
14361,18386,12.697486,1.0
845,18749,9.760391,1.0
6177,17386,8.013363,1.0
8374,8782,-11.7477,1.0
4093,17775,12.688759,1.0
8814,19355,6.924393,1.0
873,18947,11.866633,1.0
3896,16397,12.478485,1.0
2606,14902,12.780642,1.0
11364,11962,7.896757,1.0
447,5627,8.349689,1.0
