edge_index0,edge_index1,pred,gr
8649,10460,8.719886,1.0
2788,4540,11.213883,1.0
4846,13142,9.27738,1.0
10478,11270,8.475548,1.0
4782,10839,6.6230264,1.0
3829,5938,11.51292,1.0
2951,11592,11.315073,1.0
12048,13061,10.340786,1.0
2448,2940,6.719131,1.0
2648,10037,7.936058,1.0
575,12718,9.177902,1.0
2103,5679,10.911186,1.0
11261,11588,-3.987152,1.0
2116,11698,10.966153,1.0
2532,10181,4.155096,1.0
1476,8952,6.3169117,1.0
4838,6515,-10.451249,1.0
2835,8269,11.052829,1.0
531,12199,8.619929,1.0
3198,7681,5.3350286,1.0
3254,8985,11.06942,1.0
2962,6769,12.039449,1.0
2150,4771,-0.28905436,1.0
2116,6262,10.912576,1.0
3759,11145,1.8821839,1.0
4511,7106,8.725959,1.0
3982,10973,7.803811,1.0
7298,8634,10.141852,1.0
262,12829,7.2018967,1.0
7824,9652,7.2619414,1.0
9348,11377,-10.455739,1.0
2448,11108,9.0947275,1.0
808,7611,7.41629,1.0
6413,11655,9.740951,1.0
3273,6552,2.678416,1.0
252,6235,11.108496,1.0
5850,11350,6.0657816,1.0
59,8340,7.8034024,1.0
5163,7985,12.319198,1.0
4365,11428,10.629748,1.0
893,1816,9.788295,1.0
6114,8341,-5.3583117,1.0
9476,11362,7.9387197,1.0
4925,11078,5.0707035,1.0
262,9468,7.0047193,1.0
2359,13141,4.946369,1.0
9716,11946,12.468396,1.0
1578,12100,8.886015,1.0
1699,12700,10.779254,1.0
1054,12368,8.894573,1.0
5701,12593,11.485634,1.0
263,5796,10.964779,1.0
1742,12208,10.640529,1.0
2418,7055,-5.231609,1.0
9432,11680,13.118697,1.0
2647,5902,-8.167374,1.0
304,8646,10.5578375,1.0
7684,10155,11.9202585,1.0
5837,8992,12.109555,1.0
3907,6126,12.6637945,1.0
9144,10515,8.323565,1.0
321,6589,10.606414,1.0
1690,6114,10.326449,1.0
4598,6263,6.4649243,1.0
7142,10181,5.6103687,1.0
7744,11082,6.448345,1.0
10975,12988,1.3916646,1.0
9313,10912,11.409619,1.0
6985,12513,5.2163906,1.0
5371,6441,8.847443,1.0
6019,9500,8.845005,1.0
5831,7744,5.4259706,1.0
3896,4382,9.109459,1.0
7203,7989,5.412286,1.0
439,2548,7.403866,1.0
4288,11394,11.137832,1.0
10380,11962,13.015684,1.0
8393,9788,11.585928,1.0
6770,8153,11.248548,1.0
7643,11911,9.39299,1.0
2818,3514,7.3478475,1.0
5002,9780,2.8156536,1.0
1078,6214,6.687539,1.0
7798,10975,0.8582452,1.0
750,7821,8.836021,1.0
10089,12385,-5.071977,1.0
262,1085,6.9908895,1.0
893,12389,5.561295,1.0
10487,11771,7.031646,1.0
8343,11471,12.528138,1.0
3062,12613,1.4141015,1.0
7508,10578,11.132026,1.0
6241,12901,11.522437,1.0
2651,11944,7.7248116,1.0
8381,13077,10.188749,1.0
5537,11374,9.378467,1.0
1,4906,6.410918,1.0
259,6992,10.485955,1.0
406,3339,9.930357,1.0
7744,8584,7.6686277,1.0
5989,10782,10.509226,1.0
1810,11294,10.704143,1.0
5132,6593,7.491641,1.0
1661,3455,10.402449,1.0
2431,11123,12.367833,1.0
8208,8804,9.633798,1.0
2404,8654,5.9702244,1.0
848,1769,9.582677,1.0
2,12920,12.725797,1.0
5854,12659,10.026773,1.0
373,11823,8.003913,1.0
1604,7074,6.668366,1.0
8779,9134,10.256755,1.0
1464,12334,-1.9898803,1.0
6385,8169,5.5775604,1.0
1396,5298,10.696987,1.0
3267,11262,4.7047124,1.0
386,11134,9.810776,1.0
4665,8840,10.184931,1.0
166,341,7.530945,1.0
2232,9978,9.89009,1.0
3224,3856,11.998552,1.0
6713,9114,-2.2188942,1.0
647,8587,5.8360333,1.0
675,8809,10.696066,1.0
5064,10308,11.241351,1.0
8631,11180,7.3741636,1.0
452,4699,5.555524,1.0
1955,9687,9.066733,1.0
1399,8640,8.869508,1.0
4405,9089,11.199761,1.0
4599,10564,10.814163,1.0
6485,10083,6.3759036,1.0
5971,8422,10.359594,1.0
6079,10033,8.038244,1.0
6055,8094,9.5760565,1.0
419,9000,12.130397,1.0
3102,6114,6.450453,1.0
1875,12071,-10.772367,1.0
7765,12264,9.688034,1.0
6214,8887,6.266675,1.0
1813,6828,9.826803,1.0
9650,9779,12.190295,1.0
2259,11150,8.522814,1.0
3374,5450,8.72031,1.0
2259,2662,9.73898,1.0
1496,12980,11.3842945,1.0
6246,10632,6.7666326,1.0
1924,1955,7.672603,1.0
4227,5884,8.923038,1.0
3579,5146,3.3434,1.0
262,5296,7.530118,1.0
7369,11558,8.885037,1.0
3909,4541,12.011344,1.0
5656,12342,7.2316747,1.0
6408,12997,9.267545,1.0
2428,5647,5.9785423,1.0
1802,3094,11.120029,1.0
2039,7170,-4.7323265,1.0
9263,9878,-2.007489,1.0
9212,11855,9.770577,1.0
