edge_index0,edge_index1,pred,gr
571,994,3.6144667,1.0
1588,1628,3.591435,1.0
1160,1522,3.9743176,1.0
1096,1520,3.2568607,1.0
722,726,-2.0940084,1.0
2066,2426,2.980902,1.0
2004,2396,-1.6528735,1.0
928,2400,-1.6011647,1.0
1863,1967,4.0873294,1.0
1083,1582,0.5058352,1.0
102,1251,3.8251643,1.0
595,2317,3.1230774,1.0
159,377,2.777616,1.0
847,1472,3.7201326,1.0
404,1543,-0.21382976,1.0
287,402,3.3583384,1.0
1415,2267,2.7604654,1.0
1621,1984,1.847807,1.0
588,659,0.80546135,1.0
402,1325,2.0397227,1.0
384,2380,2.7692246,1.0
380,1500,3.698536,1.0
1911,2202,0.69881284,1.0
220,577,4.2018547,1.0
1172,1435,4.140527,1.0
1116,1677,3.8151624,1.0
43,544,3.882384,1.0
642,1745,-0.8685669,1.0
244,254,4.005571,1.0
564,702,3.7837265,1.0
592,1447,3.640795,1.0
324,1196,0.19264498,1.0
776,1528,4.183886,1.0
25,428,3.1923206,1.0
588,620,-0.5677316,1.0
601,1991,0.5846542,1.0
1053,1181,3.4525657,1.0
48,681,3.3592486,1.0
1669,1687,3.488161,1.0
159,2399,3.0741847,1.0
1838,2414,3.824931,1.0
335,700,3.4630513,1.0
516,533,3.5884187,1.0
450,493,1.178404,1.0
1459,1463,3.5468028,1.0
640,2136,3.6202047,1.0
1086,1773,1.6441263,1.0
1168,1401,3.7876308,1.0
1114,1477,3.7686327,1.0
1081,2248,3.2038703,1.0
286,401,2.4173663,1.0
738,796,1.2075862,1.0
1197,1986,3.6153188,1.0
1782,2304,-0.43068522,1.0
57,533,3.2319937,1.0
1127,1536,3.4513636,1.0
126,159,3.158288,1.0
516,1744,3.739523,1.0
1082,1248,1.6375132,1.0
575,1405,3.6977324,1.0
159,747,3.075504,1.0
43,702,3.604907,1.0
1562,1709,3.6905668,1.0
61,891,3.466025,1.0
1520,1521,3.828859,1.0
699,1892,3.5532703,1.0
159,1285,3.0627131,1.0
156,1743,3.7968936,1.0
227,1301,3.6519017,1.0
798,972,4.02161,1.0
55,1787,2.5401387,1.0
747,1137,3.4442034,1.0
75,2211,3.6790564,1.0
22,2090,3.728847,1.0
1655,1729,3.8099685,1.0
1130,1223,2.2707293,1.0
989,1103,2.3024747,1.0
1550,2228,1.6095966,1.0
1395,2165,3.2508724,1.0
1061,1400,2.7029927,1.0
493,2351,3.30172,1.0
1965,2416,1.4603987,1.0
700,1092,3.6554472,1.0
378,1960,3.4064326,1.0
1410,1634,3.3251433,1.0
159,2397,3.0760212,1.0
28,1514,2.8440468,1.0
425,1896,0.22451454,1.0
218,402,3.0506318,1.0
587,620,2.8934379,1.0
1347,2243,3.1323647,1.0
1312,1408,-3.1828933,1.0
661,702,3.0947294,1.0
1142,1371,4.102727,1.0
270,2031,3.3444998,1.0
159,566,2.8102736,1.0
14,512,3.914933,1.0
1379,1563,2.774988,1.0
647,1177,3.0719695,1.0
64,698,3.91712,1.0
440,844,3.8273876,1.0
1051,1089,3.5632732,1.0
528,695,2.8152268,1.0
870,1164,3.5939114,1.0
231,533,2.1290686,1.0
159,2325,2.9156337,1.0
928,1550,3.419443,1.0
520,522,3.6898036,1.0
21,535,3.6850452,1.0
300,2137,2.096366,1.0
1064,1414,3.6535482,1.0
766,1019,4.002127,1.0
2137,2381,1.2421411,1.0
355,1677,3.6857204,1.0
395,2049,0.89152664,1.0
1010,1220,3.332197,1.0
739,1700,3.8618917,1.0
779,857,3.7048361,1.0
547,702,2.799978,1.0
710,1324,3.4888935,1.0
2198,2321,4.037484,1.0
1792,2301,4.1050067,1.0
1329,2055,3.5753224,1.0
1086,1087,3.8670747,1.0
425,965,3.152202,1.0
1671,1886,2.9744844,1.0
1262,2128,2.2053463,1.0
0,407,4.0469494,1.0
1617,2319,3.952902,1.0
1170,1171,3.8060908,1.0
1537,2226,3.641709,1.0
36,1930,3.7791848,1.0
65,146,3.629099,1.0
702,733,1.8598319,1.0
842,1188,-3.7941167,1.0
533,1523,3.5043795,1.0
142,2124,3.6603966,1.0
460,517,3.3644464,1.0
159,2428,3.1090755,1.0
1239,1530,-0.7339578,1.0
684,956,3.4774485,1.0
2309,2314,3.950192,1.0
533,953,3.5936494,1.0
1232,1483,3.526336,1.0
2148,2194,4.172007,1.0
159,2116,3.4149964,1.0
646,1604,3.4791975,1.0
279,1936,2.9918733,1.0
508,567,4.072228,1.0
1697,2382,3.2756736,1.0
80,1358,3.748915,1.0
1170,1437,2.3633704,1.0
1056,1450,2.9731932,1.0
263,308,3.5655484,1.0
159,1009,3.2114863,1.0
1917,1953,4.05701,1.0
811,1350,3.3651056,1.0
98,2468,3.9288797,1.0
761,984,3.9251277,1.0
208,711,3.5481741,1.0
393,1198,3.1456099,1.0
1594,1638,3.661452,1.0
213,562,3.4007514,1.0
1971,2295,2.4173253,1.0
526,1812,3.6041152,1.0
306,314,4.0704737,1.0
327,940,3.9139805,1.0
1144,1460,3.5268273,1.0
488,720,3.5499446,1.0
1241,2269,4.3937597,1.0
159,184,3.272068,1.0
159,1214,3.1661594,1.0
1253,1332,3.318042,1.0
903,1329,3.644912,1.0
390,1682,3.529102,1.0
216,848,1.767616,1.0
1074,1258,1.0774386,1.0
354,371,3.2022626,1.0
1260,1262,3.234301,1.0
163,1654,-0.18716383,1.0
1726,2470,3.9779828,1.0
488,2335,3.6026433,1.0
104,1815,3.3606663,1.0
2237,2320,4.2009826,1.0
2276,2401,3.394976,1.0
1396,1879,2.1272578,1.0
633,1902,3.305494,1.0
533,858,2.9626148,1.0
2,533,3.626836,1.0
52,2378,1.5699649,1.0
244,375,1.9114314,1.0
926,943,3.907761,1.0
132,615,3.4361868,1.0
1302,1519,3.5695531,1.0
1537,2395,3.682564,1.0
1981,2042,3.6775699,1.0
324,1894,1.3099515,1.0
524,579,3.8967502,1.0
842,1106,-2.6779835,1.0
412,530,2.1202335,1.0
251,712,3.5221837,1.0
831,1331,3.7334118,1.0
1437,2239,2.5413246,1.0
1032,1943,4.147713,1.0
106,1223,3.1481442,1.0
1346,1459,3.5882673,1.0
1801,1809,3.7923858,1.0
756,1570,3.3875833,1.0
1719,2161,3.6240232,1.0
75,819,3.7333605,1.0
1492,1994,3.264528,1.0
989,1499,-3.1336482,1.0
425,1955,3.6913083,1.0
1766,1768,4.229734,1.0
1668,1773,3.838265,1.0
234,1055,3.5380006,1.0
779,1776,3.6127825,1.0
215,1244,3.3034475,1.0
2248,2451,3.2308686,1.0
2080,2182,3.222253,1.0
1816,2135,2.697821,1.0
1500,1636,-0.17236525,1.0
598,621,2.2268739,1.0
408,598,1.7667676,1.0
58,2306,1.9859941,1.0
159,1757,2.8278842,1.0
1810,1886,4.229856,1.0
612,1465,3.6014245,1.0
750,1551,0.6784506,1.0
124,2063,4.133356,1.0
1133,1170,3.769463,1.0
148,1503,2.4357386,1.0
1862,2323,3.3252935,1.0
576,2368,3.2306976,1.0
1721,1787,1.4635739,1.0
954,995,4.259767,1.0
518,537,3.0182526,1.0
14,407,3.877393,1.0
1196,1417,3.1549144,1.0
885,2032,3.4363506,1.0
183,336,3.68213,1.0
189,603,3.5947263,1.0
13,546,3.2010274,1.0
747,1065,3.055254,1.0
1791,2460,3.3848422,1.0
390,1723,3.6253676,1.0
451,1277,1.2999036,1.0
881,1276,1.9386556,1.0
530,632,3.504257,1.0
785,1688,3.254996,1.0
86,404,2.4979596,1.0
2073,2232,3.981536,1.0
18,1810,4.041207,1.0
352,43,-6.084495,0.0
673,2456,3.1635711,0.0
465,888,-1.8944052,0.0
1324,1968,1.7119646,0.0
1616,2103,-0.7133126,0.0
2030,2140,-5.8549004,0.0
1844,1003,-3.7345567,0.0
1674,1583,-3.7037005,0.0
1825,1737,-5.6309133,0.0
1093,474,-5.0700583,0.0
1223,376,-3.4440668,0.0
1452,328,-1.3428845,0.0
1370,1082,-1.8959075,0.0
122,697,3.1318908,0.0
127,2309,-4.8432775,0.0
612,70,1.1547315,0.0
516,1001,-3.8505955,0.0
1209,1405,1.3720272,0.0
740,1038,-4.7519336,0.0
1001,2220,-0.4489816,0.0
804,1643,-3.9215562,0.0
1228,467,-5.0900674,0.0
1937,2026,-6.1656623,0.0
656,2406,-3.3268235,0.0
2109,1343,-4.9553323,0.0
2287,2199,-7.0971165,0.0
1161,2378,-3.7678592,0.0
1295,1872,-6.255141,0.0
1228,412,-0.93769956,0.0
1808,1649,-3.1700668,0.0
2391,567,-6.3896713,0.0
377,1971,-4.64819,0.0
758,430,-3.6356485,0.0
643,1951,-2.6353948,0.0
1176,14,0.000913769,0.0
624,2224,0.17817202,0.0
1805,93,-5.898945,0.0
717,2478,-6.2341914,0.0
71,1453,-4.525113,0.0
91,71,-5.729683,0.0
397,1843,-3.707475,0.0
645,1193,-4.861769,0.0
1002,1379,-4.0235543,0.0
2330,350,-5.596711,0.0
2469,1486,-3.6361735,0.0
1086,287,1.5724066,0.0
1827,424,-1.6713302,0.0
1679,1278,-5.713194,0.0
139,1638,-4.170044,0.0
1034,411,-7.076735,0.0
2428,1986,-3.1822476,0.0
1326,1473,-4.0375214,0.0
552,2341,2.6926496,0.0
471,983,-2.16798,0.0
1268,1877,-0.18452251,0.0
2084,1977,-4.7551103,0.0
1566,251,-2.2696803,0.0
1184,315,-6.0282626,0.0
1201,2421,-3.5688517,0.0
19,1890,0.14321712,0.0
1507,1369,-5.715971,0.0
2357,285,-5.0597477,0.0
460,702,-2.446581,0.0
1511,88,-3.0463603,0.0
100,1286,-6.133379,0.0
2472,2032,-2.9224956,0.0
2418,2264,-2.798543,0.0
1413,62,-6.325675,0.0
714,392,0.64111716,0.0
388,76,-3.0580943,0.0
1116,345,-4.404603,0.0
998,68,-4.608133,0.0
2018,333,-5.6344976,0.0
1885,958,-2.9223683,0.0
183,1276,-0.987833,0.0
264,1857,-3.6827474,0.0
1626,1350,-2.8098488,0.0
544,2136,-3.199164,0.0
2280,2299,-1.8109896,0.0
1779,1664,-5.0894637,0.0
206,454,-2.9418514,0.0
611,1466,-5.9636216,0.0
2077,307,-2.8799925,0.0
814,83,-4.631177,0.0
2026,1354,2.4242542,0.0
1123,1097,-5.5865064,0.0
2023,1500,-0.9036288,0.0
66,314,2.3742132,0.0
2447,405,-4.8881254,0.0
2232,474,-0.7824733,0.0
77,603,-6.128398,0.0
1292,1870,-1.6932545,0.0
1475,1564,0.10548572,0.0
781,743,-1.8770958,0.0
1976,1408,-3.3037689,0.0
466,2169,-3.9903421,0.0
2099,788,-2.5680232,0.0
144,352,-1.1550294,0.0
452,1092,1.8085469,0.0
617,2161,-0.26391205,0.0
2043,1591,-2.3011496,0.0
964,871,0.2121531,0.0
788,1455,-4.320331,0.0
1469,1277,-4.180104,0.0
1061,1641,-3.55522,0.0
1826,2054,-6.6983004,0.0
2142,1013,-0.86620814,0.0
1256,181,3.024702,0.0
574,1080,-3.2527544,0.0
2465,238,-6.017813,0.0
1166,2185,-3.587253,0.0
2282,111,-1.0228269,0.0
1838,700,3.3492782,0.0
2226,1732,-0.56979144,0.0
1933,739,-0.893092,0.0
1164,1709,-3.2028582,0.0
871,748,2.067839,0.0
2015,1283,-4.331606,0.0
1131,1432,-0.32861045,0.0
1815,1450,-4.3405066,0.0
108,1275,-2.9981785,0.0
1837,974,-2.318592,0.0
513,1843,-1.3566439,0.0
1235,984,-2.4157634,0.0
1926,2280,1.527945,0.0
665,54,-3.22487,0.0
1669,800,-0.25537345,0.0
1591,486,-2.492549,0.0
403,742,-2.7443118,0.0
249,1718,-5.1357627,0.0
2119,1517,2.6917126,0.0
2011,1575,-4.9660735,0.0
662,411,2.6349957,0.0
536,2114,-0.82546943,0.0
483,1994,-5.278918,0.0
1861,369,-6.072082,0.0
2401,1109,-3.9773703,0.0
472,990,-5.5238705,0.0
2015,1772,3.3275518,0.0
173,1742,-2.4835253,0.0
1819,487,-4.507036,0.0
1169,270,3.2564297,0.0
271,2375,-2.62082,0.0
2394,2413,0.5167712,0.0
158,2254,-4.346751,0.0
2041,1527,-4.6564097,0.0
503,2205,-3.0255806,0.0
1836,1254,-4.4610233,0.0
594,1073,-2.1722512,0.0
888,1658,-4.824425,0.0
2110,999,3.7428071,0.0
193,1067,1.9643652,0.0
996,2259,-1.1322193,0.0
1605,1646,-3.4969141,0.0
948,666,-4.6734176,0.0
706,417,-1.6864188,0.0
2170,342,-5.023055,0.0
1595,1496,3.0840416,0.0
954,33,3.8847904,0.0
1788,789,-5.564599,0.0
2333,939,-3.888645,0.0
210,2181,-3.3312275,0.0
474,737,-2.1290329,0.0
972,166,2.0594356,0.0
1408,336,-5.142705,0.0
151,2353,-3.5094745,0.0
8,2394,-2.5656478,0.0
1170,1000,-5.512714,0.0
1787,1700,-5.3941007,0.0
2037,1976,-5.3277426,0.0
1216,1996,0.9465665,0.0
243,763,-4.64281,0.0
676,268,-6.2870135,0.0
1463,1361,-5.4069977,0.0
2286,1761,-3.766458,0.0
270,750,-6.1648717,0.0
1433,1051,-5.0355077,0.0
109,1480,-5.4878883,0.0
957,1197,1.0081282,0.0
671,1212,1.0642619,0.0
2288,586,4.084142,0.0
661,1974,-5.342431,0.0
580,1733,-4.0500546,0.0
681,2444,-1.0649639,0.0
2415,845,-5.4424596,0.0
272,1474,-6.1191864,0.0
314,1698,-4.136251,0.0
35,1906,-3.7390769,0.0
12,435,-5.128285,0.0
984,496,-1.2109674,0.0
1755,942,-5.3424377,0.0
1748,500,-5.070013,0.0
1773,347,-1.4611195,0.0
1432,199,-4.9482718,0.0
218,2225,-4.231267,0.0
312,789,-5.882843,0.0
1767,386,3.5900114,0.0
2163,39,-4.502016,0.0
1143,541,-6.3732986,0.0
2254,2478,-5.9960966,0.0
569,288,-6.5994635,0.0
2128,1800,0.2834192,0.0
675,1435,-1.9752465,0.0
1724,990,-6.7968326,0.0
2338,347,3.2367258,0.0
1854,2440,-1.6094695,0.0
208,2387,-6.197627,0.0
2329,1130,-6.031259,0.0
209,2446,-6.846877,0.0
217,1677,-2.6996741,0.0
470,26,-5.16423,0.0
1473,592,-4.0186944,0.0
457,1431,-4.4085994,0.0
351,699,-4.8013973,0.0
1746,839,-1.4447441,0.0
1095,648,-1.2022586,0.0
1734,1634,-0.13823959,0.0
1146,163,-5.949172,0.0
2245,1915,-2.339886,0.0
935,1812,-3.7797668,0.0
448,2451,-3.0099034,0.0
1983,413,2.099163,0.0
1976,1883,-3.500517,0.0
399,338,-2.9196026,0.0
1958,2134,0.39690027,0.0
2165,540,-1.5200242,0.0
2104,1495,-5.2352734,0.0
237,1864,-4.2969093,0.0
2032,686,-2.6226993,0.0
17,792,-3.871415,0.0
530,935,-4.0802255,0.0
145,1874,-3.8241446,0.0
919,1615,-5.711757,0.0
1841,850,2.7547593,0.0
2173,2465,-5.8742356,0.0
1434,2478,-4.5303955,0.0
1027,974,-2.0089352,0.0
2002,315,-5.832011,0.0
1213,881,-2.0448337,0.0
515,930,-1.482241,0.0
1772,259,0.61512613,0.0
1224,455,-1.6217493,0.0
1811,993,-4.221772,0.0
1543,821,2.0846171,0.0
836,204,-5.6421514,0.0
2110,356,-3.7789316,0.0
1527,2310,-6.243791,0.0
576,249,-6.123082,0.0
1629,711,-4.4741564,0.0
2199,2366,-5.153079,0.0
1959,552,-3.9725356,0.0
1837,2029,-3.5359225,0.0
87,1038,-4.7800913,0.0
