edge_index0,edge_index1,pred,gr
11931,19231,5.120205,1.0
6098,16729,4.395717,1.0
1203,18417,8.139375,1.0
515,890,6.7203603,1.0
12174,15836,4.8192215,1.0
4320,8845,5.5674367,1.0
15522,17641,8.524464,1.0
1663,7317,8.447799,1.0
14419,15002,6.6111813,1.0
8592,13853,7.2135987,1.0
15261,16348,7.11693,1.0
712,2045,6.6917696,1.0
4849,9293,8.26735,1.0
2104,5883,7.03448,1.0
15151,18581,8.531945,1.0
8736,11630,8.265813,1.0
2176,7075,5.9577246,1.0
12232,13554,5.303306,1.0
2692,8065,7.265931,1.0
12306,18232,6.1759453,1.0
8760,14944,8.192088,1.0
4248,7829,7.5600896,1.0
365,15375,7.7663484,1.0
11260,12639,6.3075166,1.0
5450,16334,7.078281,1.0
3773,16991,7.2463226,1.0
18013,19069,7.672904,1.0
2236,13192,7.5245996,1.0
5736,16252,6.693304,1.0
2196,14663,7.3709793,1.0
12867,17756,6.550825,1.0
4074,16334,7.508218,1.0
4083,13470,8.50193,1.0
1527,16452,6.6384954,1.0
4809,13726,7.1037245,1.0
5401,15771,8.200297,1.0
4826,12266,4.027504,1.0
12642,14466,6.991158,1.0
3137,7797,6.9547553,1.0
8928,15593,3.9698038,1.0
99,1339,7.3730636,1.0
2229,9322,7.322975,1.0
18299,19378,5.054851,1.0
1945,18478,7.8685,1.0
1434,7903,8.141079,1.0
3210,10391,8.8895445,1.0
3499,13190,7.2067556,1.0
3055,9312,7.671319,1.0
891,16488,7.079497,1.0
1129,3598,7.549976,1.0
7479,12133,6.971381,1.0
454,12147,6.6988907,1.0
9131,13554,7.4576273,1.0
6398,12052,-3.2626414,1.0
11016,17969,6.4031954,1.0
2605,5620,8.056179,1.0
6475,9039,8.66744,1.0
8485,12226,3.1950164,1.0
5775,18948,7.9550323,1.0
7417,14776,1.7746701,1.0
12801,13677,7.3849134,1.0
3586,19459,7.732419,1.0
6251,18698,8.522193,1.0
4879,16329,5.480789,1.0
4301,8892,7.7901473,1.0
7904,10072,8.103701,1.0
336,7119,3.9502766,1.0
10134,18739,7.0980926,1.0
8304,9605,6.6898417,1.0
1372,15887,7.0724573,1.0
1170,13003,6.9555926,1.0
13999,15514,2.368783,1.0
4537,16567,4.806796,1.0
14362,15275,5.8086014,1.0
12305,15810,4.2871366,1.0
515,8168,6.1152663,1.0
4933,5454,6.4716635,1.0
6541,7075,7.464629,1.0
537,15874,4.7416143,1.0
515,6589,7.1600447,1.0
10203,19612,7.1835704,1.0
4030,6366,6.9521666,1.0
1215,3656,7.1963,1.0
6462,11697,6.912646,1.0
1137,19609,6.6074443,1.0
4430,14463,-1.7293804,1.0
8027,16044,7.283248,1.0
9039,9045,8.826595,1.0
8209,18451,8.1974945,1.0
14361,18386,6.738918,1.0
845,18749,7.9041934,1.0
6177,17386,7.6094246,1.0
8374,8782,-5.943709,1.0
4093,17775,6.4469533,1.0
8814,19355,0.6725549,1.0
873,18947,5.300722,1.0
3896,16397,8.930283,1.0
2606,14902,6.932356,1.0
11364,11962,-0.42090863,1.0
447,5627,7.960139,1.0
1835,18571,-0.27756965,1.0
5170,12105,6.3596854,1.0
7324,10090,6.607281,1.0
5237,16826,9.518951,1.0
1103,15187,8.29176,1.0
10416,14953,8.002755,1.0
14479,17654,6.4084096,1.0
5570,10636,8.091465,1.0
1720,10659,0.04923664,1.0
6264,13876,6.550461,1.0
10456,13970,8.53576,1.0
10619,13355,8.230941,1.0
9989,12628,7.647079,1.0
9020,9479,8.553609,1.0
8051,9374,7.021403,1.0
8374,19419,7.615529,1.0
9033,10944,8.472334,1.0
8013,17569,9.013606,1.0
1293,6416,6.586661,1.0
19319,19355,5.8032207,1.0
6958,14764,7.2637253,1.0
12297,15718,8.476749,1.0
7427,10930,8.308088,1.0
8232,11805,5.4202414,1.0
2118,15157,7.497693,1.0
5715,5786,7.171329,1.0
307,10366,8.118875,1.0
76,19182,6.7122445,1.0
4166,17208,7.9507947,1.0
9116,12145,8.140466,1.0
632,9873,6.802309,1.0
1340,17881,3.324436,1.0
3411,17667,2.6287985,1.0
1885,4946,7.786383,1.0
9321,11621,8.760081,1.0
12887,19215,3.05234,1.0
16975,17092,7.1721854,1.0
5581,13647,8.734677,1.0
5983,9166,7.021817,1.0
5743,17318,7.2401032,1.0
1107,9291,-0.6261617,1.0
9403,9787,4.9416733,1.0
1788,10344,7.803517,1.0
19529,19676,7.5808377,1.0
3707,5246,7.0457215,1.0
3112,15098,7.912987,1.0
3901,11364,5.5795617,1.0
4332,9847,2.6366792,1.0
13207,19509,0.6546915,1.0
1263,11644,7.3829784,1.0
3666,9050,-2.8206708,1.0
9026,12257,5.8370404,1.0
1645,5298,7.7374535,1.0
18239,19246,8.2775955,1.0
5422,12506,7.905739,1.0
438,15264,7.4743576,1.0
14040,14663,7.2626595,1.0
4120,18718,7.155435,1.0
2542,10773,8.485052,1.0
10717,13408,7.2624855,1.0
164,18821,8.902906,1.0
2293,9100,9.311653,1.0
3425,8830,8.079558,1.0
8893,16150,8.503257,1.0
7045,9346,8.668655,1.0
10854,14414,4.669421,1.0
15146,18946,8.627421,1.0
1986,12246,7.3883724,1.0
4031,5038,5.0892773,1.0
10575,15753,7.0452466,1.0
4318,4689,8.005138,1.0
14965,15726,7.7600994,1.0
756,7303,7.7601514,1.0
15053,18711,7.98134,1.0
8691,11960,7.6337934,1.0
937,8564,6.895735,1.0
9462,13367,7.9909334,1.0
15202,15764,7.484733,1.0
2975,18587,7.890899,1.0
557,18650,0.52838546,1.0
3139,7067,7.295313,1.0
3518,13606,7.390022,1.0
15840,17703,6.065617,1.0
1886,5847,8.172295,1.0
7623,16102,8.391809,1.0
3829,16729,1.093917,1.0
10543,12332,7.286264,1.0
5803,11418,7.365722,1.0
4740,16477,8.008575,1.0
7440,16588,8.242754,1.0
8635,19489,6.211932,1.0
9673,16408,7.473724,1.0
7527,9858,7.5759497,1.0
7747,14548,7.015052,1.0
3645,13457,7.015391,1.0
5849,16149,7.841098,1.0
5594,10401,4.3163147,1.0
201,9704,6.1307793,1.0
8418,9827,-9.709878,1.0
10166,17204,5.178675,1.0
6620,18524,8.130776,1.0
10054,10622,-0.017126773,1.0
14216,19694,8.108786,1.0
5613,12913,7.1423435,1.0
14229,17996,8.753498,1.0
6117,10069,6.9551644,1.0
9872,13838,6.2411413,1.0
67,17833,7.2168875,1.0
5673,7130,7.0114393,1.0
3281,16995,7.2119617,1.0
10063,13598,7.4087796,1.0
7404,13678,7.362525,1.0
9968,15965,7.3365254,1.0
18045,18957,5.954865,1.0
601,9590,8.983886,1.0
1100,3116,6.897848,1.0
4724,6318,6.4009023,1.0
15615,16440,5.6707196,1.0
557,14730,1.9620073,1.0
11579,16793,1.6345131,1.0
4147,17190,6.137326,1.0
6648,15032,5.522023,1.0
4364,15002,3.9517016,1.0
7827,14086,2.1116226,1.0
7312,18352,7.074758,1.0
15762,18716,6.855828,1.0
2169,12043,7.309397,1.0
18410,18866,8.0012665,1.0
15057,15416,7.560003,1.0
1908,18739,7.280988,1.0
2064,2634,7.6652565,1.0
5663,15681,7.4720078,1.0
3878,10852,8.253903,1.0
936,17615,-0.29712778,1.0
5074,11931,6.271623,1.0
7934,11318,8.626966,1.0
2303,5432,8.618039,1.0
9083,11926,7.879581,1.0
19247,19689,6.018206,1.0
10773,12376,7.697503,1.0
1921,6409,6.443711,1.0
4373,12448,6.8289547,1.0
13853,18716,6.927969,1.0
7080,14164,7.2355657,1.0
3095,8088,4.924917,1.0
1362,17360,7.1288857,1.0
5047,10202,7.7254972,1.0
7456,14419,7.503159,1.0
6238,15336,7.6376543,1.0
3505,11942,7.5153737,1.0
9136,13671,7.262522,1.0
7449,12387,6.6186357,1.0
14636,16196,8.1298065,1.0
164,13638,9.129715,1.0
14707,17335,7.626875,1.0
6541,17470,7.2805705,1.0
3015,18127,5.62289,1.0
4894,16751,5.640459,1.0
304,3920,9.039211,1.0
14719,18869,7.729965,1.0
537,1930,7.4226303,1.0
1234,2991,6.932808,1.0
6075,11631,7.377902,1.0
2388,17909,8.1061535,1.0
7747,16755,7.3646564,1.0
8928,10752,7.5897045,1.0
6233,17454,6.6558495,1.0
6095,13860,7.7773857,1.0
15176,16686,-0.031938493,1.0
7410,9481,9.003099,1.0
10982,15202,7.1025305,1.0
4152,19638,7.5799975,1.0
9816,13562,5.8577495,1.0
4692,16062,7.660182,1.0
4755,7572,5.2961717,1.0
1471,5354,7.6444197,1.0
4773,4777,8.301692,1.0
17278,18912,6.167258,1.0
785,12586,6.904822,1.0
2795,9927,7.8734765,1.0
7006,12060,7.1540995,1.0
9374,13134,7.224131,1.0
3169,18895,6.647069,1.0
3116,9157,7.005805,1.0
7576,18121,7.5428324,1.0
10554,11500,-0.32478032,1.0
6048,17154,4.286211,1.0
6311,13259,4.117205,1.0
12325,13947,7.3102837,1.0
9451,9757,7.430106,1.0
17888,19033,8.1887665,1.0
10797,13559,8.227356,1.0
5885,13466,6.6215796,1.0
6589,17725,6.096545,1.0
14595,19539,2.126879,1.0
667,2045,6.905509,1.0
6843,11705,7.7547975,1.0
4023,15321,7.380167,1.0
11191,19072,7.562731,1.0
2050,16659,7.8883014,1.0
4421,9164,8.830473,1.0
9578,18122,6.101928,1.0
6035,17253,8.549213,1.0
3650,18275,5.882384,1.0
13481,19715,8.264829,1.0
3239,7603,9.390609,1.0
12466,17470,-2.9502983,1.0
1413,12990,4.8937235,1.0
4894,9074,7.309964,1.0
8872,12622,5.810036,1.0
8071,18106,8.154681,1.0
10123,12120,7.258236,1.0
6339,13875,7.1210003,1.0
8867,9053,7.2966423,1.0
3757,7548,8.2642145,1.0
2611,9916,7.6591606,1.0
8631,14822,5.049471,1.0
2102,9891,8.116574,1.0
8045,10526,6.8003225,1.0
2580,4739,6.0835433,1.0
6009,18739,6.0278854,1.0
858,1599,6.885318,1.0
998,19619,6.970013,1.0
8737,15315,4.4448843,1.0
8330,16520,6.5432205,1.0
294,18402,5.8571715,1.0
11808,12145,6.439286,1.0
2112,8056,7.20576,1.0
6768,18416,2.3420095,1.0
4577,11910,3.5642028,1.0
67,16560,8.179657,1.0
13257,15159,6.6912847,1.0
6658,11998,7.0489664,1.0
9383,14563,3.8773484,1.0
1013,1307,2.5191278,1.0
4387,16859,-6.4302797,1.0
12719,15831,8.104702,1.0
1440,16452,6.5618076,1.0
3700,14905,7.6295867,1.0
2018,10487,8.05872,1.0
3482,7816,2.8599856,1.0
5783,11279,-5.5806684,1.0
8027,10499,6.2826467,1.0
2417,5353,5.9359627,1.0
1607,6103,2.3002632,1.0
938,4608,6.975455,1.0
3499,7875,7.343135,1.0
2404,10090,7.2102475,1.0
