edge_index0,edge_index1,pred,gr
11510,19274,0.5577727,1.0
5802,8319,0.8732106,1.0
600,14608,0.5764631,1.0
3866,11625,0.8903411,1.0
9971,19025,0.6666685,1.0
2355,9820,0.8493536,1.0
11820,14479,0.87124443,1.0
3919,12344,0.9674388,1.0
1643,19390,0.98437774,1.0
3639,6084,0.9703709,1.0
3930,6956,0.98618895,1.0
2229,8194,0.94863856,1.0
7075,11490,0.6977793,1.0
5844,19515,0.047978006,1.0
17806,19299,0.9861276,1.0
16256,17873,0.5986277,1.0
2422,15008,0.90137583,1.0
4221,11843,0.9943408,1.0
11697,15568,0.7989828,1.0
5844,7412,0.9764032,1.0
140,12413,0.81454957,1.0
447,629,0.86412525,1.0
3119,3340,0.8713949,1.0
2227,3023,0.989929,1.0
14775,19358,0.70121324,1.0
12201,18092,0.9570753,1.0
2768,9326,0.97971034,1.0
146,8801,0.82022023,1.0
13916,18509,0.7534656,1.0
8278,10409,0.9691077,1.0
16566,18017,0.94335586,1.0
9279,18311,0.9206453,1.0
3505,7230,0.99578494,1.0
11839,16238,0.8967298,1.0
4117,16783,0.76548094,1.0
1809,18617,0.72226316,1.0
14586,18486,0.9445213,1.0
12248,15221,0.7611146,1.0
6657,17081,0.95953476,1.0
1272,15956,0.973436,1.0
5674,12996,0.83469665,1.0
3091,8481,0.96267813,1.0
1426,19029,0.69535506,1.0
4093,16831,0.8887691,1.0
842,11316,0.9658915,1.0
5484,10884,0.98677224,1.0
15045,15533,0.9872378,1.0
9900,11056,0.2773297,1.0
5787,13055,0.83596766,1.0
1980,17485,0.958267,1.0
3907,13942,0.9903223,1.0
5789,12289,0.71503854,1.0
4169,14344,0.814223,1.0
3265,14135,0.95866716,1.0
9177,18520,0.800033,1.0
24,5471,0.998681,1.0
8961,15974,0.9769841,1.0
2104,5883,0.9810377,1.0
1912,2414,0.9912513,1.0
2103,3102,0.9941227,1.0
2199,6454,0.99591786,1.0
6487,10354,0.8353735,1.0
9285,18356,0.52705723,1.0
3510,14921,0.9912703,1.0
16153,16903,0.8352494,1.0
3227,9887,0.997031,1.0
7818,10773,0.7086839,1.0
603,17553,0.9683307,1.0
1581,14218,0.996083,1.0
2827,16045,0.95953673,1.0
3339,4790,0.95217746,1.0
951,16976,0.87401754,1.0
8928,13566,0.96069366,1.0
8453,11025,0.895635,1.0
5787,12550,0.9548238,1.0
3993,16577,0.9198376,1.0
1836,2452,0.98966545,1.0
1013,6037,0.009027063,1.0
1041,1548,0.67188084,1.0
785,9644,0.9102702,1.0
13523,15309,0.93450934,1.0
5047,13027,0.7247032,1.0
2352,19638,0.9794967,1.0
6072,7028,0.9865399,1.0
304,10575,0.9885712,1.0
130,4634,0.18507396,1.0
9612,19428,0.87999344,1.0
12847,15510,0.9854553,1.0
7023,12933,0.6413051,1.0
2610,12913,0.9713245,1.0
12681,19407,0.9906763,1.0
200,8537,0.7349592,1.0
16472,18532,0.98680717,1.0
3156,7548,0.56268924,1.0
1921,2488,0.9449491,1.0
13082,13908,0.39003655,1.0
2503,13349,0.9754057,1.0
11703,13709,0.96797794,1.0
13970,15896,0.69763774,1.0
10884,16404,0.9778907,1.0
7763,16064,0.54832625,1.0
13193,14943,0.98969406,1.0
14655,15503,0.7097141,1.0
11753,18553,0.9885744,1.0
11843,12367,0.989296,1.0
3516,19677,0.30180523,1.0
10632,11702,0.70774686,1.0
487,8971,0.99087745,1.0
10773,16248,0.39998513,1.0
9568,15563,0.9254404,1.0
13938,18974,0.97036785,1.0
10499,13507,0.68873256,1.0
5986,8532,0.9791981,1.0
70,4104,0.87021446,1.0
10013,15140,0.61700773,1.0
3942,5450,0.9407528,1.0
11693,16292,0.9872028,1.0
7373,12823,0.9896443,1.0
5939,13113,0.9812462,1.0
7444,8716,0.9902064,1.0
6117,6362,0.9265793,1.0
3014,7950,0.9797682,1.0
2404,7057,0.94674236,1.0
1909,7070,0.69646996,1.0
9150,14814,0.99346316,1.0
5724,11818,0.9874485,1.0
6016,14874,0.8525583,1.0
4655,13083,0.99393386,1.0
7750,13733,0.11306962,1.0
5018,15355,0.963442,1.0
1908,7640,0.9933422,1.0
17360,18690,0.9604329,1.0
9794,11766,0.9533054,1.0
2951,10062,0.8861341,1.0
8463,12622,0.9889501,1.0
7665,8122,0.9719712,1.0
14422,14804,0.9588292,1.0
9659,12622,0.9688673,1.0
4731,8792,0.9807438,1.0
6492,14324,0.9751814,1.0
1072,2434,0.9220666,1.0
2865,17485,0.972121,1.0
11145,18862,0.9619289,1.0
13398,18818,0.88070744,1.0
5724,16790,0.778376,1.0
3651,9232,0.69257146,1.0
171,2605,0.56123585,1.0
15808,17485,0.6059766,1.0
4802,7905,0.7492352,1.0
6191,15899,0.7401994,1.0
2113,15413,0.9799437,1.0
3878,11983,0.9229805,1.0
18763,18869,0.991364,1.0
24,17517,0.0723626,1.0
8801,11037,0.9887854,1.0
6986,16960,0.9832758,1.0
16145,17728,0.65570945,1.0
6843,11705,0.9918589,1.0
11282,18718,0.97625935,1.0
7671,11569,0.94233537,1.0
5125,6513,0.87884104,1.0
16196,19252,0.9700233,1.0
9189,10287,0.82228225,1.0
4075,5662,0.5757408,1.0
8511,8900,0.6534108,1.0
1011,5444,0.9159292,1.0
18415,18818,0.9801748,1.0
3554,12486,0.58624876,1.0
10703,13706,0.9872164,1.0
2120,16705,0.71006167,1.0
5683,18855,0.92313874,1.0
3561,9214,0.3697649,1.0
6892,15003,0.9801506,1.0
7203,13459,0.9549782,1.0
15397,19716,0.8089239,1.0
3148,11364,0.96238804,1.0
1738,4221,0.95175797,1.0
2224,7201,0.8910167,1.0
4432,13664,0.9702594,1.0
14902,16928,0.17245254,1.0
12990,13759,0.8784681,1.0
3420,15812,0.62003,1.0
7213,16334,0.98617077,1.0
2968,6942,0.979677,1.0
5997,6365,0.95438206,1.0
1495,11010,0.801844,1.0
7122,14407,0.99271214,1.0
12445,13130,0.78002083,1.0
14318,15011,0.8956073,1.0
611,12279,0.9884851,1.0
9535,16416,0.1985513,1.0
2706,5482,0.5939805,1.0
11942,16224,0.98806506,1.0
10047,15243,0.86294395,1.0
1155,1353,0.27849537,1.0
24,6528,0.9931792,1.0
15337,18312,0.7849261,1.0
14681,15045,0.87991565,1.0
10853,19050,0.98873246,1.0
2408,6249,0.9389352,1.0
712,17928,0.9679092,1.0
5659,18416,0.8909909,1.0
1208,1442,0.91628337,1.0
11921,16070,0.80431145,1.0
18818,19638,0.97927845,1.0
7709,16563,0.31534588,1.0
4298,10747,0.7679878,1.0
5125,14700,0.9818048,1.0
5565,11122,0.97461855,1.0
3895,15022,0.98006666,1.0
13414,14424,0.7020639,1.0
12964,17098,0.71685344,1.0
2110,10816,0.85948104,1.0
5093,9121,0.9801018,1.0
4810,6682,0.9387888,1.0
16011,18408,0.7842946,1.0
4700,7429,0.9172633,1.0
2199,9469,0.9968893,1.0
17312,19270,0.61423165,1.0
15126,17355,0.9874035,1.0
6001,12393,0.79224,1.0
3515,7729,0.9872283,1.0
14344,17516,0.8759126,1.0
9272,16781,0.551989,1.0
3914,6084,0.9944279,1.0
6339,13875,0.9681032,1.0
3751,4331,0.9858532,1.0
3116,3586,0.9814569,1.0
9731,18178,0.9703855,1.0
12408,18471,0.97757244,1.0
603,3656,0.98154837,1.0
8661,18254,0.92761594,1.0
5458,8974,0.1802705,1.0
8103,8748,0.91542304,1.0
4153,18020,0.9799375,1.0
12144,17280,0.61526906,1.0
13606,19071,0.99642247,1.0
5450,9885,0.96868056,1.0
2354,9964,0.7397313,1.0
7221,14595,0.29921007,1.0
10099,19716,0.92354906,1.0
17481,18688,0.9018488,1.0
19122,19381,0.9924386,1.0
24,16146,0.7369854,1.0
9924,12959,0.9237609,1.0
4658,6647,0.8765785,1.0
7154,8305,0.6885325,1.0
4737,19091,0.92818743,1.0
1077,5574,0.29905078,1.0
325,8838,0.86177653,1.0
6170,9105,0.9192923,1.0
6009,17481,0.89565635,1.0
89,11192,0.89707774,1.0
8989,10362,0.9341633,1.0
2116,14070,0.98532736,1.0
159,18296,0.86624056,1.0
15612,17485,0.9720523,1.0
5946,13110,0.9856757,1.0
2123,6226,0.9393966,1.0
102,3304,0.9517001,1.0
5489,16911,0.99813324,1.0
12438,15377,0.96992874,1.0
404,9193,0.9972422,1.0
6559,11161,0.42679447,1.0
12627,13383,0.8770536,1.0
9688,18131,0.992008,1.0
5288,9677,0.9707753,1.0
11972,15606,0.9433761,1.0
16508,18530,0.9968262,1.0
4128,10979,0.45039776,1.0
5126,11017,0.9746866,1.0
18414,19712,0.33018368,1.0
6058,18636,0.75780284,1.0
12174,15203,0.8957146,1.0
3515,10570,0.9955135,1.0
13447,18791,0.75388515,1.0
5851,11972,0.926047,1.0
3297,5393,0.9821389,1.0
4953,17024,0.9756884,1.0
14741,18603,0.95390356,1.0
77,16684,0.54386896,1.0
10804,14324,0.6082179,1.0
13723,17521,0.97443515,1.0
949,8513,0.60493636,1.0
