edge_index0,edge_index1,pred,gr
9263,9404,0.4938484,1.0
7495,12061,0.49385512,1.0
2612,2986,0.49375483,1.0
7977,10656,0.49388227,1.0
214,3874,0.4937935,1.0
4055,10455,0.4939075,1.0
2647,5902,0.49375668,1.0
4428,9651,0.49387923,1.0
3338,7744,0.4936604,1.0
4929,7502,0.49380422,1.0
4231,4994,0.49376622,1.0
3062,4355,0.4938254,1.0
4801,9404,0.49381238,1.0
7744,10233,0.49373564,1.0
1604,7074,0.49379632,1.0
7634,10381,0.49384406,1.0
985,7611,0.49375492,1.0
59,6263,0.49375123,1.0
3777,6263,0.49374318,1.0
570,6036,0.49381953,1.0
1704,11522,0.4937004,1.0
412,10020,0.49377406,1.0
3994,5862,0.49371675,1.0
7124,11073,0.49381852,1.0
661,6942,0.49383017,1.0
3095,7681,0.49377778,1.0
377,8009,0.49376336,1.0
7695,12940,0.49386644,1.0
3296,5126,0.49364695,1.0
3747,10894,0.4938387,1.0
1741,8196,0.49375615,1.0
2200,7348,0.4937496,1.0
4210,9199,0.49386656,1.0
9,1603,0.49387878,1.0
8563,9194,0.49378854,1.0
2124,4233,0.493653,1.0
876,11032,0.49365497,1.0
3006,10840,0.4938862,1.0
625,3982,0.4937784,1.0
8079,9226,0.49376085,1.0
262,4890,0.49365336,1.0
1425,2550,0.4938327,1.0
4707,6150,0.493759,1.0
5884,7142,0.49388355,1.0
2065,4389,0.4937733,1.0
10138,10415,0.49367642,1.0
2262,10849,0.4937647,1.0
3972,6085,0.4938497,1.0
1871,4069,0.49375308,1.0
3535,7744,0.49366754,1.0
5258,9676,0.4937762,1.0
7744,11055,0.49374667,1.0
5520,6157,0.4937844,1.0
6506,10239,0.49380574,1.0
5486,10385,0.49384928,1.0
9085,11341,0.49377277,1.0
2134,6114,0.49376652,1.0
3874,11086,0.49377227,1.0
5421,11087,0.4937511,1.0
1503,3357,0.49383226,1.0
325,2442,0.49372447,1.0
789,4960,0.49375248,1.0
4585,10445,0.4937304,1.0
750,6255,0.49375957,1.0
7744,13042,0.4937453,1.0
3701,4977,0.49383754,1.0
4854,12720,0.49374163,1.0
4511,12013,0.49386454,1.0
3282,6670,0.4939236,1.0
9647,11669,0.4937576,1.0
5662,8431,0.49374563,1.0
4837,12814,0.4937282,1.0
6448,13107,0.493759,1.0
2139,10421,0.49384487,1.0
1999,5433,0.4938347,1.0
4000,4326,0.4937221,1.0
7339,7744,0.49374667,1.0
8866,9244,0.49380603,1.0
262,505,0.49386412,1.0
5456,6162,0.49383906,1.0
367,4854,0.49364126,1.0
622,6036,0.49379784,1.0
6446,7847,0.49372825,1.0
3649,6301,0.49378243,1.0
1880,4255,0.49382243,1.0
11878,13148,0.49387482,1.0
3761,9137,0.4938045,1.0
831,9179,0.4937455,1.0
3416,8523,0.49383307,1.0
10755,11952,0.4937547,1.0
6660,12718,0.49377447,1.0
5744,7886,0.49382463,1.0
7913,8749,0.4937677,1.0
4731,5444,0.49396712,1.0
2706,3302,0.49379015,1.0
2243,7952,0.49373075,1.0
1079,3006,0.49386632,1.0
6214,9593,0.4937655,1.0
446,11726,0.49365532,1.0
4658,5682,0.49382052,1.0
6581,12731,0.4936479,1.0
5408,8368,0.49385422,1.0
889,11708,0.49374995,1.0
2651,10128,0.4937891,1.0
2551,9434,0.49389622,1.0
4358,10239,0.49381715,1.0
6040,11284,0.4937504,1.0
262,871,0.49377894,1.0
7555,9216,0.49372336,1.0
4710,9801,0.49377492,1.0
