edge_index0,edge_index1,pred,gr
1988,2022,0.49115413,1.0
139,215,0.491198,1.0
74,1277,0.4910861,1.0
106,166,0.49102736,1.0
884,1165,0.4911708,1.0
124,2220,0.49125445,1.0
159,1324,0.49123856,1.0
439,1878,0.49121556,1.0
648,1713,0.49118575,1.0
611,1971,0.49117443,1.0
1794,1810,0.4912218,1.0
1195,1484,0.4911432,1.0
394,1437,0.49126872,1.0
1712,1836,0.4911333,1.0
1444,1505,0.49118,1.0
1217,1370,0.49111584,1.0
1537,2395,0.4912571,1.0
350,520,0.49120206,1.0
2248,2451,0.49119934,1.0
386,1508,0.49113083,1.0
246,1249,0.491156,1.0
1437,2330,0.49115297,1.0
278,449,0.4910938,1.0
837,1633,0.49121624,1.0
1945,2094,0.4911339,1.0
1399,1401,0.49113038,1.0
945,2176,0.49104923,1.0
670,975,0.49113393,1.0
695,1573,0.49118692,1.0
284,558,0.49098378,1.0
1811,2445,0.491178,1.0
50,147,0.491147,1.0
162,520,0.49111116,1.0
16,1601,0.49117553,1.0
1227,1245,0.4911477,1.0
1647,2359,0.4912769,1.0
425,1955,0.4912128,1.0
1503,1711,0.49115366,1.0
1776,2329,0.4911678,1.0
192,725,0.4911868,1.0
126,2263,0.4911461,1.0
534,632,0.4911448,1.0
179,534,0.4912342,1.0
768,831,0.49115953,1.0
402,2134,0.49118888,1.0
553,1204,0.49109593,1.0
786,1006,0.4910358,1.0
182,1958,0.4911474,1.0
944,1890,0.49111325,1.0
1004,1207,0.49120855,1.0
1060,1444,0.49117357,1.0
1769,1784,0.49112916,1.0
493,2294,0.4910516,1.0
28,575,0.4911046,1.0
159,1480,0.4911777,1.0
863,2198,0.49113125,1.0
537,1202,0.4910411,1.0
528,695,0.49118403,1.0
1792,2235,0.49114677,1.0
319,343,0.49119014,1.0
2198,2316,0.49107385,1.0
213,1706,0.4911354,1.0
833,1571,0.4911485,1.0
142,1440,0.4911469,1.0
534,2294,0.49112818,1.0
297,702,0.49119452,1.0
428,1956,0.49106964,1.0
1770,2246,0.49109828,1.0
113,645,0.49116373,1.0
597,598,0.4910987,1.0
53,1471,0.49118346,1.0
69,1596,0.49111444,1.0
324,1577,0.4911599,1.0
202,544,0.4911049,1.0
4,165,0.49110273,1.0
321,1510,0.49119496,1.0
150,278,0.4912342,1.0
114,424,0.49111888,1.0
544,1802,0.49110696,1.0
1766,1767,0.49124858,1.0
881,1537,0.49118277,1.0
154,922,0.491088,1.0
1749,1970,0.491137,1.0
894,1364,0.49122602,1.0
782,1181,0.49127263,1.0
601,1252,0.49107775,1.0
628,2370,0.49106598,1.0
786,1431,0.49111938,1.0
159,365,0.49109685,1.0
452,628,0.49115768,1.0
287,402,0.4912179,1.0
1098,1533,0.49109754,1.0
586,1815,0.49104476,1.0
773,1340,0.49114925,1.0
159,2357,0.49108404,1.0
1119,1165,0.49108994,1.0
216,245,0.49108157,1.0
263,308,0.4911363,1.0
1858,1996,0.49126896,1.0
82,671,0.49127206,1.0
1562,2183,0.49102637,1.0
404,642,0.49114296,1.0
228,717,0.4911213,1.0
159,699,0.49113423,1.0
386,1387,0.49117956,1.0
1918,2050,0.4911662,1.0
799,1641,0.49116805,1.0
597,645,0.4911701,1.0
75,367,0.49117592,1.0
771,1090,0.49114516,1.0
1946,2330,0.4912022,1.0
853,1317,0.49121895,1.0
145,1591,0.49116868,1.0
772,1053,0.49125957,1.0
1154,1260,0.4910788,1.0
522,825,0.49112272,1.0
335,1032,0.491111,1.0
910,1398,0.4910788,1.0
1887,1996,0.49118346,1.0
575,1410,0.49103224,1.0
133,2378,0.49115804,1.0
989,1103,0.49105257,1.0
2113,2114,0.49115828,1.0
89,2255,0.49106222,1.0
41,837,0.49128577,1.0
268,551,0.49112743,1.0
237,815,0.4909981,1.0
1683,1744,0.49106443,1.0
878,1401,0.49105033,1.0
2297,2411,0.4910705,1.0
1045,1232,0.4912114,1.0
375,2180,0.49121016,1.0
236,545,0.49119198,1.0
1210,1388,0.49114498,1.0
1893,2012,0.49113032,1.0
171,404,0.4911425,1.0
112,1617,0.49132943,1.0
354,2381,0.49114126,1.0
575,2093,0.49103028,1.0
590,1199,0.49108008,1.0
1669,1687,0.49107823,1.0
493,508,0.49105108,1.0
159,1149,0.49120703,1.0
87,639,0.49119714,1.0
71,725,0.49118623,1.0
1149,1440,0.4911959,1.0
1215,1334,0.49116838,1.0
1311,2484,0.4910427,1.0
14,220,0.49124956,1.0
2313,2451,0.49115062,1.0
929,1516,0.4911455,1.0
