edge_index0,edge_index1,pred,gr
402,466,5.523577,1.0
929,1516,0.87700707,1.0
205,2204,3.153366,1.0
159,2357,1.3593181,1.0
506,1136,3.4904118,1.0
2117,2142,-1.6404043,1.0
44,2247,4.985676,1.0
778,1514,-0.9264586,1.0
2095,2174,1.2937409,1.0
159,1230,8.043025,1.0
224,1524,4.498662,1.0
928,2400,-1.857296,1.0
551,1146,3.7558613,1.0
1427,1489,7.5672865,1.0
159,2456,7.999817,1.0
1603,2441,5.7947445,1.0
707,1528,2.2549958,1.0
175,623,6.9097204,1.0
850,924,3.9300733,1.0
1942,2410,1.7312447,1.0
1145,1555,4.0842905,1.0
313,728,-2.5627623,1.0
80,533,8.543517,1.0
1258,1292,3.690076,1.0
397,1595,2.8655062,1.0
575,2178,-0.14075623,1.0
1923,1925,-0.63301593,1.0
959,1185,1.4980693,1.0
366,1211,6.059586,1.0
1730,2419,2.1863303,1.0
1718,1719,4.7858453,1.0
355,2032,2.3457184,1.0
2036,2480,2.715759,1.0
1723,2161,3.4869978,1.0
564,700,7.41288,1.0
270,1833,5.245963,1.0
1445,1447,5.480073,1.0
747,1048,4.8587475,1.0
528,1298,7.784029,1.0
5,2005,4.0096955,1.0
1467,1570,5.3060446,1.0
286,401,2.374021,1.0
523,524,5.977791,1.0
848,1274,2.9394698,1.0
1061,1277,8.230185,1.0
206,644,2.8206186,1.0
159,925,7.398881,1.0
90,713,3.6106162,1.0
194,696,1.2310834,1.0
956,1009,2.9962566,1.0
324,2404,4.93941,1.0
1085,1444,6.0598087,1.0
868,1627,6.1113343,1.0
1271,1369,5.6057854,1.0
73,821,5.870048,1.0
228,717,-0.18210332,1.0
1562,2183,-1.4069078,1.0
440,2201,4.5815387,1.0
575,1275,2.804309,1.0
1435,1436,7.3640957,1.0
552,602,7.184744,1.0
670,975,2.7319968,1.0
1647,2253,7.9315977,1.0
393,451,0.21921553,1.0
73,622,7.733713,1.0
1526,1625,4.7318373,1.0
799,1320,6.709412,1.0
2032,2097,4.4741592,1.0
426,1291,4.3027487,1.0
542,603,7.4260244,1.0
682,1007,3.636569,1.0
1254,1975,0.9841788,1.0
1063,1413,-1.6578938,1.0
230,684,1.9547349,1.0
1398,1481,4.672685,1.0
537,941,4.6066895,1.0
1249,1647,4.376132,1.0
1094,1402,-5.149705,1.0
598,642,6.629176,1.0
812,1700,7.681393,1.0
1821,1859,8.003656,1.0
143,702,7.583592,1.0
159,531,6.5357323,1.0
1839,2188,1.3422732,1.0
1901,2087,2.1557636,1.0
358,601,3.7944245,1.0
215,1456,5.928937,1.0
142,1552,4.813772,1.0
1624,1625,4.4703875,1.0
278,438,6.692051,1.0
18,702,8.050158,1.0
159,2092,7.534338,1.0
1360,1363,5.803484,1.0
1297,1457,4.9203734,1.0
1148,1226,3.2073603,1.0
1124,1993,2.4071841,1.0
321,1458,8.144243,1.0
1503,1563,3.7073467,1.0
575,1018,8.254614,1.0
831,2039,7.797991,1.0
1251,2003,5.475408,1.0
1049,1264,5.570493,1.0
354,1550,7.87136,1.0
996,1401,-0.9469599,1.0
1562,1614,1.4446521,1.0
1814,1819,-1.0094804,1.0
1170,1272,8.410606,1.0
481,2058,7.447718,1.0
509,1061,5.042303,1.0
799,1154,7.170005,1.0
1839,2036,0.76072705,1.0
1095,2151,0.20967562,1.0
603,1915,6.106884,1.0
497,1562,1.8318405,1.0
827,951,5.0713854,1.0
339,1680,7.059517,1.0
435,449,5.682502,1.0
273,1415,2.0609126,1.0
1421,1626,5.1124635,1.0
936,1985,3.9027276,1.0
670,785,3.3568592,1.0
244,1049,0.1544366,1.0
1107,1250,1.7553589,1.0
1287,1609,6.753333,1.0
1341,1563,1.9169532,1.0
159,1077,7.5221224,1.0
2199,2446,5.211748,1.0
1004,1045,3.8642654,1.0
1351,1481,3.965589,1.0
699,2143,4.102889,1.0
1854,2165,3.299999,1.0
216,2280,2.6637778,1.0
601,733,0.49155772,1.0
1218,2010,2.115553,1.0
404,1895,7.40022,1.0
1959,2161,3.9241664,1.0
2180,2272,2.9159203,1.0
911,1579,5.413353,1.0
110,702,7.0467577,1.0
0,244,8.354137,1.0
2098,2105,8.266958,1.0
695,1467,7.4780235,1.0
1521,1526,8.04648,1.0
480,630,2.009961,1.0
548,869,4.0301127,1.0
2015,2469,4.0671415,1.0
2215,2246,2.0863,1.0
62,694,4.665275,1.0
533,534,8.54274,1.0
803,959,1.2341065,1.0
508,511,4.5199966,1.0
1465,1591,5.915346,1.0
2308,2309,7.732233,1.0
538,1702,8.437214,1.0
249,629,2.7012064,1.0
981,1246,-0.3585238,1.0
1569,2313,4.4728165,1.0
1987,2237,7.565642,1.0
1027,1473,4.322164,1.0
197,1582,-2.2110891,1.0
93,1922,1.3725355,1.0
37,531,4.923872,1.0
272,2204,4.9247227,1.0
988,1220,3.7201848,1.0
551,2368,2.7979739,1.0
289,522,4.418619,1.0
842,1188,-0.04519366,1.0
1905,2466,3.9156027,1.0
61,891,4.3942056,1.0
2125,2132,-0.56429446,1.0
2134,2391,4.2281523,1.0
184,420,2.7927303,1.0
1251,1647,8.099572,1.0
1792,2076,8.509245,1.0
700,2254,3.3703566,1.0
347,825,3.5998971,1.0
246,394,7.7804613,1.0
1397,1442,2.4123201,1.0
1060,1444,3.0223012,1.0
126,2188,2.7320275,1.0
2228,2455,1.5842406,1.0
534,658,5.584657,1.0
543,2298,5.644771,1.0
1012,1050,0.24329104,1.0
404,1212,2.195304,1.0
278,2249,5.8746047,1.0
1264,2460,4.178143,1.0
106,598,5.3547144,1.0
347,520,6.8799143,1.0
629,2233,5.530735,1.0
544,813,4.6942234,1.0
718,1489,2.9808109,1.0
1159,1591,6.7022724,1.0
761,1160,7.590958,1.0
559,1126,5.951394,1.0
1277,1586,7.733138,1.0
1714,1941,7.2972736,1.0
1258,1426,3.6225352,1.0
2048,2118,3.5485954,1.0
100,278,7.7853966,1.0
1694,2109,2.915576,1.0
1169,1459,-2.0479093,1.0
236,545,4.8493423,1.0
747,1065,2.9010167,1.0
1079,1171,7.7621226,1.0
892,1508,4.931901,1.0
1211,1244,6.2089095,1.0
213,1509,3.2889738,1.0
106,166,3.209916,1.0
440,463,8.075399,1.0
789,1406,2.824263,1.0
1856,1951,5.226966,1.0
639,702,7.5464177,1.0
295,1548,6.252514,1.0
544,786,8.576771,1.0
16,534,7.024639,1.0
36,1811,5.072629,1.0
784,1605,3.172738,1.0
1492,1899,5.746785,1.0
2191,2375,4.1303797,1.0
1621,2380,4.2534847,1.0
159,1620,7.287945,1.0
831,1135,8.108647,1.0
889,1552,3.505958,1.0
598,678,1.6201681,1.0
28,554,1.3523748,1.0
700,1472,7.540539,1.0
1550,1634,5.714196,1.0
1844,2227,-0.31502014,1.0
22,2090,4.4808455,1.0
575,1405,8.542099,1.0
1401,1433,4.42325,1.0
27,82,6.0533853,1.0
475,1891,7.2111406,1.0
910,1579,5.6143913,1.0
348,2316,0.29510576,1.0
126,1329,5.1208563,1.0
740,745,6.3434887,1.0
1159,1592,-2.7633345,1.0
944,1779,7.718099,1.0
1550,2411,6.8820076,1.0
493,2351,3.9091926,1.0
1936,2288,3.694845,1.0
1105,1253,2.8229098,1.0
200,1376,5.5556517,1.0
390,1719,3.2196136,1.0
1415,1444,5.403423,1.0
73,1808,8.51476,1.0
780,1341,2.4004002,1.0
1892,2444,5.439225,1.0
1083,1582,-2.2403402,1.0
1652,1754,2.829252,1.0
1792,2199,8.477898,1.0
352,43,-6.0340843,0.0
673,2456,0.20767118,0.0
465,888,-5.718601,0.0
1324,1968,2.487481,0.0
1616,2103,-1.1253151,0.0
2030,2140,-6.378542,0.0
1844,1003,-2.5966716,0.0
1674,1583,-2.4201992,0.0
1825,1737,-5.712777,0.0
1093,474,-3.1611333,0.0
1223,376,-1.2445952,0.0
1452,328,-2.1095362,0.0
1370,1082,-1.8215879,0.0
122,697,-0.22686337,0.0
127,2309,-5.752859,0.0
612,70,-0.28186452,0.0
516,1001,-2.6120248,0.0
1209,1405,3.0854044,0.0
740,1038,-4.920746,0.0
1001,2220,-1.3900006,0.0
804,1643,-5.4786897,0.0
1228,467,-4.191058,0.0
1937,2026,-6.176339,0.0
656,2406,-4.925568,0.0
2109,1343,-5.611477,0.0
2287,2199,-5.648363,0.0
1161,2378,-4.3008337,0.0
1295,1872,-6.3123794,0.0
1228,412,0.6462259,0.0
1808,1649,-3.2807455,0.0
2391,567,-5.050665,0.0
377,1971,-5.9704266,0.0
758,430,-5.416567,0.0
643,1951,-5.599989,0.0
1176,14,-0.3210364,0.0
624,2224,-1.585883,0.0
1805,93,-1.5881808,0.0
717,2478,-5.028623,0.0
71,1453,-5.4079204,0.0
91,71,-6.0725656,0.0
397,1843,-6.2965603,0.0
645,1193,-2.5574963,0.0
1002,1379,-5.5710917,0.0
2330,350,-1.2129383,0.0
2469,1486,-5.23402,0.0
1086,287,2.1218889,0.0
1827,424,-4.6403494,0.0
1679,1278,-6.0547047,0.0
139,1638,-5.4740515,0.0
1034,411,-5.5330267,0.0
2428,1986,-5.240266,0.0
1326,1473,-5.612643,0.0
552,2341,-1.0404721,0.0
471,983,-2.6445706,0.0
1268,1877,-3.780165,0.0
2084,1977,-5.956706,0.0
1566,251,-4.3190465,0.0
1184,315,-5.7335315,0.0
1201,2421,-0.25159407,0.0
19,1890,-1.5724335,0.0
1507,1369,-1.3872222,0.0
2357,285,-1.9028187,0.0
460,702,2.5489993,0.0
1511,88,-2.309597,0.0
100,1286,-4.7732463,0.0
2472,2032,-3.9490108,0.0
2418,2264,-2.7416277,0.0
1413,62,-3.9301083,0.0
714,392,-0.81762546,0.0
388,76,-4.6575985,0.0
1116,345,-5.741727,0.0
998,68,-3.5069427,0.0
2018,333,-5.1705966,0.0
1885,958,-3.6567397,0.0
183,1276,-3.1758552,0.0
264,1857,-4.189966,0.0
1626,1350,-3.4316666,0.0
544,2136,-2.6218834,0.0
2280,2299,-3.2740822,0.0
1779,1664,-5.79807,0.0
206,454,-5.6370783,0.0
611,1466,-5.556781,0.0
2077,307,-4.652442,0.0
814,83,-3.8479738,0.0
2026,1354,-1.8799186,0.0
1123,1097,-4.8333645,0.0
2023,1500,-0.24457546,0.0
66,314,1.6227621,0.0
2447,405,-5.7194543,0.0
2232,474,-2.5437086,0.0
77,603,-2.454639,0.0
1292,1870,-1.059191,0.0
1475,1564,-1.9662753,0.0
781,743,-5.2156935,0.0
1976,1408,-3.7106142,0.0
466,2169,-4.992186,0.0
2099,788,-5.380316,0.0
144,352,-1.4123814,0.0
452,1092,2.0074348,0.0
617,2161,-1.0039015,0.0
2043,1591,-0.9086827,0.0
964,871,-0.33463943,0.0
788,1455,-4.605233,0.0
1469,1277,-1.6038251,0.0
1061,1641,-1.8994852,0.0
1826,2054,-6.351871,0.0
2142,1013,3.5257277,0.0
1256,181,5.156817,0.0
574,1080,-4.433836,0.0
2465,238,-5.2923975,0.0
1166,2185,-2.8758445,0.0
2282,111,-0.895187,0.0
1838,700,5.788822,0.0
2226,1732,-4.3847084,0.0
1933,739,-0.6340463,0.0
1164,1709,-6.0273447,0.0
871,748,2.7654157,0.0
2015,1283,-5.2504325,0.0
1131,1432,-0.6999647,0.0
1815,1450,-2.801206,0.0
108,1275,0.4436047,0.0
1837,974,-6.0012684,0.0
513,1843,-3.5654407,0.0
1235,984,-3.6406035,0.0
1926,2280,0.7301004,0.0
665,54,-3.4189503,0.0
1669,800,-3.4776392,0.0
1591,486,0.06413819,0.0
403,742,-5.4261017,0.0
249,1718,-5.8151717,0.0
2119,1517,-0.007952262,0.0
2011,1575,-5.879528,0.0
