edge_index0,edge_index1,pred,gr
8649,10460,-0.4067782,1.0
2788,4540,-1.4719366,1.0
4846,13142,4.666492,1.0
10478,11270,4.620183,1.0
4782,10839,4.488491,1.0
3829,5938,4.470268,1.0
2951,11592,5.2120633,1.0
12048,13061,6.4265647,1.0
2448,2940,4.2667375,1.0
2648,10037,-0.28938872,1.0
575,12718,0.25889057,1.0
2103,5679,4.9119415,1.0
11261,11588,-0.15515572,1.0
2116,11698,-0.21095687,1.0
2532,10181,6.315337,1.0
1476,8952,1.1555822,1.0
4838,6515,-1.4758109,1.0
2835,8269,6.982574,1.0
531,12199,0.21095988,1.0
3198,7681,5.8407345,1.0
3254,8985,-1.6389954,1.0
2962,6769,-1.8750939,1.0
2150,4771,-1.6632187,1.0
2116,6262,6.366744,1.0
3759,11145,-0.85498977,1.0
4511,7106,6.1640778,1.0
3982,10973,5.0172067,1.0
7298,8634,6.4620576,1.0
262,12829,6.22654,1.0
7824,9652,-1.8267555,1.0
9348,11377,-1.9548483,1.0
2448,11108,0.6620742,1.0
808,7611,6.3759003,1.0
6413,11655,6.813163,1.0
3273,6552,3.7320359,1.0
252,6235,6.950492,1.0
5850,11350,4.2728224,1.0
59,8340,6.351173,1.0
5163,7985,7.059708,1.0
4365,11428,-1.9475083,1.0
893,1816,7.01207,1.0
6114,8341,2.567519,1.0
9476,11362,-2.1765573,1.0
4925,11078,3.4578252,1.0
262,9468,4.5294366,1.0
2359,13141,6.8208895,1.0
9716,11946,6.968257,1.0
1578,12100,6.431301,1.0
1699,12700,6.710759,1.0
1054,12368,6.442257,1.0
5701,12593,7.0202427,1.0
263,5796,6.9474554,1.0
1742,12208,-1.5821565,1.0
2418,7055,-2.1834998,1.0
9432,11680,7.024615,1.0
2647,5902,-1.5560989,1.0
304,8646,0.124977835,1.0
7684,10155,-0.93908286,1.0
5837,8992,-0.47207493,1.0
3907,6126,6.4834614,1.0
9144,10515,1.2428652,1.0
321,6589,6.8600616,1.0
1690,6114,5.756792,1.0
4598,6263,0.46758738,1.0
7142,10181,4.662165,1.0
7744,11082,4.1025844,1.0
10975,12988,-2.743114,1.0
9313,10912,7.0692205,1.0
6985,12513,-2.2524981,1.0
5371,6441,6.501202,1.0
6019,9500,0.14504988,1.0
5831,7744,5.7796803,1.0
3896,4382,6.839219,1.0
7203,7989,4.4340625,1.0
439,2548,0.5143193,1.0
