edge_index0,edge_index1,pred,gr
571,994,3.7385702,1.0
1588,1628,8.656074,1.0
1160,1522,9.149635,1.0
1096,1520,6.20473,1.0
722,726,-4.8209333,1.0
2066,2426,2.1145124,1.0
2004,2396,-1.8358619,1.0
928,2400,-0.4943622,1.0
1863,1967,7.4244423,1.0
1083,1582,1.0781853,1.0
102,1251,9.088414,1.0
595,2317,3.625914,1.0
159,377,9.366178,1.0
847,1472,7.9827576,1.0
404,1543,2.663087,1.0
287,402,10.030944,1.0
1415,2267,1.8721536,1.0
1621,1984,7.5933723,1.0
588,659,-1.1284335,1.0
402,1325,8.886934,1.0
384,2380,6.0895705,1.0
380,1500,7.8869553,1.0
1911,2202,-2.0475721,1.0
220,577,8.684416,1.0
1172,1435,8.201945,1.0
1116,1677,8.303811,1.0
43,544,8.148689,1.0
642,1745,-5.804685,1.0
244,254,10.046605,1.0
564,702,10.630596,1.0
592,1447,8.618766,1.0
324,1196,0.48921153,1.0
776,1528,7.72539,1.0
25,428,5.014304,1.0
588,620,1.5969459,1.0
601,1991,3.8438325,1.0
1053,1181,10.182457,1.0
48,681,5.9035044,1.0
1669,1687,8.164129,1.0
159,2399,8.57651,1.0
1838,2414,10.078313,1.0
335,700,7.0410514,1.0
516,533,10.330493,1.0
450,493,9.840836,1.0
1459,1463,10.058317,1.0
640,2136,6.2513323,1.0
1086,1773,0.43068585,1.0
1168,1401,8.701033,1.0
1114,1477,10.380968,1.0
1081,2248,7.3010716,1.0
286,401,4.7889442,1.0
738,796,-2.6831493,1.0
1197,1986,9.930019,1.0
1782,2304,-2.2831502,1.0
57,533,7.3340883,1.0
1127,1536,9.226707,1.0
126,159,10.390052,1.0
516,1744,5.9168243,1.0
1082,1248,0.37751368,1.0
575,1405,10.352403,1.0
159,747,10.356703,1.0
43,702,8.495983,1.0
1562,1709,2.6705549,1.0
61,891,7.462345,1.0
1520,1521,9.9247875,1.0
699,1892,9.540981,1.0
159,1285,9.487729,1.0
156,1743,9.959881,1.0
227,1301,7.594882,1.0
798,972,8.441511,1.0
55,1787,2.0960414,1.0
747,1137,4.716379,1.0
75,2211,7.5586658,1.0
22,2090,7.100166,1.0
1655,1729,9.807494,1.0
1130,1223,2.4405446,1.0
989,1103,8.169785,1.0
1550,2228,4.9009185,1.0
1395,2165,8.199848,1.0
1061,1400,2.7905376,1.0
493,2351,6.4538126,1.0
1965,2416,3.2646596,1.0
700,1092,9.872642,1.0
378,1960,6.6532207,1.0
1410,1634,5.7963753,1.0
159,2397,9.803998,1.0
28,1514,2.2320256,1.0
425,1896,3.252557,1.0
218,402,9.882989,1.0
587,620,5.407378,1.0
1347,2243,4.757914,1.0
1312,1408,1.438691,1.0
661,702,8.037017,1.0
1142,1371,9.000983,1.0
270,2031,9.045532,1.0
159,566,9.65557,1.0
14,512,10.255909,1.0
1379,1563,6.5294094,1.0
647,1177,9.1603775,1.0
64,698,8.105437,1.0
440,844,5.5062003,1.0
1051,1089,3.9960055,1.0
528,695,9.494985,1.0
870,1164,9.24869,1.0
231,533,5.714309,1.0
159,2325,10.077968,1.0
928,1550,9.393711,1.0
520,522,9.091862,1.0
21,535,4.7278185,1.0
300,2137,4.3376527,1.0
1064,1414,9.694094,1.0
766,1019,9.731023,1.0
2137,2381,2.7162952,1.0
355,1677,2.5280144,1.0
395,2049,3.1988451,1.0
1010,1220,3.9992065,1.0
739,1700,9.179545,1.0
779,857,8.53447,1.0
547,702,10.07223,1.0
710,1324,6.741982,1.0
2198,2321,9.197219,1.0
1792,2301,8.640095,1.0
1329,2055,7.553062,1.0
1086,1087,9.450479,1.0
425,965,9.905925,1.0
1671,1886,1.5585824,1.0
1262,2128,2.8292868,1.0
0,407,9.683716,1.0
1617,2319,10.219046,1.0
1170,1171,10.227245,1.0
1537,2226,3.3893003,1.0
36,1930,7.6346483,1.0
65,146,8.435474,1.0
702,733,9.686868,1.0
842,1188,-5.745627,1.0
533,1523,10.905959,1.0
142,2124,9.332665,1.0
460,517,5.3332767,1.0
159,2428,10.066481,1.0
1239,1530,2.8698492,1.0
684,956,8.673901,1.0
2309,2314,9.987305,1.0
533,953,10.650398,1.0
1232,1483,4.8601074,1.0
2148,2194,8.367411,1.0
159,2116,10.177559,1.0
646,1604,8.731498,1.0
279,1936,7.0921235,1.0
508,567,5.9947686,1.0
1697,2382,2.6188688,1.0
80,1358,8.239476,1.0
1170,1437,10.020143,1.0
1056,1450,2.0428128,1.0
263,308,9.550227,1.0
159,1009,8.575433,1.0
1917,1953,7.5132833,1.0
811,1350,1.0268999,1.0
98,2468,6.973402,1.0
761,984,9.955627,1.0
208,711,7.8032217,1.0
393,1198,8.096391,1.0
1594,1638,8.612466,1.0
213,562,3.871034,1.0
1971,2295,2.5042508,1.0
526,1812,10.445669,1.0
306,314,10.262261,1.0
327,940,6.315655,1.0
1144,1460,6.1401463,1.0
488,720,9.369412,1.0
1241,2269,9.488965,1.0
159,184,10.462619,1.0
159,1214,8.532472,1.0
1253,1332,6.172099,1.0
903,1329,6.213873,1.0
390,1682,7.946517,1.0
216,848,1.6511469,1.0
1074,1258,5.1052666,1.0
354,371,5.3255224,1.0
1260,1262,1.5270356,1.0
163,1654,3.0959215,1.0
1726,2470,6.5850053,1.0
488,2335,9.224099,1.0
104,1815,4.6213255,1.0
2237,2320,9.58785,1.0
2276,2401,7.6068563,1.0
1396,1879,4.0748987,1.0
633,1902,9.900092,1.0
533,858,11.340512,1.0
2,533,10.322522,1.0
52,2378,5.1892,1.0
244,375,8.676267,1.0
926,943,8.431678,1.0
132,615,-0.6250904,1.0
1302,1519,2.6267064,1.0
