edge_index0,edge_index1,pred,gr
11931,19231,4.270805,1.0
6098,16729,-0.33188686,1.0
1203,18417,8.346789,1.0
515,890,8.392089,1.0
12174,15836,8.51425,1.0
4320,8845,7.5475025,1.0
15522,17641,8.756938,1.0
1663,7317,9.180153,1.0
14419,15002,4.9343143,1.0
8592,13853,7.5502043,1.0
15261,16348,2.37855,1.0
712,2045,4.3921914,1.0
4849,9293,4.447236,1.0
2104,5883,3.528817,1.0
15151,18581,6.126688,1.0
8736,11630,8.431439,1.0
2176,7075,6.521913,1.0
12232,13554,7.671214,1.0
2692,8065,5.5601377,1.0
12306,18232,2.2765188,1.0
8760,14944,9.792772,1.0
4248,7829,6.7945304,1.0
365,15375,9.312611,1.0
11260,12639,6.8681808,1.0
5450,16334,6.461079,1.0
3773,16991,9.654526,1.0
18013,19069,6.587475,1.0
2236,13192,9.32125,1.0
5736,16252,4.022517,1.0
2196,14663,7.129707,1.0
12867,17756,-0.44504339,1.0
4074,16334,7.2817698,1.0
4083,13470,8.092797,1.0
1527,16452,8.045603,1.0
4809,13726,9.652841,1.0
5401,15771,6.0858665,1.0
4826,12266,2.97368,1.0
12642,14466,3.3866823,1.0
3137,7797,8.711949,1.0
8928,15593,6.3794956,1.0
99,1339,7.1947823,1.0
2229,9322,7.461433,1.0
18299,19378,4.685206,1.0
1945,18478,9.629412,1.0
1434,7903,8.580464,1.0
3210,10391,8.647111,1.0
3499,13190,8.696746,1.0
3055,9312,5.0952587,1.0
891,16488,8.232932,1.0
1129,3598,-2.8687186,1.0
7479,12133,7.342559,1.0
454,12147,1.7256018,1.0
9131,13554,8.145758,1.0
6398,12052,2.369534,1.0
11016,17969,-1.3927242,1.0
2605,5620,9.540661,1.0
6475,9039,7.0876293,1.0
8485,12226,3.5581791,1.0
5775,18948,6.7235703,1.0
7417,14776,0.4210242,1.0
12801,13677,9.448152,1.0
3586,19459,7.9741573,1.0
6251,18698,9.39684,1.0
4879,16329,4.9055037,1.0
4301,8892,2.2333813,1.0
7904,10072,6.6778483,1.0
336,7119,8.267149,1.0
10134,18739,7.8295355,1.0
8304,9605,6.7626624,1.0
1372,15887,8.778391,1.0
1170,13003,-1.5625772,1.0
13999,15514,2.383697,1.0
4537,16567,1.7943382,1.0
14362,15275,6.661722,1.0
12305,15810,4.6481323,1.0
515,8168,9.610407,1.0
4933,5454,7.174922,1.0
6541,7075,7.2802525,1.0
537,15874,-3.033684,1.0
515,6589,7.2376647,1.0
10203,19612,8.341083,1.0
4030,6366,8.535195,1.0
1215,3656,9.732099,1.0
6462,11697,9.768495,1.0
1137,19609,6.675027,1.0
4430,14463,-8.600822,1.0
8027,16044,5.273508,1.0
9039,9045,4.573468,1.0
8209,18451,4.108247,1.0
14361,18386,5.200739,1.0
845,18749,4.1548376,1.0
6177,17386,7.8383703,1.0
8374,8782,-7.2629066,1.0
4093,17775,5.8076463,1.0
8814,19355,3.8353686,1.0
873,18947,8.446837,1.0
3896,16397,8.993088,1.0
2606,14902,5.7716084,1.0
11364,11962,6.726077,1.0
447,5627,6.757882,1.0
1835,18571,4.594631,1.0
5170,12105,9.400975,1.0
7324,10090,9.114792,1.0
5237,16826,8.663501,1.0
1103,15187,9.605457,1.0
10416,14953,9.436301,1.0
14479,17654,8.51514,1.0
5570,10636,6.037945,1.0
1720,10659,4.530991,1.0
6264,13876,9.030332,1.0
10456,13970,9.135876,1.0
10619,13355,4.727419,1.0
9989,12628,6.3644614,1.0
9020,9479,8.881859,1.0
8051,9374,2.3962023,1.0
8374,19419,7.6765566,1.0
9033,10944,7.0210047,1.0
8013,17569,7.078992,1.0
1293,6416,8.364005,1.0
19319,19355,7.772573,1.0
6958,14764,7.105426,1.0
12297,15718,8.689651,1.0
7427,10930,8.298441,1.0
8232,11805,7.850737,1.0
2118,15157,-2.0579014,1.0
5715,5786,7.8152957,1.0
307,10366,9.120386,1.0
76,19182,0.8167065,1.0
4166,17208,8.873538,1.0
9116,12145,5.3363943,1.0
632,9873,9.005762,1.0
1340,17881,7.384348,1.0
3411,17667,-3.108598,1.0
1885,4946,7.548172,1.0
9321,11621,9.754223,1.0
12887,19215,5.3782263,1.0
16975,17092,0.92576754,1.0
5581,13647,3.75883,1.0
5983,9166,7.253868,1.0
5743,17318,7.466774,1.0
1107,9291,7.539505,1.0
9403,9787,4.398775,1.0
1788,10344,6.1320357,1.0
19529,19676,5.7247114,1.0
3707,5246,6.946892,1.0
3112,15098,8.877191,1.0
3901,11364,7.892826,1.0
4332,9847,1.522274,1.0
13207,19509,-2.8735526,1.0
1263,11644,6.540452,1.0
3666,9050,1.3202893,1.0
9026,12257,4.6388874,1.0
1645,5298,9.187472,1.0
18239,19246,8.110381,1.0
5422,12506,9.149182,1.0
438,15264,4.281334,1.0
14040,14663,5.4962273,1.0
4120,18718,5.25457,1.0
2542,10773,8.630029,1.0
10717,13408,7.0363493,1.0
164,18821,9.455667,1.0
2293,9100,4.811553,1.0
3425,8830,8.488091,1.0
8893,16150,8.21725,1.0
7045,9346,7.1430416,1.0
10854,14414,3.8230696,1.0
15146,18946,9.561526,1.0
1986,12246,3.2673984,1.0
4031,5038,6.2755804,1.0
10575,15753,6.1969404,1.0
4318,4689,9.583379,1.0
14965,15726,3.866074,1.0
756,7303,9.066714,1.0
15053,18711,6.5989847,1.0
8691,11960,7.3800488,1.0
937,8564,6.4040565,1.0
9462,13367,-1.0714579,1.0
15202,15764,6.7681475,1.0
2975,18587,8.04174,1.0
557,18650,7.835161,1.0
3139,7067,8.491883,1.0
3518,13606,6.3090425,1.0
15840,17703,7.4129996,1.0
1886,5847,8.555521,1.0
7623,16102,8.233797,1.0
3829,16729,5.2956977,1.0
10543,12332,9.036475,1.0
5803,11418,8.616559,1.0
4740,16477,7.299379,1.0
7440,16588,9.290279,1.0
8635,19489,0.1609199,1.0
9673,16408,5.2065964,1.0
7527,9858,1.4928234,1.0
7747,14548,5.610652,1.0
3645,13457,7.5584755,1.0
5849,16149,9.203924,1.0
5594,10401,1.0449295,1.0
201,9704,3.0911689,1.0
8418,9827,-9.325798,1.0
10166,17204,6.8842497,1.0
6620,18524,8.911057,1.0
10054,10622,-6.396179,1.0
14216,19694,7.220122,1.0
5613,12913,8.730607,1.0
14229,17996,9.392412,1.0
6117,10069,8.412536,1.0
9872,13838,9.787746,1.0
