edge_index0,edge_index1,pred,gr
8649,10460,-4.6420336,1.0
2788,4540,-6.1654525,1.0
4846,13142,1.3528548,1.0
10478,11270,1.0786359,1.0
4782,10839,3.5067108,1.0
3829,5938,6.3788643,1.0
2951,11592,5.6398997,1.0
12048,13061,7.655018,1.0
2448,2940,4.9654264,1.0
2648,10037,-1.5599866,1.0
575,12718,-0.74476016,1.0
2103,5679,6.269514,1.0
11261,11588,0.009078838,1.0
2116,11698,-3.150151,1.0
2532,10181,2.663449,1.0
1476,8952,4.981416,1.0
4838,6515,-0.5585932,1.0
2835,8269,8.885619,1.0
531,12199,-0.0974428,1.0
3198,7681,5.370806,1.0
3254,8985,0.86008364,1.0
2962,6769,-4.833979,1.0
2150,4771,1.5522534,1.0
2116,6262,-0.7609528,1.0
3759,11145,-5.325333,1.0
4511,7106,7.3160405,1.0
3982,10973,5.4478345,1.0
7298,8634,4.787969,1.0
262,12829,6.657651,1.0
7824,9652,-3.7020895,1.0
9348,11377,-0.25058922,1.0
2448,11108,1.1538675,1.0
808,7611,6.382227,1.0
6413,11655,6.405208,1.0
3273,6552,5.053809,1.0
252,6235,4.4228206,1.0
5850,11350,2.7324822,1.0
59,8340,6.9653525,1.0
5163,7985,5.2180424,1.0
4365,11428,0.6240968,1.0
893,1816,3.6262834,1.0
6114,8341,2.7584543,1.0
9476,11362,0.83592296,1.0
4925,11078,5.701113,1.0
262,9468,6.5048327,1.0
2359,13141,3.3569672,1.0
9716,11946,7.893911,1.0
1578,12100,6.8564677,1.0
1699,12700,6.4117513,1.0
1054,12368,6.1225996,1.0
5701,12593,7.341044,1.0
263,5796,8.956968,1.0
1742,12208,5.212859,1.0
2418,7055,-5.1376705,1.0
9432,11680,6.9649343,1.0
2647,5902,-3.8021069,1.0
304,8646,-0.86800027,1.0
7684,10155,-3.993018,1.0
5837,8992,-1.3292395,1.0
3907,6126,3.150776,1.0
9144,10515,4.4034457,1.0
321,6589,7.7204356,1.0
1690,6114,3.1931045,1.0
4598,6263,3.770263,1.0
7142,10181,4.485872,1.0
