edge_index0,edge_index1,pred,gr
571,994,3.7578754,1.0
1588,1628,5.5386915,1.0
1160,1522,5.843124,1.0
1096,1520,3.718923,1.0
722,726,-5.139797,1.0
2066,2426,2.1332216,1.0
2004,2396,0.16171406,1.0
928,2400,0.17064787,1.0
1863,1967,6.0960193,1.0
1083,1582,1.0115879,1.0
102,1251,5.5757065,1.0
595,2317,1.7156322,1.0
159,377,4.5655737,1.0
847,1472,4.513238,1.0
404,1543,-0.22993381,1.0
287,402,6.415755,1.0
1415,2267,1.121191,1.0
1621,1984,4.4141874,1.0
588,659,1.6193713,1.0
402,1325,5.973567,1.0
384,2380,5.919037,1.0
380,1500,6.420614,1.0
1911,2202,-2.1921577,1.0
220,577,7.1057234,1.0
1172,1435,6.831815,1.0
1116,1677,3.2376919,1.0
43,544,6.533618,1.0
642,1745,-0.46091866,1.0
244,254,7.546166,1.0
564,702,7.2475886,1.0
592,1447,5.9734907,1.0
324,1196,0.7506356,1.0
776,1528,6.502013,1.0
25,428,4.4130397,1.0
588,620,2.0097265,1.0
601,1991,2.3311336,1.0
1053,1181,5.705738,1.0
48,681,3.6162097,1.0
1669,1687,5.736841,1.0
159,2399,6.192764,1.0
1838,2414,6.9539056,1.0
335,700,5.929402,1.0
516,533,6.0152636,1.0
450,493,6.3439584,1.0
1459,1463,6.711618,1.0
640,2136,2.7546337,1.0
1086,1773,1.1273843,1.0
1168,1401,6.095522,1.0
1114,1477,7.226873,1.0
1081,2248,5.3148084,1.0
286,401,3.744798,1.0
738,796,0.23427702,1.0
1197,1986,6.49641,1.0
1782,2304,-2.6372685,1.0
57,533,6.30791,1.0
1127,1536,5.4178348,1.0
126,159,6.7582736,1.0
516,1744,5.072219,1.0
1082,1248,0.84441286,1.0
575,1405,6.8224397,1.0
159,747,6.9673543,1.0
43,702,6.162701,1.0
1562,1709,3.2095075,1.0
61,891,5.953457,1.0
1520,1521,5.971614,1.0
699,1892,4.6983223,1.0
159,1285,4.2585187,1.0
156,1743,6.5020475,1.0
227,1301,4.8490496,1.0
798,972,5.3828626,1.0
55,1787,0.9684899,1.0
747,1137,3.7322621,1.0
75,2211,5.1646204,1.0
22,2090,4.285655,1.0
1655,1729,6.1194105,1.0
1130,1223,3.6038609,1.0
989,1103,4.7966986,1.0
1550,2228,3.4918523,1.0
1395,2165,5.594209,1.0
1061,1400,4.23877,1.0
493,2351,3.0575767,1.0
1965,2416,4.0912013,1.0
700,1092,7.136742,1.0
378,1960,2.403659,1.0
1410,1634,-0.5252491,1.0
159,2397,5.7003927,1.0
28,1514,0.8972274,1.0
425,1896,3.6319394,1.0
218,402,6.76993,1.0
587,620,3.2693563,1.0
1347,2243,5.2819777,1.0
1312,1408,1.1597432,1.0
661,702,7.1553226,1.0
1142,1371,6.1185336,1.0
270,2031,5.53125,1.0
159,566,4.193891,1.0
14,512,7.466584,1.0
1379,1563,3.4774928,1.0
647,1177,2.3239062,1.0
64,698,3.778605,1.0
440,844,4.910511,1.0
1051,1089,2.370058,1.0
528,695,2.2160854,1.0
870,1164,6.021059,1.0
231,533,5.475633,1.0
159,2325,5.7329364,1.0
928,1550,6.3504505,1.0
520,522,7.1608877,1.0
21,535,4.23062,1.0
300,2137,3.6137216,1.0
1064,1414,6.8916326,1.0
766,1019,6.924008,1.0
2137,2381,1.6382934,1.0
355,1677,1.8920926,1.0
395,2049,2.335713,1.0
1010,1220,4.3115926,1.0
739,1700,6.0991287,1.0
779,857,5.56714,1.0
547,702,5.90667,1.0
710,1324,3.0429394,1.0
2198,2321,6.094711,1.0
1792,2301,7.2594028,1.0
1329,2055,3.5153377,1.0
1086,1087,5.5059476,1.0
425,965,5.7298646,1.0
1671,1886,0.30927223,1.0
1262,2128,3.3755841,1.0
0,407,7.2820687,1.0
1617,2319,6.707033,1.0
1170,1171,6.6928463,1.0
1537,2226,2.1319008,1.0
36,1930,6.5031166,1.0
65,146,6.1303644,1.0
702,733,2.5517325,1.0
842,1188,-5.1887326,1.0
533,1523,6.973919,1.0
142,2124,6.7499037,1.0
460,517,4.334274,1.0
159,2428,5.8648286,1.0
1239,1530,2.006738,1.0
684,956,5.7705345,1.0
2309,2314,6.4066353,1.0
533,953,7.310685,1.0
1232,1483,2.8810565,1.0
2148,2194,6.5601707,1.0
159,2116,6.661824,1.0
646,1604,2.8870103,1.0
279,1936,3.8401842,1.0
508,567,5.9059496,1.0
1697,2382,2.416347,1.0
80,1358,5.138692,1.0
1170,1437,4.1504455,1.0
1056,1450,1.9615036,1.0
263,308,5.207436,1.0
159,1009,5.0160484,1.0
1917,1953,5.6840343,1.0
811,1350,0.90531474,1.0
98,2468,5.181539,1.0
761,984,7.0422535,1.0
208,711,5.4404244,1.0
393,1198,3.739689,1.0
1594,1638,5.0515056,1.0
213,562,4.2691483,1.0
1971,2295,3.8592799,1.0
526,1812,6.965321,1.0
306,314,6.6941957,1.0
327,940,3.2990327,1.0
1144,1460,5.832784,1.0
488,720,4.1853313,1.0
1241,2269,6.5418334,1.0
159,184,6.1657424,1.0
159,1214,5.777626,1.0
1253,1332,5.492838,1.0
903,1329,3.8163993,1.0
390,1682,2.9601784,1.0
216,848,1.7396584,1.0
1074,1258,0.70145696,1.0
354,371,4.459498,1.0
1260,1262,5.148396,1.0
163,1654,0.71764684,1.0
1726,2470,5.5739202,1.0
488,2335,5.08047,1.0
104,1815,4.8382587,1.0
2237,2320,7.594382,1.0
2276,2401,6.6439514,1.0
1396,1879,0.39156625,1.0
633,1902,6.2724757,1.0
533,858,7.0492177,1.0
2,533,6.954837,1.0
52,2378,4.796426,1.0
244,375,4.712732,1.0
926,943,5.8889074,1.0
132,615,1.445989,1.0
1302,1519,2.6459675,1.0
1537,2395,4.483669,1.0
1981,2042,2.3501062,1.0
324,1894,4.8860292,1.0
524,579,5.0404887,1.0
842,1106,-3.3857188,1.0
412,530,0.025031913,1.0
251,712,6.0481853,1.0
831,1331,6.1391287,1.0
1437,2239,5.54178,1.0
1032,1943,6.3638916,1.0
106,1223,4.017874,1.0
1346,1459,6.9799666,1.0
1801,1809,5.8056517,1.0
756,1570,2.3937619,1.0
1719,2161,2.2024415,1.0
75,819,5.889507,1.0
1492,1994,5.0630717,1.0
989,1499,-3.1821527,1.0
425,1955,6.242519,1.0
1766,1768,5.9364915,1.0
1668,1773,6.370994,1.0
234,1055,4.768084,1.0
779,1776,5.0515466,1.0
215,1244,6.4586873,1.0
2248,2451,5.442716,1.0
2080,2182,4.2227592,1.0
1816,2135,4.227447,1.0
1500,1636,0.59362286,1.0
598,621,6.550647,1.0
408,598,0.62103975,1.0
58,2306,-1.1214104,1.0
159,1757,4.670289,1.0
1810,1886,2.8341768,1.0
612,1465,2.5059278,1.0
750,1551,0.6964521,1.0
124,2063,4.9384346,1.0
1133,1170,6.6125393,1.0
148,1503,5.7544775,1.0
1862,2323,5.266883,1.0
576,2368,4.5813823,1.0
1721,1787,2.870227,1.0
954,995,6.2149377,1.0
518,537,3.10388,1.0
14,407,7.6530385,1.0
1196,1417,2.5390701,1.0
885,2032,2.356366,1.0
183,336,5.671208,1.0
189,603,5.30541,1.0
13,546,5.6698885,1.0
747,1065,2.682712,1.0
1791,2460,5.503281,1.0
390,1723,1.4041009,1.0
451,1277,4.2447624,1.0
881,1276,0.15149125,1.0
530,632,2.864415,1.0
785,1688,5.1980987,1.0
86,404,2.6664488,1.0
2073,2232,6.224929,1.0
18,1810,1.6071966,1.0
352,43,-5.776497,0.0
673,2456,-0.09242997,0.0
465,888,-5.919595,0.0
1324,1968,0.22493577,0.0
1616,2103,-1.8804907,0.0
2030,2140,-6.933771,0.0
1844,1003,-4.9465666,0.0
1674,1583,-2.9326499,0.0
1825,1737,-7.5997505,0.0
1093,474,-5.514141,0.0
1223,376,-1.688009,0.0
1452,328,-1.936982,0.0
1370,1082,-3.7537704,0.0
122,697,-0.285547,0.0
127,2309,-6.463785,0.0
612,70,0.21592192,0.0
516,1001,-6.0271783,0.0
1209,1405,3.2939737,0.0
740,1038,-6.6121264,0.0
1001,2220,-1.6161397,0.0
804,1643,-6.633365,0.0
1228,467,-4.9537096,0.0
1937,2026,-6.4610476,0.0
656,2406,-4.487484,0.0
2109,1343,-7.6701803,0.0
2287,2199,-6.728583,0.0
1161,2378,-4.6949077,0.0
1295,1872,-7.5516534,0.0
1228,412,-0.16026534,0.0
