edge_index0,edge_index1,pred,gr
11931,19231,2.7007928,1.0
6098,16729,-0.006507069,1.0
1203,18417,6.910201,1.0
515,890,8.559509,1.0
12174,15836,8.652216,1.0
4320,8845,7.5582905,1.0
15522,17641,8.517347,1.0
1663,7317,10.278117,1.0
14419,15002,3.3575528,1.0
8592,13853,7.112892,1.0
15261,16348,6.032268,1.0
712,2045,4.4309998,1.0
4849,9293,4.700761,1.0
2104,5883,6.2302995,1.0
15151,18581,7.975379,1.0
8736,11630,9.784066,1.0
2176,7075,7.8678694,1.0
12232,13554,6.108256,1.0
2692,8065,6.430687,1.0
12306,18232,3.9913235,1.0
8760,14944,10.097376,1.0
4248,7829,9.741762,1.0
365,15375,9.376961,1.0
11260,12639,6.5324063,1.0
5450,16334,7.533452,1.0
3773,16991,9.276612,1.0
18013,19069,11.028809,1.0
2236,13192,8.089447,1.0
5736,16252,0.49444187,1.0
2196,14663,9.500223,1.0
12867,17756,2.4495955,1.0
4074,16334,8.019635,1.0
4083,13470,7.4126782,1.0
1527,16452,7.4192214,1.0
4809,13726,8.2628,1.0
5401,15771,6.3568873,1.0
4826,12266,2.1050277,1.0
12642,14466,0.031132244,1.0
3137,7797,6.418621,1.0
8928,15593,6.643109,1.0
99,1339,6.405798,1.0
2229,9322,9.01511,1.0
18299,19378,5.664786,1.0
1945,18478,10.6015215,1.0
1434,7903,9.222397,1.0
3210,10391,8.808727,1.0
3499,13190,1.5572453,1.0
3055,9312,7.2607703,1.0
891,16488,6.3200507,1.0
1129,3598,-1.5595336,1.0
7479,12133,9.33876,1.0
454,12147,4.648717,1.0
9131,13554,7.773428,1.0
6398,12052,1.2428414,1.0
11016,17969,4.861115,1.0
2605,5620,10.18222,1.0
6475,9039,6.962165,1.0
8485,12226,8.216101,1.0
5775,18948,2.7329593,1.0
7417,14776,5.2367516,1.0
12801,13677,8.433893,1.0
3586,19459,6.535606,1.0
6251,18698,9.184943,1.0
4879,16329,5.325337,1.0
4301,8892,2.4532018,1.0
7904,10072,5.058213,1.0
336,7119,5.918613,1.0
10134,18739,8.333111,1.0
8304,9605,1.9294395,1.0
1372,15887,8.37698,1.0
1170,13003,0.77585465,1.0
13999,15514,3.9605665,1.0
4537,16567,6.8414288,1.0
14362,15275,6.7636724,1.0
12305,15810,2.1803682,1.0
515,8168,6.1123543,1.0
4933,5454,8.806245,1.0
6541,7075,6.1837964,1.0
537,15874,-4.328675,1.0
515,6589,7.26731,1.0
10203,19612,8.956954,1.0
4030,6366,7.4578376,1.0
1215,3656,9.4521675,1.0
6462,11697,9.700892,1.0
1137,19609,5.821261,1.0
4430,14463,-7.6535463,1.0
8027,16044,5.808871,1.0
9039,9045,6.4885473,1.0
8209,18451,6.287176,1.0
14361,18386,1.5787077,1.0
845,18749,6.0644526,1.0
6177,17386,4.9187837,1.0
8374,8782,-3.9691303,1.0
4093,17775,7.662249,1.0
8814,19355,1.7242863,1.0
873,18947,8.420817,1.0
3896,16397,8.187115,1.0
2606,14902,8.367118,1.0
11364,11962,6.8814287,1.0
447,5627,0.6033103,1.0
1835,18571,-2.4049273,1.0
5170,12105,9.365881,1.0
7324,10090,8.135483,1.0
5237,16826,9.079464,1.0
1103,15187,8.292554,1.0
10416,14953,9.591711,1.0
14479,17654,9.381174,1.0
5570,10636,8.64673,1.0
1720,10659,1.1424223,1.0
6264,13876,8.686952,1.0
10456,13970,8.20851,1.0
10619,13355,6.3942447,1.0
9989,12628,5.2444997,1.0
9020,9479,11.231206,1.0
8051,9374,6.8530235,1.0
8374,19419,5.6651754,1.0
9033,10944,6.5195184,1.0
8013,17569,9.784597,1.0
1293,6416,10.805743,1.0
19319,19355,5.211706,1.0
6958,14764,7.568757,1.0
12297,15718,7.930278,1.0
7427,10930,9.623027,1.0
8232,11805,5.794694,1.0
2118,15157,5.0762787,1.0
5715,5786,8.242069,1.0
307,10366,9.236941,1.0
76,19182,0.45606726,1.0
4166,17208,9.688592,1.0
9116,12145,4.801227,1.0
632,9873,8.748128,1.0
1340,17881,6.3278737,1.0
3411,17667,-0.6354903,1.0
1885,4946,6.4942102,1.0
9321,11621,10.945242,1.0
12887,19215,5.45572,1.0
16975,17092,8.035678,1.0
5581,13647,2.8090234,1.0
5983,9166,5.5016003,1.0
5743,17318,5.027147,1.0
1107,9291,2.3713646,1.0
9403,9787,6.4695997,1.0
1788,10344,6.700525,1.0
19529,19676,8.081083,1.0
3707,5246,8.446579,1.0
3112,15098,5.3282986,1.0
3901,11364,7.0152473,1.0
4332,9847,1.6936117,1.0
13207,19509,-2.2953851,1.0
1263,11644,8.47493,1.0
3666,9050,5.048196,1.0
9026,12257,5.066098,1.0
1645,5298,10.449843,1.0
18239,19246,8.172338,1.0
5422,12506,8.372981,1.0
438,15264,1.0195665,1.0
14040,14663,8.893471,1.0
4120,18718,7.971922,1.0
2542,10773,9.952342,1.0
10717,13408,8.5220175,1.0
164,18821,11.161415,1.0
2293,9100,7.15045,1.0
3425,8830,8.913305,1.0
8893,16150,9.353472,1.0
7045,9346,9.015707,1.0
10854,14414,2.765114,1.0
15146,18946,9.2912445,1.0
1986,12246,1.5779339,1.0
4031,5038,7.5684175,1.0
10575,15753,9.8110695,1.0
4318,4689,7.0029497,1.0
14965,15726,7.460373,1.0
756,7303,6.1064687,1.0
15053,18711,7.684667,1.0
8691,11960,8.522863,1.0
937,8564,6.7529902,1.0
9462,13367,1.4219238,1.0
15202,15764,8.992983,1.0
2975,18587,6.7267303,1.0
557,18650,0.10980486,1.0
3139,7067,5.7000337,1.0
3518,13606,9.200907,1.0
15840,17703,5.2099967,1.0
1886,5847,10.788268,1.0
7623,16102,8.846251,1.0
3829,16729,4.291115,1.0
10543,12332,10.232048,1.0
5803,11418,9.304718,1.0
4740,16477,10.0071,1.0
7440,16588,4.164693,1.0
8635,19489,3.274531,1.0
9673,16408,7.1114182,1.0
7527,9858,1.9412091,1.0
7747,14548,7.9465837,1.0
3645,13457,10.189136,1.0
5849,16149,10.245862,1.0
5594,10401,3.1509087,1.0
201,9704,6.5410347,1.0
8418,9827,-7.3490615,1.0
10166,17204,9.848171,1.0
6620,18524,8.53802,1.0
10054,10622,-1.4851986,1.0
14216,19694,10.097685,1.0
5613,12913,7.5400434,1.0
14229,17996,9.1524315,1.0
6117,10069,9.610784,1.0
9872,13838,7.150361,1.0
67,17833,8.8350115,1.0
5673,7130,8.728561,1.0
3281,16995,10.075359,1.0
10063,13598,9.147749,1.0
7404,13678,8.5759325,1.0
9968,15965,9.410248,1.0
18045,18957,7.1904926,1.0
601,9590,7.3944445,1.0
1100,3116,7.0753965,1.0
4724,6318,8.125145,1.0
15615,16440,6.113703,1.0
557,14730,-0.17149349,1.0
11579,16793,3.740336,1.0
4147,17190,6.7514563,1.0
6648,15032,3.7715604,1.0
4364,15002,1.1566579,1.0
7827,14086,5.0994525,1.0
7312,18352,4.8928704,1.0
15762,18716,7.5792775,1.0
2169,12043,2.9664736,1.0
18410,18866,8.67382,1.0
15057,15416,3.8502288,1.0
1908,18739,7.460176,1.0
2064,2634,9.715441,1.0
5663,15681,3.552907,1.0
