edge_index0,edge_index1,pred,gr
858,1427,0.4944829,1.0
7072,12533,0.49444753,1.0
4853,8369,0.494711,1.0
15781,16290,0.49447733,1.0
4392,12342,0.4946407,1.0
9010,12341,0.4945208,1.0
301,13447,0.49456495,1.0
5546,16620,0.49449947,1.0
1846,12899,0.49438807,1.0
12893,14697,0.49448606,1.0
7065,17039,0.49453935,1.0
10911,11224,0.49452966,1.0
1042,13783,0.49446934,1.0
220,1124,0.4945727,1.0
2408,18511,0.494511,1.0
5091,16813,0.49452722,1.0
3319,7052,0.49449843,1.0
16164,16246,0.49458495,1.0
765,11323,0.49457124,1.0
2677,6792,0.4945469,1.0
15045,17142,0.49447894,1.0
4222,6943,0.49458736,1.0
7676,15337,0.4943635,1.0
5875,7603,0.4945892,1.0
5805,13289,0.49450403,1.0
3640,10612,0.49446148,1.0
5969,14534,0.4944688,1.0
7419,12990,0.49451265,1.0
12267,19316,0.49443075,1.0
6233,6855,0.49461085,1.0
11968,18020,0.49456292,1.0
7216,17190,0.49451318,1.0
16323,17088,0.49442178,1.0
1396,11135,0.49458194,1.0
12881,19496,0.49472088,1.0
8935,18052,0.49452385,1.0
4784,12117,0.494418,1.0
3914,11316,0.49451032,1.0
6093,6367,0.4945712,1.0
1346,8601,0.49451515,1.0
15222,19677,0.4945174,1.0
9198,16531,0.494649,1.0
10041,11990,0.4945678,1.0
16779,19069,0.49460444,1.0
3777,16517,0.4944406,1.0
7075,16751,0.49448186,1.0
8861,10909,0.49452186,1.0
16246,19385,0.49452174,1.0
1098,7186,0.49456587,1.0
11354,19402,0.49448526,1.0
1440,18117,0.49467117,1.0
7186,11896,0.494435,1.0
7738,12348,0.49439722,1.0
4608,5900,0.4946251,1.0
2610,7374,0.49446198,1.0
7301,14280,0.494479,1.0
5733,13408,0.494455,1.0
5541,6657,0.49456945,1.0
6232,17968,0.49460894,1.0
2408,15226,0.4945229,1.0
17072,17700,0.4945792,1.0
1809,14653,0.49444795,1.0
4763,16517,0.4944885,1.0
8440,16079,0.49463734,1.0
5359,10026,0.4944599,1.0
2724,5444,0.49461272,1.0
10274,18940,0.49451745,1.0
6741,7134,0.49456567,1.0
4555,18892,0.49458194,1.0
13369,18869,0.4943703,1.0
8310,16238,0.49451533,1.0
7075,9713,0.49448034,1.0
4091,6487,0.49448514,1.0
353,3569,0.49447197,1.0
9960,10612,0.49448514,1.0
6048,8647,0.49458444,1.0
14069,18666,0.49457097,1.0
8592,9464,0.4945586,1.0
759,936,0.4946151,1.0
9597,17714,0.49439082,1.0
3922,11012,0.49465308,1.0
1366,16487,0.49450022,1.0
14236,18481,0.49457684,1.0
535,1639,0.49470127,1.0
568,13942,0.49472952,1.0
1421,4544,0.4944841,1.0
12458,18478,0.4945375,1.0
2570,11329,0.49457714,1.0
4686,8396,0.4945416,1.0
9612,9901,0.49454373,1.0
4559,11261,0.49452472,1.0
1329,17424,0.49462572,1.0
6882,18199,0.49457398,1.0
8962,19522,0.49449953,1.0
9616,18541,0.49445504,1.0
12713,19221,0.49435797,1.0
3437,8929,0.49455756,1.0
13916,17176,0.49453375,1.0
3395,18049,0.49442562,1.0
4527,18614,0.49454373,1.0
5689,7301,0.49457622,1.0
12516,18729,0.49458227,1.0
755,15133,0.49455225,1.0
1280,18454,0.4944776,1.0
9811,13783,0.49446648,1.0
2858,5957,0.4944666,1.0
6226,18567,0.49464726,1.0
16976,18817,0.49447703,1.0
3554,3698,0.4945579,1.0
4862,10041,0.49463332,1.0
15867,19280,0.49453947,1.0
1170,6085,0.49455824,1.0
6121,18157,0.49453503,1.0
485,5790,0.49437794,1.0
9358,11328,0.4944937,1.0
9787,10435,0.49465683,1.0
456,16064,0.49437743,1.0
19020,19524,0.49456128,1.0
8767,14126,0.49450257,1.0
9837,11605,0.49457645,1.0
16078,16164,0.49456945,1.0
16076,17939,0.49448794,1.0
9815,13082,0.49460512,1.0
890,15806,0.4945607,1.0
8457,18166,0.4944364,1.0
4724,5405,0.49470502,1.0
2543,15834,0.49452502,1.0
13671,17741,0.4945236,1.0
12639,19261,0.49455202,1.0
5125,17439,0.49447435,1.0
1064,8158,0.49436462,1.0
13250,14925,0.4945481,1.0
6478,17896,0.4946007,1.0
5978,7932,0.4945494,1.0
8476,18906,0.4945291,1.0
12386,12806,0.49451253,1.0
10396,17897,0.4944524,1.0
6869,7126,0.4945185,1.0
14042,14154,0.49449563,1.0
12731,15602,0.49446562,1.0
4379,16196,0.4945727,1.0
5793,8013,0.49459815,1.0
1506,17766,0.49454308,1.0
7775,11505,0.49451697,1.0
10537,10805,0.49462998,1.0
4545,9289,0.49443996,1.0
3362,3659,0.49442732,1.0
785,16872,0.49438378,1.0
13716,14229,0.4944743,1.0
10909,12865,0.49447381,1.0
14255,16664,0.4945725,1.0
4734,6075,0.49448746,1.0
7440,15810,0.49444723,1.0
18790,19181,0.4945024,1.0
2505,3916,0.49457178,1.0
936,5541,0.4945642,1.0
10032,17928,0.49456584,1.0
2422,16280,0.4944751,1.0
7006,18594,0.4944724,1.0
964,17107,0.49452838,1.0
315,11316,0.49459347,1.0
13069,18109,0.49451545,1.0
5252,5677,0.49456927,1.0
16656,17537,0.49447674,1.0
6508,15171,0.49447766,1.0
3227,15814,0.49456024,1.0
1053,12580,0.49459407,1.0
401,4222,0.4945222,1.0
12509,17013,0.4945397,1.0
16517,16835,0.49442777,1.0
5608,14745,0.49441892,1.0
8784,18725,0.49457237,1.0
2679,10626,0.4945347,1.0
14434,19553,0.49462515,1.0
10399,15445,0.494518,1.0
11941,19610,0.49460024,1.0
2583,18898,0.49470046,1.0
765,18035,0.4945951,1.0
7427,19105,0.49454197,1.0
13217,13561,0.49454576,1.0
4578,16199,0.49452496,1.0
2941,9835,0.4944491,1.0
2553,4098,0.49444684,1.0
3546,19454,0.4945712,1.0
6112,15211,0.49457103,1.0
290,9840,0.49449492,1.0
2417,18482,0.49458075,1.0
5141,17387,0.49448583,1.0
13776,16609,0.49453807,1.0
16127,16577,0.49462876,1.0
13542,18493,0.4945551,1.0
8294,13063,0.49444374,1.0
1190,17190,0.494476,1.0
5674,17695,0.4945449,1.0
6984,11832,0.49451935,1.0
5879,17967,0.49452922,1.0
4278,9238,0.49439782,1.0
7637,11644,0.4944997,1.0
2912,4407,0.49448678,1.0
3383,8892,0.49441972,1.0
10885,14212,0.4946126,1.0
5733,11017,0.49452153,1.0
3210,10391,0.49447593,1.0
7795,13994,0.4945096,1.0
2003,8118,0.49442294,1.0
8694,10240,0.49444398,1.0
678,13994,0.49446014,1.0
12954,17761,0.49454477,1.0
739,14919,0.49451253,1.0
3421,15866,0.49449033,1.0
15812,19126,0.49446216,1.0
11955,17521,0.4944775,1.0
10609,12362,0.49455196,1.0
2179,8620,0.4945922,1.0
1155,3858,0.49445587,1.0
7193,11806,0.49446362,1.0
7111,8250,0.4943931,1.0
6911,11145,0.4946168,1.0
11954,19610,0.49458882,1.0
1621,6103,0.4945102,1.0
2100,3798,0.49457377,1.0
2441,16448,0.49429026,1.0
5350,16958,0.49456245,1.0
4148,17909,0.4944899,1.0
2092,12545,0.4944927,1.0
5107,17462,0.49453777,1.0
9660,11439,0.49467188,1.0
578,1302,0.4944188,1.0
4872,19613,0.49445337,1.0
3292,4842,0.49456677,1.0
3871,14454,0.4944347,1.0
1166,7075,0.49448594,1.0
7112,8455,0.4944071,1.0
3905,13997,0.49450576,1.0
12528,14070,0.4944505,1.0
9848,10532,0.49447465,1.0
2737,9107,0.49446222,1.0
9157,16774,0.49455994,1.0
4734,18114,0.4944347,1.0
3739,18912,0.49445027,1.0
998,19550,0.49463838,1.0
5260,10025,0.49464154,1.0
5059,11318,0.49443087,1.0
4093,8840,0.49456477,1.0
12148,16011,0.49461353,1.0
3680,10133,0.4945095,1.0
3536,3766,0.4945119,1.0
9029,12377,0.49453253,1.0
5020,14352,0.49451983,1.0
9906,14727,0.49444747,1.0
7216,17575,0.49451497,1.0
1272,17993,0.49459055,1.0
373,6658,0.49458426,1.0
1186,7312,0.49453458,1.0
3737,18039,0.49457422,1.0
8045,11310,0.4945109,1.0
11364,11424,0.49454752,1.0
3827,13268,0.49452153,1.0
2004,15614,0.4945094,1.0
4706,15974,0.49453375,1.0
2933,15480,0.49455544,1.0
3988,10056,0.49456164,1.0
8294,15389,0.49443763,1.0
9733,14019,0.49453095,1.0
397,3340,0.49456525,1.0
3245,13731,0.49458998,1.0
4104,17068,0.4945962,1.0
10062,13377,0.49444574,1.0
