edge_index0,edge_index1,pred,gr
7068,11114,9.954713,1.0
3586,11465,4.856617,1.0
2461,12599,8.83448,1.0
1962,2170,4.642167,1.0
7295,8537,8.625379,1.0
3407,5550,3.7170057,1.0
9,9433,6.0245533,1.0
4086,10517,3.9352586,1.0
8703,8762,2.7306519,1.0
598,1537,7.946577,1.0
7295,9628,9.1405945,1.0
3739,7468,7.7807307,1.0
4414,11493,8.146477,1.0
11137,11146,7.192948,1.0
11406,11825,8.052845,1.0
4209,7989,8.109222,1.0
4098,12171,3.0304487,1.0
2359,5735,4.7875237,1.0
426,5599,3.156753,1.0
7747,12353,-0.78840697,1.0
768,12199,6.3850193,1.0
8095,11627,6.7561054,1.0
829,5643,4.560595,1.0
5748,7964,1.7148117,1.0
5837,12449,-3.618761,1.0
672,9292,8.46175,1.0
6413,11655,9.618066,1.0
9688,10702,1.796669,1.0
9144,10515,3.5174656,1.0
1662,8398,-0.7666792,1.0
5299,8482,3.2740135,1.0
6077,6371,3.6079636,1.0
4509,10564,8.342749,1.0
4792,8381,4.571646,1.0
10755,11190,6.263629,1.0
4104,12669,9.632548,1.0
487,9194,7.5223875,1.0
839,12290,9.063702,1.0
1487,5800,5.4520154,1.0
579,12711,7.694282,1.0
2510,12429,2.8398044,1.0
53,12330,10.138376,1.0
1406,9367,2.2458608,1.0
96,8977,-0.35117197,1.0
1478,10789,6.78253,1.0
2536,10345,9.760678,1.0
6840,8427,3.0217648,1.0
386,762,6.5135345,1.0
1087,9356,0.8956031,1.0
6111,7310,1.127692,1.0
3205,12767,9.450282,1.0
9676,12908,8.913639,1.0
6300,12820,3.2159123,1.0
1496,7375,8.990457,1.0
1963,11514,6.0557117,1.0
8175,11847,6.2999687,1.0
6261,7744,7.1540327,1.0
2096,3632,2.187381,1.0
379,5917,7.2216554,1.0
11359,12567,-0.59344363,1.0
3438,13022,4.5986376,1.0
9011,12768,8.151645,1.0
8922,13132,5.364237,1.0
4746,6293,6.189312,1.0
643,7348,5.3480186,1.0
11233,12612,-6.002646,1.0
7543,12718,7.4787226,1.0
716,750,6.5269456,1.0
5031,5242,2.2711523,1.0
2170,4255,6.9203606,1.0
1902,2339,8.848222,1.0
8225,9962,7.1042953,1.0
5693,10096,0.13008551,1.0
5628,10028,6.3765326,1.0
418,6987,5.786737,1.0
10536,12047,8.138157,1.0
1804,7681,7.3195453,1.0
3079,9295,8.4375,1.0
3697,10019,8.135749,1.0
8840,12700,6.08006,1.0
4134,12367,2.704745,1.0
2281,11587,8.521538,1.0
4968,6114,0.37642443,1.0
750,9459,6.600829,1.0
2929,3348,4.5450873,1.0
2661,2684,3.392639,1.0
4651,8396,6.4662895,1.0
1962,5749,7.9089746,1.0
4981,10839,4.1775117,1.0
7744,7961,2.837525,1.0
7275,9010,8.284074,1.0
419,9000,5.491633,1.0
3405,8755,9.830168,1.0
2626,4978,1.2761867,1.0
4782,8722,7.8419394,1.0
1436,10861,4.03268,1.0
9194,9850,9.491661,1.0
452,4699,2.6211102,1.0
2825,7478,8.445081,1.0
5127,11940,2.27976,1.0
3914,6709,4.8119245,1.0
5402,6697,-3.4111357,1.0
1292,10028,3.557293,1.0
3558,5131,-2.0007086,1.0
1334,9002,2.7038932,1.0
6263,12464,6.875232,1.0
3290,9420,8.261622,1.0
11388,11832,4.582465,1.0
5166,5486,2.0981414,1.0
1962,7141,2.938704,1.0
574,13079,7.31694,1.0
3189,5082,2.3568923,1.0
10136,10695,2.9721763,1.0
8445,8846,4.849021,1.0
7660,10534,0.28769696,1.0
511,4858,6.7903004,1.0
6141,6939,1.4035503,1.0
1271,1478,7.7662277,1.0
5129,6263,4.294256,1.0
8897,9419,2.444192,1.0
2553,7578,9.992948,1.0
7744,12712,6.1811056,1.0
6259,8076,2.2275093,1.0
3288,4424,3.0651014,1.0
460,622,4.186038,1.0
9452,10921,9.668676,1.0
10067,12374,8.033153,1.0
5885,6770,5.9239573,1.0
5615,11833,0.6795268,1.0
7632,12682,3.476204,1.0
262,9318,6.197203,1.0
7353,7690,6.7651725,1.0
428,9751,1.6497792,1.0
3694,7916,1.0122923,1.0
5914,7441,3.5793812,1.0
1026,10541,3.4917045,1.0
2374,8520,-0.15751323,1.0
4782,6388,6.4311786,1.0
8423,9846,-4.7116175,1.0
806,6985,2.9563155,1.0
4599,11111,7.4350004,1.0
6216,8772,8.821191,1.0
6286,9456,3.0192058,1.0
7298,9497,1.1450758,1.0
3117,4111,0.6336113,1.0
8613,9199,7.4919634,1.0
9565,10332,8.078867,1.0
379,10145,2.3084433,1.0
3885,12484,4.4716105,1.0
5295,12199,2.3207185,1.0
6661,12310,2.2355416,1.0
8700,11180,7.6282673,1.0
5047,10973,5.46101,1.0
2103,10017,3.188484,1.0
45,8741,8.468275,1.0
6114,6726,5.5012846,1.0
8735,11317,2.3141303,1.0
4478,6365,2.1586008,1.0
7141,7681,5.4443674,1.0
5138,10695,1.9793367,1.0
6114,11662,5.5422277,1.0
1560,4729,4.1940117,1.0
12552,12946,9.715767,1.0
4011,6441,8.359733,1.0
8011,12439,-3.6783378,1.0
7006,8368,-5.0890365,1.0
1501,3773,8.79895,1.0
11904,12460,6.890633,1.0
685,2545,4.827256,1.0
3811,12385,2.0755775,1.0
4044,6946,7.3695345,1.0
7478,12107,8.700338,1.0
9071,10340,9.834693,1.0
10239,11070,8.079932,1.0
10206,12199,8.211799,1.0
904,6263,8.539627,1.0
2164,11360,8.858772,1.0
1993,6048,3.9376786,1.0
2652,11661,0.93403363,1.0
870,1850,6.869774,1.0
11436,13114,3.6036289,1.0
4781,5325,-5.9117737,1.0
1016,6653,1.6128354,1.0
1999,12645,1.7782668,1.0
4255,7069,0.61701834,1.0
8571,12982,9.909581,1.0
1739,7744,6.411713,1.0
3498,4801,8.047435,1.0
1913,9455,7.759691,1.0
2535,3016,-2.2022047,1.0
10173,12201,6.242321,1.0
2007,2411,3.3753164,1.0
7142,10094,-2.5093956,1.0
2540,11397,4.3971972,1.0
831,4569,3.2842226,1.0
59,4088,6.1863685,1.0
2651,5614,7.5521984,1.0
9402,12487,3.6115994,1.0
5057,12580,1.234598,1.0
2081,6826,2.0601282,1.0
4710,9801,-0.11478053,1.0
487,12068,6.5088644,1.0
7237,12199,7.088092,1.0
3863,10223,1.9565732,1.0
729,6691,5.869892,1.0
5185,6175,9.959137,1.0
666,6761,9.65137,1.0
3368,5452,-0.049863383,1.0
3796,4319,8.158146,1.0
3520,7744,8.048852,1.0
7938,11940,-2.447793,1.0
2373,7794,1.752746,1.0
1174,2380,3.8068566,1.0
6174,10082,9.579546,1.0
56,11487,0.9357209,1.0
2744,9766,3.5349095,1.0
2626,11577,9.073649,1.0
8286,11558,5.596043,1.0
2281,6263,4.592775,1.0
7093,7304,-3.936002,1.0
2162,4374,0.6015729,1.0
7142,7292,5.0793867,1.0
6890,7744,6.355966,1.0
1821,6485,2.842086,1.0
8866,9672,-4.809981,1.0
11406,12946,2.9895825,1.0
1394,11315,4.0101385,1.0
7744,8222,6.580862,1.0
262,6598,7.1341033,1.0
1082,4005,4.1308947,1.0
5101,10464,-3.2716234,1.0
262,6306,8.429834,1.0
7744,9684,5.915607,1.0
8867,11684,7.4108844,1.0
678,9346,8.389421,1.0
166,6247,4.04548,1.0
5109,10207,1.2507048,1.0
1347,6610,1.9415619,1.0
6204,8200,3.7434762,1.0
6425,6946,7.6213894,1.0
3006,5884,8.42898,1.0
1246,3889,6.0824733,1.0
6441,10273,6.8056493,1.0
1571,8526,3.3008726,1.0
5475,11923,7.871298,1.0
4770,7681,7.023704,1.0
5790,10133,2.7569995,1.0
3801,4043,9.05267,1.0
1857,9832,0.9717742,1.0
4671,9140,4.3121495,1.0
8664,10291,8.982212,1.0
122,11044,2.6942153,1.0
10124,11417,1.2998272,1.0
4448,5443,3.7846951,1.0
11144,11316,1.2530756,1.0
4810,5108,9.582569,1.0
11341,12193,7.4582534,1.0
262,10823,4.5107555,1.0
8393,13082,6.911971,1.0
546,8063,-3.6087825,1.0
8522,11946,10.216454,1.0
12146,12700,8.8071995,1.0
2327,3654,5.0127482,1.0
3006,7866,7.8672624,1.0
3621,9433,6.554939,1.0
7529,8004,9.81863,1.0
3984,9151,6.3495817,1.0
276,10299,-0.21884978,1.0
3598,12654,3.7055757,1.0
7553,12904,-3.747461,1.0
3346,6698,-0.81775945,1.0
3062,5483,8.423509,1.0
5420,10219,5.9506097,1.0
9910,10007,8.860539,1.0
2529,9268,7.8233585,1.0
3833,12786,-0.4381432,1.0
3338,9033,1.5357224,1.0
617,8752,2.423709,1.0
994,1688,4.3016686,1.0
5904,10821,9.679142,1.0
6087,12934,4.1807423,1.0
11859,12933,1.2966036,1.0
442,10523,3.4480388,1.0
4806,5134,5.8678946,1.0
7516,11324,9.432172,1.0
6131,8094,6.8410845,1.0
3220,6433,9.389137,1.0
3496,6552,7.2520366,1.0
4511,8201,8.069972,1.0
59,10634,4.5672054,1.0
4840,5894,-4.5462446,1.0
5483,6553,6.5909066,1.0
3740,9903,-2.0894597,1.0
12789,12913,9.164853,1.0
4063,12550,3.1273336,1.0
262,6870,7.526116,1.0
2601,7446,7.9718847,1.0
3656,8941,-0.8565298,1.0
